longitude	CO	PAHs	TEMP	PM2.5	SO2	latitude	PRES	H2CO	Pb	PM10	O3	CH4	warning	C2H3NO5	CFCs	NH3	NOx
73.08333	7.35515	5.22331	14.33536	5.24179	5.74597	19.21667	1068.97130	66.95630	35.00570	10.50065	7.07174	7.97481	1.00000	1.20764	30.68833	10.49348	8.07604
-73.86586	7.85511	10.21513	22.57176	6.62257	11.42971	45.43341	1199.87582	27.10052	55.37129	8.48891	7.53763	8.47219	1.00000	0.21290	22.55285	6.26801	6.19570
-71.8023	8.89615	7.16663	28.99500	5.13325	6.34141	42.58342	1191.34331	30.52548	52.13677	10.04546	8.59260	5.79615	0.00000	0.73365	53.65357	6.17740	5.34967
46.58333	8.09875	8.03749	28.95662	6.67283	8.20607	-21.15	1131.73909	41.29978	52.02449	11.18936	5.60940	6.74964	1.00000	2.37372	62.86173	3.77519	8.33931
11.04979	7.51603	7.13008	4.90824	5.03967	4.07522	44.59445	1073.20124	60.84784	26.06509	11.42155	8.21592	7.30572	1.00000	2.98004	43.95831	11.24785	7.56356
34.3869	8.04472	8.49292	3.71758	5.57916	7.59588	11.8659	1090.46317	62.92217	48.30734	7.14004	6.98159	7.39796	0.00000	0.08809	42.35592	7.02817	7.77815
77.54372	8.93811	8.00862	8.49366	7.71280	8.11796	10.12268	1106.46083	33.07741	59.64808	9.45907	7.20612	6.54119	1.00000	0.45513	61.18214	6.90594	8.21884
103.6032	8.55168	7.47374	23.12774	9.62117	5.24927	1.6561	1141.38015	37.93086	42.16273	7.72302	6.87361	7.22930	0.00000	0.10777	80.49477	4.58696	8.04851
3.1631	8.00083	9.07411	7.99026	8.60451	6.24179	41.91738	1193.14425	49.04827	47.55935	6.68251	7.99306	6.60009	0.00000	0.06692	67.32431	5.36417	8.63272
-93.08883	7.88818	9.02601	20.02100	6.55614	8.43576	45.16024	1107.90149	47.63183	40.32861	6.54026	9.09468	6.72537	1.00000	0.08570	51.82220	7.47815	7.92695
74.80555	9.22661	6.97893	30.47401	7.49959	6.30732	34.08565	1100.68278	52.30784	46.46418	8.60542	7.96297	7.70624	1.00000	0.21326	54.65943	8.23065	8.09942
37.38115	7.98351	9.59153	7.19053	9.98316	3.05883	55.63711	1076.21877	38.25380	41.73899	2.77037	7.99269	8.18961	1.00000	0.04046	57.95697	5.92219	8.07432
8.55552	8.99914	7.41704	-13.74634	6.19165	5.59018	40.72586	1054.25965	55.38601	37.38471	8.33548	7.27822	9.40751	1.00000	0.16847	64.55032	8.61407	8.15711
-87.882	7.31799	7.18797	34.61873	8.94713	8.02711	41.85059	1167.90892	51.22382	42.79445	11.98711	5.06390	5.96760	1.00000	5.18157	51.55461	5.64299	7.12431
-0.91979	6.21569	8.64050	15.05129	5.90808	8.41369	51.42708	1165.47687	31.46149	54.56574	7.53540	8.83158	8.27677	0.00000	0.08838	62.10709	6.87937	5.87378
