longitude	station	QoS	code	latitude	revision
-74.26419	Madrid	accep	CO	4.73245	03/27/2019, 00:00:00
12.53463	Frederiksberg	good	DK	55.67938	22 Oct 2021
42.85693	Patnos	good	TR	39.22493	2019/07/05
-74.15987	Nutley	accep	US	40.82232	2018/04/11
128.63083	Eisen	maintenance	KR	36.82167	01/20/2022, 00:00:00
-42.98194	Guapimirim	excellent	BR	-22.53722	10/28/2021, 00:00:00
-1.99421	Devizes	average	GB	51.35084	2012-10-19
-74.96933	Sicklerville	maintenance	US	39.71734	01/06/2013, 00:00:00
-91.77127	Rolla	excellent	US	37.95143	2020-04-24
-71.06616	Malden	accep	US	42.4251	2019/11/15
140.11667	Inawashiro	building	JP	37.56667	10/15/2012, 00:00:00
100.04427	Nakhon Pathom	accep	TH	13.8196	18 Aug 2022
-48.52333	Soure	accep	BR	-0.71667	2022/02/03
5.03586	Cavaillon	average	FR	43.83125	2016-05-31
73.06784	Sheoganj	accep	IN	25.13915	24 Apr 2019
-84.67837	Acworth	excellent	US	34.06635	2016/05/20
-79.59415	Milagro	excellent	EC	-2.13404	11/06/2012, 00:00:00
36.25361	Polohy	average	UA	47.48444	2017-12-25
53.47103	Oktyabr’skiy	accep	RU	54.48147	2017-09-25
102.05461	Tak Bai	good	TH	6.25947	2018-02-23
84.13864	Jashpurnagar	accep	IN	22.88783	13 Jul 2016
46.83187	Ataq	building	YE	14.53767	08/20/2020, 00:00:00
-2.68333	Gernika-Lumo	average	ES	43.31667	05/07/2015, 00:00:00
27.46153	Tonota	good	BW	-21.44236	03/23/2021, 00:00:00
24.75	Ukmerge	excellent	LT	55.25	2013-03-20
12.16179	Landshut	building	DE	48.52961	2013-07-24
-1.08593	Southsea	excellent	GB	50.79205	2015/03/20
-75.64963	Pottstown	average	US	40.24537	10/31/2021, 00:00:00
117.59152	Tarakan	good	ID	3.31332	2017-04-18
-60.93173	Esperanza	accep	AR	-31.4488	2014-02-08
103.61667	Jambi City	accep	ID	-1.6	08/29/2013, 00:00:00
98.50893	Myawadi	accep	MM	16.68911	2021/10/15
38.16694	Kashira	excellent	RU	54.84444	27 Apr 2013
86.59509	Supaul	building	IN	26.11527	04/28/2013, 00:00:00
-74.96933	Sicklerville	maintenance	US	39.71734	07 Dec 2015
100.04427	Nakhon Pathom	average	TH	13.8196	10/22/2014, 00:00:00
-105.36369	Acaponeta	maintenance	MX	22.49396	2017/02/17
-0.76667	Gainsborough	excellent	GB	53.38333	2017-01-09
37.92792	Kireyevsk	average	RU	53.93361	04/04/2019, 00:00:00
-98.1664	Contla	maintenance	MX	19.32932	09/29/2021, 00:00:00
