O3	NH3	CFCs	Pb	PRES	longitude	C2H3NO5	CH4	NOx	CO	latitude	SO2	PAHs	warning	H2CO	PM2.5	TEMP	PM10
5.35296	5.17693	55.51455	50.81599	1083.07274	71.57737	0.59496	5.50270	3.67915	8.07313	21.53889	8.27991	6.68617	1.00000	43.95370	5.76276	4.25136	7.05590
7.35152	6.93467	71.94400	51.83187	1097.39585	89.11943	0.40717	5.73597	6.59731	9.37438	23.9028	5.45352	8.43160	1.00000	51.84540	5.65854	21.68729	5.43887
8.55504	3.60646		67.87004	1198.06300	51.67462	0.86957	8.25401	8.48534	6.99884	32.65246	7.45595		0.00000	36.40956	5.41820	19.80127	7.07788
9.68712	3.66442	37.59258	54.06397	1150.76579	27.02444	0.61077	7.48919	7.17395	5.80296	39.59611	7.72712	7.92925	0.00000	58.87750	7.29846	37.42883	7.20442
4.71515	6.83435	40.78042	27.66166	1130.16912	-88.81395	0.44968	6.40867	8.11699	9.56861	35.61452	6.41177	7.55531	0.00000	51.68126	5.72554	24.17258	4.23375
10.99809	5.25104	51.17255	43.23172	1130.98370	-119.48568	0.23517	8.92026	7.13785	9.63071	49.88307	2.92462	9.57716	1.00000	30.24446	8.22681	15.60002	4.12672
8.63527	8.04060	53.74383	56.09639	1114.38496	85.37752	0.79334	5.61170	6.29336	6.08896	22.10194	4.90722	8.88950	1.00000	42.47559	6.46916	13.65070	6.73122
5.12967	6.41763	40.11812	56.97561	1105.27600	85.37752	0.57216	7.11901	6.26717	6.08645	22.10194	8.71500	7.54964	1.00000	29.95233	5.08446	18.94856	7.13361
6.54896	6.89556	50.98298	61.58117	1071.58975	74.80555	0.84003	6.35162	7.45154	6.54644	34.08565	7.11349	9.68897	1.00000	37.39985	7.02867	17.92421	7.77823
7.78227	6.91471	53.34787	59.10712	1061.02051	115.8614	0.55702	6.41737	6.46518	6.35053	-31.95224	5.95224	9.26342	1.00000	44.94913	7.06563	13.37673	6.77494
6.94663	5.73032	78.25668	49.03984	1142.64126	76.11996	0.62322	7.45799	7.32305	8.53110	11.12018	4.66818	8.53134	1.00000	44.96922	6.90449	9.31046	4.87079
7.12538	4.84299	42.74151	46.88246	1150.60825	116.82887	0.43289	5.44085	7.32909	6.64838	-1.26753	5.51774	7.93740	1.00000	46.26443	7.68118	12.31513	4.22836
9.68950	6.08870	36.87100	62.96390	1103.47341	13.58357	0.62902	7.52340	7.73850	9.61040	-1.63333	5.78779	6.25954	0.00000	59.79343	5.02220	19.09527	6.68416
4.71345	7.82026	47.51724	81.71153	1098.94713	44.53333	0.36627	5.42896	6.70377	7.83831	-22.9	11.06656	4.87353	0.00000	25.61008	7.21290	18.72181	3.80804
4.25488	3.82868	58.58321	42.14909	1162.90458	2.61667	1.48383	7.91218	6.10875	9.13864	48.98333	8.64614	9.92833	1.00000	30.53481	6.60048	17.81431	
6.67304	7.03953	59.59027	37.00535	1127.80313	79.883	1.11447	9.81303	6.54904	6.93752	6.9909	6.25464	8.11153	1.00000	55.59636	5.50357	0.57658	8.14735
10.41650	4.85792	46.65541	58.38362	1165.92052	126.665	0.59964	5.59717	7.26574	9.50503	36.6009	5.61228	6.14114	1.00000	55.28100	6.25993	10.10106	6.52057
3.75003	3.20908	45.89921	45.51727	1069.89018	74.12286	0.81329	6.53162	6.71594	9.12407	30.76468	9.91372	7.56470	1.00000	52.65938	6.67806	10.03705	7.31851
9.87385	5.68298	35.56215	41.16023	1162.49587	7.11393	0.33284	6.08408	4.73337	9.33961	51.08468	3.57957	9.38832	1.00000	56.22112	8.46731	20.12859	4.34989
5.26147	4.59889	28.49306	48.98857	1066.39557	11.04979	1.59738	6.59786	6.93511	8.79828	44.59445	7.94484	9.49855	1.00000	39.37524	5.80945	12.84273	8.63414
6.03479	5.62511	32.87339	70.90929	1177.89105	124.3697	0.39044	6.99953	5.42715		9.6531	5.98380	8.02557	1.00000	56.81925	7.31868	26.06375	2.90882
11.28771	8.51547	50.13273	58.32798	1080.05861	-105.11221	0.51115	5.62575	5.03626	13.04494	39.57582	4.19210	9.25408	1.00000	53.06718	6.62349	27.40930	6.01281
5.90702	4.62353	32.22281	76.29578	1163.86279	8.86374	0.25943	5.91966	4.55193	6.23518	44.89784	5.60826	7.88325	1.00000	47.55387	5.21395	14.96369	4.73462
7.14149	6.47015	47.02060	55.40453	1101.85279	74.85849	0.51728	6.37739	6.76964	9.06284	31.28092	6.18251	7.35177	1.00000	19.99601	5.13143	15.70949	5.06353
7.32520	7.15293	50.38974	62.20949	1100.86132	111.73861	1.87903	5.17741	7.31569	6.99274	35.20889	6.16987	8.45727	1.00000	45.68724	7.87362	22.33786	8.80479
7.12228	2.51561	51.44853	56.95642	1050.08265	53.47103	0.50793	7.21918	6.02076	5.60306	54.48147	4.23262	8.26098	1.00000	36.71397	7.89051	1.05127	5.12759
10.92405	5.67628	69.62080	49.60912	1185.26562	137.4	0.51662	6.03380	7.27295	5.06431	34.81667	8.84722	7.00140	0.00000	47.98300	5.35689	25.55136	6.14089
7.00319	4.78244	40.42788	53.77255	1123.39711	101.18445	0.56305	5.54914	6.90800	7.23501	13.44581	5.84980	7.06307	1.00000	54.06413	5.56248	19.93346	6.49744
5.57561	6.98991	43.92751	66.26557	1107.26315	34.11169	0.38944	7.26807	5.18181	8.59986	0.46005	8.49554	6.79884	0.00000	32.02382	6.24068	22.62028	4.23714
5.50372	8.56111	33.56073	62.49584	1085.14438	9.22796	0.40613	7.27241	6.31858	6.56164	48.46458	9.16108	7.75804	0.00000	53.35164	4.69102	3.40383	6.06559
5.12132	5.05042	47.80281	62.28118	1114.65430	8.96317	0.99780	5.86858	6.96311	8.19183	48.35149	7.83616	6.88276	1.00000	37.56711	5.43195	-9.32133	7.66201
3.91155	8.29841	63.20621	41.21726	1191.98986	144.23058	0.54194	5.93221	6.18116	8.52267	-5.85746	7.49299	6.39662	0.00000	53.16560	4.79447	1.42433	6.37199
11.00674	3.43782	52.72962	45.60456	1181.83033	56.36091	0.49283	5.12059	6.60868	7.50644	51.78771	7.23830	7.16980	0.00000	45.85037	4.89818	12.27813	5.19393
7.23693	6.09058	65.69676	50.25227	1142.04652	8.55552	0.54950	6.83175	6.66537	10.80065	40.72586	6.29706	7.79290	0.00000	38.62946	7.29132	19.78854	2.43900
