location	QoS	longitude	revision	latitude	station
Europe/Paris	average	2.29026	01/21/2020, 00:00:00	48.77644	Sceaux
Asia/Tashkent	maintenance	69.67639	2018-02-08	41.29444	Parkent
America/Los_Angeles	building	-122.24064	2018-10-26	47.80527	Bothell West
Asia/Kolkata	excellent	86.59509	03/08/2021, 00:00:00	26.11527	Supaul
America/Sao_Paulo	building	-48.62789	2012/12/12	-17.74431	Caldas Novas
Asia/Jakarta	maintenance	112.01667	2021/03/11	-7.81667	Kediri
Europe/London	maintenance	1.15597	2016-02-12	51.78967	Clacton-on-Sea
Europe/Moscow	average	46.10925	07/21/2014, 00:00:00	43.35071	Gudermes
Asia/Tokyo	average	137.02166	2013/11/29	35.48199	Minokamo
America/Los_Angeles	building	-117.29198	17 Jul 2017	33.03699	Encinitas
America/Guayaquil	accep	-79.59415	09/05/2016, 00:00:00	-2.13404	Milagro
Europe/Rome	good	14.66737	08 Mar 2018	41.55947	Campobasso
Europe/London	average	-3.05	30 Dec 2021	53.81667	Blackpool
Asia/Tokyo	accep	135.31667	2021/12/03	34.25	Iwade
Europe/Zurich	accep	6.10237	01 Mar 2019	46.18396	Onex
Asia/Shanghai	average	118.53333	20 Oct 2015	27.92333	Pucheng
Asia/Karachi	average	70.96699	10/23/2019, 00:00:00	30.46907	Kot Addu
Asia/Manila	average	121.3152	04/29/2013, 00:00:00	14.14989	Calauan
America/Managua	good	-86.58208	2019/07/11	13.48082	Somoto
Asia/Shanghai	maintenance	112.9	2016-03-16	27.85	Xiangtan
America/Chicago	excellent	-97.92977	2014/02/19	38.06084	Hutchinson
Europe/Paris	average	4.86667	09/26/2013, 00:00:00	45.51667	Vienne
Africa/Algiers	excellent	4.08282	06/02/2015, 00:00:00	36.61954	Beni Douala
Asia/Kuala_Lumpur	building	103.81667	07/14/2021, 00:00:00	1.6	Ulu Tiram
America/Martinique	good	-60.94228	2019/07/07	14.67751	Le Robert
Australia/Perth	excellent	115.8614	07/13/2022, 00:00:00	-31.95224	Perth
Pacific/Port_Moresby	accep	144.23058	04 Apr 2017	-5.85746	Mount Hagen
Atlantic/Azores	average	-25.66689	11/10/2014, 00:00:00	37.74615	Ponta Delgada
America/Argentina/Buenos_Aires	excellent	-58.70072	2014-04-27	-34.74785	Pontevedra
Asia/Tokyo	maintenance	129.96972	2020-07-06	33.4425	Karatsu
Asia/Kolkata	good	77.656	04/12/2014, 00:00:00	28.71271	Pilkhua
America/New_York	good	-75.64963	2013/09/09	40.24537	Pottstown
Asia/Kolkata	accep	75.96976	12/13/2021, 00:00:00	15.73628	Gajendragarh
Africa/Porto-Novo	average	2.59753	09 Oct 2019	8.88649	Tchaourou
America/Havana	building	-80.58556	2021-07-22	22.98212	Corralillo
Europe/Rome	building	11.412	06 Jun 2017	45.50369	Montecchio Maggiore-Alte Ceccato
Asia/Tokyo	accep	137.95378	01 Feb 2019	35.82756	Ina
Indian/Antananarivo	accep	48.41667	11 Jan 2019	-17.83333	Ambatondrazaka
America/Caracas	good	-70.20749	06/07/2021, 00:00:00	8.62261	Barinas
Asia/Tokyo	average	137.5	2017/08/15	34.9	Shinshiro
Europe/Belgrade	maintenance	20.89389	06/15/2015, 00:00:00	42.62833	Glogovac
Asia/Dhaka	average	89.11943	09/24/2018, 00:00:00	23.9028	Kushtia
Asia/Manila	good	122.9666	2015-01-05	10.7375	Talisay
Europe/Zagreb	average	16.43915	2014/12/15	43.50891	Split
Europe/Berlin	excellent	13.10984	2019/01/19	51.30001	Oschatz
Europe/Paris	maintenance	2.61667	08/29/2013, 00:00:00	48.98333	Mitry-Mory
Asia/Jakarta	excellent	106.92667	2016-12-21	-6.91806	Sukabumi
Atlantic/Azores	average	-25.66689	2015/07/26	37.74615	Ponta Delgada
Europe/Rome	good	16.50104	2014/04/02	41.24264	Bisceglie
America/Los_Angeles	excellent	-122.39168	10/26/2021, 00:00:00	40.58654	Redding
Africa/Bamako	average	-8.07257	2021/09/24	12.74409	Kati
Europe/Istanbul	maintenance	40.74357	2016-02-26	37.31309	Mardin
Europe/Paris	average	1.00288	01/30/2014, 00:00:00	49.28669	Elbeuf
Africa/Lagos	average	3.64633	2014/12/14	6.8485	Shagamu
Africa/Ndjamena	average	18.69303	12/01/2017, 00:00:00	12.18441	Mongo
America/New_York	accep	-83.2321	2016/01/20	33.08014	Milledgeville
Europe/Berlin	accep	7.02238	28 Oct 2016	52.21099	Gronau
Asia/Bangkok	average	101.18445	2017-06-08	13.44581	Phanat Nikhom
Europe/Rome	good	12.84052	2014/06/04	45.78071	Portogruaro
Europe/Zaporozhye	accep	38.15035	19 Mar 2015	49.41029	Svatove
Europe/Moscow	excellent	33.2525	17 Jul 2018	57.97472	Valday
Europe/Rome	excellent	11.04979	16 May 2014	44.59445	Castelfranco Emilia
America/Mexico_City	maintenance	-100.44843	11/29/2015, 00:00:00	20.74122	Santa Rosa Jauregui
Asia/Seoul	good	126.665	11/18/2019, 00:00:00	36.6009	Hongseong
Africa/Dar_es_Salaam	excellent	39.28333	10/18/2019, 00:00:00	-10.33333	Nyangao
Asia/Shanghai	accep	122.22833	2018/11/28	40.66482	Yingkou
Pacific/Efate	accep	168.31366	2013-09-20	-17.73648	Port-Vila
Asia/Kuala_Lumpur	excellent	102.3278	10 Oct 2012	2.2139	Kampung Ayer Molek
Africa/Cairo	building	29.91582	2020/07/30	31.20176	Alexandria
Africa/Porto-Novo	accep	2.59753	2022-09-02	8.88649	Tchaourou
