longitude	latitude	H2CO	PM10	TEMP	O3	PM2.5	CFCs	Pb	C2H3NO5	CH4	CO	NOx	NH3	warning	PAHs	SO2	PRES
-13.68778	9.535	44.66199	6.40404	8.23058	5.62900	5.80987	48.28949	52.68371	0.04932	8.93409	6.58343	8.96616	9.11450	1.00000	7.96928	5.73696	1184.65935
-113.3187	53.51684	55.70454	6.12912	7.35161	8.15130	6.40154	36.34514	41.50481	0.03225	6.81370	5.38002	9.17655	8.29217	0.00000	9.75138	8.81130	1191.70458
9.40531	45.53069	61.67216	6.95639	12.42726	7.32890	7.41877	46.38751	50.29513	0.06521	7.69465	8.50535	6.69611	7.43144	1.00000	7.26938	6.74086	1149.58252
46.10925	43.35071	60.05585	7.92684	10.53683	5.96254	6.37449	44.18499	66.86676	0.09410	7.03381	6.47368	4.68082	7.76801	1.00000	8.29600	10.61203	1100.17620
17.10558	61.72744	28.96211	6.24341	0.65415	6.74321	9.74155	50.83030	31.67928	0.03273	7.84638	8.40080	6.69097	7.79335	1.00000	7.76569	7.02532	1198.31478
121.96361	6.95194	57.21135	6.03161	1.46577	5.56819	9.28772	56.55172	62.08606	0.03875	6.14305	6.21865	8.97484	7.81756	0.00000	8.67866	9.42695	1152.41823
98.6738	3.7278	23.50142	6.04530	29.92388	6.52026	7.23059	59.63350	24.85259	0.04055	6.46600	6.35628	4.89055	7.75250	1.00000	8.12683	6.93564	1148.31834
-70.92866	42.52787	47.10647	5.75503	12.42991	5.59309	7.41990	67.90326	51.73064	0.02922	4.82127	6.41005	7.11827	6.89996	0.00000	9.29053	7.74632	1088.16910
37.92792	53.93361	40.91707	6.67766	19.37855	7.84194	6.97716	59.97641	53.31333	0.06492	6.82000	7.83956	4.67806	5.81896	1.00000	7.96183	6.44727	1087.70047
-58.70072	-34.74785	46.49520	5.06524	26.57276	8.41736	7.79944	45.62300	48.41963	0.04666	7.57474	5.48969	9.52004	6.85892	0.00000	8.34067	3.59031	1142.40798
16.4	48.25	62.29958	6.31814	1.06750	6.28680	7.22964	41.53182	64.16620	0.05676	8.05567	10.05613	6.52081	8.59135	1.00000	7.60644	7.49230	1096.57589
35.34722	-23.85972	57.44923	7.66543	26.91180	6.81937	7.40171	57.94353	51.79948	0.08515	10.12513	7.30547	8.65333	8.69963	0.00000	5.94954	7.39567	1195.93596
24.99798	-8.73508	45.66320	10.92846	15.90807	4.62651	11.12169	35.91201	56.46151	1.29041	4.28227	4.28792	6.42548	7.44402	1.00000	8.02051	12.98365	1084.52449
115.88782	-32.05251	42.53342	5.35140	8.82124	6.53742	6.94883	40.24642	53.07024	0.05497	8.59232	6.03899	8.39804	8.53346	0.00000	8.74282	5.01089	1133.97952
113.82465	23.29549	55.33363	5.76873	8.90113	4.59593	7.94124	63.99375	51.03348	0.02560	11.23192	8.69194	4.54384	9.11466	1.00000	6.87475	3.82460	1182.74828
9.5586	54.52156	54.76600	8.47120	17.67109	7.07558	6.64319	59.99239	56.35702	0.12993	6.14762	5.28042	5.61301	6.47547	1.00000	7.90925	10.12794	1177.53202
