revision	latitude	code	location	QoS	longitude
28 Jun 2018	13.8196	TH	Asia/Bangkok	excellent	100.04427
2018/01/18	-28.44917	BR	America/Sao_Paulo	building	-52.2
01/04/2018, 00:00:00	-34.88422	AU	Australia/Sydney	accep	150.60036
28 Sep 2016	50.74497	BE	Europe/Brussels	accep	3.20639
2018-03-02	26.44931	IN	Asia/Kolkata	average	91.61356
27 Jan 2015	49.41029	UA	Europe/Zaporozhye	excellent	38.15035
20 Oct 2015	-7.01833	ID	Asia/Jakarta	excellent	107.60389
2018-04-26	47.30997	CH	Europe/Zurich	average	8.52462
2015-03-31	45.39402	IT	Europe/Rome	average	9.29109
09/11/2017, 00:00:00	58.1908	RU	Europe/Moscow	accep	40.17171
02 Aug 2020	13.73417	SV	America/El_Salvador	accep	-89.71472
12/02/2016, 00:00:00	14.8361	PH	Asia/Manila	maintenance	120.97844
27 Dec 2018	37.65181	CN	Asia/Shanghai	building	120.33063
21 Jan 2017	48.35693	DE	Europe/Berlin	good	10.98461
07/27/2019, 00:00:00	41.16704	US	America/New_York	accep	-73.20483
2022-07-20	42.58342	US	America/New_York	building	-71.8023
22 Apr 2014	3.31332	ID	Asia/Makassar	building	117.59152
03/05/2013, 00:00:00	39.71734	US	America/New_York	good	-74.96933
05 Apr 2013	34.81667	JP	Asia/Tokyo	good	137.4
26 Sep 2020	-7.57897	ID	Asia/Jakarta	building	112.23109
27 Jul 2018	36.33011	JP	Asia/Tokyo	building	138.89585
08/23/2014, 00:00:00	15.79408	TH	Asia/Bangkok	average	104.1451
2019-05-22	38.58894	US	America/Chicago	average	-89.99038
2013-04-21	31.12406	US	America/Chicago	accep	-97.90308
2016/03/04	12.74409	ML	Africa/Bamako	excellent	-8.07257
04/04/2022, 00:00:00	34.95303	US	America/Los_Angeles	good	-120.43572
11/30/2018, 00:00:00	38.07789	IT	Europe/Rome	excellent	13.44275
03 May 2019	21.01858	MX	America/Mexico_City	accep	-101.2591
2018-08-10	50.06	RU	Europe/Volgograd	maintenance	43.2379
10 Oct 2018	7.57944	LR	Africa/Monrovia	average	-8.53778
2014/09/11	22.83957	BD	Asia/Dhaka	good	91.84128
02/22/2021, 00:00:00	24.41288	IN	Asia/Kolkata	building	76.56719
19 Sep 2016	35.50056	CN	Asia/Shanghai	maintenance	117.63083
11/05/2015, 00:00:00	-34.64167	AR	America/Argentina/Buenos_Aires	maintenance	-60.47389
2019/03/18	-3.5403	ID	Asia/Makassar	average	118.9707
08/04/2019, 00:00:00	40.72816	US	America/New_York	accep	-74.07764
08/14/2014, 00:00:00	55.54028	RU	Asia/Krasnoyarsk	good	89.20083
04/28/2013, 00:00:00	-28.81833	BR	America/Sao_Paulo	building	-52.51028
2016/03/03	60.97944	RU	Asia/Yekaterinburg	excellent	76.92421
10/18/2017, 00:00:00	-33.75881	AU	Australia/Sydney	excellent	150.99292
04/17/2016, 00:00:00	57.30185	RU	Europe/Moscow	good	39.85331
2019/09/09	-25.54073	AU	Australia/Brisbane	excellent	152.70493
2018-04-14	20.88197	IN	Asia/Kolkata	maintenance	85.83334
10 Mar 2022	30.5427	US	America/Chicago	good	-97.54667
01/21/2018, 00:00:00	57.97472	RU	Europe/Moscow	building	33.2525
2021-07-20	-25.54073	AU	Australia/Brisbane	average	152.70493
2020/04/01	29.22254	IN	Asia/Kolkata	maintenance	79.5286
02/18/2014, 00:00:00	2.2139	MY	Asia/Kuala_Lumpur	building	102.3278
19 Mar 2017	-0.35817	SO	Africa/Mogadishu	excellent	42.54536
2020-10-14	55.63711	RU	Europe/Moscow	average	37.38115
08 Sep 2014	25.67927	US	America/New_York	accep	-80.31727
10/02/2015, 00:00:00	11.15583	DJ	Africa/Djibouti	average	42.7125
16 Feb 2022	13.8196	TH	Asia/Bangkok	maintenance	100.04427
2016-11-09	56.03361	RU	Europe/Moscow	excellent	35.96944
2018-12-21	42.52787	US	America/New_York	average	-70.92866
28 Nov 2020	50.9803	DE	Europe/Berlin	excellent	11.32903
03 Nov 2015	39.08367	US	America/New_York	building	-84.50855
2022/09/13	23.07492	IN	Asia/Kolkata	maintenance	88.28637
30 Mar 2021	50.7236	GB	Europe/London	excellent	-3.52751
26 Sep 2020	17.34769	IN	Asia/Kolkata	excellent	78.55757
27 Dec 2020	-25.42944	BR	America/Sao_Paulo	building	-50.00639
10 Oct 2012	48.06919	DE	Europe/Berlin	excellent	11.37703
05/17/2021, 00:00:00	32.61603	IQ	Asia/Baghdad	maintenance	44.02488
2013-12-13	41.80753	US	America/Chicago	good	-87.65644
2019/07/25	60.97944	RU	Asia/Yekaterinburg	maintenance	76.92421
2019-02-06	32.35126	US	America/Chicago	average	-95.30106
06/01/2015, 00:00:00	42.58342	US	America/New_York	excellent	-71.8023
2012-12-23	-17.73648	VU	Pacific/Efate	building	168.31366
2021/05/07	-4.5833	CD	Africa/Kinshasa	good	15.16554
21 Nov 2016	24.05979	IN	Asia/Kolkata	maintenance	77.40858
2014-02-24	51.40148	GB	Europe/London	building	-1.32471
2018/01/15	39.32288	US	America/New_York	excellent	-76.72803
12/13/2016, 00:00:00	52.21099	DE	Europe/Berlin	accep	7.02238
10/31/2018, 00:00:00	51.40944	RU	Europe/Saratov	excellent	46.04833
2019/07/07	-37.88333	AU	Australia/Melbourne	building	145.06667
2018-10-15	0.49113	CD	Africa/Lubumbashi	building	29.47306
2021/07/22	46.32313	FR	Europe/Paris	building	-0.45877
03 May 2018	35.82756	JP	Asia/Tokyo	excellent	137.95378
09/02/2019, 00:00:00	43.1009	US	America/New_York	maintenance	-75.23266
01/19/2015, 00:00:00	58.63667	RU	Asia/Yekaterinburg	accep	59.80222
2022/09/06	41.27621	US	America/New_York	accep	-72.86843
2016/11/07	43.4125	BG	Europe/Sofia	accep	23.225
2020/08/14	33.92866	MA	Africa/Casablanca	accep	-6.90656
2014/05/09	48.98333	FR	Europe/Paris	maintenance	2.61667
2015-12-29	11.85	ET	Africa/Addis_Ababa	average	38.01667
30 Oct 2016	6.8485	NG	Africa/Lagos	average	3.64633
03 Sep 2021	20.88098	IN	Asia/Kolkata	excellent	75.11937
2019-05-09	35.21222	DZ	Africa/Algiers	excellent	2.31889
17 Oct 2019	41.27194	CN	Asia/Shanghai	accep	123.17306
2014-09-01	35.95664	SY	Asia/Damascus	good	36.7138
12/01/2021, 00:00:00	44.92801	FR	Europe/Paris	good	4.8951
2019/03/19	39.32011	US	America/New_York	accep	-76.51552
2015/05/24	43.61092	FR	Europe/Paris	maitennce	3.87723
2015-12-24	51.30001	DE	Europe/Berlin	excellent	13.10984
04/19/2017, 00:00:00	20.21322	MX	America/Mexico_City	good	-100.88023
02/04/2014, 00:00:00	44.22639	RS	Europe/Belgrade	accep	22.53083
02/16/2019, 00:00:00	31.84568	US	America/Chicago	average	-102.36764
16 Aug 2014	10.58806	IN	Asia/Kolkata	good	77.24779
2018/05/23	-6.8048	ID	Asia/Jakarta	accep	110.8405
09 Jun 2019	14.8361	PH	Asia/Manila	accep	120.97844
2016/01/08	9.82564	IN	Asia/Kolkata	good	78.25795
10/24/2021, 00:00:00	55.62047	RU	Europe/Moscow	good	37.49338
2017/07/04	47.98372	DE	Europe/Berlin	excellent	10.18527
2016/05/21	49.68369	DE	Europe/Berlin	excellent	8.61839
2021-07-08	11.85	ET	Africa/Addis_Ababa	excellent	38.01667
01 Apr 2013	3.8801	CO	America/Bogota	maintenance	-77.03116
2021/12/19	34.25628	US	America/New_York	accep	-78.04471
2015-08-09	39.12074	TR	Europe/Istanbul	accep	27.18052
2015-05-03	39.72943	US	America/Denver	average	-104.83192
2015-01-03	-27.76952	ZA	Africa/Johannesburg	good	30.79165
08 Feb 2016	53.59337	DE	Europe/Berlin	good	9.47629
2019/01/13	4.2475	CM	Africa/Douala	acceptable	9.00472
12/12/2014, 00:00:00	46.1351	CA	America/Glace_Bay	average	-60.1831
11/14/2014, 00:00:00	45.47885	RU	Asia/Vladivostok	good	133.42825
