longitude	C2H3NO5	O3	CO	warning	Pb	PAHs	PM2.5	PRES	TEMP	latitude	NH3	H2CO	SO2	CH4	PM10	CFCs	NOx
30.28491	0.01960	8.26626	9.07784	0.00000	46.83125	5.53330	5.37316	1101.06102	33.34540	60.02427	6.23330	54.29137	7.88335	5.85807	5.68070	28.12016	11.49560
120.89694	0.04735	8.35627	6.95474	1.00000	48.68708	15.29667	7.42089	1141.23149	20.75105	14.95472	9.32493	53.43339	8.41893	8.32431	7.01594	82.17695	9.13370
141.95	0.04530	7.47394	7.47366	1.00000	60.75523	10.47662	8.29646	1117.39968	21.07022	39.46667	9.15644	31.70985	9.80100	9.24057	7.72587	19.48463	7.41425
15.07041	8.64588	8.50563	7.79137	0.00000	54.89256	8.17284	8.34238	1175.94780	11.22310	37.49223	8.47673	58.04300	3.12505	6.73364	13.35810	55.11303	5.24699
-94.74049	0.02774	8.01382	9.46041	0.00000	61.97648	6.41785	7.84354	1160.95559	-1.44749	32.5007	8.01924	64.31668	9.01725	6.75349	7.07762	50.38845	9.37646
-2.68758	0.01831	7.19496	8.19794	1.00000	50.38187	9.69656	9.15395	1110.44016	16.25411	53.69786	5.29675	64.68175	10.21561	12.32873	3.26433	38.32348	8.91311
2.25	0.01994		6.87217	0.00000	44.19607	6.91478	9.01232	1114.27405	6.04576	50.75	2.63560	44.68912	12.76168	7.29584	4.35327	52.60701	10.32700
9.0027	0.03942	7.76324	7.83672	1.00000	45.04059	9.92248	9.06053	1089.38471	14.91743	11.86064	6.87163	41.77172	7.62867	9.98917	7.16639	56.27289	6.64549
-113.3187	0.05168	7.86974	8.69713	0.00000	36.61534	7.43683	8.06599	1122.84928	-4.78237	53.51684	7.45744	60.66575	7.42723	8.35199	6.35856	63.92293	8.87436
117.4831	0.01612	8.51494	8.78761	0.00000	52.99035	7.23798	8.05310	1150.39775	13.18612	27.34089	6.28980	58.15469	9.36038	8.06030	6.27144	33.68875	9.44411
17.10558	0.86318	8.98960	6.78732	0.00000	27.85220	6.72322	8.02267	1130.88673	2.56267	61.72744	7.51426	66.50700	5.43587	4.50117	11.04424	49.91543	6.94721
36.36339	0.04393	8.52775	8.45938	1.00000	37.86163	8.60170	7.29284	1197.06769	5.32538	0.03813	7.10688	61.11781	9.45350	9.40262	7.27243	53.01896	5.00541
4.63031	0.01389	7.80133	7.08692	1.00000	39.29843	10.21212	7.62299	1152.04897	21.55679	43.67681	10.33719	59.29634	8.76888	7.19550	3.87312	50.68193	6.67430
76.0586	0.03038	7.99374	7.47795	0.00000	56.03241	8.10684	9.59402	1093.00602	26.12416	16.06213	5.48084	41.41761	7.53801	10.67671	6.38520	48.51565	9.59747
17.8031	0.08333	7.88563	7.76954	0.00000	49.58128	9.05777	7.42815	1107.16200	20.07841	48.43174	6.25305	34.76613	8.00868	7.42867	8.44671	31.50209	9.79537
128.9889	0.06468	6.74094	7.75898	1.00000	58.34105	8.78534	7.46412	1165.21317	10.82647	37.1759	8.20964	58.48939		10.43029	8.12551	48.37660	6.78063
