CH4	PRES	warning	PM2.5	SO2	latitude	C2H3NO5	CO	NH3	TEMP	longitude	NOx	PAHs	H2CO	Pb	O3	PM10	CFCs
11.47422	1102.11380	0.00000	8.48448	7.63474	6.84019	0.11155	8.95665	7.44025	2.72486	79.87116	6.56917	5.72594	53.63260	47.99285	6.29072	7.18416	17.86865
10.95028	1120.36607	0.00000	11.18531	8.36939	-6.8	0.09313	6.65554	6.58535	15.30272	39.25	6.85022	3.18779	35.45138	37.20754	5.74551	7.09552	64.89622
7.14855	1122.53765	1.00000	8.44424	5.68667	23.04419	0.06992	6.49114	6.65112	6.45780	-82.00919	7.73933	7.43056	64.07317	58.74032	9.94433	4.70297	35.93822
7.92567	1101.46011	1.00000	10.36558	8.72881	26.11527	0.31155	7.04800	8.67561	20.57393	86.59509	7.79349	8.86848	49.37017	49.01642	6.40257	8.69981	53.04566
5.21220	1074.32990	1.00000	10.26612	4.95700	32.55531	0.06264	7.14050	8.61133	25.54832	76.12647	8.15420	7.70704	74.95491	45.22238	8.61607	6.20609	21.62718
5.41163	1076.97892	1.00000	7.90771	5.90401	0.76755	0.04266	9.21182	8.16674	9.28275	24.43973	7.13233	9.12430	53.29087	39.19357	7.98690	6.87623	29.43678
5.80458	1106.37457	1.00000	6.66115	5.14009	41.15612	0.08448	7.46198	6.01002	22.22035	1.10687	9.22126	7.23936	71.76896	40.90730	8.19602	5.12922	22.47323
8.64400	1099.45217		9.27317	10.12162	51.40944	0.31111	7.30000	7.38935	25.06639	46.04833	8.19842	6.32562	34.79680	61.88765	6.41717	8.84946	49.91113
6.10856	1081.44530	1.00000	8.42156	6.50779	48.35149	0.10284	7.03099	8.42664	14.78192	8.96317	8.10790	8.90060	71.41471	65.21712	8.33771	6.87592	54.88163
5.83780	1065.76725	1.00000	9.91990	12.81839	10.20898	3.17084		8.19930	27.20461	123.758	7.94435	10.33214	39.69917	49.84139	7.64040	11.35940	36.21785
10.15040	1199.37243	0.00000	10.75804	5.66621	42.30865	0.69808	5.30743	5.86575	-8.85427	-83.48216	7.36112	5.20223	41.94148	34.09516	5.68526	9.77981	67.85114
6.57943	1096.19913	1.00000	7.99678	4.93722	16.0567	0.05188	7.26915	8.59387	8.68587	103.65309	6.99321	6.30098	46.97573	54.66671	8.83024	4.76931	51.90039
