revision	longitude	location	QoS	code	latitude
21 Jul 2017	-77.4286	America/New_York	accep	US	39.00622
2017/05/05	9.47629	Europe/Berlin	maintenance	DE	53.59337
01/19/2022, 00:00:00	5.74861	Europe/Amsterdam	maintenance	NL	52.71083
2017-05-08	-73.78458	America/New_York	accep	US	41.0051
2016/05/26	-87.71255	America/Chicago	good	US	41.84364
2019-11-15	77.23826	Asia/Kolkata	excellent	IN	11.50526
28 May 2022	30.96755	Europe/Kiev	average	UA	49.07866
08/19/2022, 00:00:00	9.22796	Europe/Berlin	good	DE	48.46458
2013/05/14	-6.90656	Africa/Casablanca	good	MA	33.92866
2018-03-05	78.25795	Asia/Kolkata	excellent	IN	9.82564
08/08/2014, 00:00:00	136.84186	Asia/Tokyo	good	JP	34.4833
13 Sep 2014	123.33471	Asia/Manila	excellent	PH	8.56697
2021/03/17	3.39467	Africa/Lagos	excellent	NG	6.45407
2020-02-19	128.62667	Asia/Seoul	accep	KR	34.8825
09 Nov 2012	39.28333	Africa/Dar_es_Salaam	excellent	TZ	-10.33333
2017/08/24	-122.24092	America/Los_Angeles	average	US	47.4943
08/30/2020, 00:00:00	2.31889	Africa/Algiers	excellent	DZ	35.21222
01/13/2022, 00:00:00	-88.64235	America/Menominee	average	US	46.09273
12/06/2021, 00:00:00	8.2926	Africa/Lagos	building	NG	9.58126
2012/10/30	103.61667	Asia/Jakarta	maintenance	ID	-1.6
2016-12-24	152.70493	Australia/Brisbane	good	AU	-25.54073
12/30/2012, 00:00:00	-58.44417	America/Manaus	good	BR	-3.14306
06/15/2022, 00:00:00	28.67582	Europe/Istanbul	maintenance	TR	40.98894
2020/06/14	34.37389	Europe/Istanbul	excellent	TR	40.1675
14 Feb 2014	51.67462	Asia/Tehran	good	IR	32.65246
04/25/2020, 00:00:00	122.9666	Asia/Manila	building	PH	10.7375
2014-05-23	-74.13653	America/New_York	good	US	40.63316
2013-01-08	4.8951	Europe/Paris	maintenance	FR	44.92801
05/04/2014, 00:00:00	8.96317	Europe/Berlin	good	DE	48.35149
2017-01-10	13.28702	Europe/Berlin	accep	DE	52.4581
03/10/2014, 00:00:00	-72.97261	America/New_York	maintenance	US	43.61062
2014/02/01	79.41727	Asia/Kolkata	good	IN	12.25282
10/29/2012, 00:00:00	9.5586	Europe/Berlin	excellent	DE	54.52156
28 Nov 2019	13.29371	Europe/Berlin	accep	DE	52.53048
2020/03/19	-120.93549	America/Los_Angeles	accep	US	37.73604
05/28/2022, 00:00:00	111.4834	Asia/Yakutsk	building	RU	65.93381
2013/01/29	68.21204	Asia/Karachi	average	PK	27.55898
2019-12-09	9.37082	Africa/Tunis	average	TN	36.08497
09/07/2014, 00:00:00	-73.58248	America/Toronto	average	CA	45.40008
07 May 2015	-86.11084	America/Indiana/Indianapolis	building	US	41.75338
2021-07-19	75.37991	Asia/Kolkata	building	IN	25.75728
10/01/2016, 00:00:00	37.3825	Europe/Istanbul	building	TR	37.05944
12/17/2017, 00:00:00	-2.68758	Europe/London	good	GB	53.69786
03/25/2021, 00:00:00	-67.15407	America/Puerto_Rico	building	PR	18.42745
23 Nov 2015	44.02488	Asia/Baghdad	building	IQ	32.61603
11/08/2015, 00:00:00	-79.2663	America/Toronto	average	CA	43.86682
19 Jul 2015	-79.00453	America/Guayaquil	average	EC	-2.90055
10 Jan 2020	-3.67029	Europe/Madrid	accep	ES	37.13548
10/13/2015, 00:00:00	2.44892	Europe/Paris	accep	FR	48.98693
10 Sep 2017	-81.23621	America/New_York	average	US	33.98154
2013-11-14	38.66667	Africa/Dar_es_Salaam	average	TZ	-6.25
25 Jun 2013	9.72749	Europe/Berlin	accep	DE	48.28259
12/18/2020, 00:00:00	-71.05977	America/New_York	good	US	42.35843
17 Mar 2018	-105.36369	America/Mazatlan	accep	MX	22.49396
2013/02/22	-75.23266	America/New_York	maintenance	US	43.1009
2022-04-20	-0.2	Europe/London	average	GB	51.65
11/04/2014, 00:00:00	1.10687	Europe/Madrid	building	ES	41.15612
08/24/2020, 00:00:00	-87.882	America/Chicago	excellent	US	41.85059
15 Sep 2013	4.52529	Europe/Brussels	average	BE	50.71229
28 Nov 2020	2.95924	Africa/Algiers	average	DZ	36.76775
29 Apr 2016	7.20769	Europe/Berlin	building	DE	50.80019
07 Aug 2014	99.1625	Asia/Jakarta	accep	ID	3.3285
2016-08-28	-3.52751	Europe/London	accep	GB	50.7236
03/20/2013, 00:00:00	-71.05977	America/New_York	excellent	US	42.35843
