CO	SO2	CH4	NH3	O3	NOx	PRES	C2H3NO5	longitude	CFCs	PM2.5	Pb	latitude	TEMP	PM10	H2CO	PAHs	warning
7.40545	8.10244	8.68382	9.69728	7.57969	6.56321	1152.84498	0.10402	-1.64295	48.27446	5.13492	37.93751	42.8139	18.12753	7.83501	56.97190	4.90213	0.00000
5.85916	6.44061	8.40280	7.75089	8.67525	9.17491	1079.50158	0.46694	-73.89875	85.80171	6.67437	54.57450	40.93121	23.05071	9.74845	42.18827	7.36252	0.00000
6.83251	8.80577	7.39250	8.55128	7.12187	7.49523	1069.25314	0.06680	49.62251	44.38020	8.28918	36.85408	27.0174	37.68563	6.89786	72.10159	9.63814	0.00000
3.99594	6.93663	7.49356	9.99377	7.23391	6.43831	1187.95667	2.23168	36.73307	61.30626	7.46305	27.61529	55.38752	16.57233	11.38767	68.97111	8.73724	1.00000
7.58924	9.53858	6.40843	7.31623	9.39035		1143.90768	0.25623	-67.15407	58.92407	8.42033	45.26690	18.42745	0.84088	9.18374	60.38173	10.09604	1.00000
5.59578	7.19595	9.04999	11.19515	6.46863	7.70830	1199.37869	0.06565	40.74357	33.74409	3.15196	53.92161	37.31309	-3.69438	7.19077	51.83324	4.85599	0.00000
5.25738	8.74014	7.91955	6.26276	7.35914	7.20279	1131.15574	0.08976	-73.75335	65.84092	6.85380	42.58847	45.4473	26.03234	7.60196	28.62994	8.35136	1.00000
6.56427	6.64754	9.19097	8.73095	6.67829	7.14942	1185.29339	0.10972	137.23333	62.42266	10.06752	53.76005	35.8	35.54994	7.95263	47.19156	10.12889	1.00000
7.36629	9.57999	9.70296	5.09747	5.95466	8.76303	1197.85727	0.21941	101.96857	57.79039	9.13960	45.10013	4.88441	17.64906	8.93141	77.93562	9.07430	1.00000
4.91043	10.59281	7.42103	7.66570	8.86451	7.71003	1084.09266	0.05589	123.89071	32.55092	10.97781	75.97848	10.31672	19.51418	6.84430	49.84368	6.26191	0.00000
5.67817	6.17393	7.66880	8.91040	5.29370	8.12388	1131.42783	0.40127	77.9129	54.74657	8.36256	23.25998	25.6439	6.44871	9.55542	44.85238	4.87484	0.00000
7.98452	6.46511	7.19640	10.57487	8.74195	6.92678	1164.74432	0.04025	9.72749	39.40373	3.66998	51.01161	48.28259	30.22138	6.37137	33.75466	5.52650	0.00000
7.68142	7.33421	7.15088	3.55538	8.61527	7.77807	1085.67761	0.32866	78.27539	25.78823	9.22419	43.70152	12.95629	13.59182	9.35730	53.62526	9.67938	1.00000
9.40721	7.44802	5.33448	7.73418	6.71963	6.23080	1171.07196	1.08013	28.67582	65.13031	7.39898		40.98894	-0.71618	10.65083	43.02705	6.34258	0.00000
9.44734	8.25793	7.59634	10.35429	5.43678	8.41625	1079.67853	0.07098	3.39467	51.99668	6.27613	38.25672	6.45407	13.38421	6.55107	59.11391	7.00601	1.00000
5.38080	6.07618	6.67278	9.87854	6.27590	8.17047	1083.30277	0.69025	137.23333	56.87903	9.25203	37.90722	35.8	5.35866	10.18892	56.16476	9.38020	1.00000
9.68318	9.20088	5.90057	4.94708	5.35301	5.87744	1163.50642	0.21805	100.24529	79.50316	7.60041	35.13243	5.4709	12.28180	8.90266	27.54894	9.38883	1.00000
6.29787	5.71858	7.69951	8.10441	7.66024	8.39655	1057.99052	0.15374	46.10925	30.69717	8.62120	33.61233	43.35071	9.74083	8.59706	84.61074	7.91648	1.00000
8.92505	9.30283	7.33035	4.00317	8.23135	9.49892	1172.68738	0.06715	130.94098	80.75240	9.59572	68.16851	33.3213	20.83660	7.56755	49.55482	10.62467	1.00000
5.97248	7.90161	6.53204	9.91301	8.24207	7.74939	1087.77195	0.05572	-53.13722	84.99588	8.21639	35.15429	-22.92306	32.49869	5.27675	42.63317	9.70985	0.00000
3.91981	8.63480	6.51008	5.43218	7.19169	6.90800	1173.79693	0.03745	14.01481	49.69270	7.52054	49.43597	42.67164	36.23603	6.09398	47.30626	7.45853	1.00000
6.93348	8.58713	7.60549	8.27259	7.81926	8.64446	1122.64845	0.23298	75.16878	55.64641	4.15483	52.82966	30.81383	-16.74886	9.03318	37.52772	6.37329	0.00000
6.85814	10.05655	8.06562	9.23869	6.14187	8.09796	1110.08837	0.06282	103.81667	75.65452	9.90416	60.43854	1.6	2.28620	6.20301	34.04197	6.46920	0.00000
3.76079	5.24404	8.22421	10.45211	7.71021	7.81663	1076.06394	1.81795	78.27539	70.88810	8.12771	37.95323	12.95629	10.66589	11.18306	47.61124	7.64856	1.00000
5.18999	9.55860	9.13687	10.83548	6.49695	8.46728	1123.53287	0.04290	-104.83192	61.67427	9.37460	41.73475	39.72943	18.56653	6.73941	50.45859	10.01664	0.00000
4.46747	5.07269	8.24515	6.91677	7.99168	8.44494	1184.68669	0.25954	76.56719	54.69479	11.79428	45.53322	24.41288	19.33496	9.04907	58.96526	10.84307	1.00000
7.47250	7.73402	7.38179	7.87969	5.54676	9.71758	1074.72420	1.10668	17.80774	74.65993	6.13411	60.04427	40.55851	20.93707	10.66047	29.71339	6.12114	0.00000
7.41515	9.89531	6.86279	4.73320	5.50736	6.56138	1121.75820	0.11865	-7.32097	43.94071	7.94472	45.62071	41.1053	16.51227	8.00183	65.31637	8.95948	1.00000
3.71304	5.07576	6.67220	8.23242	9.56023	6.14318	1102.76037	0.47575	113.69785	28.95420	11.62122	34.32018	-7.73379	10.55229	9.76374		10.49116	1.00000
7.07786	8.94455	8.12658	9.97423	7.25085	7.48251	1192.48384	0.05717	-35.71667	50.13662	8.14946	56.97344	-8.66667	13.16978	6.61523	41.40783	9.08589	1.00000
7.34088	6.81036	8.25701	7.77937	5.33654	6.43990	1169.91738	0.08410	3.55665	61.80826	9.58338	47.69028	36.72544	22.41910	7.43222	35.05437	9.81159	1.00000
7.55812	7.01562	7.42864	9.84376	6.70178	7.98084	1060.31749	0.18520	-34.88111	62.10697	8.67527	67.29318	-8.05389	41.17790	8.59792	39.85632	9.42527	1.00000
5.05369	5.64935	8.78109	9.52249	9.10216	8.23195	1078.98692	0.09764	38.15035	39.38291	6.12893	20.45286	49.41029	10.90143	7.95802	49.48949	5.63089	0.00000
5.81298	5.92536	6.80463	8.86265	7.98445	9.63332	1073.05448	0.28936	153.10236	40.95552	8.24295		-27.50578	19.18505	9.23472	35.97920	8.31848	1.00000
7.58214	6.68911	7.27076	9.41269	6.14521	7.08904	1140.71422	0.14252	2.12213	58.31696	7.42326	31.00992	48.8222	10.47660	8.36821	61.98214	8.00421	1.00000
6.19473	6.43112	6.61770	9.91913	8.45899	7.74561	1173.86242	0.63205	-123.02621	67.23804	5.98948	62.56330	44.99012	15.52507	10.09219	57.65975	6.84028	1.00000
4.59976	8.98107	7.77269	8.88331	6.14593	8.09459	1116.78933	0.43474	-2.68758	76.92355	4.59610	31.51868	53.69786	25.15326	9.63309	57.93534	5.45781	0.00000
5.34098	7.33698	8.14857	8.22714	7.88893	7.00250	1196.79382	0.35537	113.69785	46.70070	8.84327	39.83247	-7.73379	16.69298	9.48679	46.19626	4.76941	
6.61562	5.96476	8.41387	9.24158	8.21740	7.22085	1092.95241	0.10888	-98.1664	62.57641	7.29766	42.02677	19.32932	25.65184	8.31645	31.77348	6.76671	1.00000
