QoS	code	station	latitude	revision	longitude
good	US	Palm Desert	33.72255	12/18/2012, 00:00:00	-116.37697
good	US	Visitacion Valley	37.71715	2022/07/30	-122.40433
building	MX	Teziutlan	19.8173	2013-05-03	-97.35992
accep	CN	Heyuan	23.73333	2015/11/21	114.68333
building	IN	Sirsi	14.62072	07/01/2016, 00:00:00	74.83554
good	FR	Ajaccio	41.91886	10/31/2019, 00:00:00	8.73812
good	AU	Strathfield	-33.88096	2015/10/31	151.07986
accep	UA	Artsyz	45.99194	2020/10/01	29.41824
building	ME	Budva	42.28639	2015/12/09	18.84
accep	NI	Somoto	13.48082	2014-03-27	-86.58208
accep	GH	Tarkwa	5.30383	12/12/2016, 00:00:00	-1.98956
average	RU	Danilov	58.1908	2016/02/21	40.17171
excellent	IT	Castelfranco Emilia	44.59445	22 Apr 2015	11.04979
average	TN	Siliana	36.08497	09/04/2017, 00:00:00	9.37082
accep	PR	Aguadilla	18.42745	15 May 2014	-67.15407
maintenance	JP	Komono	35	01 Sep 2019	136.51667
maintenance	IN	Davangere	14.46693	2019-08-23	75.92694
excellent	MY	Gua Musang	4.88441	19 Jun 2014	101.96857
average	CH	Adliswil	47.30997	04/16/2021, 00:00:00	8.52462
good	RU	Gudermes	43.35071	22 Aug 2022	46.10925
good	US	Leland	34.25628	2022-02-02	-78.04471
average	ID	Ngemplak	-7.54972	18 May 2015	110.71639
maintenance	GB	Aberdeen	57.14369	24 Aug 2021	-2.09814
accep	GA	Franceville	-1.63333	03 Mar 2022	13.58357
average	IR	Aleshtar	33.86419	16 Sep 2022	48.26258
good	VN	Sa Dec	10.29085	22 Mar 2017	105.75635
accep	DE	Oberhausen	51.47805	27 Jan 2019	6.8625
accep	PR	Yauco	18.03496	02/13/2014, 00:00:00	-66.8499
excellent	PL	Zgorzelec	51.14942	2016-01-08	15.00835
maintenance	FI	Espoo	60.2052	2017/08/05	24.6522
accep	PE	Yunguyo	-16.25	2020-01-31	-69.08333
building	US	Kendall	25.67927	27 Mar 2020	-80.31727
maintenance	RU	Mikhaylovka	50.06	2017/08/30	43.2379
building	PH	Cebu City	10.31672	2019/10/14	123.89071
excellent	BR	Lagarto	-10.91722	2020/10/22	-37.65
good	US	Rosedale	39.32011	2014-04-21	-76.51552
good	RU	Gudermes	43.35071	2019-02-11	46.10925
