Pb	CO	longitude	latitude	O3	CH4	TEMP	warning	PM2.5	PAHs	NH3	PM10	SO2	PRES	C2H3NO5	NOx	H2CO	CFCs
50.95790	7.14642	4.52529	50.71229	8.00242	11.44950	25.83889	1.00000	7.63778	9.19608	7.69284	9.82742	9.05384	1093.35792	1.65429	10.35882	50.21613	64.19634
34.69524	8.52836	-88.3162	42.24113	10.49357	7.76589	25.00411	0.00000	8.09213	7.55716	8.90414	7.80615	9.09081	1149.11872	0.39105	8.09949	56.22803	41.75357
36.68380	6.35240	78.55757	17.34769	9.19296	6.82019	9.29851	0.00000	9.08828	9.41147	8.04745	9.62308	8.55201	1091.72184	1.38155	10.23487	53.62802	47.62511
59.81097	7.22572	72.68533	22.75218	7.14064	10.19278	3.39532	1.00000	8.74905	8.09493	8.19133	7.21279	9.09726	1101.33124	0.24395	8.02160	41.09960	51.01293
58.69050	8.84093	74.85849	31.28092	9.96645	7.75918	19.80163	0.00000	8.21615	7.33201	7.47637	8.17807	6.88900	1118.48347	0.51102	7.46235	33.90427	47.78415
37.28359	6.17045	77.24779	10.58806	9.80151	5.38882	5.51144	0.00000	7.47817	8.45899	6.57851	9.99637	8.56055	1129.59214	1.93790	11.86834	19.83675	41.75287
50.44543	9.80474	24.6522	60.2052	10.75534	8.99969	16.13920	1.00000	8.70444	8.83506	8.77285	8.10521	8.09337	1104.91659	0.49812	8.93647	45.39871	38.17702
56.70631	12.91000	124.84472	10.13361	12.14156	6.78545	15.18053	1.00000	6.85867	11.86927	7.26488	7.85268	9.03535	1072.65759	0.42916	6.76937		45.23145
50.14230	8.20990	43.38531	9.89206	9.95760	7.92579	7.24249	0.00000	7.58040	7.94313	8.69843	7.01588	8.22327	1165.68276	0.30855	8.62143	42.89490	25.98755
55.77230	4.21190	4.69889	50.56149	6.22059	6.07320	20.24755	0.00000	8.19745	7.73792	8.71036	7.62990	7.95976	1096.26834	0.34426	7.38173	61.76112	29.90814
46.47784	8.45047	83.36889	26.76628	8.73206	11.29231	23.98679	0.00000	7.98829	9.41591	8.31259	7.94622	9.31141	1196.08135	0.40111	6.01315	47.24328	50.81272
32.06217	9.77957	27.25	42.7	6.91616	10.03357	27.87995	1.00000	7.75807	11.93180	8.23321	12.15198	6.62640	1073.40918	15.61979	10.92328	37.30277	68.04467
55.01567	8.07492	34.34691	61.78491	11.48846	8.00338	28.83325	0.00000	8.99843	6.91716	8.47539	8.67862	8.24943	1088.94655	0.70244	9.90087	56.24364	50.87356
