QoS	revision	code	station	latitude	longitude
good	09/28/2019, 00:00:00	CD	Beni	0.49113	29.47306
excellent	30 Sep 2013	MX	Contla	19.32932	-98.1664
accep	2018/10/03	AU	Strathfield	-33.88096	151.07986
excellent	2022/02/13	BR	Iturama	-19.72806	-50.19556
building	02 Oct 2013	GB	Mexborough	53.49389	-1.29243
building	2020/09/29	BR	Nova Xavantina	-14.66463	-52.35558
maintenance	08/12/2015, 00:00:00	CA	Vernon	50.26729	-119.27337
average	21 Jan 2019	TR	Patnos	39.22493	42.85693
average	18 Jul 2020	IN	Rajaori	33.37526	74.3092
average	02/28/2015, 00:00:00	CN	Pucheng	27.92333	118.53333
excellent	2013-05-19	CF	Carnot	4.94273	15.87735
excellent	08/05/2014, 00:00:00	UA	Svatove	49.41029	38.15035
accep	2012-11-18	KZ	Zaysan	47.46657	84.87144
average	2014/06/13	CL	San Bernardo	-33.59217	-70.6996
average	2020/07/15	TN	Siliana	36.08497	9.37082
accep	2016-02-25	VE	Barinas	8.62261	-70.20749
excellent	2020-10-09	US	Crystal Lake	42.24113	-88.3162
excellent	2015-07-23	TH	Tak Bai	6.25947	102.05461
excellent	11/17/2018, 00:00:00	CN	Wacheng	33.78333	114.51667
excellent	08/04/2022, 00:00:00	PH	Cebu City	10.31672	123.89071
excellent	2016-02-22	US	Massapequa	40.68066	-73.47429
excellent	06 Sep 2017	UG	Paidha	2.41669	30.98551
maintenance	2016-07-03	JP	Sasayama	35.06667	135.21667
accep	2014/06/26	GB	Brierley Hill	52.48173	-2.12139
average	2016/05/18	JP	Yao	34.61667	135.6
building	2018-10-05	AT	Floridsdorf	48.25	16.4
good	2016-07-14	JP	Shimotoda	35.815	139.6853
excellent	05 Dec 2021	BR	Catende	-8.66667	-35.71667
maintenance	2015-06-16	PK	Alipur	29.38242	70.91106
excellent	2021-03-09	BR	Porto Velho	-8.76194	-63.90389
accep	11 Dec 2021	DE	Kirchlengern	52.2	8.63333
good	02 Jun 2018	US	North Tustin	33.76446	-117.79394
good	2017-08-18	US	Hutto	30.5427	-97.54667
average	2014/02/27	CN	Zhoucun	36.81667	117.81667
good	2016/12/23	AU	Strathfield	-33.88096	151.07986
accep	05/31/2016, 00:00:00	CM	Tonga	4.96667	10.7
good	06/12/2016, 00:00:00	KR	Sinhyeon	34.8825	128.62667
average	09/07/2017, 00:00:00	CA	Sherwood Park	53.51684	-113.3187
building	22 Jan 2016	CZ	Most	50.50301	13.63617
accep	08/01/2014, 00:00:00	DE	Stuttgart	48.78232	9.17702
average	2020-06-02	MN	Ulan Bator	47.90771	106.88324
building	2014-07-15	CL	Ovalle	-30.60106	-71.19901
average	2018-04-27	MX	San Lorenzo Acopilco	19.32889	-99.32556
excellent	2022/04/04	SO	Kismayo	-0.35817	42.54536
good	07/22/2014, 00:00:00	DE	Bensheim	49.68369	8.61839
good	2020-10-12	AZ	Qazax	41.09246	45.36561
good	2015/09/29	US	Harrisburg	40.2737	-76.88442
excellent	2015-04-03	BR	Viradouro	-20.87306	-48.29694
accep	2022-07-30	TH	Roi Et	16.0567	103.65309
good	09/12/2020, 00:00:00	NL	Zeist	52.09	5.23333
excellent	2015/06/03	GB	Leyland	53.69786	-2.68758
average	09/11/2018, 00:00:00	FI	Espoo	60.2052	24.6522
average	07/23/2018, 00:00:00	US	North Tustin	33.76446	-117.79394
excellent	2017/04/20	GB	Selby	53.78333	-1.06667
accep	2020/05/16	BD	Manikchari	22.83957	91.84128
accep	03/25/2019, 00:00:00	IN	Kheda	22.75218	72.68533
good	2015-02-14	GB	Blackpool	53.81667	-3.05
building	08/31/2014, 00:00:00	JP	Shimotoda	35.815	139.6853
average	01/04/2014, 00:00:00	RU	Buynaksk	42.819	47.1192
accep	2013/06/08	TH	Tak Bai	6.25947	102.05461
maintenance	2019/04/05	IT	Sassari	40.72586	8.55552
maintenance	2020/02/24	US	Muskogee	35.74788	-95.36969
average	06/10/2017, 00:00:00	DE	Landshut	48.52961	12.16179
excellent	12/05/2019, 00:00:00	TZ	Mvomero	-6.25	38.66667
good	06/30/2016, 00:00:00	NL	Tongelre	51.44889	5.51978
good	18 Jun 2016	BR	Santa Gertrudes	-22.45667	-47.53028
average	2020/03/17	TH	Bang Ban	14.37395	100.48528
good	2022-08-05	EG	Alexandria	31.20176	29.91582
excellent	03/06/2013, 00:00:00	KH	Paoy Paet	13.65805	102.56365
accep	11/04/2019, 00:00:00	DE	Karben	50.23019	8.77155
average	02/13/2021, 00:00:00	UA	Zvenihorodka	49.07866	30.96755
building	03/16/2021, 00:00:00	BJ	Tchaourou	8.88649	2.59753
accep	06/12/2016, 00:00:00	FI	Tornio	65.84811	24.14662
accep	02/06/2013, 00:00:00	RU	Krymsk	44.92934	37.99117
good	02/20/2016, 00:00:00	PA	Chilibre	9.15093	-79.62098
average	16 Dec 2021	NO	Harstad	68.79833	16.54165
average	27 Jul 2019	US	Port Richmond	40.63316	-74.13653
average	08/30/2018, 00:00:00	SV	Sonzacate	13.73417	-89.71472
average	27 Jul 2014	SE	Boo	59.33333	18.28333
average	2017/02/23	MX	Paracho de Verduzco	19.64745	-102.04897
good	08 Aug 2015	RU	Lesozavodsk	45.47885	133.42825
accep	2018/10/17	EE	Narva	59.37722	28.19028
good	2018-08-20	CN	Yingkou	40.66482	122.22833
excellent	10/01/2018, 00:00:00	GB	Hartley	51.38673	0.30367
excellent	2019-05-06	US	Greenpoint	40.72371	-73.95097
maintenance	2018-05-17	PT	Paredes	41.20485	-8.33147
average	2014-09-19	US	Camarillo	34.21639	-119.0376
excellent	2016/07/16	IT	Montecchio Maggiore-Alte Ceccato	45.50369	11.412
average	10 Jun 2013	CN	Hushitai	41.94175	123.50266
excellent	2021-12-03	RU	Ishim	56.11281	69.49015
building	2020/03/25	RU	Tyoply Stan	55.62047	37.49338
average	12/10/2021, 00:00:00	US	Gainesville	29.65163	-82.32483
good	05/13/2020, 00:00:00	DE	Finnentrop	51.168	7.973
excellent	2021-11-14	US	Murray	36.61033	-88.31476
accep	12 Aug 2021	ES	Puertollano	38.68712	-4.10734
average	2014/02/10	ID	Pekanbaru	0.51667	101.44167
excellent	2017/06/30	KZ	Zaysan	47.46657	84.87144
accep	2016-04-23	IT	Ragusa	36.92574	14.72443
accep	03/15/2022, 00:00:00	US	Bryn Mawr-Skyway	47.4943	-122.24092
average	2017-09-27	BE	Rixensart	50.71229	4.52529
building	30 Dec 2017	GB	Selby	53.78333	-1.06667
average	03 Jan 2015	GB	Arbroath	56.56317	-2.58736
building	01/01/2022, 00:00:00	GB	Strood	51.39323	0.47713
good	2020-03-18	DE	Walsrode	52.86147	9.5926
average	02/18/2021, 00:00:00	GB	Kingston upon Hull	53.7446	-0.33525
good	23 Dec 2020	IN	Haldwani	29.22254	79.5286
accep	2021/09/13	IT	San Giuliano Milanese	45.39402	9.29109
accep	16 Jun 2020	JP	Nayoro	44.35056	142.45778
accep	08/29/2020, 00:00:00	CL	San Bernardo	-33.59217	-70.6996
excellent	07/29/2016, 00:00:00	TH	Bua Yai	15.58552	102.42587
excellent	2022/02/21	ID	Simpang	-1.26424	104.09701
average	09 Jan 2019	US	Lutz	28.15112	-82.46148
accep	23 Mar 2014	RU	Solntsevo	55.63711	37.38115
accep	02 Nov 2020	MX	Acaponeta	22.49396	-105.36369
excellent	24 Jul 2022	RU	Likhobory	55.85	37.56667
good	2021-03-30	US	Bothell West	47.80527	-122.24064
accep	2020-09-22	GB	Poulton-le-Fylde	53.83333	-2.98333
good	07/23/2019, 00:00:00	US	Searcy	35.25064	-91.73625
good	12/12/2018, 00:00:00	DE	Gronau	52.21099	7.02238
maintenance	2017-07-17	MX	Teziutlan	19.8173	-97.35992
average	2013/02/20	BR	Tucano	-10.95817	-38.79084
excellent	2018/05/23	KZ	Otegen Batyra	43.41949	77.0202
average	11/30/2013, 00:00:00	ZA	Standerton	-26.93366	29.24152
good	07 Apr 2016	DZ	Beni Douala	36.61954	4.08282
maintenance	2014-03-18	RU	Yeysk	46.7055	38.2739
