CFCs	latitude	TEMP	NOx	H2CO	NH3	C2H3NO5	PM10	CO	PRES	PAHs	warning	O3	longitude	Pb	CH4	PM2.5	SO2
47.92426	8.88649	10.66781	9.47455	38.03073	5.92824	1.03822	4.68664	10.19867	1109.45043	6.12878	1.00000	6.80026	2.59753	45.76616	10.85190	5.44438	7.23052
49.92625	-33.59217	25.72383	9.80196	52.16186	5.80519	2.12434	7.96669	6.42757	1152.84025	5.88176	0.00000	7.12587	-70.6996	32.43590	10.59251	10.62999	8.31849
40.58285	55.8736	24.60290	6.01688	66.23600	7.19453	1.07122	5.95264	8.63969	1058.11482	7.63467	1.00000	6.83611	85.4265	10.94409	6.29717	7.40630	8.83860
67.80533	3.3285	-0.43855	8.53382	36.08801	6.36317	1.34122	7.21499	5.23971	1099.54440	9.72037	0.00000	6.87094	99.1625	40.55908	10.78735	10.16762	9.49918
58.36904	31.76212	17.80665	6.80128	49.59214	4.75521	0.63367	6.45032	9.52807	1078.65833	8.45674	0.00000	8.36802	-95.63079	49.19605	9.47638	9.76625	7.82030
57.90306	10.98778	27.82282	9.91898	43.03230	5.97805	2.97499	8.69457	9.29996	1174.30231	5.03565	1.00000	6.90430	-74.95472	57.48396	7.14768	9.88077	8.31125
51.12543	10.98778	13.45361	5.74012	38.71240	5.93611	0.57265	5.39099	9.18267	1116.87081	8.02529	1.00000	9.23761	-74.95472	74.79110	9.54990	6.49501	6.37506
35.34035	-54.8	30.22320	6.42362	43.52810	7.67278	1.24607	6.80086	7.04102	1183.63751	7.12449	1.00000	7.93462	-68.3	53.40306	10.01666	6.80352	10.03912
76.11950	-17.73648	22.55694	9.55481	50.24292	6.43561	0.89921	4.49782	7.76585	1102.88034	9.57327	1.00000	8.99405	168.31366	57.50708	7.01528	7.03870	9.17657
67.11145	-4.83	8.77043	9.83689	39.72703	6.69118	1.26749	5.03861	8.57934	1160.63048	8.85054	1.00000	5.95316	29.65806	42.55203	6.89426	7.44896	8.61745
48.84341	23.1959	-8.08843	9.47152	53.29796	7.21932	1.43571	7.54945	8.67275	1109.44287	9.30814	1.00000	8.47382	86.51499	33.63155	5.04029	10.26195	8.58217
44.26734	51.84819	22.84198	7.36111	69.45992	8.63023	2.27801	8.52225	9.67042	1096.50260	6.36837	1.00000	6.64366	1.26738	69.08004	8.68301	6.79107	7.73512
73.56444	42.7392	21.86973	9.04721	39.08617	7.49673	0.84438	6.40228	10.96490	1078.51549	8.10606	1.00000	9.36051	-84.62081	72.53084	8.04902	6.31953	6.84172
49.57077	50.23019	20.74829	6.76083	45.77949	5.79927	0.86730		9.92834	1115.29080	6.99198	1.00000	7.86120	8.77155	33.35252	9.51127	6.68317	9.06901
49.00274	57.97472	4.67192	7.09091	35.24745	6.55189	1.23697	6.89826	5.02045	1117.97792	8.50608	0.00000	5.47215	33.2525	23.67530	9.14197	7.75785	8.33648
39.09963	51.67822	11.02718	8.03588	39.42038	5.34295	0.71519	6.26092	9.56552	1124.18596	9.33289	1.00000	7.69353	33.9162	48.19770	9.70181	5.97584	8.02608
62.08672	44.97639	3.21403	10.61145	45.26768	9.00960	2.25999	8.11337	9.73900	1065.26735	9.19946	1.00000	6.34396	19.61222	70.63121	8.65423	6.31189	7.57570
62.38238	21.28306	17.62642	7.51438	54.88747	8.41302	1.95217	7.98368	8.61980	1133.49098	8.18230	1.00000	7.31999	-89.66123	58.66010	10.52943	6.45049	8.00348
56.46634	25.92127	12.45725	6.66188	39.58309	5.28985	1.35974	7.42628	8.81959	1198.09215	8.47934	0.00000	8.17065	86.79271	50.99410	9.34987	9.32550	7.68545
43.93944	41.63976	23.60427	6.11620	44.13854	6.16445	1.14880	6.71148	8.20280	1176.15630	8.35137	1.00000	7.04492	2.35739	61.65379	10.56824	6.43329	8.55071
39.08109	34.61667	22.75440	5.75824	52.56838	6.63160	1.99416	8.30932	11.49951	1174.08254	7.97561	1.00000	6.79566	135.6	43.12531	9.99574	6.34056	9.41957
69.62759	45.0408	19.50032	7.57377	44.44255	6.58784	1.27307	7.00284	8.98857	1123.47803	7.72818	0.00000	7.96332	-93.263	61.03034	8.87502	8.39896	7.70927
48.23630	19.21667	27.71873	7.68367	37.12056	5.58354	0.37931	5.80109	9.81575	1051.74463	8.76581	0.00000	8.55325	73.08333	75.28509	9.31552	10.38690	8.79352
69.82021	53.51684	26.98988	10.03513	55.21438	6.82614	1.04108	5.58482	6.81934	1074.08728	6.65183	0.00000	8.17530	-113.3187	41.11018	10.21345	10.40531	8.01502
67.74226	19.21667	14.27548	11.51941	46.18951	6.06326	1.61982	6.90951	7.87666	1183.45768	8.56795	1.00000	7.83518	73.08333	54.61564	5.96191	9.01225	7.69623
51.94186	51.65333	19.64600	9.41125	28.93064	6.05254	1.04442	6.50510	7.85060	1164.54288	8.14694	1.00000	8.45032	5.2875	66.85862	6.91369	8.73927	8.97513
52.10873	43.83125	10.80136	9.49336	31.99701	6.59374	0.74766	6.43319	9.12787	1090.56060	7.39915	1.00000	8.19672	5.03586	36.06345	6.37487	8.37966	8.70269
59.23675	50.5107	3.72834	8.91532	57.60825	6.79903	0.95508	7.01775	10.33918	1107.02128	8.03303	1.00000	6.35544	18.30056	67.24645	6.63413	9.83726	8.06525
59.67471	12.74409	26.24883	5.28595	38.07777	6.36976	1.16230	6.85005	9.31373	1159.20951	7.87424	1.00000	6.94590	-8.07257	58.29348	11.14738	6.38069	7.78263
38.76474	31.96258	13.52639	8.94743	31.23625	6.28450	0.57988	6.00851	5.99697	1079.21183	7.57575	0.00000	7.62604	73.97117	64.35377	8.27849	8.38200	8.36078
55.35751	34.09668	33.80154	7.34879	38.88347	7.45019	0.47514	5.94765	10.82675	1088.80584	7.76264	1.00000	7.97425	-117.71978	42.51468	8.02581	8.24849	7.89037
42.73055	38.58894	2.39264	10.28920	68.46255	6.48202	1.16630	6.61239	8.85881	1148.15874	6.08284	0.00000	8.61316	-89.99038	39.44251	9.09365	8.05147	8.72436
37.24202	33.92946	24.68105	11.54398	55.68062	4.80264	0.91908	6.97606	8.21344	1098.22841	8.99358	0.00000	7.64906	-116.97725	47.73184	8.61244	7.16084	9.24284
52.42588	42.58342	20.89789	7.62312	52.76296	7.35693	1.06192	6.18542	8.62247	1082.46596	7.90671	1.00000	7.54199	-71.8023	29.96620	9.03148	6.55532	7.44328
62.34067	68.79833	22.11575	6.90293	55.41130	6.80192	0.85259	6.46352	9.88777	1192.60572	7.04784	1.00000	9.92623	16.54165	44.49497	10.12048	6.27175	8.39945
33.04399	24.05979	13.67439	7.17794	51.84902	6.71896	1.19591	4.54295	8.78595	1132.87751	7.94122	1.00000	5.55946	77.40858	51.96912	6.03432	8.98727	6.38613
58.65378	45.75279	13.26189	9.11462	53.24324	5.59161	2.04140	8.09694	5.75716	1106.99193	6.81190	0.00000	7.66912	130.57211	51.91770	10.15630	9.89892	7.81472
43.77269	8.35122	4.25399	7.42307	54.58265	10.15580	5.67252	9.39840	10.53150	1104.67144	10.05561	1.00000	8.45735	-62.64102	58.37057	9.27024	6.83765	8.16243
33.48303	8.79577	-16.72882	9.26221	35.82440	8.73193	1.02546	6.53012	9.60788	1106.64933	7.69504	0.00000	8.52385	-75.69947	39.14418	8.02076	9.53974	7.19412
34.92668	28.92694	9.96537	8.90565	53.11606	7.83619	1.28895	6.70196	7.33423	1053.11512	7.19571	1.00000	6.94324	78.23456	43.20270	7.57539	6.87395	7.72306
57.75548	7.62789	5.70200	7.27189	32.86733	8.36914	3.58048	8.78684	8.02348	1186.47168		1.00000	7.64364	4.74161	55.66918	8.76352	6.96257	9.02653
44.05210	40.64621	31.57042	10.30856	43.03015	6.39429	0.63828	6.61228	8.01675	1127.16822	7.81348	1.00000	7.50176	-73.97069	62.78057	6.07207	8.72183	8.28975
46.55943	-21.42917	27.28721	8.55871	37.03544	6.29919	0.94254	6.53127	9.17603	1082.19941	8.67284	0.00000	8.03386	-45.94722	35.93331	9.46295	9.01557	8.19955
79.41770	7.62789	28.33001	7.26686	54.87530	7.38792	0.81666	6.16202	3.45792	1086.13151	6.96418	0.00000	6.34021	4.74161	37.18857	12.13372	10.98706	7.23033
39.97999	10.63504	8.23304	8.70073	45.84541	6.72154	1.23226	7.03830	9.36581	1054.74413	9.17228	1.00000	10.28285	-85.43772	47.60418	5.25799	10.50756	6.33920
68.81264	41.8542	7.86914	5.28583	76.78429	5.85126	1.70848	7.62826	8.45383	1079.02249	7.74584	1.00000	7.95025	-87.66561	74.58992	6.41514	7.44932	6.77134
36.78986	-20.25333	32.28509	9.46234	39.65400	6.40417	0.76922	6.40816	8.17565	1130.89020	6.92204	1.00000	8.21223	-43.80139	48.83156	7.13919	7.82998	
47.57877	41.1053	8.62607	7.17492	66.71435	6.59359	1.10666	7.18566	3.78141	1136.96111	7.39672	0.00000	8.16680	-7.32097	62.47009	11.44657	10.01155	7.22732
31.47198	8.79577	18.18223	6.47844	51.64556	7.67735	1.29444	7.35127	9.32716	1088.93241	7.84651	0.00000	9.51519	-75.69947	46.83518	8.18013	9.80768	6.32508
62.89896	8.88649	3.92699	10.11088	53.03895	8.22855	0.66202	4.36284	7.20503	1114.63434	6.95637	0.00000	7.23202	2.59753	46.46860	10.69659	11.22501	8.85586
41.24020	53.5942	9.75333	9.16721	38.82260	6.26885	0.80333	4.85828	6.27756	1136.72057	7.10360	0.00000	8.65738	25.8191	60.42854	7.73656	7.70018	8.76298
43.20446	51.19139	22.72977	9.68772	46.71787	5.90095	0.80807	5.04703	7.96001	1174.30540	7.20532	1.00000	7.02424	6.51352	23.45063		10.18754	7.58093
43.73291	41.75338	18.81930	4.33711	50.47989	4.23231	0.80344	6.26203	7.30000	1111.09702	8.89842	1.00000	9.64506	-86.11084	66.37203	8.70282	6.94836	7.40285
65.79919	-0.71667	4.72214	9.97685	46.64881	5.38843	3.61275	8.86658	7.42401	1067.76981	7.27340	0.00000	7.02808	-48.52333	71.78646	8.70038	10.15694	9.48307
64.53644	51.30001	13.56689	6.64771	46.36711	7.30518	0.74204	6.32542	12.06701	1136.68615	7.84403	1.00000	7.97326	13.10984	36.32985	7.30555	10.27117	6.91298
49.95457	43.50891	29.27338	7.07433	54.69829	7.39967	0.69286	5.17771	10.36838	1089.44075	7.70427	1.00000	8.01590	16.43915	62.68883	7.41006	8.68559	7.11865
53.45908	16.455	18.84760	9.02287	48.06791	5.62336	2.31739	8.20904	7.10128	1189.07138	9.40031	0.00000	8.90874	120.5875	41.04985	7.91525	7.81330	7.56753
50.67248	53.0233	18.71999	6.22516	35.19039	7.27706	2.05949	7.73919	8.99463	1141.54545	10.13900	1.00000	8.44803	-1.48119	40.13960	9.54966	6.67854	6.29648
47.88400	40.66482	20.52545	7.04217	49.93398	6.51036	1.17315	6.62029	9.38183	1178.62575	6.67278	1.00000	9.15378	122.22833	39.93270	8.19189	6.67049	7.97258
55.71377	44.27804	15.88094	9.18834	23.76379	6.51951	1.26780	7.29708	9.80435	1143.04869	5.38704	1.00000	8.36265	-88.27205	48.67542	7.08313	10.20261	8.20136
70.50301	33.92866	1.76216	2.41187	39.08808	6.49056	1.40835	7.48202	8.75531	1127.65460	9.25201	1.00000	7.85667	-6.90656	67.09303	10.66161	7.01724	7.17394
63.98118	44.22639	10.48369	11.15051	56.97724	6.49823	0.91237	6.03848	9.17375	1192.33432	7.35779	0.00000	6.72467	22.53083	76.82284	7.41739	8.67045	9.74559
40.38590	-7.0981	6.85209	10.42298	42.21733	6.07814	1.13096	3.66600	10.81090	1088.88542	7.25033	0.00000	7.99709	109.3243	60.68056	12.17080	7.98475	6.77139
72.81789	36.46917	16.56559	11.12975	63.72856	7.36222	1.55942	7.64655	7.95181	1076.47171	8.65811	1.00000	7.20885	10.78222	40.52678	3.21580	9.95665	8.21004
60.92103	52.4089	19.08284	6.25069	35.56892	8.35362	0.82058	6.51545	7.93090	1133.67168	7.92352	1.00000	8.34576	31.3237	40.97134	9.40214	6.94933	7.01676
62.47106	38.10558	-1.73540	10.62835	43.90148	5.88736	1.54788	7.46803	8.88858	1074.56066	7.96264	1.00000	7.18938	-1.86343	58.72167	7.33128	8.74829	9.78189
66.11064	24.41288	16.10329	10.49470	29.93393	5.85953	1.14306	6.55496	7.94315	1124.17969	7.98893	1.00000	8.41493	76.56719	44.04662	7.97283	7.82547	6.64251
66.76147	33.42585	7.06413	6.48962	39.83363	6.10914	1.09837	6.65609	9.59672	1179.05531	7.51283	0.00000	6.89058	-6.00137	49.09514	9.79142	9.19208	8.99868
28.74679	-12.91667	2.19459	9.01255	38.90826	5.86608	0.90971	4.92165	9.01149	1179.34138	6.48177	1.00000	8.39696	-39.25	71.14535	5.51697	9.16711	7.74267
57.50101	38.70734	22.39385	9.10375	55.18231	6.52328	0.94639	6.96149	9.22369	1089.38387	9.24446	1.00000	7.09225	-77.02303	69.26747	6.93789	9.01044	7.29974
39.74055	36.21544	8.44049	9.60795	43.06332	7.68149	0.61043	5.24051	8.46006	1188.81536	8.00410	1.00000	7.11815	65.93249	55.73649	5.30723	7.45932	8.08872
76.60819	14.95472	18.94722	4.63599	21.81062	5.21800	0.39838	4.26609	7.18356	1074.17741	8.15597	1.00000	9.26049	120.89694	76.16552	10.43258	6.57030	7.83419
