location	code	QoS	revision	latitude	longitude
America/New_York	US	accep	02/07/2014, 00:00:00	25.67927	-80.31727
Europe/Moscow	RU	accep	04/22/2015, 00:00:00	53.93361	37.92792
Asia/Shanghai	CN	accep	01 Jul 2020	35.20889	111.73861
Africa/Accra	GH	maintenance	11/08/2014, 00:00:00	5.30383	-1.98956
America/Lima	PE	average	2012-12-28	-11.94306	-76.70944
America/Sao_Paulo	BR	excellent	09 May 2016	-22.97056	-46.99583
Asia/Yekaterinburg	RU	excellent	02/22/2015, 00:00:00	56.9083	60.8019
America/Chicago	US	good	2020/03/07	42.55308	-87.93341
Asia/Kolkata	IN	building	01 Nov 2020	12.25282	79.41727
Asia/Manila	PH	accep	2021-09-12	12.97389	123.99333
Europe/Berlin	DE	good	2012/11/20	50.80904	8.77069
America/New_York	US	accep	07 Jul 2018	40.67705	-73.89125
Europe/Madrid	ES	building	2013-08-27	41.41204	2.18247
America/New_York	US	maintenance	08/12/2017, 00:00:00	41.24255	-82.61573
Asia/Kuala_Lumpur	MY	maintenance	29 Jan 2018	4.02219	101.02083
America/Chicago	US	excellent	2014/11/18	47.92526	-97.03285
Europe/Moscow	RU	average	2016-02-11	53.95278	32.86389
America/New_York	US	building	2013/05/07	39.08367	-84.50855
America/Chicago	US	excellent	03/30/2017, 00:00:00	47.92526	-97.03285
Europe/Andorra	AD	building	2015-10-09	42.50729	1.53414
Asia/Karachi	PK	excellent	2019-11-16	25.80565	68.49143
Europe/Rome	IT	good	2017/10/02	45.39402	9.29109
Europe/Podgorica	ME	average	2012/12/05	42.28639	18.84
Asia/Kolkata	IN	average	2020-06-11	32.55531	76.12647
Europe/Dublin	IE	excellent	2021-09-27	53.43333	-7.95
Europe/Zurich	CH	excellent	09 Dec 2012	47.30997	8.52462
Europe/London	GB	accep	07/09/2016, 00:00:00	55.82737	-4.0573
America/Tegucigalpa	HN	average	05/21/2021, 00:00:00	15.48131	-86.57415
Europe/Istanbul	TR	building	08 Aug 2021	40.98894	28.67582
Africa/Dar_es_Salaam	TZ	good	2015-06-24	-4.83	29.65806
America/New_York	US	excellent	2014/10/23	35.05266	-78.87836
Europe/Berlin	DE	excellent	2020/11/09	50.23805	8.86704
Africa/Abidjan	CI	good	2014/02/13	5.27247	-3.59625
Europe/Berlin	DE	accep	11/19/2018, 00:00:00	48.35149	8.96317
Africa/Tunis	TN	average	17 Nov 2012	36.46917	10.78222
America/Los_Angeles	US	average	2014/02/26	47.80527	-122.24064
Africa/Accra	GH	maintenance	2021/01/16	6.46346	-2.31938
America/Detroit	US	good	2022/05/08	42.30865	-83.48216
Asia/Yekaterinburg	RU	excellent	2016-03-12	56.9083	60.8019
Asia/Jakarta	ID	average	2016/10/16	-7.81667	112.01667
Africa/Lagos	NG	accep	2016/09/01	6.15038	6.83042
Africa/Abidjan	CI	building	2014-01-10	5.27247	-3.59625
Asia/Bangkok	TH	accep	2017/03/28	13.8196	100.04427
America/Havana	CU	excellent	02 Apr 2016	22.98212	-80.58556
Europe/Madrid	ES	accep	03/31/2022, 00:00:00	42.8139	-1.64295
America/Sao_Paulo	BR	excellent	2016-10-17	-22.45667	-47.53028
Africa/Lagos	NG	building	2018-02-17	12.74482	4.52514
America/New_York	US	excellent	2019/01/17	33.98154	-81.23621
Europe/Sofia	BG	accep	13 Mar 2019	43.4125	23.225
Europe/Berlin	DE	maintenance	11/01/2013, 00:00:00	48.78232	9.17702
Asia/Tehran	IR	accep	01/05/2020, 00:00:00	33.86419	48.26258
America/Bogota	CO	average	12/17/2015, 00:00:00	5.6561	-75.87877
America/New_York	US	good	2015/08/04	42.35843	-71.05977
Asia/Tokyo	JP	accep	2013/07/30	36.65	138.31667
America/Sao_Paulo	BR	excellent	28 Nov 2012	-28.44917	-52.2
America/New_York	US	average	2022/03/26	39.43534	-84.20299
Asia/Kolkata	IN	excellent	2020-11-17	33.37526	74.3092
Asia/Kolkata	IN	good	2016-08-26	26.32293	91.00632
Europe/London	GB	good	2014/11/21	51.62907	-0.74934
Asia/Bangkok	TH	accep	08/13/2021, 00:00:00	13.8196	100.04427
Europe/Berlin	DE	excellent	09/06/2018, 00:00:00	50.23019	8.77155
Europe/Oslo	NO	maintenance	2014-01-14	68.79833	16.54165
Europe/Berlin	DE	accep	2017-11-29	48.28259	9.72749
Europe/Brussels	BE	accep	12/24/2017, 00:00:00	51.24197	4.82313
Europe/Lisbon	PT	excellent	2020-06-20	41.20485	-8.33147
Europe/Istanbul	TR	excellent	09/29/2012, 00:00:00	37.58105	29.26639
America/Guatemala	GT	building	03/14/2015, 00:00:00	14.93333	-91.11667
Asia/Karachi	PK	excellent	2019-10-10	29.38242	70.91106
Asia/Kolkata	IN	excellent	05/17/2021, 00:00:00	30.81383	75.16878
Asia/Makassar	ID	excellent	2015-03-06	3.31332	117.59152
Europe/Moscow	RU	accep	20 Apr 2021	53.93361	37.92792
America/Havana	CU	accep	2015/06/22	23.0072	-82.4017
Europe/Berlin	DE	accep	22 Jan 2016	51.08468	7.11393
Africa/Algiers	DZ	average	2013-11-18	36.72544	3.55665
Africa/Lagos	NG	excellent	23 Aug 2017	4.92675	6.26764
Africa/Douala	CM	good	01/10/2014, 00:00:00	4.96667	10.7
America/Port-au-Prince	HT	accep	05/16/2016, 00:00:00	18.65297	-72.09391
Africa/Algiers	DZ	average	04/06/2019, 00:00:00	36.27462	4.85668
Europe/Paris	FR	average	04/24/2019, 00:00:00	48.77275	5.16108
Africa/Casablanca	MA	excellent	24 May 2014	33.92866	-6.90656
Asia/Seoul	KR	good	30 Jun 2021	37.65639	126.835
Europe/London	GB	building	2016-10-30	51.65	-0.2
Europe/Madrid	ES	good	2022-03-16	38.96667	-0.18333
Asia/Karachi	PK	building	01/11/2014, 00:00:00	29.69221	72.54566
Europe/Madrid	ES	average	22 Apr 2020	38.10558	-1.86343
America/Los_Angeles	US	excellent	2021/06/02	34.09668	-117.71978
Europe/London	GB	good	2019-01-15	52.41667	0.75
Europe/Minsk	BY	excellent	2015/01/19	52.4089	31.3237
Africa/Lubumbashi	CD	excellent	2021-12-19	0.76755	24.43973
Europe/Paris	FR	accep	2019/03/11	43.67681	4.63031
Asia/Tokyo	JP	average	07/05/2015, 00:00:00	34.61667	135.6
Europe/Belgrade	RS	good	10 Sep 2022	44.97639	19.61222
Europe/Sarajevo	BA	building	2014-10-22	44.75874	19.21437
Europe/Berlin	DE	building	2019/06/29	52.47774	10.5511
Europe/Rome	IT	maintenance	02 Oct 2021	40.87329	14.43865
Europe/Brussels	BE	excellent	2015-02-18	51.03427	5.37429
America/New_York	US	good	2017/03/18	39.32011	-76.51552
America/Caracas	VE	good	21 Jun 2018	8.62261	-70.20749
America/Vancouver	CA	building	2022-01-07	50.26729	-119.27337
Asia/Kolkata	IN	accep	2016-08-26	17.34769	78.55757
Asia/Jakarta	ID	average	2019-10-16	-1.26424	104.09701
America/Guayaquil	EC	maintenance	2020/09/03	-2.90055	-79.00453
Asia/Tokyo	JP	excellent	08/10/2019, 00:00:00	44.35056	142.45778
America/New_York	US	excellent	10/29/2017, 00:00:00	40.64621	-73.97069
America/Sao_Paulo	BR	maintenance	11/09/2013, 00:00:00	-22.97056	-46.99583
America/Los_Angeles	US	good	2019/08/07	47.4943	-122.24092
Asia/Karachi	PK	building	18 Aug 2015	25.95533	68.88871
Asia/Tehran	IR	accep	2015/11/21	33.86419	48.26258
Asia/Karachi	PK	good	2016-10-23	27.52948	68.75915
America/Chicago	US	excellent	15 Mar 2016	45.16024	-93.08883
Europe/Madrid	ES	excellent	2017-10-07	39.96348	-4.83076
Europe/Rome	IT	good	2012/10/26	45.9836	12.70038
Europe/Istanbul	TR	building	2018-05-08	37.31309	40.74357
Asia/Jakarta	ID	accep	07/20/2018, 00:00:00	-7.57897	112.23109
Europe/Rome	IT	good	01 Jul 2015	43.62558	13.39954
Asia/Karachi	PK	accep	2018/02/12	30.29184	71.67164
Africa/Dar_es_Salaam	TZ	accep	05/16/2015, 00:00:00	-5.41667	38.01667
Africa/Freetown	SL	building	09/15/2018, 00:00:00	8.48714	-13.2356
Europe/Berlin	DE	building	27 Sep 2021	48.73218	11.18709
Asia/Manila	PH	building	2021/06/28	14.95472	120.89694
Europe/Berlin	DE	accep	2022-07-12	53.59337	9.47629
Asia/Tehran	IR	excellent	26 Dec 2020	36.64852	51.49621
America/Toronto	CA	average	2020/02/02	45.40008	-73.58248
Europe/Madrid	ES	accep	04/08/2013, 00:00:00	42.64685	-5.55835
Asia/Kolkata	IN	excellent	2018-09-20	28.71271	77.656
