PM10	CO	Pb	C2H3NO5	CFCs	H2CO	O3	TEMP	NOx	SO2	latitude	longitude	NH3	CH4	PRES	PM2.5	warning	PAHs
6.33846	6.61796	44.89247	0.22646	37.51693	39.50358	6.93304	18.26344	7.24953	8.60015	53.95278	32.86389	5.35805	6.00130	1136.95323	10.59506	1.00000	9.24391
7.90785	8.15426	50.02976	0.40716	49.00037	41.15652	10.00080	18.84880	7.08920	8.16071	9.3337	122.8637	6.22960	7.40706	1104.78569	7.82884	0.00000	
6.78253	7.32578	50.42226	0.27588	53.51533	61.03352	6.41183	13.61953	8.25103	8.93315	58.63667	59.80222	5.16975	5.07507	1148.76311	10.04912	1.00000	8.73640
5.71508	9.26158	26.86094	0.18788	35.69230	57.17648	7.94233	16.76223	4.10062	4.44370	12.95629	78.27539	5.76106	7.01203	1089.36057	10.53430	1.00000	8.67231
9.16375	7.12481	48.82457	1.32986	32.22006	46.82387	11.63958	12.48813	6.26932	7.81736	32.54044	-82.90375	5.96896	8.44913	1099.39295	9.40919	0.00000	4.80834
7.04390	7.96828	56.56011	0.31311	56.18221	41.18541	10.42120	12.74538	8.75889	7.43447	37.73604	-120.93549	8.58263	6.89506	1050.67737	7.20484	0.00000	6.00215
8.07997	6.40977	58.46766	0.67969	60.60543	34.99728	9.14442	22.17319	6.75870	8.48118	3.51667	11.5	7.64965	8.33486	1107.84036	8.70999	0.00000	6.88903
7.29130	7.98165	51.66434	0.32651	58.74764	34.19093	8.08972	2.44131	8.52918	7.19837	34.09668	-117.71978	9.57044	9.39463	1151.83879	6.68114	1.00000	6.25543
8.35517	6.93280	19.34860	0.81349	55.69528	41.58524	9.23259	2.99513	7.51361	5.92541	10.20898	123.758	5.64815	8.15221	1121.79391	8.18714	0.00000	4.12422
8.13981	7.40637	61.53701	0.61849	47.76755	61.36477	10.36692	13.31374	7.97743	7.96606	4.02219	101.02083	9.85029	7.40917	1157.28796	8.65797	1.00000	7.83400
10.08968	6.88791	37.89372	3.02777	36.54980	32.98070	10.37013	23.01118	9.14681	7.64110	22.75218	72.68533	8.80552	4.32548	1085.64050	10.18344	1.00000	11.72607
8.25528	8.74692	29.68751	0.57522	37.72102	32.26470	10.24897	12.92919	8.41716	8.12958	29.22254	79.5286	7.94602	5.66854	1090.90415	10.27729	1.00000	9.10880
10.58967	7.86325	46.77496	5.11833	43.53539	67.37519	6.39975	11.05436	6.62056	6.12209	46.23899	-63.13414	8.68305	9.80505	1156.91058	9.86215	0.00000	8.09169
6.99537	6.11253	43.41332	0.26173	35.05511	31.59657	6.41393	30.72915	7.87508	9.01686	41.15612	1.10687	7.40924	7.07042	1194.42632	8.60796	1.00000	8.73167
10.09618	6.89848	53.45091	3.05997	30.85418	50.99754	8.68047	10.38290	7.13263	9.16922	11.50526	77.23826	8.29401	4.15145	1132.40454	9.66671	1.00000	11.55411
6.27083	6.56474	49.39764	0.11770	50.02323	60.52236	6.82319	26.33325	9.04524	6.44307	-22.53722	-42.98194	5.53633	7.23991	1142.66102	8.60090	1.00000	8.74406
8.33165	6.58691	70.56471	0.65301	52.09522	25.81954	3.87865	27.55293	7.16393	7.24441	48.98693	2.44892	3.98477	5.41096	1151.12964	9.51696	0.00000	9.03884
9.29368	10.53086	38.90141	1.36656	35.60763	43.44170	5.21975	2.59060	9.40383	7.18686	53.7446	-0.33525	6.28179	4.66546	1059.76921	9.25608	0.00000	6.46144
9.70884	6.11632	61.23017	2.20370	41.90086	44.20997	7.05193	19.39797	8.47071	6.82325	39.96348	-4.83076	10.02725	7.23247	1060.26798	6.39358	1.00000	9.81627
6.70471	8.69859	53.53141	0.21289	67.02951	39.42459	6.24837	12.89692	7.77288	7.74249	12.37169	123.62494	4.85579	7.98633	1083.85290	10.38882	0.00000	7.94646
8.33518	7.94891	41.61110	0.83315	36.73126	24.52243	8.82592	16.21653	6.31565	7.45754	28.71271	77.656	7.20075	8.38473	1092.28985	8.61645	0.00000	5.55895
7.18120	8.67621	47.62278	0.33984	62.15007	39.23493	5.51562	22.87303	7.20832	7.21816	-19.72806	-50.19556	7.84169	5.14003	1152.50721	8.62525	1.00000	9.73733
7.93496	8.96152	56.40161	0.37152	47.80165	42.70329	4.65043	-3.74669	7.71579	7.72261	41.57439	24.71204	4.81186	7.01630	1136.87848	8.08131	1.00000	8.53167
7.15658	7.10037	33.54313	0.37605	60.68298	32.84282	3.36123	9.10653	9.15508	7.32447	48.07667	8.64409	3.91079	4.50570	1112.09346	8.26419	1.00000	9.80320
7.09220	6.32203	50.95284	0.26558	32.60391	8.63970	5.00208	14.47793	6.75101	6.41989	-22.97056	-46.99583	7.21574	6.15423	1154.80035	7.35128	1.00000	8.97886
5.89895	7.46446	39.15373	0.28897	49.44227	29.47862	7.38304	1.56654	8.05199	7.46404	36.06523	-119.01677	7.94977	7.55704	1153.09552	9.93321	1.00000	10.09248
7.66284	7.82552	53.11009	0.47556	44.72259	37.96609	2.78214	21.45702	7.06532	7.97237	37.16911	10.03478	5.16657	8.08876	1165.59729	5.50670	1.00000	8.92562
5.64333	7.10415	38.25508	0.08869	33.12899	46.47936	7.88542	27.58018	7.27500	6.14764	38.45598	48.87498	4.02593	5.53594	1133.08636	10.22059	1.00000	8.22911
9.13094	8.48660	50.76181	1.30521	44.92014	69.31902	8.70699	16.70075	7.48100	7.36387	22.4711	88.1453	5.69482	9.60676	1181.76158	9.64243	1.00000	6.46388
9.60846	7.67296	37.63675	1.90747	30.40267	42.48545	10.01731	27.69551	7.98731	8.29248	45.44868	-73.81669	10.59313	5.84770	1051.61875	8.28391	1.00000	9.54611
8.49705	8.95701	48.58169	0.66461	34.65861	63.14947	8.08173	25.43557	6.96932	8.98863	19.21667	73.08333	6.59323	5.96276	1194.12436	10.85989	1.00000	9.06949
7.16930	8.49574	36.95352	0.14681	47.44285	34.72824	6.15918	18.31717	7.63916	6.09466	43.35071	46.10925	6.05205	5.26271	1166.77282	9.16668	1.00000	8.99624
7.43013	7.91199	45.60676	0.35824	38.72126	35.11446	5.36096	19.94133	8.13557	9.07658	47.98372	10.18527	7.33035	5.63899	1157.19274	7.22696	1.00000	8.28532
10.20884	8.04118	45.26248	3.43537	38.10308	45.36431	8.47418	25.07509	8.24431	8.13518	53.5942	25.8191	9.29633	5.36008	1194.19605	8.38210	1.00000	11.22163
8.51329	5.30198	51.91665	0.67070	62.81809	87.20585	8.28000	9.32554	9.38158	6.88364	41.57721	-93.71133	4.70683	10.31981	1134.76882	10.13360	0.00000	6.47465
8.48903	7.64757	26.30636	0.72426	54.30371	52.79679	11.45628	9.66358	8.77803	8.68098	33.4425	129.96972	8.72734	5.67151	1069.32952	4.82756	0.00000	5.32207
8.98311	7.91122	24.83558	1.19990	60.81222	41.93370	8.69177	15.66748	8.72897	7.23243	25.87498	86.59611	9.23592	7.16559	1153.06941	8.72716	1.00000	8.44788
7.24627	7.87320	30.02536	0.32780	50.85802	44.98097	9.10448	25.63158	7.76310	8.20658	4.92675	6.26764	10.11519	9.81748	1122.41418	7.41833	1.00000	5.49387
5.95263	8.45616	36.15298	0.25794	44.44596	50.08112	8.17363	12.84446	8.80733	8.38223	-3.5403	118.9707	6.75949	5.40419	1121.57249	11.42719	1.00000	9.40679
9.20269	8.26986	74.71645	1.49035	72.25869	48.51572	7.64436	16.05346	8.06168	9.22556	51.95838	4.47124	5.91631	8.26659	1119.08603	9.07812	0.00000	6.09716
7.76808	7.46604	13.07046	0.45719	70.95089	52.46607	6.07147	10.69218	7.98583	8.66429	53.5942	25.8191	5.93929	4.68437	1055.19206	8.27148	1.00000	7.42866
7.94703	8.11772	54.53299	0.59992	71.40395	46.71868	11.69776	17.53791	6.53121	6.61283	22.88783	84.13864	11.17814	8.52173	1163.28670	7.57635	1.00000	7.39583
8.09471	7.56050	19.85433	0.58117	39.94923	32.48613	8.58456	38.06507	7.75820	8.28186	11.8659	34.3869	8.36005	7.49585	1114.13194	9.10339	1.00000	7.89007
10.12781	7.99668	41.74879	3.25568	76.88406	40.99507	7.76106	25.49238	8.70226	6.62028	40.60538	-73.75513	7.52965	9.02767	1168.93067	9.71024	0.00000	3.51378
9.34898	9.09772	41.04147	1.52015	39.74311	61.75779	7.11375	23.59470	6.80380	7.64976	45.0408	-93.263	4.25008	11.47969	1080.61426	11.35734	0.00000	7.13456
8.57328	7.56502	38.99276	0.71049	45.39630	75.21693	10.36281	18.87009	7.94795	9.51276	30.81383	75.16878	10.26199	6.84211	1162.38902	8.29383	1.00000	8.14562
9.58976	9.33628	57.04670	1.94923	40.24108	32.51783	9.96451	13.80442	6.62964	8.91068	53.37596	51.3452	9.46716	6.05181	1113.64171	9.51022	1.00000	9.79722
8.21525	7.63376	31.66728	0.49016	41.17419	69.07864	6.37964	27.12165	6.97061	6.64472	31.84568	-102.36764	6.03611	5.90686	1194.93054	10.54205	0.00000	8.28031
7.57235	8.01387	45.83592	0.38094	37.05900	45.68322	6.83359	39.64599	7.63586	7.68624	43.71032	-1.05366	7.39473	8.14665	1162.26187	9.92234	0.00000	7.70864
9.78428	8.74723	40.55598	2.26917	73.01050	28.91028	11.28900	14.66629	8.02444	7.04569	55.39485	43.83992	10.49902	5.61146	1183.37337	8.93832	1.00000	10.32671
9.06629	8.42860	19.81473	1.09248	53.51787	41.58790	10.17638	27.87283	6.29266	5.32802	41.63976	2.35739	4.62550	8.57914	1167.52943	8.39447	0.00000	4.81932
9.90487	8.07032	44.41885	2.56277	51.73110	42.16231	8.62957	29.98289	9.25329	8.02806	37.1759	128.9889		5.04458	1178.46393	9.50350	1.00000	11.35558
10.35640	7.38430	21.02990	4.04221	70.57019	44.82751	8.21090	12.76126	6.55637	6.78243	42.93369	-72.27814	5.70677	6.17211	1083.01840	9.69913	0.00000	4.93254
6.36755	8.32733	61.63363	0.09115	38.49165	43.32975	6.85038	33.97543	8.36670	6.07014	38.37255	34.02537	9.13250	6.88811	1177.78419	9.14400	1.00000	9.68203
9.80695	6.83653	41.97128	2.31590	34.38499	59.19494	9.91114	8.84502	8.39869	8.48150	19.64745	-102.04897	6.69396	8.79870	1131.77323	7.85206	0.00000	6.45863
8.54861	8.17062	36.78520	0.82335	43.42528	46.86618	8.43562	20.57284	6.42059	6.94816	54.90083	38.07083	8.82768	7.08192	1147.85475	8.80951	1.00000	8.25116
7.09833	7.66199	44.51003	0.34229	54.69843	34.94686	9.66679	27.42122	6.83636	8.21079	5.90702	116.10146	7.88587	8.33457	1186.97484	10.44699	1.00000	5.78960
8.70429	9.07373	39.48770	0.85409	48.03605	72.89302	7.29941	-2.34991	8.34197	8.34569	14.37395	100.48528	7.24082	6.75785	1142.84588	10.02137	1.00000	8.61386
10.47136	7.38729	43.05608	4.58974	49.64536	38.43893	9.88241	17.60829	8.93628	8.39077	22.75218	72.68533	10.03675	3.94433	1096.38156	8.09268	1.00000	12.64364
9.48640	8.23379	40.68630	1.81579	35.90942	48.05335	11.78374	7.87334	8.79835	7.21527	7.06273	-1.4001	9.53996	5.75532	1172.78641	10.60790	1.00000	9.91497
7.76577	7.46921	30.63399	0.45093	43.74178	71.08573	4.91262	8.95541	6.94957	7.75805	45.73333	4.91667	7.28592	6.33303	1188.71700	6.73690	1.00000	8.52952
8.77186	8.04186	35.14073	0.97201	69.10924	39.13893	8.66687	26.66559	8.73234	7.11802	40.53123	17.58522	7.22819	7.85612	1137.51208	7.82532	0.00000	4.89502
9.32347	6.33395	49.26507	1.53252	48.95689	31.76274	10.11229	2.95095	7.05342	8.06482	-3.5403	118.9707	9.14388	6.23155	1186.87925	9.89780	1.00000	9.40240
6.59789	7.87333	34.15617	0.25145	57.66384	28.03920	6.33225	4.72000	7.96764	8.25903	17.30858	97.01124	6.23003	6.29790	1099.08572	9.73626	1.00000	9.22995
8.31097	8.37923	39.20706	0.58836	66.92453	51.54545	8.53466	3.65965	8.82402	7.54454	36.92574	14.72443	6.21842	8.58089	1075.89870	11.43235	1.00000	7.64134
9.67823	6.69758	49.85417	2.12412	53.47831	39.54352	9.23026	39.10061	7.36325	7.53351	-8.73508	24.99798	9.35173	5.70944	1130.98380	9.13914	1.00000	10.09629
6.34317	7.47672	39.39954	0.18767	65.55990	36.49859	6.11735	25.34959	7.72535	7.33073	50.5107	18.30056	5.37007	5.61544	1054.87959	9.37718	1.00000	8.77255
9.11800	8.27874	51.11977	1.14564	53.91395	38.32283	9.57455	19.67624	7.47387	7.78069	17.54907	82.85749	9.22532	5.70332	1150.46872	9.19297	1.00000	9.40483
8.43613	7.68114	50.88790	0.70409	32.43680	35.76446	10.70210	22.07846	8.34199	6.70299	-1.9487	30.4347	5.41061	7.91652	1118.12708	7.39996	0.00000	5.57099
8.03157	8.19894	52.69451	0.51437	37.42906	26.46937	5.02717	9.05751	8.37645	7.95002	2.2139	102.3278	8.13135	6.77362	1118.07596	8.72269	1.00000	9.52782
8.08244	8.41741	50.43560	0.44285	73.15597	28.37659	8.69852	13.70376	6.86773	8.48817	14.53767	46.83187	9.45523	8.28764	1189.77600	8.28837	1.00000	6.81646
9.62171	7.75868	42.79941	1.99656	38.61131	51.84713	11.34864	3.24190	7.74298	7.46600	15.79408	104.1451	6.54996	8.04276	1080.37643	7.56316	0.00000	6.03174
7.20268	8.01309	50.55584	0.31958	61.54700	53.18493	6.21407	19.24607	7.31184	8.55728	13.73417	-89.71472	3.43904	6.24399	1118.01625	11.04839	0.00000	10.47359
9.01396	6.84402	34.91254	1.10591	67.44474	45.03351	9.74536	30.83542	7.86403	6.85950	47.46657	84.87144	9.44592	6.36570	1057.96558	9.37805	1.00000	8.64430
9.14069	7.20127	57.08305	1.32573	67.95454	44.82147	5.56353	28.55554	7.25041	8.09407	16.0438	120.4861	4.15017	6.04348	1159.89420	8.41911	0.00000	6.65076
6.66744	8.39203	49.21656	0.19947	54.00150	38.15232	7.57951	13.16092	8.47571	8.53250	54.90083	38.07083	6.48453	7.61370	1160.24464	10.16573	1.00000	8.70042
7.23821	9.36655	29.35358	0.21364	45.79302	59.94097	4.34632	-0.35084	8.20303	7.63705	18.00747	-76.78319	5.94761	3.81771	1164.35895	7.49591	1.00000	8.94677
7.65046	6.96636	51.29175	0.48614	42.44057	46.78928	9.91362	12.41468	6.67346	8.39710	54.48147	53.47103	8.62964	7.84293	1130.16259	9.86543	1.00000	6.88978
9.06429	7.14788	54.01031	1.22399	60.40930	51.72653	4.69612	20.44297	7.85130	7.73200	-37.32167	-59.13316	6.26590	5.09648	1134.97275	9.66186	0.00000	8.40794
8.42122	7.19618	33.01197	0.67142	40.63420	34.27637	9.73290	32.58784	7.97627	8.01374	-8.73508	24.99798	9.89995	8.05982	1124.00924	9.03547	1.00000	6.93052
8.03221	7.11151	42.73209	0.46966	46.61418	56.93568	7.61090	22.28049	6.97615	7.99996	50.80904	8.77069	7.46801	6.56802	1189.40724	9.10860	1.00000	8.53559
7.56857	6.72570	37.62964	0.52762	18.41914	41.76049	7.26688	-2.81277	8.12241	8.42400	-20.87306	-48.29694	7.88145	8.24099	1050.97092	8.36972	0.00000	5.74671
	8.60817	47.00657	0.60424	51.05503	59.51944	7.54909	30.32464	5.76757	6.94111	-31.4488	-60.93173	7.70767	6.99168	1194.93156	8.94869		7.91349
6.13308	8.79589	52.01389	0.22167	77.25200	29.97736	5.99259	19.02970	10.51110	8.90736	6.33444	124.95278	4.71394	6.07331	1083.51376	8.19958	1.00000	8.25783
6.98801		38.32416	0.23007	41.63200	40.26082	6.37713	9.22859	6.61323	8.56049	-4.26613	15.28318	6.49778	7.02098	1138.96730	9.57528	1.00000	8.87353
8.64721	8.86163	40.49824	0.89063	36.68831	51.16336	9.31808	12.28242	8.22632	9.53078	42.819	47.1192	9.92170	7.52063	1117.03227	7.59546	1.00000	8.63035
