QoS	station	code	latitude	longitude	revision
good	Casa Blanca	MX	19.04222	-98.11889	2019-11-27
building	Mikhaylovka	RU	50.06	43.2379	07/26/2017, 00:00:00
building	Shahre Jadide Andisheh	IR	35.6803	51.0193	01 Jun 2013
building	Aracaju	BR	-10.91111	-37.07167	2012/12/29
maintenance	Parola	IN	20.88098	75.11937	2019/07/05
excellent	Kheda	IN	22.75218	72.68533	10/29/2014, 00:00:00
maintenance	Caldas Novas	BR	-17.74431	-48.62789	2022-08-02
good	Freetown	SL	8.48714	-13.2356	2021/10/25
excellent	Frankston South	AU	-38.16604	145.13643	2022-02-27
average	Gorakhpur	IN	26.76628	83.36889	12 Mar 2021
maintenance	Robertsonpet	IN	12.95629	78.27539	10/24/2013, 00:00:00
accep	Houthalen	BE	51.03427	5.37429	16 Sep 2019
acceptable	Riverbank	US	37.73604	-120.93549	02/25/2021, 00:00:00
accep	Nonoichi	JP	36.53333	136.61667	04/15/2018, 00:00:00
accep	Barmbek-Nord	DE	53.6052	10.03988	2015/01/24
good	Burscheid	DE	51.08468	7.11393	02 Oct 2013
good	Dumont	US	40.94065	-73.99681	12/01/2014, 00:00:00
average	Tsuen Wan	HK	22.37066	114.10479	2014/09/13
building	San Juan	US	26.18924	-98.15529	2016-12-05
maintenance	Arbroath	GB	56.56317	-2.58736	2015-07-11
accep	Kushtia	BD	23.9028	89.11943	06/26/2021, 00:00:00
excellent	Ajdabiya	LY	30.75545	20.22625	30 May 2018
accep	Zaozhuang	CN	34.86472	117.55417	05/28/2014, 00:00:00
excellent	Honda	CO	5.20856	-74.73584	09/28/2018, 00:00:00
building	Brierley Hill	GB	52.48173	-2.12139	2018/10/26
maintenance	Odessa	US	31.84568	-102.36764	2020/11/17
good	Lino Lakes	US	45.16024	-93.08883	2016-08-23
building	Mikhaylovka	RU	50.06	43.2379	11/29/2020, 00:00:00
accep	Kyzylorda	KZ	44.85278	65.50917	11/19/2014, 00:00:00
excellent	Crystal Lake	US	42.24113	-88.3162	08/19/2020, 00:00:00
excellent	Milledgeville	US	33.08014	-83.2321	2018-09-13
average	Valletta	MT	35.89972	14.51472	2019-04-25
good	Cardedeu	ES	41.63976	2.35739	2020-07-21
average	Oulmes	MA	33.42585	-6.00137	20 Sep 2018
accep	Tupiza	BO	-21.44345	-65.71875	2013-08-26
average	Arzamas	RU	55.39485	43.83992	2015-02-12
average	Zeitz	DE	51.04962	12.1369	11/21/2018, 00:00:00
