latitude	NH3	PM2.5	CH4	NOx	warning	O3	C2H3NO5	H2CO	CO	PRES	CFCs	PM10	Pb	TEMP	PAHs	longitude	SO2
36.08497	6.55235	9.43271	4.81028	7.33215	0.00000	8.24968	0.32715	47.64026	3.42036	1075.23274	47.03495	8.89462	48.32921	17.03332	11.22215	9.37082	4.09349
0.03813	9.09816	10.89418	7.00952	8.58944	1.00000	7.86594	0.56220	42.86979	9.46219	1089.01166	66.71008	9.45583	50.44523	1.07992	5.45623	36.36339	10.20099
34.85	8.50798	8.47069	6.43109	8.43499	1.00000	6.85747	0.13921	60.20793	8.36781	1133.80080	34.81436	7.48248	77.95541	4.99662	5.79876	117.33333	8.42072
28.90054	7.85167	11.30738	7.59855	9.15028	1.00000	7.48629	0.69291	59.40219	10.54061	1199.65022	59.89954	9.76966	51.90700	23.76047	8.19049	-81.26367	8.63609
33.42585	8.93406	6.77979	8.59043	8.23314	1.00000	11.52729	0.07747	32.66522	9.92699	1064.38136	39.47903	4.70103	53.97715	7.61767	12.46441	-6.00137	9.45264
37.73222	6.98234	10.21019	6.58507	9.18378	0.00000	8.45768	2.89127	73.06730	6.30647	1184.72870	67.02526	11.25869	52.88736	22.05586	11.14473	115.70111	5.37790
51.168	9.01330	10.46584	6.48223	8.12085	0.00000	6.36589	0.61068	66.68793	5.11619	1121.63167	53.47439	9.64558	45.35323	20.86430	10.13105	7.973	5.20428
5.90702	6.76335	10.26160	9.38489	9.11370	1.00000	6.49905	4.73357	70.59141	9.47028	1182.15978	32.62409	11.77400	60.46288	22.68751	6.49073	116.10146	9.84473
48.43174	7.56432	9.70221	5.81907	7.65791	1.00000	8.26746	1.43297	53.85316	12.87977	1124.16446	45.32189	10.52858	38.78103	17.41031	9.01040	17.8031	10.44380
-27.50578	9.03992	12.12455	6.76670	6.78741	1.00000	7.14419	0.48145	56.28515	8.36155	1092.08479	49.33775	9.33429	49.05168	10.31982	6.86934	153.10236	9.18371
32.65246	7.13164	9.06391	7.02890	8.00207	1.00000	6.49612	1.03928	61.96196	10.22620	1137.27857	45.10529	10.21997	45.11844	30.73290	7.56064	51.67462	9.68376
43.82634	8.55796	9.99221	7.61309	9.17691	1.00000	6.22417	0.30040	47.31942	7.97826	1191.49253	60.00606	8.83424	60.07165	19.08889	5.72889	144.09638	8.95198
4.94273	6.48255	9.58309	8.23392	7.06433	0.00000	8.52703	0.23142	60.99537	6.51482	1163.75917	51.55438	8.50214	44.76692	21.43920	8.51021	15.87735	6.84350
-8.76194	9.39674	8.36222	6.20248	6.67748	0.00000	8.46723	0.40280	65.78823	6.67419	1170.46984	44.59900	9.17215	62.69199	21.46681	8.38780	-63.90389	10.65525
-5.41667	8.65105	8.53473	6.79153	6.93358	1.00000	6.06854	0.96518	32.49037	8.97501	1166.45666	40.53097	10.11502	38.93844	12.86510	6.91953	38.01667	8.42501
13.51825	9.29804	8.90477	10.86765	5.85332	0.00000	8.91815	1.04350	49.72565	10.15123	1119.42893	45.28931	10.17496	44.78552	19.23102	7.57318	99.95469	7.25206
54.8421	9.11977	9.24692	7.21330	8.02719	0.00000	8.93512	4.24466	49.33694	8.06172	1192.85625	36.82036	11.66438	63.44067	11.51958	6.06471	46.5813	7.39628
22.37066	7.79118	6.09156	5.41413	7.77743	1.00000	8.41988	0.17294	48.19348	10.32362	1119.92316	39.18763	7.65180	46.83388	31.31221	6.35313	114.10479	5.84253
-1.26753	8.43480	12.20028	9.86280	8.12815	0.00000	8.37717	0.34073	36.43220	6.20628	1076.71627	66.78353	8.95757	45.89358	14.37711	9.50400	116.82887	7.06783
45.78071	7.06782	10.66006	9.45021	5.81180	1.00000	7.71644	0.28897	32.58825	9.51315	1109.61245	40.79501	8.79511	68.02391	7.52539	4.05868	12.84052	9.39682
17.94979	7.16606	9.97655	8.17746	7.27382	0.00000	7.77685	4.57806	38.63666	8.18602	1060.84928	48.01370	11.74621	37.72552	18.23527	5.43033	-94.91386	7.27473
19.8173	7.29166	6.79073	6.69082	9.04405	1.00000	7.92766	0.15865	74.54612	9.44365	1126.46476	63.09061	7.25924	41.91152	7.88709	9.39630	-97.35992	5.37001
47.56494	8.36927	8.92786	10.06239	7.04577	0.00000	8.43596	0.51562	30.93016	7.08897	1072.97248	60.26627	9.48441	44.94147	17.60619	9.74375	31.33078	
-27.4338	9.40527	9.58968	5.77230	9.27643	0.00000	9.39786	0.12392	56.61634	6.21151	1069.88387	58.54034	7.75065	64.56815	13.85503	6.97741	-65.61427	10.50221
5.27247	7.52095	10.11335	6.75138	6.67639	0.00000	8.32172	0.16869	33.72671	5.58059	1119.69548	60.99816	7.61530	52.40029	37.93425	6.19705	-3.59625	10.01095
24.41288	5.44806	6.72760	8.36315	6.22868	1.00000	11.09994	0.08725	43.87200	10.04775	1082.11785	57.51793	7.20110	57.46731	14.63840	8.92019	76.56719	7.02973
43.4125	7.99625	7.20877	4.76167	7.67022	1.00000	6.64011	0.19921	36.05491	9.13630	1141.68913	59.08499	8.26286	87.26567	8.39597	6.81994	23.225	6.97605
31.92923	8.99950	8.88356	5.58794	8.16360	1.00000	9.71305	0.18329	37.46175	7.15034	1141.06757	45.62871	7.76426	42.82874	13.46605	4.45293	34.86563	9.28970
20.21322	6.91107	5.30158	5.92078	7.56948	1.00000	7.56953	0.40653	46.49155	8.80231	1144.81828	62.65876	9.26978	55.02731	-0.60165	8.88012	-100.88023	6.34113
11.86064	7.94875	10.05736	7.99536	7.17896	0.00000	7.91762	0.29825	49.81346	7.02558	1127.42444	44.09034	8.80567	32.67911	-4.18277	6.22083	9.0027	9.99342
-8.05389	8.63225	10.52217	4.86736	7.62531	1.00000	9.92431	0.11444	62.49021	10.11105	1191.24676	70.26868	7.57747	76.13824	13.73831	5.98470	-34.88111	8.73326
3.31332	5.82512	10.03237	10.12049	7.33945	0.00000	7.21635	0.12835	48.43748	7.58201	1098.83328	63.86119	7.55149	62.31332	12.57997	6.42561	117.59152	8.48154
9.3337	7.38943	9.54130	9.27458	7.36180	0.00000	9.61064	0.17678	38.32361	7.17691	1092.86793	65.52446	8.16929	42.79525	0.45807	7.21080	122.8637	5.93856
34.81667	8.59782	10.07597	11.72639	8.05439	0.00000	6.95355	0.85103	46.02461	7.90582	1099.39495	27.98201	9.99119	68.48218	14.80635	8.49215	137.4	7.01724
-5.41667	6.40184	9.78668	8.43811	8.88207	1.00000	8.07384	0.69562	42.55117	7.76302	1142.27174	26.30378	9.78302	39.46783	12.69244	5.45567	38.01667	8.28438
27.52948	8.33243	11.97617	11.04129	6.53643	1.00000	7.75900	0.77934	45.00031	6.42121	1085.40572	62.74855	9.89686	47.79141	18.21584	4.04081	68.75915	8.32480
40.92298	8.40006	8.73168	3.64132	7.38868	0.00000	6.65970	0.43462	35.13996	10.31921	1060.77597	29.44230	9.25410	22.58035	15.55188	7.78044	14.30935	9.82718
52.4581	9.43897	9.55368	7.13117	8.00067	1.00000	7.69146	1.43234	55.68713	10.74104	1082.72120	59.10227	10.55945	41.06843	29.55807	6.74403	13.28702	10.31342
10.31672	7.09956	5.44149	6.01590	8.86537	1.00000	6.21823	0.17531	45.77830	8.88448	1150.03822	37.24378	8.01855	39.44658	5.73060	10.38284	123.89071	4.60695
35.815	8.91335	6.52598	7.69221	7.48754	0.00000	9.90065	1.57403	27.07549	6.03408	1116.02746	62.39936	10.65295	47.95944	21.83833	6.17895	139.6853	9.57258
39.08367	5.85508	8.91490	5.47706	7.73860	0.00000	10.27948	0.67564	41.48165	7.67102	1139.13041	57.75065	9.77042	69.62711	29.33631	7.29650	-84.50855	8.47672
41.15612	8.12177	9.56602	8.46903	8.55517	1.00000	9.51571	0.98042	53.19101	6.34412	1087.28203	48.35665	10.12029	59.41835	5.00189	4.40646	1.10687	8.62660
42.55308	6.90960	8.83248	8.51942	8.59719	1.00000	8.45386	0.05849	45.27566	11.62849	1184.86123	50.75510	3.00183	43.36514	22.49081	9.72250	-87.93341	8.07154
-31.25033	8.72150	5.27106	8.67036	7.76553	0.00000	7.06948	0.24675	61.34309	8.20675	1096.30638	69.20912	8.44589	49.14264	29.68370	8.62358	-61.4867	6.13645
40.66482	7.78633	9.80499	7.64170	7.81148	0.00000	6.90094	1.36040	64.17288	7.94319	1158.34444	45.03651	10.49203	61.88041	28.96323	6.57973	122.22833	8.73051
42.30865	7.89766	8.47252	5.77032	8.18781	1.00000	8.33425	0.57478	63.09541	10.43719	1070.88187	44.18111	9.55086	53.75994	19.66844	5.93549	-83.48216	10.81111
18.51957	8.91645	7.41017	8.02163	6.83694	1.00000	9.21311	0.05128	58.03289	11.64375	1136.91981	52.62354	4.52779	26.95164	4.74759	8.15090	73.85535	7.99122
45.0408	6.82096	10.78050	5.41869	8.67159	0.00000	8.61740	0.16960	64.78720	6.46181	1161.49360	31.37248	7.93769	54.93365	8.04501	8.61455	-93.263	10.00436
-22.92306	7.37439	9.15268	5.92860	7.66413	0.00000	8.43096	0.78455	56.94765	6.15632	1110.61308	46.99366	9.94377	68.22203	8.05301	7.61739	-53.13722	9.07171
43.82634	7.36159	8.62707	6.19888	8.31721	1.00000	7.24210	0.23501	25.33157	8.54235	1103.02793	38.67848	8.56106	46.53265	21.56402	5.98603	144.09638	8.80082
57.30185	7.42305	6.40841	5.88990	8.27988	1.00000	9.06383	0.11565	50.58273	8.75285	1054.48957	27.58656	7.50012	61.67962	9.06558	8.96267	39.85331	4.81422
41.20485	6.83452	8.48422	9.09114	7.60886	0.00000	9.37336	7.88626	58.90854	6.77024	1164.29823	54.19723	12.28648	70.90598	16.73386	6.91624	-8.33147	8.75163
51.168	7.67464	8.28929	5.06766	7.14111	1.00000	9.80786	0.88529	40.63852	10.85946	1149.82370	62.54057	10.03204	25.64157	4.97471	6.53759	7.973	10.71855
53.93361	8.11932	8.10555	7.03742	8.01867	1.00000	6.84515	0.45217	56.47454	8.25144	1083.81833	42.79546	9.18916	61.26524	18.97583	5.48404	37.92792	9.42789
15.73628	7.27714	11.28337	5.21950	6.19420	1.00000	8.66435	0.24159	79.13116	9.60409	1160.53536	39.43326	8.57277	53.81858	24.33939	7.38011	75.96976	9.37081
34.25628	7.93370	10.90312	5.59207	5.63353		9.10974	0.12544	35.52616	5.09242	1148.05485	40.65958	7.38952	70.81930	27.93716	8.02908	-78.04471	9.50165
-31.4488	9.97302	6.73836	7.81129	7.80428	1.00000	6.42479	0.10121	64.00346	10.99307	1071.87815	36.45981	4.80191	64.38905	25.56931	9.60940	-60.93173	5.96883
28.88162	6.10700	8.08330	7.45556	7.70430	1.00000	9.73728	0.04905	31.30483	12.12905	1171.51752	87.08183	4.06163	57.80468	13.50231	7.54148	120.03308	6.69617
16.0438	7.30350	7.89666	6.02065	8.23601	1.00000	8.71403	0.05402	58.13331	10.16514	1151.42193	33.52159	5.57183	15.16313	8.31929	8.60888	120.4861	7.39588
51.08468	9.41169	6.11282	6.05767	7.92857	1.00000	10.52047	0.48384	56.99322	8.66511	1160.01369	62.83517	9.37648	55.32640	18.11266	6.80875	7.11393	6.49169
33.08014	8.39250	6.53220	8.44050	8.81373	1.00000	7.67829	0.08325	46.86330	11.34929	1157.68560	35.85777	4.55344	60.53360	11.42428	9.18639	-83.2321	5.61658
14.53767	8.36948	6.86490	7.36156	8.22040	1.00000	7.54833	0.06501	9.59020	10.20893	1105.55921	49.53503	4.95696	39.23785	11.59342	9.25954	46.83187	4.26139
28.90054	8.06815	7.22790	6.74630	10.00662	1.00000	7.31673	0.06662	72.67196	9.31574	1177.57947	28.22388	6.39154	40.95260	12.82084	9.20922	-81.26367	7.72377
41.55947	5.86897	6.97984	6.36831	7.58081	1.00000	7.52810	0.07519	55.43891	10.33955	1120.68445		6.49621	32.15424	2.09948	8.58954	14.66737	6.58751
11.86064	4.59570	12.52025	6.36996	8.67944	1.00000	8.01465	1.13395	19.71494	11.15030	1116.54898	65.19316	10.30026	40.98055	-0.47767	7.04132	9.0027	10.41960
22.49396	8.83741	7.60329	8.98426	9.80242	1.00000	8.31598	0.05450	64.96616	10.69718	1080.33302	40.57664	5.32582	50.19314	17.62252	9.30475	-105.36369	9.85906
24.41288	8.78746	13.92312	6.04002	10.28415	1.00000	9.08989	0.26436	38.57042	10.04977	1082.76535	44.19354	8.63866	33.17252	11.13469	6.01012	76.56719	9.42783
53.00974	8.52609	8.42080	5.62416	7.25853	1.00000	8.16645	0.10796	56.64512	10.68443	1091.29297	54.09903	6.52908	68.31495	11.14042	6.27515	-3.05814	4.01903
31.82539	7.09443	8.41082	7.31625	8.47708	1.00000	10.25800	0.57262	68.12180	9.13346	1162.20045	45.72211	9.51627	75.32326	22.78677	6.26541	72.54064	9.69080
57.30185	8.58048	8.62940	5.04668	8.35758	1.00000	7.97206	0.65845	42.08509	11.81744	1170.17307	61.43481	9.75205	45.64586	8.09973	9.58969	39.85331	10.12076
43.31667	8.79736	10.40082	5.43480	8.14600	0.00000	9.41559	1.09460	53.37166	7.56876	1109.16543	37.78690	10.26596	58.50287	13.83605	8.81410	-2.68333	8.33406
-22.92306	7.25468	9.01811	6.36545	8.07897	1.00000	6.46141	0.03409	63.41074	9.29664	1124.11359	38.37545	6.77052	47.43729	15.32624	7.76900	-53.13722	6.77904
-0.35817	8.16048	7.01102	7.26562	8.10456	1.00000	10.52938	0.08639	49.50884	9.79561	1117.47285	41.37093	7.01249	51.92878	17.39455	8.77905	42.54536	8.92544
-8.28333	7.85701	6.49049	6.86473	7.92768	1.00000	7.26452	0.06877	54.60200	9.88626	1125.15529	56.61885	5.75004	48.42545	0.15066	10.04228	-35.03333	7.12649
52.48173	7.64217	9.99612	8.97963	9.83690	1.00000	6.86832	4.83736	37.31017	9.42418	1113.94592	44.14046	11.79486	67.00242	16.29767	8.79001	-2.12139	9.24100
41.20485	7.53520	4.69950	6.82992	9.73050	1.00000	9.62724	0.35349	63.27897	8.85017	1056.18533	27.93363	8.98757	56.60182	6.40845	9.95655	-8.33147	8.65457
-4.16694	7.22505	9.33566	6.37174	8.53770	1.00000	7.74704	0.18407	70.43164	8.17407	1091.77831	55.01720	8.27516	70.13727	4.78897	6.46070	-40.7475	8.68591
55.63711	7.50491	7.51178	8.16537	8.17352	1.00000	7.12905	0.08123	37.56756	9.59443	1145.45409	53.93732	6.80343	64.50848	7.27645	11.05706	37.38115	
-1.6	7.95238	10.61467	8.14924	8.51714	1.00000	7.60850	1.85776	34.96852	10.19198	1082.70675	32.39879	10.79946	66.30034	-1.09098	5.90590	103.61667	10.60630
11.93381	7.17206	7.30776	5.90367	8.60501	1.00000	7.92539	0.99459	27.17520	11.14201	1075.29209	57.99787	10.12286	48.50938	30.77784	8.31655	79.82979	10.85599
