location	longitude	QoS	code	revision	latitude
Europe/Sofia	24.71204	maintenance	BG	2018-03-22	41.57439
Europe/Zagreb	16.43915	accep	HR	02 May 2022	43.50891
Asia/Karachi	71.67164	excellent	PK	09 Nov 2012	30.29184
Europe/Istanbul	28.88222	average	TR	2013-12-22	40.37528
Asia/Manila	123.758	building	PH	19 May 2015	10.20898
Asia/Damascus	38.28402	average	SY	11/06/2020, 00:00:00	34.5624
Europe/Belgrade	19.61222	excellent	RS	2017-05-31	44.97639
America/Denver	-105.11221	excellent	US	2013/05/31	39.57582
Europe/Madrid	-1.60452	maintenance	ES	2019/05/22	42.06166
America/Port-au-Prince	-72.22625	accep	HT	2015/10/13	18.57677
Asia/Tehran	51.67462	accep	IR	07/15/2021, 00:00:00	32.65246
Europe/Moscow	35.90057	average	RU	2020/08/28	56.85836
America/Los_Angeles	-120.00865	good	US	01/22/2022, 00:00:00	46.32374
Europe/Paris	2.18967	average	FR	2016/09/14	48.8765
Asia/Kolkata	85.94001	accep	IN	09/16/2022, 00:00:00	25.49043
Asia/Kolkata	91.00632	excellent	IN	02 Dec 2014	26.32293
Europe/Dublin	-7.95	excellent	IE	01 Dec 2012	53.43333
Asia/Kuala_Lumpur	103.6032	maitennce	MY	2018/01/08	1.6561
Asia/Kolkata	73.85535	average	IN	2022-03-27	18.51957
America/Recife	-34.88111	maintenance	BR	2021/05/30	-8.05389
Africa/Algiers	2.31889	good	DZ	09 Apr 2017	35.21222
America/Martinique	-60.94228	average	MQ	2015-05-12	14.67751
Europe/Moscow	30.38167	accep	RU	05/05/2016, 00:00:00	59.80917
Asia/Tokyo	137.95378	excellent	JP	2012-10-27	35.82756
Europe/London	-2.01111	accep	GB	11 Dec 2019	52.66277
Europe/Berlin	9.20427	excellent	DE	05/11/2022, 00:00:00	48.49144
America/Chicago	-87.882	accep	US	28 Oct 2018	41.85059
America/New_York	-82.90375	maintenance	US	12/30/2017, 00:00:00	32.54044
America/New_York	-78.19444	good	US	28 Sep 2013	38.91817
Europe/Moscow	34.33825	accep	RU	2018/11/19	53.59782
Europe/Moscow	43.83992	good	RU	2014-04-22	55.39485
Africa/Lagos	4.52514	good	NG	2019-10-30	12.74482
Africa/Accra	-1.98956	average	GH	04/25/2021, 00:00:00	5.30383
America/Chicago	-97.92977	average	US	05/24/2022, 00:00:00	38.06084
Asia/Yekaterinburg	57.3552	building	RU	2020-06-27	51.4781
Asia/Kolkata	85.37752	maintenance	IN	05/05/2016, 00:00:00	22.10194
America/New_York	-74.38987	excellent	US	30 Sep 2012	40.65538
Asia/Kolkata	88.18466	average	IN	2021/03/18	22.19303
Europe/Berlin	7.973	accep	DE	02/14/2019, 00:00:00	51.168
Asia/Shanghai	114.68333	excellent	CN	2019/04/22	23.73333
Africa/Johannesburg	29.00974	good	ZA	2017-12-28	-24.19436
Asia/Tokyo	137.4	building	JP	2021/07/18	34.81667
Asia/Jerusalem	34.8732	good	IL	2015/02/26	32.05971
Asia/Yekaterinburg	60.70278	good	RU	12/02/2016, 00:00:00	55.75556
Asia/Kolkata	84.63445	excellent	IN	09/22/2019, 00:00:00	24.81757
Africa/Banjul	-15.6	excellent	GM	2020-01-30	13.56667
America/Sao_Paulo	-47.1725	excellent	BR	2021/10/28	-22.57306
Europe/Rome	12.38878	excellent	IT	2015-05-18	43.1122
Asia/Bangkok	100.48528	building	TH	2015/02/19	14.37395
