H2CO	CH4	PM2.5	C2H3NO5	Pb	NH3	longitude	SO2	latitude	PAHs	CO	TEMP	O3	PRES	PM10	warning	CFCs	NOx
70.41382	10.36743	10.33578	1.31003	64.37127	6.94533	2.1699	7.70128	48.98994	8.27005	12.99491	11.79811	9.48331	1057.88576	9.49452	1.00000	48.87407	9.15808
59.13458	8.61049	10.87318	0.24998	68.14754	8.76537	-46.99583	8.99623	-22.97056	6.30335	10.82962	17.90528	8.98866	1054.90812	6.73478	1.00000	43.18449	7.01902
39.43049	8.20890	9.47266	1.99428	67.86422	11.90684	115.8614	8.17019	-31.95224	6.55338	10.33414	16.91329	9.85520	1144.88744	10.00265	1.00000	77.97598	8.31276
40.47837	7.34609	10.59655	0.91520	42.69944	9.06031	-91.73625	10.40694	35.25064	9.57773	5.81026	5.23652	9.33297	1123.90691	9.17625	0.00000	34.43538	8.40013
70.88052	5.13997	9.23234	0.22800	65.76044	8.61378	9.47629	10.16284	53.59337	8.71819	4.28040	17.50178	9.78997	1076.60342	5.00122	1.00000	27.36985	
43.38036	7.41876	12.80704	0.19935	66.26440	12.00294	75.92694	8.25943	14.46693	7.79076	7.01412	28.44289	6.79836	1161.36465	6.21611	1.00000	48.86141	9.16402
47.39343	7.03901	9.31157	0.71163	45.87094	9.82514	-73.25383	9.10270	-3.74912	6.55557	8.97274	9.80308	9.66326	1054.04746	8.78961	1.00000	48.25839	8.66508
79.01306	11.02127	7.33150	0.15646	63.11047	8.19340	4.63031	7.49916	43.67681	11.55297	9.79331	33.56184	8.11471	1149.57711	5.93358	0.00000	38.31699	9.65412
57.63877	6.64660	10.30889	0.19647	57.78384	10.01084	-48.62789	9.09186	-17.74431	7.68712	3.26238	15.36550	8.92870	1112.76412	4.83970	1.00000	50.44943	10.85650
36.39225	7.59361	11.36526	0.25034	25.24020	10.33963	-73.9614	8.66504	10.15031	7.35127	5.30999	29.37990	8.44529	1113.10925	6.27952	1.00000	41.18232	8.97775
45.83838	7.87141	11.58192	0.34675	44.04392	10.44064	-82.35176	10.03805	27.71809	6.42966	6.48185	6.13947	8.66490	1125.15412	7.74780	1.00000	46.22222	8.30038
