location	revision	code	QoS	latitude	longitude
Europe/Brussels	07/23/2014, 00:00:00	BE	good	50.8	3.16667
Europe/Berlin	12/05/2015, 00:00:00	DE	building	49.13645	8.91229
Europe/Berlin	09/27/2018, 00:00:00	DE	accep	48.78232	9.17702
America/Lima	2015/10/15	PE	maintenance	-3.74912	-73.25383
Asia/Jakarta	01 Aug 2019	ID	good	-7.57897	112.23109
Africa/Mogadishu	2013/03/07	SO	average	-0.35817	42.54536
Europe/Madrid	2018/12/12	ES	average	39.96348	-4.83076
Europe/London	14 Nov 2019	GB	average	51.40148	-1.32471
Europe/London	2016/03/23	GB	average	51.84819	1.26738
Europe/Podgorica	11/02/2020, 00:00:00	ME	building	42.28639	18.84
America/Mexico_City	22 Jun 2018	MX	accep	20.22816	-103.5687
Asia/Karachi	03/27/2022, 00:00:00	PK	accep	32.57756	71.52847
Europe/Paris	2017/06/29	FR	good	48.98994	2.1699
Europe/Madrid	2016/02/06	ES	accep	42.64685	-5.55835
Asia/Kolkata	2012-12-14	IN	excellent	14.46693	75.92694
America/Phoenix	08/11/2022, 00:00:00	US	building	33.50921	-111.89903
Europe/Berlin	2021-07-11	DE	good	52.47774	10.5511
Asia/Tashkent	2021-04-04	UZ	good	41.29444	69.67639
America/New_York	05/15/2015, 00:00:00	US	average	28.90054	-81.26367
Europe/Madrid	2013-01-27	ES	good	41.91738	3.1631
America/Lima	2017-12-30	PE	average	-3.74912	-73.25383
Europe/Moscow	12 Dec 2015	RU	maintenance	60.02427	30.28491
Europe/Paris	2020-03-15	FR	excellent	46.32313	-0.45877
Europe/Moscow	11 Dec 2014	RU	good	53.93361	37.92792
Africa/Lagos	2017-11-03	NG	average	7.6	4.18333
Europe/Madrid	27 Oct 2020	ES	excellent	40.42386	-3.53261
America/Denver	2022/06/27	US	maintenance	39.57582	-105.11221
Asia/Jakarta	2015/08/22	ID	good	-7.54972	110.71639
Asia/Bangkok	05/11/2013, 00:00:00	TH	good	14.64056	104.64992
Asia/Jakarta	03/04/2021, 00:00:00	ID	good	3.3285	99.1625
Asia/Manila	24 Nov 2013	PH	excellent	12.35275	121.06761
Europe/Madrid	2017/01/03	ES	excellent	38.96667	-0.18333
America/Puerto_Rico	2021/09/07	PR	accep	18.03496	-66.8499
America/Los_Angeles	05/29/2016, 00:00:00	US	accep	34.09611	-118.10583
Asia/Shanghai	2019-01-03	CN	maintenance	35.64889	117.27583
Europe/Minsk	2013/07/09	BY	excellent	55.1904	30.2049
Africa/Banjul	10/27/2015, 00:00:00	GM	accep	13.56667	-15.6
America/Menominee	08/07/2014, 00:00:00	US	average	46.09273	-88.64235
America/New_York	2014-01-22	US	average	38.91817	-78.19444
Europe/Copenhagen	2022/05/01	DK	average	55.67938	12.53463
Europe/Istanbul	11/10/2016, 00:00:00	TR	excellent	40.1675	34.37389
America/Los_Angeles	09/04/2018, 00:00:00	US	accep	34.21639	-119.0376
Australia/Brisbane	2020/09/11	AU	good	-27.50578	153.10236
Asia/Kabul	2014/08/02	AF	excellent	36.21544	65.93249
America/Toronto	01/30/2017, 00:00:00	CA	average	45.43341	-73.86586
America/Sao_Paulo	05/16/2014, 00:00:00	BR	excellent	-28.44917	-52.2
Europe/Rome	01 Nov 2016	IT	average	45.9836	12.70038
America/Los_Angeles	03/10/2014, 00:00:00	US	good	47.38093	-122.23484
Asia/Karachi	05/23/2019, 00:00:00	PK	average	30.29184	71.67164
Europe/Berlin	01 May 2019	DE	excellent	52.61131	13.31783
