PM2.5	longitude	TEMP	latitude	CH4	O3	CO	SO2	NH3	H2CO	CFCs	PM10	Pb	C2H3NO5	PRES	warning	PAHs	NOx
9.10236	22.53083	38.23581	44.22639	9.34553	7.97525	7.93120	6.16648	5.72243	55.56108	82.86309	5.53836	59.12108	2.40819	1172.19173	0.00000	7.33421	6.31942
9.98340	-1.29243	14.65707	53.49389	10.92362	9.01731	9.70578	10.72442	9.18785	52.09623	84.61479	7.58985	56.62885	3.92977	1110.51896	1.00000	5.68008	8.22643
9.77968	136.61667	18.74402	36.53333	7.85063	8.13536	8.48183	6.20092	6.30011	60.54943	81.92590	6.53488	55.75538	2.83888	1118.44666	0.00000	7.07369	7.25049
11.91160	113.82465	15.14018	23.29549	10.24475	6.82242	9.51687	7.44606	5.54427	50.83106	69.36666	7.70215	64.95449	7.14172	1165.91694	0.00000	7.18933	7.57572
8.03950	-118.25508	36.79758	34.14251	3.43626	6.39495	7.94607	8.25575	7.79848	57.66052	82.62679	6.79418	49.71260	4.74578	1116.67082	1.00000	8.00504	9.90873
9.09575	-15.6	7.87653	13.56667	8.93564	7.51837	9.43025	6.92839	5.72840	35.94416	61.52918	8.81598	38.07983	15.34142	1092.37065	0.00000	6.86876	
5.74136	77.23826	30.07706	11.50526	8.33423	6.57176	7.88981	5.09945	5.59093	43.63016	63.77821	6.75028	36.65474	5.24380	1167.25058	1.00000	8.09031	8.22506
3.41669	128.62667	12.20299	34.8825	9.87695	5.89560	9.50254	2.92870	7.42287	54.98340	75.15075	7.80860	55.22744	7.59988	1198.28920	1.00000	7.46861	8.68062
3.89435	120.89694	20.04314	14.95472	8.63048	7.65771	7.32583	4.74278	5.65996	44.78219	73.06559	8.16973	55.16524	7.84544	1172.20557	1.00000	4.77474	9.50149
9.31231	-87.88754	5.59648	41.15376	8.74302	5.00874	7.66252	7.57782	7.78707	57.43232	85.28128	6.29709	52.57042	3.18600	1186.55528	1.00000	6.24805	11.83249
9.98953	15.28318	20.60534	-4.26613	5.03652	6.57094	8.10242	3.13857	9.11766	59.62138	70.05837	7.95129	47.56216	10.34042	1071.47475	0.00000	7.55162	8.55115
11.23721	123.89071	19.75009	10.31672	8.56286	7.22785	6.95024	6.03950	5.41305	57.41967	75.68223	7.30211	55.14252	4.01719	1099.62908	0.00000	7.82113	6.78218
7.54527	83.62389	16.48427	53.30972	8.81165	6.08851	8.92756	6.94565	4.91333	45.59427	69.20141	6.75795	41.96262	3.39998	1168.87732	0.00000	7.97027	4.11931
8.59096	144.09638	14.39159	43.82634	9.32803	8.76865	9.77917	7.08530	6.57519	35.19411	74.36988	7.56082	40.47327	6.52181	1056.84445	0.00000	9.03293	5.54362
11.57954	104.09701	13.22424	-1.26424	8.97628	7.70390	5.92915	5.67690	4.97366	35.32337	83.44153	7.43166	54.33858	6.55164	1085.95596	0.00000	7.70575	7.22052
9.93148	-39.25	6.08947	-12.91667	7.69551	7.61164	10.91783	7.66116	5.76708		76.94381	5.93038	51.46712	4.33676	1113.07825	0.00000	8.94314	4.33305
6.62169	4.08282	10.56992	36.61954	10.81981	7.85737	6.85066	5.52770	4.96841	65.24985	72.35511	6.37407	32.71618	5.51378	1152.39845	1.00000	8.86445	8.92917
6.45892	12.16179	23.30607	48.52961	5.19499	7.80466	5.27520	7.21386	3.65717	36.38466	85.88373	9.58474	45.06556	31.96556	1161.49470	1.00000	7.43343	8.20382
7.31390	-74.38987	16.72483	40.65538	3.53452	8.18549	6.82534	2.76053	12.57857	60.18554	74.29350	6.78095	41.64167	3.47757	1077.34029	0.00000	6.70343	11.50541
10.27036	100.48528	14.04860	14.37395	7.97979	6.26705	7.34672	4.93297	4.83561	40.87386	73.57042	6.45592	46.42951	4.33422	1130.48798	0.00000	7.02806	5.83347
7.36609	48.87498	16.71216	38.45598	9.33291	8.14244	11.21363	8.85045	7.86086	56.89660	81.90743	7.77550	35.96214	6.61308	1144.24032	1.00000	6.81252	5.18666
6.68528	-93.263	11.97944	45.0408	9.19723	6.18817	7.45169	6.05169	5.29539	76.22262	72.80901	8.59763	40.48304	12.17998	1122.56151	1.00000	6.36603	8.25175
4.81513	136.51667	16.63170	35	6.52975	6.77930	9.84566	4.57453	7.21771	52.33726	59.97031	7.23523	38.21047	5.51089	1122.36625	1.00000	5.87894	8.43415
8.42031	38.66667	9.79185	-6.25	8.33436	7.75764	7.52806	6.82477	8.96934	55.54609	67.63520	6.97469	65.55386	5.43813	1077.98228	1.00000	6.68871	7.49652
6.68130	33.34864	11.54889	46.75451	10.26212	5.57922	7.64216	5.37769	9.88069	59.20722	84.75224	7.99056	34.68132	8.96723	1058.98411	1.00000	8.72958	8.11768
6.44151	12.38878	36.23457	43.1122	5.28975	6.58373	9.10088	8.31906	8.79392	47.29137	78.66640	7.25283	53.62560	8.89458	1193.22729	0.00000	7.52841	8.18059
7.12504	-5.22126	-3.46555	33.43443	7.11478	7.78841	6.98388	8.77362	5.93834	78.69095	77.58346	5.81106	36.69222	2.88110	1053.31210	0.00000	7.93553	9.62387
8.53158	-71.06616	16.06184	42.4251	5.74131	5.89609	11.13792	6.25787	9.38802	47.04642	67.28126	5.43291	50.60358	2.97067	1074.26983	0.00000	6.69960	5.67418
5.90544	19.91667	21.98431	-11.78333	10.78065	6.01389	9.30087	5.04275	6.30715	45.83829	73.70703	7.20429	52.33933	4.02880	1160.75875	1.00000	5.93686	6.42466
4.60950	120.74221	8.22901	31.64615	9.38569	5.61494	9.52362	3.13574	7.25024	67.76928	71.44569	7.07660	34.99808	3.89314	1199.52993	1.00000	8.28290	7.84994
6.79344	0.57856	23.32032	40.70995	8.13183	5.12841	10.72334	6.88448	6.93726	36.01587	64.23482	6.35611	53.94657	3.19556	1119.29154	0.00000	7.46859	4.88134
5.61925	144.09638	28.04900	43.82634	7.21208	8.63266	9.62850	6.22377	6.34204	79.16378	72.39463	8.24337	55.78467	10.61881	1175.58876	1.00000	7.41824	8.84840
9.12710	-84.62081	14.12300	42.7392	8.25811	7.31264	11.27154	8.81624	5.09483	64.89918	79.43904	5.50870	30.39848	3.00885	1108.55307	0.00000	6.20216	4.47663
8.98644	-97.03285	20.65450	47.92526	6.63011	8.55109	9.24519	6.15065	7.58343	32.54492	80.78143	5.49148	38.32839	4.59104	1089.55665	0.00000	6.84869	7.09578
8.99215	109.05389	9.56322	-7.51611	6.87908	6.55861	9.28017	6.65343	7.27080	60.86377	60.84355	7.27866	75.81596	6.32620	1192.99431	0.00000	6.37378	6.80844
4.66565	-61.51889	7.09414	10.66668	9.07459	7.23398	11.08500	4.40436	7.95179	36.64898	78.51318	7.36342	51.35955	6.20774	1135.50634	1.00000	6.61185	9.74823
4.50011	-118.03917	35.25041	33.95015	5.39587	7.03158	8.94731	5.74296	6.38920	80.72833	82.01776	6.66683	66.87001	5.90354	1147.67642	1.00000	5.98317	9.00032
9.62693	-73.9625	10.96160	40.81	10.07160	6.03227	7.49893	8.36323	9.43231	75.96085	69.83882	6.24291	62.75223	4.00733	1109.15718	1.00000	8.45834	10.78515
8.50384	16.43915	39.26570	43.50891	6.07193	7.03290	5.71311	9.55035	8.66337	59.72657	58.72685	7.85142	45.80189	8.01131	1070.43688	1.00000	8.18190	9.15612
7.84767	-58.44417	28.56038	-3.14306	7.92829	5.79539	9.27381	6.47121	7.44030	43.50677	64.61886	5.60185	35.23663	2.46965	1084.44989	1.00000	7.04316	6.78467
7.81329	-84.50855	29.65958	39.08367	9.33729	7.85676	9.16136	8.13692	9.55586	50.98303	75.61701	9.05512	39.21175	21.24419	1187.73450	1.00000	6.32724	6.37689
8.83217	7.60872	-0.70679	43.78956	6.48603	6.73533	8.12850	6.23799	7.49832	55.00652	66.53058	7.20118	46.41557	5.51917	1102.78840	0.00000	8.49575	8.08692
6.73694	105.89333	14.07390	34.56861	9.02404	7.59569	8.11960	6.21846	8.81409	51.03632	79.12544	6.65644	63.26224	3.00114	1153.69630	1.00000	8.18853	5.48904
9.14264	10.18003	11.24598	24.96334	6.85329	8.55405	8.38860	8.54367	5.37854	27.02489	72.97116	6.73822	32.89089	5.41777	1120.67790	1.00000	7.62425	8.09985
7.58833	-111.90466	23.83102	40.34912	8.88546	6.77532	7.08102	10.16384	10.87035	76.81416	77.86814	6.32685	51.49128	4.57176	1169.36700	1.00000	5.76882	9.92646
6.85875	120.82747	17.28668	37.30553	5.86415	9.32578	7.54699	5.44054	6.94450	60.29511	78.31869	6.82799	63.37113	5.44660	1137.37675	0.00000	7.69435	3.50303
11.13627	34.02537	11.95982	38.37255	6.05102	7.23483	9.95164	3.45603	8.69319	34.67063	61.72799	5.29130	38.21578	2.89283	1154.82561	0.00000	7.21845	5.67224
8.88587	122.20488	15.84864	29.98869	9.59058	6.78183	11.57578	8.20699	6.80688	45.31031	77.38057	5.30626	45.70387	4.80316	1112.30040	1.00000	6.99923	6.65551
6.38015	78.55757	21.71877	17.34769	5.06046	6.17872	7.71077	7.13609	5.33779	40.92400	79.57597	8.04824	51.22243	7.12253	1062.38554	1.00000	8.67526	9.79688
5.49377	-156.47432	19.84818	20.88953	9.90654	6.66559	8.11752	6.17432	5.57903	40.69536	78.95043	7.48368	69.65430	5.06977	1054.28100	1.00000	6.05575	9.10366
