QoS	latitude	revision	longitude	code	location
average	33.7207	01/04/2022, 00:00:00	-116.21677	US	America/Los_Angeles
good	11.93381	21 Jul 2020	79.82979	IN	Asia/Kolkata
average	37.73222	01/03/2016, 00:00:00	115.70111	CN	Asia/Shanghai
accep	14.93333	10/06/2014, 00:00:00	-91.11667	GT	America/Guatemala
excellent	45.79377	11 Oct 2019	8.88104	IT	Europe/Rome
accep	28.90054	16 Mar 2022	-81.26367	US	America/New_York
accep	56.9083	15 May 2013	60.8019	RU	Asia/Yekaterinburg
average	41.77583	2016/04/18	140.73667	JP	Asia/Tokyo
average	4.96667	28 Jan 2016	10.7	CM	Africa/Douala
maintenance	64.5635	2013/10/01	39.8302	RU	Europe/Moscow
good	46.51872	01/10/2014, 00:00:00	86.00214	CN	Asia/Urumqi
building	30.35028	09/05/2018, 00:00:00	112.19028	CN	Asia/Shanghai
average	51.38673	2016-07-17	0.30367	GB	Europe/London
maintenance	29.98869	14 Feb 2022	122.20488	CN	Asia/Shanghai
good	24.96334	03 Apr 2014	10.18003	LY	Africa/Tripoli
maintenance	45.40008	2014-07-02	-73.58248	CA	America/Toronto
average	40.34912	2012-10-30	-111.90466	US	America/Denver
good	44.85278	03 Nov 2016	65.50917	KZ	Asia/Qyzylorda
building	35	31 Dec 2020	136.51667	JP	Asia/Tokyo
accep	14.67751	15 Apr 2018	-60.94228	MQ	America/Martinique
excellent	50.82882	02/08/2017, 00:00:00	-0.32247	GB	Europe/London
excellent	55.85	2015-05-17	37.56667	RU	Europe/Moscow
building	-4.06667	2014-03-15	37.73333	TZ	Africa/Dar_es_Salaam
good	45.9836	2021-01-24	12.70038	IT	Europe/Rome
maintenance	-10.33333	2017-01-26	39.28333	TZ	Africa/Dar_es_Salaam
accep	7.65649	2014/03/21	4.92235	NG	Africa/Lagos
good	-3.5403	2016/02/01	118.9707	ID	Asia/Makassar
maintenance	50.64336	2017/06/18	7.2278	DE	Europe/Berlin
average	50.72043	01/20/2020, 00:00:00	11.34046	DE	Europe/Berlin
maintenance	5.4709	05 Jun 2021	100.24529	MY	Asia/Kuala_Lumpur
building	54.03876	2021-11-28	43.91385	RU	Europe/Moscow
excellent	32.35126	2013-10-23	-95.30106	US	America/Chicago
excellent	27.71809	02/25/2015, 00:00:00	-82.35176	US	America/New_York
average	40.34912	11 Jun 2020	-111.90466	US	America/Denver
average	40.93121	2022/03/10	-73.89875	US	America/New_York
excellent	-25.42944	2020-03-15	-50.00639	BR	America/Sao_Paulo
building	33.42585	04/30/2015, 00:00:00	-6.00137	MA	Africa/Casablanca
maintenance	40.57788	2018-05-10	-73.95958	US	America/New_York
accep	49.03685	26 Jan 2018	8.70745	DE	Europe/Berlin
excellent	45.51667	15 Oct 2020	4.86667	FR	Europe/Paris
excellent	31.84568	15 Mar 2013	-102.36764	US	America/Chicago
maintenance	38.58894	24 Dec 2012	-89.99038	US	America/Chicago
accep	19.21667	2018-03-16	73.08333	IN	Asia/Kolkata
good	38.13708	2021/11/03	41.00817	TR	Europe/Istanbul
good	42.93369	2020/07/30	-72.27814	US	America/New_York
average	46.18396	10/08/2016, 00:00:00	6.10237	CH	Europe/Zurich
average	43.31667	2019-01-05	-2.68333	ES	Europe/Madrid
good	43.78956	2017/12/23	7.60872	IT	Europe/Rome
maitennce	36	05 Apr 2016	139.55722	JP	Asia/Tokyo
accep	28.15112	2016-11-09	-82.46148	US	America/New_York
excellent	-34.74785	2020-08-12	-58.70072	AR	America/Argentina/Buenos_Aires
accep	36.21544	04 Nov 2013	65.93249	AF	Asia/Kabul
excellent	23.29549	09 Nov 2012	113.82465	CN	Asia/Shanghai
good	-0.35817	2019/04/22	42.54536	SO	Africa/Mogadishu
accep	37.49073	2013/02/27	-2.77259	ES	Europe/Madrid
average	45.43341	2015/06/30	-73.86586	CA	America/Toronto
average	37.56667	19 Jul 2020	140.11667	JP	Asia/Tokyo
accep	32.44874	29 Mar 2020	-99.73314	US	America/Chicago
average	48.43174	04/10/2022, 00:00:00	17.8031	SK	Europe/Bratislava
average	25.87972	2015/09/11	-97.50417	MX	America/Matamoros
excellent	39.12074	2013-12-23	27.18052	TR	Europe/Istanbul
average	40.87363	2017-09-08	14.34085	IT	Europe/Rome
excellent	0.49113	2016/12/05	29.47306	CD	Africa/Lubumbashi
accep	48.86667	2016-12-08	2.08333	FR	Europe/Paris
building	41.94175	06/12/2013, 00:00:00	123.50266	CN	Asia/Shanghai
average	39.96348	10/15/2020, 00:00:00	-4.83076	ES	Europe/Madrid
maintenance	48.98693	25 Oct 2015	2.44892	FR	Europe/Paris
accep	26.32293	10/20/2019, 00:00:00	91.00632	IN	Asia/Kolkata
accep	43.54072	2018/05/14	-116.56346	US	America/Boise
accep	42.97086	2013/10/12	-82.42491	US	America/Detroit
excellent	-26.93366	2019-06-07	29.24152	ZA	Africa/Johannesburg
average	-7.0981	04/19/2013, 00:00:00	109.3243	ID	Asia/Jakarta
building	39.08367	09 May 2016	-84.50855	US	America/New_York
average	55.82737	26 Jul 2013	-4.0573	GB	Europe/London
good	33.08014	2021/02/26	-83.2321	US	America/New_York
average	51.30001	2021-11-08	13.10984	DE	Europe/Berlin
good	46.08333	2015-06-30	122.08333	CN	Asia/Shanghai
accep	-21.42917	2013/09/13	-45.94722	BR	America/Sao_Paulo
good	55.85	08/01/2020, 00:00:00	37.56667	RU	Europe/Moscow
good	41.27621	2013-08-28	-72.86843	US	America/New_York
average	51.20219	10/22/2014, 00:00:00	7.36027	DE	Europe/Berlin
excellent	43.86682	2016/06/07	-79.2663	CA	America/Toronto
good	9.57046	2019-02-27	76.32756	IN	Asia/Kolkata
building	37.08819	21 Sep 2017	-8.2503	PT	Europe/Lisbon
average	43.32393	2014-07-16	5.4584	FR	Europe/Paris
accep	40.37528	02/20/2019, 00:00:00	28.88222	TR	Europe/Istanbul
excellent	33.37526	04 Jun 2022	74.3092	IN	Asia/Kolkata
average	17.94979	01 Jun 2018	-94.91386	MX	America/Mexico_City
accep	41.15376	05/03/2016, 00:00:00	-87.88754	US	America/Chicago
good	53.59782	2015/07/30	34.33825	RU	Europe/Moscow
average	25.67927	12/18/2016, 00:00:00	-80.31727	US	America/New_York
maitennce	30.21121	2020/09/24	74.4818	IN	Asia/Kolkata
good	41.1053	11/13/2021, 00:00:00	-7.32097	PT	Europe/Lisbon
accep	9.3337	20 Nov 2017	122.8637	PH	Asia/Manila
excellent	-8.73508	03 Nov 2019	24.99798	CD	Africa/Lubumbashi
maintenance	50.72043	2017/05/03	11.34046	DE	Europe/Berlin
maintenance	34.8825	2014/10/19	128.62667	KR	Asia/Seoul
average	43.48961	30 Aug 2015	-8.2194	ES	Europe/Madrid
maintenance	-4.83	03/14/2020, 00:00:00	29.65806	TZ	Africa/Dar_es_Salaam
good	4.73245	09/11/2016, 00:00:00	-74.26419	CO	America/Bogota
good	50.09019	19 Apr 2021	8.4493	DE	Europe/Berlin
accep	36	2018/04/16	139.55722	JP	Asia/Tokyo
excellent	53.7446	12/09/2015, 00:00:00	-0.33525	GB	Europe/London
good	40.81	2022/02/13	-73.9625	US	America/New_York
accep	41.0051	25 Jul 2022	-73.78458	US	America/New_York
average	7.06273	25 Oct 2018	-1.4001	GH	Africa/Accra
accep	38.37255	2013-09-28	34.02537	TR	Europe/Istanbul
accep	48.49144	2014-09-29	9.20427	DE	Europe/Berlin
excellent	29.98869	2013/04/12	122.20488	CN	Asia/Shanghai
average	42.93369	09/08/2018, 00:00:00	-72.27814	US	America/New_York
accep	13.56667	2022-09-22	-15.6	GM	Africa/Banjul
maintenance	32.50611	2017/08/17	120.14278	CN	Asia/Shanghai
excellent	16.455	19 Aug 2022	120.5875	PH	Asia/Manila
maintenance	40.87329	13 Apr 2022	14.43865	IT	Europe/Rome
good	32.9156	2014/04/01	-117.14392	US	America/Los_Angeles
excellent	21.53889	02/27/2020, 00:00:00	71.57737	IN	Asia/Kolkata
