NOx	O3	PAHs	longitude	H2CO	CFCs	PM2.5	PM10	Pb	CO	warning	NH3	PRES	latitude	SO2	C2H3NO5	CH4	TEMP
9.43820	7.48278	7.95589	68.11759	42.65475	37.87050	9.12931	7.04173		9.04608	1.00000	6.05206	1155.31487	26.9423	7.81729	0.36313	6.82505	22.69861
7.56351	5.55295	8.09621	9.29109	55.62258	53.60775	9.36348	7.92732	65.84532	8.74458	1.00000	5.14743	1135.08042	45.39402	6.15588	0.74985	8.68805	24.12606
5.91631	9.73146	12.67345	-111.89903	55.82014	65.28036	9.59618	4.23240	57.61084	6.68948	1.00000		1134.08682	33.50921	8.78225	0.22557	6.80212	17.89581
7.48170	6.79068	4.81903	-47.1725	53.53878	60.63193	5.05904	9.92983	74.42270	7.01160	0.00000	6.00957	1180.50304	-22.57306	4.73001	3.71006	12.01754	8.54441
7.08370	8.31108	8.91120	-93.11308	43.12761	44.75764	8.64183	5.60775	59.22812	7.14446	1.00000	7.39958	1158.86929	16.75973	8.12977	0.32625	6.11531	12.34744
6.68636	9.52678	9.53750	-50.19556	54.68273	29.85614	10.23155	7.01778	52.68705	8.34124	1.00000	8.61601	1176.60195	-19.72806	7.78380	0.67463	7.59272	6.31665
7.49442	11.07504	8.26774	-2.16	24.94856	65.40452	6.38175	7.23910	65.00103	5.81168	0.00000	6.55498	1092.07995	34.31	10.57519	0.61216	11.04613	16.77104
7.13316	8.41206	7.41697	7.36027	51.62814	60.48940	7.52096	6.02497	60.81931	6.65671	1.00000	7.48685	1184.43051	51.20219	10.36446	0.30682	6.61866	5.54351
7.37947	5.92957	6.79345	112.19028	62.13657	73.89487	6.63271	5.33165	68.03823	8.60420	1.00000	6.01509	1172.52884	30.35028	6.53621	0.29442	6.49484	14.14203
7.25464	7.50884	5.74032	-77.03116	51.67575	50.65059	5.16130	9.33336	64.88740	6.63911	0.00000	8.59057	1121.53393	3.8801	3.93013	2.27095	10.82466	23.98077
6.21267	11.59547	6.02200	102.3278	63.51856	48.26750	6.44690	5.48221	52.36236	6.13493	0.00000	6.05349	1087.42513	2.2139	9.58559	0.21684	8.60818	12.37009
8.69015	8.14785	7.58580	-73.86586	51.20599	59.02038	9.42740	5.57229	46.53073	5.58736	1.00000	6.32709	1088.63231	45.43341	8.72920	0.36547	5.26333	34.15441
5.95015	8.00855	6.65187	83.36889	66.35688	24.91597	10.11173	5.09134	52.60317	7.99780	0.00000	7.28273	1122.90135	26.76628	8.78322	0.21558	8.18588	7.45998
5.82902	7.54586	7.78842	2.59753	54.21708	61.48135	7.93606	5.89398	44.71761	5.88219	1.00000	8.13967	1147.23661	8.88649	7.98286	0.46788	6.42838	9.31172
5.15385	5.53545	7.95885	10.5511	49.48138	47.52979	9.46547	7.80041	55.05649	7.03401	1.00000	6.93376	1062.95321	52.47774	7.71540	0.82644	9.21333	23.81808
8.05467	9.64604	6.43511	28.67582	48.36266	36.44767	7.51631	7.22142	54.72896	8.01519	0.00000	8.53543	1126.17084	40.98894	7.31408	0.51163	8.69663	4.88633
7.20117	9.73654	7.22373	41.77921	79.22637	57.55402	6.99134	7.95666	47.30586	7.92746	0.00000	7.56626	1101.74030	41.82143	7.28339	0.70857	7.69099	26.51672
6.78921	5.94013	5.88741	28.28489	40.42295	35.33900	8.50289	6.21614	40.22602	7.59218	1.00000	7.56587	1098.75162	48.15659	6.13094	0.26762	6.94459	10.67319
7.37969	9.67534	4.66998	9.32241	49.95395	46.24447	8.36323	7.27036	34.21504	9.03971	0.00000	8.80055	1164.46674	44.31771	8.21293	0.49851	6.43510	21.44847
6.86603	8.84118	5.47647	37.92792	68.44696	40.07300	5.79011	10.50909	47.22716	6.56774	0.00000	8.45340	1176.13993	53.93361	7.46930	6.55472	9.62230	25.04478
6.63997	6.07247	5.04478	-122.39168	69.17284	48.69894	10.96058	5.72933	62.91341	7.01766	0.00000	7.52751	1169.91823	40.58654	7.49576	0.36645	7.96367	25.16326
6.36725	7.90960	4.11879	117.55417	71.64594	52.21289	5.32115	9.66847	43.08126	7.03056	0.00000	6.48157	1176.24238	34.86472	3.17802	2.95953	11.10803	10.02800
7.25343	10.88503	13.87971	47.1192	61.47405	46.37803	9.11919	4.56949	50.79894	6.90365	1.00000	6.18803	1133.49586	42.819	9.88510	0.27049	8.16161	-1.04389
5.85073	6.48098	5.37945	142.45778	53.80659	51.35916	7.89691	6.13845	35.89642	7.75565	1.00000	8.29487	1100.90065	44.35056	7.90291	0.21768	4.35835	
7.25519	7.07095	8.98553	4.74161	61.70414	54.41534	9.03287	8.56253	64.30917	7.16198	1.00000	6.76080	1145.39955	7.62789	5.73239		7.85716	7.88363
6.57507	6.82843	9.52694	-82.90375	29.87354	76.05088	9.49905	10.28813	53.84590	6.64352	1.00000	8.84506	1092.87837	32.54044	5.33151	5.31784	9.53305	4.26480
6.80535	8.77503	7.04328	15.00835	51.95704	47.92218	8.88822	5.06985	64.14998	7.95261	0.00000	7.96026	1095.01901	51.14942	9.38206	0.39364	9.55905	1.51678
7.47399	6.29150	9.36424	118.53333	54.72022	47.42463	7.90865	9.53378	63.30430	8.32100	1.00000	7.14341	1115.80158	27.92333	5.58592	2.63693	9.06087	17.45727
7.65529	10.05465	6.57809	113.13148	33.50708	56.88473	7.66797	7.25873	67.19551	7.69065	0.00000	7.38829	1182.99492	23.02677	11.54909	0.58176	9.72633	32.76176
6.70410	8.53845	7.73429	51.0193	49.52511	76.19513	5.43943	8.12783	71.56186	7.07881	0.00000	7.48466	1171.30501	35.6803	5.01328	0.83119	8.24205	26.53793
8.12562	8.49713	5.68855	-101.2591	67.41126	29.03051	5.99242	7.91017	83.93553	6.91146	0.00000	6.51307	1149.40177	21.01858	4.96828	0.78288	7.66877	18.71282
6.20819	8.66671	8.14254	86.59611	34.11133	52.98517	7.38376	6.38832	87.57031	6.80599	1.00000	6.91679	1136.53780	25.87498	9.55490	0.53113	5.53402	-10.34187
7.03627	9.24738	6.13747	116.10146	43.65501	29.72450	7.37688	8.59598	45.63964	9.50606	0.00000	6.30645	1167.42735	5.90702	7.89125	1.18124	7.98625	16.81326
7.97264	8.80510	5.24141	-50.00639	38.58100	63.27417	8.49287	7.45465	61.96564	8.56894	0.00000	7.76068	1170.90638	-25.42944	5.90702	0.60331	6.93141	10.96078
8.16783	6.65199	5.53981	123.758	57.89851	46.13652	4.65400	7.94331	73.20200	6.87281	0.00000	7.01032	1145.72155	10.20898	5.32454	0.71917	9.83417	29.54854
