longitude	location	QoS	revision	latitude	station
16.43915	Europe/Zagreb	maintenance	26 Oct 2013	43.50891	Split
98.6738	Asia/Jakarta	building	2019/05/31	3.7278	Labuhan Deli
136.61667	Asia/Tokyo	average	10/29/2018, 00:00:00	36.53333	Nonoichi
11.18709	Europe/Berlin	accep	08/15/2018, 00:00:00	48.73218	Neuburg an der Donau
-85.43772	America/Costa_Rica	building	14 Nov 2021	10.63504	Liberia
28.28489	Europe/Chisinau	good	11/09/2014, 00:00:00	48.15659	Soroca
86.59509	Asia/Kolkata	excellent	09/03/2015, 00:00:00	26.11527	Supaul
-81.26367	America/New_York	good	11/26/2016, 00:00:00	28.90054	Deltona
32.6178	Europe/Kiev	accep	07 Feb 2016	46.65581	Kherson
76.0586	Asia/Kolkata	excellent	01/17/2017, 00:00:00	16.06213	Hungund
100.24529	Asia/Kuala_Lumpur	good	07/19/2016, 00:00:00	5.4709	Batu Feringgi
135.6	Asia/Tokyo	building	2015-08-12	34.61667	Yao
150.99292	Australia/Sydney	good	2014/03/27	-33.75881	Baulkham Hills
2.12213	Europe/Paris	excellent	20 Jan 2021	48.8222	Le Chesnay
68.11759	Asia/Karachi	maintenance	2020-04-11	26.9423	Tharu Shah
-68.30472	America/Caracas	maintenance	2022/09/05	9.91861	Tinaquillo
12.1369	Europe/Berlin	average	08/02/2019, 00:00:00	51.04962	Zeitz
79.5286	Asia/Kolkata	excellent	12/30/2013, 00:00:00	29.22254	Haldwani
-119.48568	America/Vancouver	average	06/01/2016, 00:00:00	49.88307	Kelowna
4.47124	Europe/Amsterdam	average	2019/11/19	51.95838	Schiebroek
-99.32556	America/Mexico_City	average	2017/10/10	19.32889	San Lorenzo Acopilco
-69.08333	America/Lima	accep	2019/03/23	-16.25	Yunguyo
-93.12577	America/Chicago	building	2013/10/03	44.73941	Rosemount
-99.73314	America/Chicago	accep	01/13/2020, 00:00:00	32.44874	Abilene
46.58333	Indian/Antananarivo	good	08/04/2018, 00:00:00	-21.15	Ikalamavony
115.04814	Asia/Shanghai	average	22 Jun 2019	30.24706	Huangshi
75.37991	Asia/Kolkata	excellent	25 Aug 2021	25.75728	Deoli
-117.14392	America/Los_Angeles	maintenance	27 Jan 2018	32.9156	Mira Mesa
