PAHs	latitude	PM2.5	SO2	CO	CH4	CFCs	PRES	PM10	C2H3NO5	O3	NOx	TEMP	warning	longitude	Pb	NH3	H2CO
7.80909	7.50251	9.70673	7.80439	8.13358	8.40797	79.53710	1157.20629	10.48067	2.80402	9.68259	5.29564	5.30565	0.00000	5.06258	35.11832	8.72133	46.49848
6.65624	44.43579	4.93735	6.91221	7.62470	4.97265	86.34135	1173.91269	6.62098	0.17933	7.08537	7.87459	31.52971	0.00000	26.01649	59.95820	7.09719	68.73748
4.76059	12.35275	7.36556	8.78058	7.75721	5.79698	70.96589	1158.24704	7.48828	0.21976	8.49737	6.63721	1.06836	0.00000	121.06761	43.49702	8.18004	61.36972
6.04876	14.53767	4.51461	7.33141	8.51673	8.96673	67.28749	1089.61696	5.48637	0.13003	5.58420	7.27075	5.49313	1.00000	46.83187	52.88239	7.58319	78.77769
7.80207	27.0174	4.94446	8.03335	5.23278	7.52407	69.28595	1062.10349	7.00394	0.16455	3.12561	9.30968	7.22383	1.00000	49.62251	39.16126	5.92171	59.68328
7.41452	54.58048	8.01336	7.82316	8.30087	7.93936	83.18121	1177.58658	6.92405	0.21776	5.23840	10.26454	-10.00739	1.00000	16.86194	42.48737	9.11745	38.92591
8.78515	47.90771	8.62119	7.29170	7.56607	6.28330	70.04820	1195.27940	10.52442	2.95616	5.03982	7.20649	21.54991	1.00000	106.88324	45.00329	9.82860	52.25315
6.71167	37.19723	8.45171	8.31454	7.18821	6.65898	87.78052	1169.52345	7.31154	0.27388	8.16481	8.13715	21.71341	1.00000	122.05228	58.08894	8.72827	61.45636
7.49073	40.55851	7.01271	8.17123	7.54396	8.59537	79.00378	1185.83600	5.00284	0.09282	4.32057	7.87923	8.96469	1.00000	17.80774	53.94019	5.83215	61.68682
6.93398	8.88649	8.88620	5.52575	6.09301	4.98063	71.59975	1117.38647	9.10994	0.85705	7.94330	5.70492	9.48395	0.00000	2.59753	60.87699	7.78790	43.91649
7.88773	33.78333	8.19369	6.07999	5.66157	7.20589	89.57217	1126.77407	10.59608	3.17179	7.17820	4.56338	17.99860	0.00000	114.51667	44.45704	7.05158	27.32950
8.29271	45.53929	9.18975	7.54046	6.68605	7.92161	69.32594	1158.35478	8.31216	0.49014	8.82849	10.56746	36.76333	1.00000	-122.38731	70.08456	4.13719	42.33089
7.33202	44.98901	7.86388	6.69543	8.44441	5.92685	66.70577	1079.52924	9.65053	1.29909	6.03500	6.89658	5.65266	1.00000	38.94324	47.99711	10.39281	36.98511
8.44394	40.81	5.77506	5.28569	5.79502	7.65683	74.03097	1114.37749	7.44708	0.23100	5.40710	6.90432	32.22873	0.00000	-73.9625	47.01825	9.39892	34.82342
7.29200	17.54907	5.44327	8.10778	7.77521	5.14261	67.87513	1073.05055	5.39298	0.19485	6.47663	7.89060	37.54760	0.00000	82.85749	61.39446	9.98875	48.43370
5.71487	41.84364	9.45484	6.95175		7.82345	84.73953	1125.18007	10.81551	3.89488	6.08121	8.43233	5.33133	1.00000	-87.71255	64.50510	8.97145	58.25813
7.01267	35.88264	7.82856	7.57696	7.90621	5.86141	61.79724	1158.18827	9.87343	1.61046	6.45611	7.93547	31.74251	1.00000	-80.08199	64.75049	7.19390	59.27904
7.20909	50.56149	5.91291	8.41942	7.62022	8.05746	76.07466	1116.02058	7.19566	0.26766	5.16488	7.67372	18.87660	0.00000	4.69889	77.71530	8.27059	38.69857
9.76709	34.75856	9.06377	5.25928	7.87907	6.87808	82.65000	1081.76175	8.40649	0.47688	6.19451	6.29673	28.66163	1.00000	136.13108	40.35537	12.96717	50.12237
6.56454	51.67822	6.08975	8.98043	7.31762	8.56037	66.67774	1074.73121	5.57871	0.16865	6.74537	9.28549	22.64916	1.00000	33.9162	50.94325	5.16269	45.62942
6.59332	21.01858	9.04870	6.54229	6.79612	7.01303	71.20512	1086.46515	6.39290	0.24159	7.88549	9.02044	27.01574	1.00000	-101.2591	56.59395	10.08892	25.18393
9.08220	-7.51611	5.38721	6.17618	6.75190	8.58924	73.39255	1169.32086	5.43157	0.12115	4.36681	7.91952	30.05522	1.00000	109.05389	74.73202	6.87986	43.80069
7.92567	49.41029	8.50399	7.47174	6.23169	6.16352	67.76618	1106.12902	5.56514	0.19480	8.49717	5.05325	13.01929	0.00000	38.15035	68.33141	8.85851	60.09892
8.00999	40.93121	10.75207	7.40701	7.92119	5.69533	58.92093	1164.02430	11.66869	8.93770	6.70118	3.74116	14.42858	0.00000	-73.89875	51.73446	6.19861	56.04265
7.64153	26.67319	6.92590	8.61236	5.41375	3.42475	66.00675	1115.57590	9.39499	1.04777	7.47890	8.26769	27.22111	0.00000	31.4976	67.52969	8.28894	55.45651
7.85181	45.47885	7.66933	8.30980	6.43032	4.40546	72.16737	1141.47047	5.30880	0.10703	6.91041	7.78925	16.43261	1.00000	133.42825	62.07585	9.44879	63.37584
5.86748	43.54072	9.22251	6.24493	7.53181	5.96123	78.22005	1157.42609	8.32036	0.40122	5.08739	9.62865	13.96897	1.00000	-116.56346	45.60540	7.92202	56.47675
8.19859	25.66795	8.86730	8.76807	4.95529	7.71221	85.72006	1152.17678	8.77297	0.63707	10.05368	4.18655	11.08276	0.00000	85.83636	48.66522	8.61240	43.51189
7.45258	53.7446	7.14197	9.45514	9.01226	5.56409	73.48777	1171.14851	8.54967	0.48041	7.19117	7.25735	7.17123	1.00000	-0.33525	58.21893	9.91969	56.28121
6.73620	37.65639	5.77549	5.60892	7.50472	4.35565	74.20220	1178.73353	6.52019	0.16839	7.97613	9.29843	3.72728	0.00000	126.835	43.07544	5.84967	53.05297
7.19138	14.53767	8.82292	8.41881	8.39000	7.77967	79.17791	1199.59939	7.65126	0.30932	5.16778	9.76762	17.20046	1.00000	46.83187	55.37454	8.89933	53.51206
7.13809	-4.42472	6.53263	6.94709	6.58775	7.53511	66.57987	1113.62386	7.02632	0.13881	5.37508	9.07133	19.49673	0.00000	-41.45861	54.84745	8.13458	49.59171
7.41163	-37.9	9.25295	5.66375	5.30286	6.00029	65.93994	1059.22269	10.30678	2.42552	3.95852	7.65763	31.73324	1.00000	145.18333	66.30285	9.27926	48.82292
7.19084	33.78333	8.04763	8.13684	6.80587	4.62864	78.50516	1107.60434	7.29241	0.29847	5.37921	7.47865	18.29949	1.00000	114.51667	64.69855	9.50866	56.95317
7.13830	37.31065	5.11211	7.41941	8.63516	8.33443	77.38614	1144.44559	5.87385	0.19192	5.60226	8.74320	5.70528	1.00000	13.57661	62.41131	3.86362	51.75958
9.21573	-7.76667	4.09221	6.91733	6.80823	8.59302	76.93163	1109.76065	5.53046	0.22697	4.21300	7.29029	11.10796	1.00000	35.7	47.25863	6.38744	48.96137
7.17024	25.80565	7.85030	8.04365	7.71698	8.02272	76.33468	1167.08566	7.19956	0.16839	10.32464	6.13385	11.87007	0.00000	68.49143	55.19562	9.76917	47.14345
6.98081	48.06919	5.42913	5.76819	7.21007	8.81908	67.82525	1106.80186	6.16712	0.17423	6.51989	8.17689	19.73903	1.00000	11.37703	51.05795	7.24878	46.42174
7.04604	57.47908	4.49094	6.67278	6.97889	10.50606	79.77325	1161.56032	2.62075	0.08480	7.48572	5.26602	-5.13366	1.00000	-4.22398	42.56752	6.01164	59.21863
7.83277	-22.45667	8.33802	7.29169	5.08969	4.91132	76.53628	1164.50824	8.32747	0.40498	4.62773	8.97532	18.72397	1.00000	-47.53028	35.93983	8.28786	59.88000
5.14083	30.5427	5.66740	5.24364	9.09684	8.88217	73.80889	1105.49105	5.06563	0.17379	5.18590	7.30010	10.59927	1.00000	-97.54667	51.05689	5.75894	62.44092
6.62069	30.75545	6.21412	7.42036	7.26320	8.13795	70.01771	1163.79332	6.54417	0.21662	5.05159	9.63293	12.16930	1.00000	20.22625	48.50993	8.75890	39.93024
7.32384	11.00599	8.12980	7.59884	6.65015	3.13138	73.44712	1113.74371	9.45097	1.10505	5.88433	7.65057	-9.10884	0.00000	77.5609	66.38581	7.42970	45.28027
6.42979	30.21121	8.76866	6.93708	7.14434	4.36802		1180.32959	7.87050	0.36347	3.40989	6.86131	19.99081	1.00000	74.4818	54.71942	11.11745	32.23302
5.89585	38.70734	5.79849	6.44115	6.90962	5.48952	78.08873	1109.42613	6.10730	0.15164	7.19114	9.52201	32.55415	1.00000	-77.02303	53.84983	7.13695	39.03601
8.33876	34.9	6.46296	6.71552	8.02513	5.37260	74.76414	1101.59973	6.42498	0.16536	6.57235	9.27803	14.52418	0.00000	137.5	55.70190	6.49341	65.93572
6.85391	10.15031	7.98477	7.05531	8.94655	8.15086	78.93595	1097.03302	7.06969	0.15401	8.29094	10.51735	18.33066	1.00000	-73.9614	66.62291	4.41014	46.77709
6.27580	-28.81833	7.36241	6.36988	7.10763	5.75580	69.73512	1149.17804	6.14317	0.16135	9.05390	6.95906	17.24388	1.00000	-52.51028	38.91777	9.83480	69.11792
8.52927	-1.26753	7.37129	8.08470	7.32064	7.65455	62.26725	1051.76212	7.75533	0.26758	5.77670	10.67860	53.05837	1.00000	116.82887	51.88535	7.41880	47.13093
7.78320	53.5942	7.79943	7.19928	6.78942	4.26904	66.47895	1082.17223	6.48670	0.17187	5.89126	7.14564	23.91661	1.00000	25.8191	49.93942	9.38120	41.43190
6.48740	32.65246	8.02507	8.32931	6.95686	5.32039	84.59968	1122.27631	7.18067	0.16675	6.83632	9.38493	13.86590	1.00000	51.67462	72.15931	6.97874	44.32348
6.11634	18.20854	4.80450	6.99435	9.11298	7.57122	68.49578	1183.78925	6.70336	0.15201	3.72664	9.86129	19.53235	1.00000	-71.10077	45.52900	5.89151	51.76402
6.60975	48.21644	8.81882	6.99064	7.69298	5.53813	81.22757	1083.89338	12.16213	14.50588	7.39606	6.88539	28.06527	0.00000	9.02596	54.52396	7.35388	71.80256
7.13893	-0.35817	4.09136	7.28462	6.94614	9.48425	77.62648	1195.39725	4.58464	0.17273	5.42130	5.35647	16.71417	1.00000	42.54536	56.70895	5.42843	46.73147
	36.33011	5.43440	7.15715	8.60962	8.72857	78.71697	1082.77248	5.63698	0.16357	5.56044	8.33745	11.17739	1.00000	138.89585	48.65642	7.65460	57.18194
7.65227	50.64336	6.12117	7.31455	7.60494	8.01689	73.15028	1077.84433	6.74335	0.21640	4.13233	7.50672	15.60850	0.00000	7.2278	58.34484	8.47460	42.22423
6.85198	26.67319	5.92603	6.88271	7.23166	4.82000	71.70074	1092.40012	5.50606	0.07506	6.63260	9.68173	26.23715	0.00000	31.4976	51.73702	9.53676	52.30439
6.34113	42.97086	8.57686	7.89124	7.41346	5.92956	75.68617	1121.29523	8.85287	0.66631	7.90143	5.83533	36.28503	0.00000	-82.42491	52.11437	6.44749	48.08447
8.13700	41.80753	8.44847	6.20418	7.95672	5.70288	69.37933	1088.81078	8.14776	0.38821	10.01796	5.76297	11.45610	0.00000	-87.65644	33.43298	9.74058	
6.65611	33.92946	2.84863	7.48518	7.42934	10.04182	66.09141	1161.46666	2.08686	0.08824	4.26496	5.64220	22.63058	1.00000	-116.97725	42.65371	8.07181	28.51648
8.40126	48.77275	7.57395	7.78082	5.64323	4.79939	69.98068	1193.88697	9.07609	0.78960	5.69028	8.42294	9.04891		5.16108	41.65696	6.66340	63.32447
6.84412	38.07789	9.54013	7.19018	6.75712	8.09057	73.70248	1123.33181	9.79797	1.47288	7.15541	9.74473	20.43581	1.00000	13.44275	61.79946	7.54663	50.18221
7.64506	44.98901	6.00911	9.86016	7.01340	8.82796	80.52566	1115.70214	5.88473	0.19028	8.67282	9.39512	14.88080	1.00000	38.94324	63.41569	4.75969	30.36449
7.58229	10.29085	7.76204	7.90545	6.21657	4.91076	67.43961	1118.15643	9.45967	1.05899	5.30603	8.36560	5.02903	1.00000	105.75635	72.86988	6.77584	42.29575
