station	QoS	longitude	code	latitude	revision
Sishui	average	117.27583	CN	35.64889	11/29/2016, 00:00:00
Ishim	average	69.49015	RU	56.11281	2021/05/18
Kingston upon Hull	maintenance	-0.33525	GB	53.7446	03/17/2022, 00:00:00
La Trinidad	average	120.5875	PH	16.455	2018-06-14
Acworth	good	-84.67837	US	34.06635	01/09/2020, 00:00:00
Carlsbad	good	-104.22884	US	32.42067	2021-04-23
Kyaikto	good	97.01124	MM	17.30858	2016-01-15
Bushey	excellent	-0.36053	GB	51.64316	06/24/2019, 00:00:00
Meizhou	excellent	116.11768	CN	24.28859	2019-08-09
West Chester	building	-75.60804	US	39.96097	15 Jun 2016
Timaru	excellent	171.25364	NZ	-44.39672	2018-01-24
Mount Hagen	building	144.23058	PG	-5.85746	01/02/2020, 00:00:00
Vestavia Hills	excellent	-86.78777	US	33.44872	2016-10-11
Madrid	average	-74.26419	CO	4.73245	13 Sep 2016
Davis	good	-121.74052	US	38.54491	13 Jun 2018
Emmeloord	building	5.74861	NL	52.71083	03/11/2015, 00:00:00
Thap Than	excellent	99.89166	TH	15.46063	06 Sep 2022
Parkent	average	69.67639	UZ	41.29444	2012/12/01
Gero	average	137.23333	JP	35.8	17 Mar 2020
Acayucan	good	-94.91386	MX	17.94979	2021/07/27
Haicheng	accep	122.74754	CN	40.85158	12/11/2017, 00:00:00
Westbury	excellent	-2.1875	GB	51.26	2019/05/10
Kangayam	building	77.5609	IN	11.00599	11 Jan 2014
Campobasso	good	14.66737	IT	41.55947	2014/08/08
Newbury	excellent	-1.32471	GB	51.40148	06 Sep 2020
Sasayama	excellent	135.21667	JP	35.06667	2012-11-21
Chiguayante	average	-73.02841	CL	-36.9256	07/13/2013, 00:00:00
Cypress Hills	excellent	-73.89125	US	40.67705	2018/07/06
Sukabumi	good	106.92667	ID	-6.91806	2015-09-02
Pontevedra	good	-58.70072	AR	-34.74785	2015-09-16
Volokolamsk	average	35.96944	RU	56.03361	23 Jul 2018
Santa Cruz de Barahona	average	-71.10077	DO	18.20854	2015-04-11
Qadirpur Ran	excellent	71.67164	PK	30.29184	04 Sep 2013
Afragola	accep	14.30935	IT	40.92298	07/21/2022, 00:00:00
Scarsdale	excellent	-73.78458	US	41.0051	30 May 2016
Jingzhou	good	112.19028	CN	30.35028	2017-04-30
Sirsi	average	74.83554	IN	14.62072	2018/02/01
Keizer	excellent	-123.02621	US	44.99012	2022/09/16
Iturama	good	-50.19556	BR	-19.72806	2021/02/25
Santa Catalina	average	122.8637	PH	9.3337	09/11/2014, 00:00:00
Cavaillon	accep	5.03586	FR	43.83125	04/30/2022, 00:00:00
Nova Kakhovka	excellent	33.34864	UA	46.75451	2016-05-01
Sinhyeon	average	128.62667	KR	34.8825	12/20/2015, 00:00:00
Far Rockaway	accep	-73.75513	US	40.60538	2020/11/25
Brazzaville	accep	15.28318	CG	-4.26613	2018/04/24
Sungurlu	maintenance	34.37389	TR	40.1675	2017-03-17
Columbia Heights	excellent	-93.263	US	45.0408	09/21/2017, 00:00:00
Krasyliv	excellent	26.97253	UA	49.65186	2013-02-27
Changshu City	excellent	120.74221	CN	31.64615	05/27/2015, 00:00:00
Thomasville	acceptable	-80.08199	US	35.88264	06 Aug 2017
Balikpapan	average	116.82887	ID	-1.26753	2015/03/25
Dharmapuri	accep	78.15794	IN	12.1277	2015/09/08
Norwalk	good	-82.61573	US	41.24255	2020/04/29
Magong	building	119.58627	TW	23.5654	08/29/2022, 00:00:00
Verl	accep	8.51667	DE	51.88333	2017-07-14
Floridsdorf	excellent	16.4	AT	48.25	09 Sep 2016
Hartley	building	0.30367	GB	51.38673	09/01/2021, 00:00:00
Visitacion Valley	average	-122.40433	US	37.71715	2013-08-03
Laguna Niguel	building	-117.70755	US	33.52253	2021-07-26
Marseille 11	average	5.4384	FR	43.2907	2021-07-12
Vestavia Hills	maintenance	-86.78777	US	33.44872	2015-05-17
Cabo	maintenance	-35.03333	BR	-8.28333	2019-01-04
Villaquilambre	excellent	-5.55835	ES	42.64685	2016-01-15
Dax	average	-1.05366	FR	43.71032	09/03/2016, 00:00:00
Sharypovo	maintenance	89.20083	RU	55.54028	10/24/2018, 00:00:00
Shaowu	accep	117.4831	CN	27.34089	09/18/2019, 00:00:00
Jagna	good	124.3697	PH	9.6531	2016/04/08
Alexandria	average	29.91582	EG	31.20176	13 Sep 2016
Manaoag	average	120.4861	PH	16.0438	2021/02/19
Boston	accep	-71.05977	US	42.35843	2019-09-29
Somma Vesuviana	excellent	14.43865	IT	40.87329	2014-07-17
Odessa	accep	-102.36764	US	31.84568	05 Aug 2016
Bachhraon	excellent	78.23456	IN	28.92694	2017-12-31
Muncar	excellent	114.33333	ID	-8.43333	2016/03/14
Boston	good	-71.05977	US	42.35843	12 Dec 2019
Nayoro	excellent	142.45778	JP	44.35056	01/06/2019, 00:00:00
Sector 6	accep	26.01649	RO	44.43579	2021-03-18
Bar-le-Duc	good	5.16108	FR	48.77275	07/28/2022, 00:00:00
Aleshtar	excellent	48.26258	IR	33.86419	2021-11-15
Bobigny	accep	2.45012	FR	48.90982	01/17/2015, 00:00:00
Tortona	average	8.86374	IT	44.89784	18 Jul 2019
Bavly	good	53.26023	RU	54.39304	2018/07/29
Sukabumi	building	106.92667	ID	-6.91806	2020-11-19
Darreh Shahr	accep	47.3799	IR	33.14447	2022/01/16
Brighton Beach	accep	-73.95958	US	40.57788	2016-07-10
Gilbert	accep	-111.78903	US	33.35283	2019/11/15
Barnet	average	-0.2	GB	51.65	11 Feb 2020
Yablonovskiy	building	38.94324	RU	44.98901	2020-09-12
Longview	good	-94.74049	US	32.5007	14 Mar 2018
Contla	accep	-98.1664	MX	19.32932	2014/03/20
Rwamagana	maintenance	30.4347	RW	-1.9487	2014/07/23
Milagro	building	-79.59415	EC	-2.13404	05/26/2013, 00:00:00
Palm Valley	average	-81.38758	US	30.17746	02 Sep 2021
Fort Washington	acceptable	-77.02303	US	38.70734	2021/05/15
Temse	maintenance	4.21372	BE	51.12794	08/23/2019, 00:00:00
Newbury	excellent	-1.32471	GB	51.40148	2017-03-20
Palafrugell	good	3.1631	ES	41.91738	03/06/2022, 00:00:00
Sirsi	average	74.83554	IN	14.62072	16 Mar 2019
Quimper	good	-4.1	FR	48	14 Sep 2020
Maliana	average	125.21972	TL	-8.99167	2013/11/28
Vienne	good	4.86667	FR	45.51667	04/18/2020, 00:00:00
Ikalamavony	accep	46.58333	MG	-21.15	2020/01/31
Saraj	excellent	21.32778	MK	42	23 Dec 2020
Yangambi	good	24.43973	CD	0.76755	2016/04/05
Osmanabad	accep	76.03889	IN	18.18158	03/22/2022, 00:00:00
Aurora	building	-104.83192	US	39.72943	2012/12/02
San Giuliano Milanese	building	9.29109	IT	45.39402	11/19/2018, 00:00:00
Okegawa	building	139.55722	JP	36	2020-04-09
Camarillo	accep	-119.0376	US	34.21639	30 Dec 2014
Nowshahr	average	51.49621	IR	36.64852	12/31/2015, 00:00:00
Denderleeuw	average	4.07601	BE	50.88506	01 Nov 2018
Sterling	maintenance	-77.4286	US	39.00622	04 May 2020
Zacoalco de Torres	average	-103.5687	MX	20.22816	2015-06-17
Francavilla Fontana	maitennce	17.58522	IT	40.53123	05/10/2013, 00:00:00
Pekanbaru	excellent	101.44167	ID	0.51667	2022/07/30
Darreh Shahr	excellent	47.3799	IR	33.14447	2015-06-04
Riverbank	excellent	-120.93549	US	37.73604	2021-02-06
Socorro	accep	-73.26022	CO	6.46838	2022-06-01
Same	excellent	37.73333	TZ	-4.06667	06/28/2013, 00:00:00
Aleshtar	accep	48.26258	IR	33.86419	03 Sep 2014
Rajaori	good	74.3092	IN	33.37526	24 Jul 2021
Thomasville	accep	-80.08199	US	35.88264	26 Sep 2017
Hermsdorf	building	13.31783	DE	52.61131	2013/08/27
Bothell West	excellent	-122.24064	US	47.80527	25 Feb 2022
Tudela	accep	-1.60452	ES	42.06166	04/07/2019, 00:00:00
Uran	excellent	72.93924	IN	18.87813	2018/04/09
Mudanya	good	28.88222	TR	40.37528	01/15/2013, 00:00:00
