H2CO	PAHs	SO2	NH3	PM2.5	C2H3NO5	latitude	NOx	Pb	CO	CFCs	O3	PRES	TEMP	PM10	warning	longitude	CH4
46.02641	5.51003	6.39310	5.62347	5.26377	0.09143	-37.9	7.61857	48.34927	7.31748	39.62921	6.96188	1197.13401	28.33754	6.35050	1.00000	145.18333	5.85848
62.51186	8.93253	5.10381	6.72712	6.97124	0.08903	13.51825	8.77471	36.48654	6.71010	33.22985	7.39959	1180.67891	14.50858	5.83927	0.00000	99.95469	5.20843
42.91448	4.05287	6.06641	4.89063	6.69191	0.08349	41.55947	7.13883	48.16770	4.28087	50.42653	5.77705	1156.67066	0.70697	4.11368	1.00000	14.66737	6.48026
36.25627	8.96819	7.83569	6.34947	6.67659	0.13583	5.84752	7.18613	52.68010	7.84111	35.75342	6.79012	1148.06156	16.47478	7.08829	1.00000	-5.682	7.08569
73.22469	3.08652	7.21838	5.47037	7.15676	0.06724	44.27804	6.12180	40.12651	7.54614	52.90049	7.75293	1078.34507	14.65117	4.05897	1.00000	-88.27205	7.16131
59.96565	8.71110	8.56307	5.46525	7.97773	0.18213	31.76212	7.54156	74.06073	7.86143	53.19222	7.23000	1050.88393	-0.02516	7.92929	1.00000	-95.63079	4.37547
19.84208	8.49372	5.92288	6.46296	8.53647	0.05257	42.8334	6.45828	51.72901	9.58656	52.52235	8.41578	1185.15837	6.64045	5.79501	0.00000	-80.38297	4.63511
36.34566	5.28861	6.62764	7.09895	6.39797	0.05492	27.34089	6.34990	38.50857	6.06035	67.13597	6.73184	1065.21772	14.90894	5.28639	1.00000	117.4831	5.88743
66.60050	7.45854	9.55004	3.66135	6.52322	0.13838	41.24264	5.84188	64.99915	5.56575	29.33543	8.71715	1097.92337	0.99778	6.72287	1.00000	16.50104	3.01195
67.11216	5.25727	5.50912	8.42868	6.75341	0.10129	45.0408	6.25145	32.25568	6.38286	36.61597	3.39099	1191.91604	9.23473	4.07864	1.00000	-93.263	4.78692
53.79077	5.50440	7.20749	9.17437	6.57502	0.05578	55.38752	6.13783	49.24985	8.88211	38.20888	4.48846	1098.97977	29.19124	3.68495	1.00000	36.73307	5.96479
61.24355	3.92360	5.89217	9.87455	5.79756	0.98261	40.11583	4.77928	69.55973	7.54620	43.35912	6.64990	1098.86786	13.09705	9.80202	0.00000	67.84222	8.06442
52.32285	7.78864	5.26327	4.30033	7.65147	0.08317	40.98894	6.72672	71.85743	6.38434	39.64377	9.39276	1168.76080	18.91755	6.06949	0.00000	28.67582	6.33971
52.05279	4.99065	3.69966	4.88988	6.54932	0.17313	47.56494	7.51587	98.14532	6.94377	51.40187	6.78208	1061.19779	15.98125	7.44660	1.00000	31.33078	4.08709
44.12580	7.40288	8.20687	4.78683	6.58084	0.29046	20.22816	8.41843	44.15602	5.00539	13.48191	5.48709	1197.88005	38.73152	8.48422	1.00000	-103.5687	6.88985
48.78623	11.02223	4.68097	4.48902	5.79577	0.07375	39.00622	6.35418	62.60790	7.09205	67.08007	6.37495	1091.90010	26.20897	3.77987	0.00000	-77.4286	9.74210
24.37857	4.68935	7.39967	5.85935	5.97731	0.04937	28.90054	8.53406	37.41276	7.97774	41.84385	5.41254	1051.10430	35.01480	3.49676	1.00000	-81.26367	7.47036
