QoS	revision	latitude	longitude	location	code
average	15 Sep 2013	56.11281	69.49015	Asia/Yekaterinburg	RU
excellent	2019/09/24	44.92801	4.8951	Europe/Paris	FR
average	2019/07/04	45.53069	9.40531	Europe/Rome	IT
building	05/01/2019, 00:00:00	43.32393	5.4584	Europe/Paris	FR
maintenance	08/15/2017, 00:00:00	53.43333	-7.95	Europe/Dublin	IE
accep	13 Dec 2013	48.35149	8.96317	Europe/Berlin	DE
average	21 Jan 2020	31.84568	-102.36764	America/Chicago	US
average	07/02/2014, 00:00:00	41.1053	-7.32097	Europe/Lisbon	PT
accep	2019/05/23	48	-4.1	Europe/Paris	FR
good	01/11/2020, 00:00:00	60.02427	30.28491	Europe/Moscow	RU
average	13 Apr 2013	33.76446	-117.79394	America/Los_Angeles	US
good	2018-08-24	37.74615	-25.66689	Atlantic/Azores	PT
excellent	03 Dec 2021	38.17492	-122.2608	America/Los_Angeles	US
average	2014-09-29	51.42708	-0.91979	Europe/London	GB
building	10/10/2013, 00:00:00	42.93369	-72.27814	America/New_York	US
good	2020-11-01	53.49389	-1.29243	Europe/London	GB
maintenance	2015-01-21	34.75856	136.13108	Asia/Tokyo	JP
good	04/23/2021, 00:00:00	6.9909	79.883	Asia/Colombo	LK
maintenance	09 Mar 2021	48	-4.1	Europe/Paris	FR
average	31 Jul 2021	32.65246	51.67462	Asia/Tehran	IR
average	13 Mar 2013	54.52156	9.5586	Europe/Berlin	DE
average	01/06/2018, 00:00:00	50.88506	4.07601	Europe/Brussels	BE
average	2019-04-15	7.50251	5.06258	Africa/Lagos	NG
accep	23 Mar 2022	-2.13404	-79.59415	America/Guayaquil	EC
accep	09 Oct 2014	28.98002	77.70636	Asia/Kolkata	IN
excellent	2015-06-05	28.15112	-82.46148	America/New_York	US
accep	01 May 2019	41.29444	69.67639	Asia/Tashkent	UZ
building	2017-09-17	-8.43333	114.33333	Asia/Jakarta	ID
average	2016/01/08	15.5439	73.7553	Asia/Kolkata	IN
accep	2016/07/04	48.43174	17.8031	Europe/Bratislava	SK
excellent	06/02/2020, 00:00:00	48.73218	11.18709	Europe/Berlin	DE
excellent	04/18/2017, 00:00:00	19.30157	72.85107	Asia/Kolkata	IN
good	12/30/2021, 00:00:00	33.41012	-91.06177	America/Chicago	US
building	2014-03-23	25.92493	73.66633	Asia/Kolkata	IN
excellent	05/20/2019, 00:00:00	9.58126	8.2926	Africa/Lagos	NG
good	2016-11-25	30.81383	75.16878	Asia/Kolkata	IN
building	06 Jul 2018	-21.44345	-65.71875	America/La_Paz	BO
accep	2021-07-26	55.82737	-4.0573	Europe/London	GB
excellent	2020/01/28	29.69221	72.54566	Asia/Karachi	PK
accep	05/14/2021, 00:00:00	42.30865	-83.48216	America/Detroit	US
average	2013-07-28	16.455	120.5875	Asia/Manila	PH
excellent	04/03/2013, 00:00:00	53.46506	-1.47217	Europe/London	GB
accep	11/07/2020, 00:00:00	-21.41222	-42.19667	America/Sao_Paulo	BR
good	2015/03/21	40.42386	-3.53261	Europe/Madrid	ES
excellent	2013/07/01	53.94313	10.30215	Europe/Berlin	DE
accep	03 Jan 2015	7.57944	-8.53778	Africa/Monrovia	LR
building	12/05/2012, 00:00:00	47.83333	59.6	Asia/Aqtobe	KZ
accep	2015-11-17	48.86667	2.08333	Europe/Paris	FR
excellent	02/24/2013, 00:00:00	23.5654	119.58627	Asia/Taipei	TW
good	2013/06/24	58.63667	59.80222	Asia/Yekaterinburg	RU
maintenance	2017/11/10	41.48199	-81.79819	America/New_York	US
average	04/06/2017, 00:00:00	33.03699	-117.29198	America/Los_Angeles	US
accep	2013/06/17	-4.26613	15.28318	Africa/Brazzaville	CG
excellent	09/15/2018, 00:00:00	38.47917	-1.325	Europe/Madrid	ES
maintenance	2021/08/13	50.74497	3.20639	Europe/Brussels	BE
excellent	16 Jan 2019	57.30185	39.85331	Europe/Moscow	RU
building	2016-08-25	53.93361	37.92792	Europe/Moscow	RU
good	2014-03-04	49.03685	8.70745	Europe/Berlin	DE
excellent	03/03/2016, 00:00:00	36.81667	117.81667	Asia/Shanghai	CN
good	2021-09-15	18.18158	76.03889	Asia/Kolkata	IN
average	2016-06-12	59.80917	30.38167	Europe/Moscow	RU
average	2020-06-21	23.04419	-82.00919	America/Havana	CU
accep	2020/07/18	10.20898	123.758	Asia/Manila	PH
maintenance	2020-02-09	2.41669	30.98551	Africa/Kampala	UG
excellent	20 Aug 2019	53.49389	-1.29243	Europe/London	GB
good	2019/09/14	35.61452	-88.81395	America/Chicago	US
accep	2014-12-23	48.43174	17.8031	Europe/Bratislava	SK
excellent	04/30/2013, 00:00:00	37.19723	122.05228	Asia/Shanghai	CN
accep	09 Dec 2017	30.75545	20.22625	Africa/Tripoli	LY
accep	05/12/2021, 00:00:00	44.35056	142.45778	Asia/Tokyo	JP
excellent	28 May 2022	14.67751	-60.94228	America/Martinique	MQ
maintenance	2013-03-06	53.5942	25.8191	Europe/Minsk	BY
good	28 May 2022	30.21121	74.4818	Asia/Kolkata	IN
accep	12/14/2014, 00:00:00	33.78333	114.51667	Asia/Shanghai	CN
excellent	11/22/2020, 00:00:00	52.86147	9.5926	Europe/Berlin	DE
good	23 Dec 2020	54.58048	16.86194	Europe/Warsaw	PL
average	2021/10/04	31.92923	34.86563	Asia/Jerusalem	IL
accep	2012/10/03	47.98372	10.18527	Europe/Berlin	DE
accep	12 Sep 2021	45.4473	-73.75335	America/Toronto	CA
maintenance	13 Jul 2015	-21.15	46.58333	Indian/Antananarivo	MG
accep	2021-12-29	-10.33333	39.28333	Africa/Dar_es_Salaam	TZ
good	22 Jan 2015	48.77275	5.16108	Europe/Paris	FR
good	08 Dec 2016	14.37395	100.48528	Asia/Bangkok	TH
maintenance	09/18/2017, 00:00:00	28.15112	-82.46148	America/New_York	US
average	2013/12/31	51.08468	7.11393	Europe/Berlin	DE
average	2021-12-28	17.06542	-96.72365	America/Mexico_City	MX
excellent	2021-01-19	41.91886	8.73812	Europe/Paris	FR
maintenance	07 Apr 2018	-31.95224	115.8614	Australia/Perth	AU
good	19 Jun 2013	45.73333	4.91667	Europe/Paris	FR
maintenance	2018-04-18	40.81	-73.9625	America/New_York	US
accep	2018-11-25	18.87813	72.93924	Asia/Kolkata	IN
good	11/08/2016, 00:00:00	36.20389	127.08472	Asia/Seoul	KR
good	25 Jul 2018	44.92801	4.8951	Europe/Paris	FR
good	2018-06-10	36.33011	138.89585	Asia/Tokyo	JP
accep	04 Jan 2016	42.52787	-70.92866	America/New_York	US
good	16 Jun 2014	2.2139	102.3278	Asia/Kuala_Lumpur	MY
good	2014/02/19	27.09978	-82.45426	America/New_York	US
building	10/14/2017, 00:00:00	30.29184	71.67164	Asia/Karachi	PK
good	24 Jun 2017	27.34089	117.4831	Asia/Shanghai	CN
good	02/04/2018, 00:00:00	-23.7975	-48.59278	America/Sao_Paulo	BR
