Pb	PM10	O3	PRES	NH3	TEMP	CO	PAHs	CH4	CFCs	H2CO	warning	PM2.5	longitude	C2H3NO5	SO2	latitude	NOx
60.02797	4.69409	6.50740	1154.26383	6.42711	23.80400	5.57413	5.26194	7.94491	81.06495	60.14664	1.00000	8.09703	7.11393	0.13675	5.97445	51.08468	4.98157
68.00151	7.58512	5.96394	1160.75599	7.94484	18.14304	7.33723	6.75773	7.34035	70.93859	43.30934	0.00000	5.94472	55.4504	0.17741	6.56968	-20.88231	4.88600
59.46848	7.19229	5.98428	1158.80362	7.65373	1.97407	7.47616	7.17034	7.34148	56.84355	66.14552	0.00000	6.78712	-103.5687	0.16353	5.72907	20.22816	6.13636
52.87187	4.66091	5.66305	1168.58039	5.93223	10.21542	7.77396	7.33948	10.57619	68.76058	57.53263	1.00000	6.01136	-50.19556	0.09552	7.78493	-19.72806	4.42030
55.03765	10.03002	7.43022	1153.86683	7.03571	9.21120	5.28047	7.35558	7.38686	72.59396	28.85699	0.00000	3.59515	38.16694	1.37116	5.53069	54.84444	6.32746
35.75141	5.76170	7.43490	1106.00480	7.12762	19.95425	8.77382	6.33061	8.21331	74.14376	43.86859	0.00000	6.96730	-118.10583	0.09874	5.36899	34.09611	6.06623
37.70942	4.73228	7.29399	1074.94921	7.87895	12.24525	5.99188	4.84793	8.76786	71.19668	53.11816	1.00000	8.12183	113.82465	0.04429	8.08690	23.29549	4.81116
52.39937	6.91240	6.78027	1114.46274	6.17809	14.75954	5.51993	4.97844	9.26796	71.46055	50.33503	1.00000	5.27253	144.09638	0.14865	7.00473	43.82634	4.40049
71.15333	11.47824	8.53145	1150.57738	6.70864	15.36694	7.83366	6.09439	7.92497	64.58599	40.59603	1.00000	6.69254	-117.71978	5.46003	6.48874	34.09668	6.39343
48.58877	6.48496	6.55674	1139.30439	8.86706	19.40498	6.05160	6.35750	4.64457	73.71617	39.20923	1.00000	7.06049	-8.53778	0.16460	6.64860	7.57944	5.90357
70.88576	3.23082	6.47682	1191.66765	10.89569	-4.40351	5.11024	7.20201	4.22903	48.10298	50.53169	1.00000	11.16849	73.06784	0.11846	6.88192	25.13915	7.05412
42.38566	9.67779	6.93071	1189.41718	4.61389	-0.50122	7.27322	5.67805		72.35007	26.13550	1.00000	6.85006	117.4831	0.98180	8.55423	27.34089	6.77658
28.50183	10.41161	7.95769	1175.76597	10.49012	14.39809	10.28088	8.03467	8.49842	63.09208	59.35496	0.00000	10.27652	144.09638	1.92562	6.16204	43.82634	6.76280
52.47417	6.96262	4.60088	1153.29789	6.58291	18.15702	4.67099	4.38767	7.74727	64.80138	47.55592	1.00000	4.79028	17.80774	0.13957	7.72959	40.55851	4.53869
72.02803	6.99244	6.61303	1170.25205	5.93434	15.79587	6.18244	5.53173	7.18145	58.78584	57.17557	0.00000	7.18280	-74.95472	0.12768	6.95489	10.98778	5.65002
74.65647	8.42684	7.98885	1086.43036	3.75544	24.10314	5.37218	5.33473	10.10250	68.61490	44.07541	1.00000	5.58377	43.63417	0.30686	5.83200	43.96222	6.26233
45.54543	5.55840	6.65872	1079.95114	6.47203	6.04242	5.09330	7.39592	8.98677	81.02820	50.98649	1.00000	6.16041	-93.263	0.07389	7.40910	45.0408	3.04630
53.34893	9.06692	7.41296	1178.82503	6.44794	6.86038	10.73723	7.99153	7.83070	68.29690	25.04727	0.00000	7.43403	37.92792	0.59944	7.62078	53.93361	6.36771
55.87552	5.47785	6.86378	1124.56536	9.82531	20.95040	5.29030	5.36305	3.61422	60.61444	23.17152	1.00000	11.04260	120.5875	0.15171	7.58445	16.455	6.91005
35.77942	6.99779	6.48322	1176.07620	9.85258	25.27494	5.97355	7.35753	8.01339	72.20941	47.66555	0.00000	5.52504	39.28333	0.14387	4.98513	-10.33333	3.96045
55.14767	9.43162	5.58785	1094.63028	4.53868	14.43230	5.12455	4.37695	8.57588	77.65921	41.33373	1.00000	5.88664	-104.83192	0.77906	6.81856	39.72943	5.95985
55.80727	5.19971	6.50129	1113.83470	9.92788	17.83097	4.84525	5.20199	3.90933	71.42124	48.79930	1.00000	8.75914	77.9129	0.15581	7.29561	25.6439	5.70478
