QoS	latitude	station	code	revision	longitude
good	52.61131	Hermsdorf	DE	2022/05/26	13.31783
average	3.02013	Arua	UG	2021/06/22	30.91105
excellent	36.33011	Annaka	JP	2022-06-07	138.89585
good	40.85158	Haicheng	CN	2019-01-24	122.74754
building	10.98778	Puerto Colombia	CO	29 Oct 2012	-74.95472
accep	51.21187	Beveren	BE	2020/03/27	4.25633
excellent	39.71734	Sicklerville	US	22 Jan 2021	-74.96933
excellent	14.95472	Baliuag	PH	10/28/2013, 00:00:00	120.89694
average	11.93381	Puducherry	IN	2018/10/04	79.82979
maintenance	-20.87306	Viradouro	BR	2016/07/04	-48.29694
maintenance	37.74615	Ponta Delgada	PT	2014/08/29	-25.66689
excellent	14.37395	Bang Ban	TH	2022/08/11	100.48528
good	44.92934	Krymsk	RU	12 Apr 2018	37.99117
maintenance	14.37395	Bang Ban	TH	2018-07-16	100.48528
excellent	61.72744	Hudiksvall	SE	2020/06/22	17.10558
accep	40.64621	Kensington	US	01 Feb 2021	-73.97069
average	29.65163	Gainesville	US	2020/05/01	-82.32483
good	43.82634	Motomachi	JP	07/09/2016, 00:00:00	144.09638
excellent	55.1904	Vitebsk	BY	29 Oct 2021	30.2049
building	-8.05389	Recife	BR	16 Feb 2013	-34.88111
excellent	-27.76952	Vryheid	ZA	2014-03-10	30.79165
good	43.71032	Dax	FR	29 Nov 2013	-1.05366
excellent	27.34089	Shaowu	CN	29 Jan 2017	117.4831
average	44.92801	Valence	FR	02 Oct 2014	4.8951
building	56.03361	Volokolamsk	RU	09/26/2019, 00:00:00	35.96944
good	16.75973	Tuxtla	MX	29 Mar 2016	-93.11308
accep	17.34769	Lal Bahadur Nagar	IN	2017/05/08	78.55757
average	45.78071	Portogruaro	IT	2015/04/27	12.84052
good	46.23899	Charlottetown	CA	24 Jun 2017	-63.13414
good	8.62261	Barinas	VE	2014/10/12	-70.20749
good	-6.91806	Sukabumi	ID	2015-12-19	106.92667
good	40.67705	Cypress Hills	US	2021-04-04	-73.89125
average	10.31672	Cebu City	PH	08/30/2021, 00:00:00	123.89071
accep	26.68451	Belle Glade	US	09/07/2014, 00:00:00	-80.66756
average	29.22254	Haldwani	IN	2015-08-05	79.5286
good	10.20898	Naga	PH	2013/09/21	123.758
