NH3	SO2	C2H3NO5	Pb	TEMP	latitude	CH4	O3	PRES	CO	PM10	longitude	H2CO	CFCs	warning	NOx	PAHs	PM2.5
7.48592	7.07772	0.05799	60.53998	0.61287	51.65333	8.61724	8.10211	1066.11533	6.53403	3.63991	5.2875	69.54915	49.70520	0.00000	7.93244	5.03124	7.12168
5.46968	7.67309	0.76593	43.31588	22.60855	41.09822	7.72019	6.79411	1132.72662	5.93648	10.06796	120.74792	41.33333	54.99808	1.00000	7.46676	8.88570	6.48283
5.94958	9.65133	0.20935	70.17558	14.13111	0.46005	9.26725	6.70776	1091.58795	7.91006	8.57971	34.11169	74.60327	27.05345	1.00000	8.07800	7.70183	9.27637
6.02995	7.33747	0.05675	34.20908	19.61259	38.91817	7.73328	7.78910	1082.30868	5.09647	4.68383	-78.19444	42.41731	46.36176	1.00000	9.12699	9.36047	7.75631
8.56727	7.01379	0.10880	59.14108	21.26476	-8.99167	8.97376	7.41575	1152.87229	6.38328	7.53318	125.21972	58.43567	53.39958	1.00000	6.99034	6.64880	7.39338
6.20434	7.91401	0.77649	44.20801	0.86217	34.65918	10.79470	6.28721	1095.18347	7.51080	10.10132	109.22921	59.80626	69.82489	1.00000	10.57539	5.97502	6.43419
7.65011	7.32983	0.07330	48.96301	2.66125	10.66668	9.37419	8.97422	1099.99471	5.81966	5.94860	-61.51889	51.74706	49.87628	0.00000	8.20576	5.56000	7.45771
6.97629	6.36132	0.38994	72.58734	23.86747	50.56149	6.95752	5.49968	1065.76250	4.86079	9.28152	4.69889	79.72442	11.89719	1.00000	8.85153	7.40655	7.02523
8.96186	7.57654	0.05758	32.06128	-7.03062	49.41029	9.61963	8.46885	1081.55352	6.69986	6.45756	38.15035	60.00448	57.21489	0.00000	9.14391	6.41719	9.10524
7.00956	8.40174	0.10622	64.27418	-2.10669	37.08819	7.23571	4.20606	1195.48808	4.75762	7.38011	-8.2503	38.29999	69.81510	1.00000	10.09942	9.45066	6.87163
8.42228	7.72104	0.06000	66.79625	-5.54923	13.70167	8.54327	7.42518	1100.95851	2.71509	3.03935	-89.10944	34.28008	66.08352	1.00000	10.67848	8.33678	6.07445
6.20712	7.99412	0.10855	39.48478	7.72942	30.76468	9.33040	9.33765	1156.29265	8.56705	7.52898	74.12286	68.16630	49.15281	0.00000	8.96934	6.06510	7.59074
8.71175	8.38029	0.06598	59.87952	14.33921	46.08333	5.36610	6.63867	1053.77196	4.07782	4.59643	122.08333	76.21180	63.29623	1.00000	10.44817	9.97159	9.05204
6.91741	8.10192	0.12212	30.43970	15.82567	-26.22861	5.80783	10.07129	1174.07310	8.03927	7.91698	-52.67056	39.68988	26.38516	1.00000	6.82028	7.43468	8.61544
7.26243	7.11112	0.06544	42.83873	17.63000	51.35084	10.19181	8.84075	1083.12352	5.86670	7.05128	-1.99421	76.65101	59.74305	0.00000	8.86816	6.03815	7.16331
