longitude	latitude	station	revision	code	QoS
-74.26419	4.73245	Madrid	2019/05/12	CO	excellent
117.63083	35.50056	Pingyi	31 May 2018	CN	excellent
-75.23266	43.1009	Utica	03/21/2014, 00:00:00	US	average
-83.48216	42.30865	Canton	2013/11/17	US	accep
-0.76773	38.38479	Novelda	09/17/2015, 00:00:00	ES	good
3.55665	36.72544	Thenia	07/31/2018, 00:00:00	DZ	good
85.37752	22.10194	Barbil	11/07/2014, 00:00:00	IN	accep
-63.90389	-8.76194	Porto Velho	07/25/2018, 00:00:00	BR	excellent
109.22921	34.65918	Yanliang	26 Nov 2017	CN	excellent
-122.24092	47.4943	Bryn Mawr-Skyway	02 Jun 2016	US	good
78.15794	12.1277	Dharmapuri	29 Sep 2020	IN	good
111.4834	65.93381	Aykhal	2019/03/23	RU	good
-1.05366	43.71032	Dax	2018/12/28	FR	accep
106.88324	47.90771	Ulan Bator	06/26/2021, 00:00:00	MN	excellent
139.6853	35.815	Shimotoda	2014-09-14	JP	good
1.10687	41.15612	Reus	2018/02/28	ES	good
-46.99583	-22.97056	Valinhos	2014-09-03	BR	building
99.95469	13.51825	Damnoen Saduak	2020-02-26	TH	excellent
-83.2321	33.08014	Milledgeville	24 Mar 2014	US	maintenance
111.73861	35.20889	Changzhi	2015/04/30	CN	average
72.85107	19.30157	Bhayandar	2019-03-20	IN	accep
85.83636	25.66795	Dalsingh Sarai	2015-04-13	IN	accep
-0.74934	51.62907	High Wycombe	2014/02/24	GB	accep
-67.15407	18.42745	Aguadilla	2016/02/08	PR	maitennce
27.06365	50.18545	Shepetivka	2019-09-29	UA	maintenance
44.53333	-22.9	Sakaraha	08/04/2017, 00:00:00	MG	good
17.4674	50.86079	Brzeg	05 Jan 2019	PL	excellent
88.18466	22.19303	Diamond Harbour	07/09/2019, 00:00:00	IN	good
1.53414	42.50729	les Escaldes	04/25/2016, 00:00:00	AD	excellent
68.49143	25.80565	Bhit Shah	07 May 2019	PK	good
9.40531	45.53069	Gorgonzola	07/21/2020, 00:00:00	IT	maintenance
-71.05977	42.35843	Boston	25 Apr 2021	US	accep
145.13643	-38.16604	Frankston South	08 Jan 2021	AU	average
-80.31727	25.67927	Kendall	08 Sep 2020	US	good
34.37389	40.1675	Sungurlu	09/08/2019, 00:00:00	TR	building
-122.38731	45.53929	Troutdale	05 Jun 2017	US	average
11.04979	44.59445	Castelfranco Emilia	2017/10/01	IT	good
-80.08199	35.88264	Thomasville	23 Nov 2019	US	good
-50.00639	-25.42944	Palmeira	2015/09/11	BR	average
9.15013	13.70727	Mirriah	2019-09-01	NE	maintenance
6.74549	49.5099	Losheim	04/02/2017, 00:00:00	DE	excellent
152.70493	-25.54073	Maryborough	07 Dec 2014	AU	accep
78.95693	29.21399	Kashipur	2021/12/02	IN	accep
-82.07842	26.91756	Punta Gorda Isles	12/15/2019, 00:00:00	US	excellent
-88.3162	42.24113	Crystal Lake	02 Nov 2016	US	building
-93.11308	16.75973	Tuxtla	2015-09-23	MX	good
136.13108	34.75856	Ueno-ebisumachi	2019/07/03	JP	maintenance
7.02238	52.21099	Gronau	2019-01-17	DE	accep
36.7138	35.95664	Binnish	21 Jan 2019	SY	accep
-89.99038	38.58894	Fairview Heights	2021/03/18	US	good
-52.35558	-14.66463	Nova Xavantina	19 Mar 2021	BR	average
-72.22625	18.57677	Croix-des-Bouquets	27 Feb 2016	HT	maintenance
-86.57415	15.48131	Olanchito	04/13/2013, 00:00:00	HN	good
-115.98391	36.20829	Pahrump	18 Sep 2013	US	maintenance
-45.94722	-21.42917	Alfenas	2020/01/18	BR	accep
77.23826	11.50526	Sathyamangalam	08/02/2013, 00:00:00	IN	excellent
77.54372	10.12268	Periyakulam	2017-08-26	IN	good
8.86374	44.89784	Tortona	11 Jan 2020	IT	accep
46.58333	-21.15	Ikalamavony	06/07/2013, 00:00:00	MG	accep
-38.94722	-15.675	Canavieiras	09/24/2022, 00:00:00	BR	good
48.87498	38.45598	Astara	12/15/2012, 00:00:00	AZ	good
29.41824	45.99194	Artsyz	29 Feb 2016	UA	good
-78.87836	35.05266	Fayetteville	2017/04/06	US	excellent
4.52529	50.71229	Rixensart	2013/11/01	BE	accep
34.34691	61.78491	Petrozavodsk	2019-07-01	RU	average
10.18527	47.98372	Memmingen	05/20/2021, 00:00:00	DE	accep
-102.04897	19.64745	Paracho de Verduzco	01/26/2016, 00:00:00	MX	maintenance
25.34244	50.75932	Lutsk	17 Mar 2015	UA	excellent
85.83334	20.88197	Bhuban	14 Jan 2020	IN	good
59.80222	58.63667	Lesnoy	22 Oct 2018	RU	average
122.08333	46.08333	Ulanhot	10/24/2016, 00:00:00	CN	building
-35.71667	-8.66667	Catende	2021-04-13	BR	excellent
10.58082	35.72917	Msaken	05/29/2018, 00:00:00	TN	good
120.56528	14.66	Pilar	2021-02-03	PH	accep
38.07083	54.90083	Stupino	26 Apr 2021	RU	accep
38.15035	49.41029	Svatove	2014/07/23	UA	maintenance
16.91667	-21.98333	Okahandja	24 Dec 2017	NA	maintenance
120.33063	37.65181	Longgang	09/15/2014, 00:00:00	CN	average
34.02537	38.37255	Aksaray	06/12/2018, 00:00:00	TR	good
73.97117	31.96258	Naushahra Virkan	2015-10-31	PK	building
7.11393	51.08468	Burscheid	03/29/2019, 00:00:00	DE	good
0.57856	40.70995	Amposta	05/30/2013, 00:00:00	ES	accep
102.42587	15.58552	Bua Yai	2014-08-23	TH	maintenance
15.00913	37.51803	Misterbianco	2015-07-03	IT	accep
9.37082	36.08497	Siliana	07 Feb 2013	TN	accep
91.84128	22.83957	Manikchari	17 Jul 2019	BD	average
-35.03333	-8.28333	Cabo	2014/12/31	BR	building
75.11937	20.88098	Parola	11/01/2015, 00:00:00	IN	accep
70.91106	29.38242	Alipur	2018-02-14	PK	building
-71.08977	41.9001	Taunton	2015-03-20	US	accep
77.70636	28.98002	Meerut	2016/01/25	IN	excellent
-79.00453	-2.90055	Cuenca	06/21/2015, 00:00:00	EC	excellent
-118.10583	34.09611	San Gabriel	2021/06/27	US	good
116.10146	5.90702	Donggongon	09/15/2015, 00:00:00	MY	accep
-2.1875	51.26	Westbury	2021-01-23	GB	accep
-117.14392	32.9156	Mira Mesa	10 Sep 2013	US	excellent
-113.3187	53.51684	Sherwood Park	06/18/2021, 00:00:00	CA	average
109.3243	-7.0981	Randudongkal	15 Feb 2016	ID	good
100.04427	13.8196	Nakhon Pathom	2014/12/03	TH	average
-115.98391	36.20829	Pahrump	2013-07-15	US	accep
-122.2608	38.17492	American Canyon	2015/09/30	US	good
-63.90389	-8.76194	Porto Velho	2015-10-03	BR	excellent
68.88871	25.95533	Jhol	20 Mar 2021	PK	accep
88.58	23.18	Aistala	2020-07-23	IN	accep
-62.64102	8.35122	Ciudad Guayana	09/05/2018, 00:00:00	VE	accep
2.08333	48.86667	Marly-le-Roi	05/28/2019, 00:00:00	FR	accep
120.5875	16.455	La Trinidad	25 Feb 2022	PH	maintenance
-7.35	53.53333	An Muileann gCearr	2017/10/22	IE	excellent
-0.33525	53.7446	Kingston upon Hull	09/11/2020, 00:00:00	GB	average
13.31783	52.61131	Hermsdorf	2018-01-27	DE	building
76.03889	18.18158	Osmanabad	2021/02/02	IN	maintenance
-1.5443	50.75767	Lymington	2022-07-24	GB	average
8.73812	41.91886	Ajaccio	10/06/2012, 00:00:00	FR	excellent
-73.81669	45.44868	Pointe-Claire	24 Dec 2018	CA	average
65.27258	58.04254	Tavda	10/25/2018, 00:00:00	RU	maintenance
117.4831	27.34089	Shaowu	2013/08/30	CN	accep
-77.02303	38.70734	Fort Washington	04/06/2019, 00:00:00	US	accep
-6.00137	33.42585	Oulmes	14 Jun 2014	MA	accep
78.40102	27.9247	Chharra	11 May 2016	IN	good
0.75	52.41667	Thetford	2020/08/18	GB	good
