SO2	longitude	O3	NH3	CO	TEMP	Pb	CFCs	warning	CH4	PRES	PAHs	NOx	latitude	C2H3NO5	PM10	PM2.5	H2CO
5.85930	109.05389	7.65222	7.92773	8.86999	4.24400	36.54182	47.99548	1.00000	11.47662	1118.10309	7.61776	6.29315	-7.51611	0.05331	7.41719	7.35561	40.28372
7.35734	38.16694	8.78011	7.51267	6.43021	16.65985	59.68181	21.85994	0.00000	4.53275	1168.92893	6.25401	5.53580	54.84444	1.67282	11.21419	5.94288	35.79373
6.06054	-52.2	5.91340	7.35823	8.81038	18.86155	51.75160	34.44109	0.00000	8.75287	1147.94216	8.18710	9.93851	-28.44917	0.30430	9.36449	5.98599	66.82508
6.94401	120.5875	7.49632	7.54486	6.40134	21.92066	35.14979	32.95271	0.00000	4.31929	1121.89715	5.50113	5.56192	16.455	0.25067	9.15619	5.43715	54.66668
6.88527	6.26667	5.97346	7.17335	8.70581	7.59743	61.23821	63.91625	1.00000	7.44974	1050.14883	4.69816	8.36999	51.21667	0.05435	5.89578	9.93608	44.10720
6.99372	86.51499	7.04358	8.99009	5.18297	21.36467	72.10743	31.66663	0.00000	6.45193	1097.04954	6.43764	5.05509	23.1959	0.03727	6.52854	6.65450	69.04640
5.03064	99.96667	7.63955	9.43799	6.04329	15.96294	53.26795	41.01044	0.00000	7.79027	1118.72015	2.35711	6.50348	8.43333	0.04674	6.74120	5.28568	42.59933
7.12458	38.28402	7.29693	8.19213	7.31899	27.35662	54.49820	40.84052	0.00000	4.42266	1054.89255	5.31489	6.12721	34.5624	0.14137	8.41435	6.11377	48.63533
9.30412	22.53083	7.26751	8.22628	10.05280	20.29167	62.62675	54.18689	1.00000	7.70969	1196.74473	9.25229	8.06549	44.22639	0.21244	8.88640	7.69394	36.04018
5.73636	17.4674	8.95060	7.44985	5.81169	22.93847	39.17518	43.60474	0.00000	6.57418	1075.78440	5.20623	6.98309	50.86079	0.18065	8.76912	5.97613	81.22873
5.65735	15.87735	9.07485	8.14444	9.92363	31.32291	42.14771	49.43120	1.00000	10.32520	1180.53435	4.87483	8.04195	4.94273	0.06826	6.68302	8.16580	45.21551
5.18646	36.7138	6.68162	8.15073	9.99885	8.27736	58.54768	44.95967	1.00000	7.12822	1198.64751	5.02540	7.22387	35.95664	0.05457	6.66881	8.91471	47.80167
6.99763	-7.35	6.85598	8.55643	7.61596	24.43363	19.12503	52.57276	1.00000	7.43016	1171.17590	6.65323	10.77815	53.53333	0.05361	6.45450	6.98969	61.97238
