location	longitude	QoS	revision	code	latitude
Asia/Qyzylorda	65.50917	maintenance	01/31/2017, 00:00:00	KZ	44.85278
Australia/Brisbane	153.10236	average	17 Aug 2019	AU	-27.50578
America/Guayaquil	-79.59415	accep	2014-12-23	EC	-2.13404
America/Argentina/Buenos_Aires	-60.47389	excellent	2018/06/19	AR	-34.64167
America/Sao_Paulo	-51.50361	good	09/03/2022, 00:00:00	BR	-29.2975
Europe/London	-2.12139	excellent	11/22/2014, 00:00:00	GB	52.48173
America/Mexico_City	-101.2591	maintenance	08/01/2020, 00:00:00	MX	21.01858
Asia/Bangkok	99.89166	maintenance	22 Aug 2014	TH	15.46063
America/New_York	-82.35176	building	18 Jul 2015	US	27.71809
Asia/Manila	120.4861	good	09 Dec 2014	PH	16.0438
America/New_York	-74.07764	building	11/19/2012, 00:00:00	US	40.72816
Asia/Tokyo	135.6	good	03/26/2020, 00:00:00	JP	34.61667
Europe/Madrid	-6.03731	average	2022-08-11	ES	37.35813
Europe/Paris	2.18967	average	10/06/2013, 00:00:00	FR	48.8765
Europe/Moscow	34.33825	good	2018-01-28	RU	53.59782
Europe/London	-0.29825	excellent	12/22/2021, 00:00:00	GB	51.39148
Asia/Karachi	68.49143	building	18 Apr 2022	PK	25.80565
Europe/Madrid	-5.55835	building	2022/09/03	ES	42.64685
America/Mexico_City	-100.44843	average	2020-10-25	MX	20.74122
America/El_Salvador	-89.71472	average	05/19/2018, 00:00:00	SV	13.73417
Asia/Yekaterinburg	53.47103	average	2020/07/18	RU	54.48147
Africa/Tunis	9.37082	average	2018/08/05	TN	36.08497
Europe/Kiev	32.6178	good	17 Sep 2018	UA	46.65581
Africa/Dar_es_Salaam	38.01667	average	10/20/2012, 00:00:00	TZ	-5.41667
America/Bogota	-77.03116	good	07/12/2016, 00:00:00	CO	3.8801
Africa/Kigali	30.4347	accep	2017/12/11	RW	-1.9487
Asia/Karachi	68.75915	excellent	12/25/2017, 00:00:00	PK	27.52948
Africa/Dar_es_Salaam	38.01667	accep	27 Jul 2019	TZ	-5.41667
Asia/Kolkata	84.13864	excellent	21 May 2015	IN	22.88783
Europe/London	-0.32247	accep	2020/04/21	GB	50.82882
Europe/Minsk	31.3237	good	11/22/2020, 00:00:00	BY	52.4089
Europe/Paris	5.16108	maintenance	21 Nov 2021	FR	48.77275
America/New_York	-73.95097	excellent	2015/06/09	US	40.72371
Europe/Amsterdam	5.23333	average	12 Nov 2019	NL	52.09
America/New_York	-73.99681	average	09/29/2014, 00:00:00	US	40.94065
Asia/Shanghai	130.57211	excellent	2016-06-21	CN	45.75279
Asia/Karachi	73.38333	accep	2022-07-10	PK	31.71667
Europe/Rome	14.72443	average	05/13/2018, 00:00:00	IT	36.92574
America/Port-au-Prince	-72.09391	excellent	2013/02/12	HT	18.65297
