PRES	SO2	warning	CH4	NOx	PAHs	CFCs	longitude	latitude	H2CO	Pb	PM10	C2H3NO5	NH3	PM2.5	O3	CO	TEMP
1194.62246	9.63856	1.00000	11.75793	9.03755	9.83870	49.80826	-98.15529	26.18924	65.85104	69.37432	9.39386		10.61790	8.28787	9.39530	6.58095	13.03868
1081.89342	8.81651	0.00000	12.97116	9.53128	9.59705	69.48913	-73.97069	40.64621	55.70588	56.47931	7.97315	0.03703	5.94856	7.41688	9.31647	8.14697	3.05651
1088.10955	9.36373	0.00000	10.20421	9.18550	7.82423	64.84636	120.82747	37.30553	42.27270	78.30999	7.62802	0.03065	8.41257	6.94068	6.03195	6.64437	5.32421
1163.48889	9.26064	1.00000	9.28469	6.66091	8.99685	55.77326	1.6	43.11667	49.92825	49.59050	12.32168	1.89038	11.81441	8.27484	10.00343	9.20689	10.48606
1159.72962	9.91190	1.00000	12.04654	8.73735	10.22347	47.49630	73.06784	25.13915	64.62018	57.76738	11.12429	0.57546	12.35898	4.19793	12.79718	5.33508	11.31110
1109.98938	8.45405	1.00000	9.40331	9.44788	9.76345	43.23249	-63.90389	-8.76194	48.07982	44.98951	10.29051	0.25898	9.52924	8.31063	11.20978	10.46645	-0.64162
1132.01520	7.19830	1.00000	11.73519	8.58351	9.22069	35.11855	124.84472	10.13361	54.73036	61.73874	7.67494	0.02354	9.46102	7.87006	8.60152	7.95718	16.28085
1135.16671	9.05585	1.00000	11.79084	8.68940	9.88462	62.65327	-71.29144	41.54566	34.53605	36.20472	8.96922	0.07857	8.33115	9.50437	10.27336	8.06671	5.43358
1079.10970	9.54459	1.00000	9.95482	9.36033	9.00951	39.11992	8.96317	48.35149	56.67108	48.43311	8.71779	0.05966	8.63992	6.38571	5.00279	10.48903	7.89905
1124.67526	10.40419	1.00000	11.22890	8.07779	8.91505	60.17945	128.62667	34.8825	54.49602	44.94224	8.85265	0.06880	7.39422	8.84851	10.85314	9.66902	29.54043
1168.64605	9.74006	1.00000	9.77861	10.96718	10.15608	4.82276	71.21169	21.59983	41.88789	42.30505	12.07061	1.47411	12.38185	9.51812	10.86063	9.67116	4.11729
1126.51336	9.18694	1.00000	8.57173	10.75025	10.01813	47.79800	8.64409	48.07667	46.24859	41.59016	11.14753	0.59489	8.79762	12.19547	6.95042	7.98916	16.69981
1197.99423	9.15568	0.00000	11.10869	9.87544	9.31156	42.15810	-41.45861	-4.42472	70.83679	44.26446	7.84478	0.03812	5.60433	7.43524	6.27069	6.00545	34.75794
1115.53293	10.31129	0.00000	10.35072	8.43775	8.14164	34.10826	-93.12577	44.73941	36.82433	61.57347	7.27654	0.02485	5.52207	7.75337	5.52908	7.54628	16.36116
1136.13180	8.74441	1.00000	9.65111	9.99151	9.28493	35.23178	1.26738	51.84819	29.46281	74.19189	9.31270	0.10885	5.64104	8.50005	8.98086	12.31799	10.23735
1054.92962	8.64406	1.00000	10.52470	8.85590	9.73371	45.16990	115.70111	37.73222	50.56174	48.00739	9.62061	0.13488	9.78476	8.07027	9.93389	7.37751	29.67865
1162.46130	9.28653	0.00000	10.67621	8.44628	9.64842	31.40264	9.22796	48.46458	63.18605	61.14926	7.90478	0.03056	7.21037	8.90383	8.41952	6.88242	40.38510
1089.19092	7.38989	0.00000	12.07397	8.92217	10.39095	32.45879	-119.01677	36.06523	42.65323	73.89153	7.79281	0.02319	8.40695	6.02167	6.68728	6.21063	10.65442
1158.56590	7.75019	0.00000	14.67684	9.64318	10.83547	66.61599	-0.2	51.65	46.69969	54.27912	11.98413	1.35323	8.55717	7.18372	8.81083	9.91523	14.25306
1117.16039	9.98615	1.00000	10.63144	10.36425	9.59827	41.57679	-72.09391	18.65297	47.72167	42.16812	8.80226	0.06667	7.08093	6.20691	6.84627	11.83561	34.07680
1159.18039	11.68158	1.00000	8.92846	9.02435	9.73833	59.11953	2.95924	36.76775	30.72912	40.23457	10.97964	0.50145	10.60165	9.02923	10.54962	10.25798	-2.34078
1104.39877	6.79324	1.00000	11.70020	10.32182	9.17710	22.38840	5.03586	43.83125	67.62147	35.05598	11.57380	0.90032	10.29696	3.41535	12.96924	6.47735	-3.69626
1054.77302	7.52133	0.00000	9.58360	11.04843	9.53796	46.82193	6.51352	51.19139	55.76019	51.61483	10.63158	0.36532	11.45833	11.28134	7.77544	7.82978	17.66049
1072.15060	10.22579	1.00000	10.35883	9.35578	10.10915	52.68607	29.26639	37.58105	85.10458	60.58695	10.82270	0.42733	13.36477	11.30149	8.28216	6.77801	8.73155
1175.71171	11.15437	0.00000	10.18743	8.01191	8.70330	22.81167	-103.5687	20.22816	44.93671	40.42427	6.98388	0.01317	6.65425	8.07056	7.86407	6.91897	6.93235
1166.96270	8.34176	1.00000	12.28217	10.63588	9.91585	59.70941	14.51472	35.89972	34.93805	38.07454	6.47563	0.02109	10.70353	8.31814	5.77760	7.94286	10.87951
1197.79610	9.04350	1.00000	8.99797	7.16032	10.42626	42.90993	72.85107	19.30157	41.88521	70.09361	10.45973	0.30142	11.14249	11.96311	10.20610	10.75455	6.12468
1071.00887	8.92501	1.00000	10.29107	10.42916	9.94183	65.79858	78.14797	15.45144	59.51661	52.61696	7.18261	0.01721	6.41773	9.28922	6.29043	13.34507	29.79789
1086.93347	9.80260	1.00000	9.78114	9.78811	9.70693	64.21898	79.82979	11.93381	46.01372	38.23632	10.42210	0.29391	11.74758	8.11463	9.56982	8.35838	19.34061
1131.99265	9.43719	1.00000	10.28066	11.17056	10.36526	57.09785	136.51667	35	66.34386	58.72440	10.03931	0.20357	8.32016	5.66466	11.06714	9.60659	7.70869
1120.97463	9.41350	1.00000	11.57635	9.65736	10.31083	44.67194	-95.44744	29.53885	48.54703	44.48809	6.76950	0.01407	9.04298	9.74870	8.36813	9.72378	-0.98214
1095.01103	9.47016	1.00000	12.14111	9.99089	9.67462	61.08878	106.92667	-6.91806	73.63783	61.46653	6.91344	0.02431	9.75343	7.49404	5.33652	9.24730	25.70540
1096.54689	9.77885	0.00000	11.52631	9.52280	9.25355	56.03748	34.75699	31.39547	51.40925	51.65051	9.25893	0.09988	6.59959	6.36673	7.35507	7.22915	9.12418
1166.85952	9.55689	1.00000	9.04663	8.27330	10.98674	59.07081	-93.12577	44.73941	51.98055	41.30346	13.35628	5.29696	13.73369	7.97007	10.87073	8.04157	21.00715
1078.48601	10.10875	0.00000	10.11235	10.34409	10.39084	47.28027	-7.32097	41.1053	46.44036	30.73463	5.67217	0.01489	6.61257	8.13807	10.21377	4.63117	19.32999
1090.65282	10.01571	1.00000	10.84787	8.77181	10.08512	61.55660	-34.88111	-8.05389	70.98377	60.30792	6.53294	0.01542	9.83109	9.12573	6.82531	9.83773	15.95298
1151.85546	11.71988	1.00000	11.46416	9.70740	9.16625	38.48264	-71.29144	41.54566	26.04558	49.20838	6.29403	0.01846	8.37549	10.07454	6.01608	10.52013	33.67945
1080.87729	8.65339	1.00000	10.11710	10.09835	9.02018	35.47344	117.4831	27.34089	36.03778	25.77079	11.74551	1.06452	11.99286	9.51252	10.05004	8.94030	24.84979
1095.73391	8.52318	0.00000	11.13117	8.89193	9.08446	62.61387	8.73812	41.91886	60.73977	46.59685	8.41249	0.04913	8.72527	7.98419	8.61160	9.43606	17.38102
1140.79206	8.77417	1.00000	12.10524	9.10709	8.92826	60.07055	71.52847	32.57756	29.31452	55.95537	11.70234	1.01972	11.40487	8.01582	9.40968	7.33234	-0.95206
1142.11326	7.48669	0.00000	11.14542	10.22824	11.37252	37.36650	125.21972	-8.99167	38.39148	50.77620	7.59392	0.03483	8.01780	8.76658	11.20023	7.21923	8.42188
1190.43097	7.43284	0.00000	11.58950	9.20520	9.76857	69.89952	-48.29694	-20.87306	49.68983	66.13030		0.07398	7.35924	7.25787	8.70168	7.87708	6.73387
1125.38091	8.13555	1.00000	10.90404	9.10351	10.76941	58.72200	7.00417	52.26083	62.70470	38.45663	8.98292	0.07721	10.15411	7.16933	9.91052	6.36694	21.02119
1164.90336	9.09969	1.00000	9.65556	8.72285	9.80747	53.44526	-105.36369	22.49396	32.87795	46.43904	12.33619	1.91894	12.35199	8.90607	9.70501	8.31533	-3.54918
1176.72477	10.13119	1.00000	8.84512	9.60806	9.33162	48.52545	24.14662	65.84811	55.85969	43.46068	7.70846	0.03296	6.66933	9.67209	7.15858	13.63971	8.06155
1089.69915	8.46283	0.00000	9.96730	9.96126	7.33826	43.47795	-39.25	-12.91667	50.11396	56.02958	10.87046	0.44969	10.87963	9.64738	7.88961	9.92596	25.08839
1186.07176	10.50901	1.00000	8.41121	8.73109	10.00031	53.76614	-4.1	48	46.84951	42.57695	10.83907	0.43368	10.70012	12.93147	9.90035	10.84918	4.17256
1151.13458	7.09151	0.00000	10.02761	10.90239	10.73324	54.36256	-63.13414	46.23899	48.40249	69.71587	9.41493	0.11692	6.68727	5.86868	2.48491	6.51250	25.15836
1161.36451	9.76774	1.00000	10.37238	8.95993	9.50793	37.88131	6.26667	51.21667	56.15799	35.89249	9.94710	0.18972	8.91849	5.40679	9.10890	8.47222	28.10714
1165.35002	9.58625	1.00000	12.25296	10.65548	9.81977	57.26839	-1.99421	51.35084	57.45903	56.84723	10.35513	0.27457	10.77131	5.92717	11.32511	6.57119	10.36397
1166.14575	10.52595	0.00000	10.63343	9.39853	10.58762	36.70755	15.00913	37.51803	59.62064	32.83289	12.55145	2.36832	7.42377	10.29899	8.19067	9.43359	26.89625
1113.04824	7.91680	0.00000	9.33563	8.53658	10.08943	66.86500	79.883	6.9909	59.59500	37.02620	11.91442	1.25720	12.42022	10.69162	8.49699	9.97311	13.57729
1190.64375	11.01016	1.00000	10.17737	11.06654	10.14437	41.51932	-73.47429	40.68066	24.21487	68.04981	8.50352	0.05000	9.87644	7.15058	7.91320	8.69735	11.11528
1119.79570	10.39531	1.00000	9.50888	8.58878	9.91349	65.68355	30.4347	-1.9487	43.00120	33.36696	8.44082	0.04899	7.12325	8.82725	12.32803	10.92944	5.77235
1106.29245	9.56151	1.00000	9.78423	10.46960	9.32306	51.59444	0.47713	51.39323	68.51899	73.27586	11.26684	0.66266		8.78857	9.54969	8.96787	16.10492
1084.99426	8.54625	0.00000	9.83646	10.84682	8.25255	29.88953	-51.87389	-23.44361	29.57585	56.93693	7.29512	0.02060	7.71419	9.44209	7.87963	8.20093	17.97126
1081.12516	8.79106	0.00000	10.04877	10.07552	8.86345	41.81904	72.34424	40.78206	26.91400	58.64220	8.98854	0.08113	12.03506	11.73810	8.77669	7.03123	35.28523
1107.06934	10.75981	1.00000	10.53557	8.56636	9.73086	43.25824	72.54064	31.82539	63.07642	53.38803	8.12483	0.03517	7.92204	8.32449	7.68858	10.06133	0.41869
1179.71195	10.57463	0.00000	9.77447	9.15386	8.50982	56.97182	-8.33147	41.20485	51.36136	65.34353	6.83051	0.01477	9.40466	8.87589	10.49344	7.90659	17.70142
1095.54845	8.32139	0.00000	11.03961	6.34574	8.47651	36.37314	117.27583	35.64889	47.92682	48.64701	12.01926	1.40366	10.75388	10.10591	9.97962	10.01175	12.06405
1073.45903	10.34219	1.00000	11.01459	8.72116	9.45530	34.11984	77.23826	11.50526	53.38095	44.95791	12.66616	2.66323	10.42407	8.67438	10.29633	7.96402	8.37041
1078.84333	10.80516	1.00000	11.00544	7.58108	9.38321	63.95134	4.8951	44.92801	53.09666	45.09854	7.39343	0.02474	7.71424	9.45524	8.64632	10.15929	-13.97775
1177.81143	8.46504	1.00000	10.63338	7.88988	9.54779	46.05684	73.06784	25.13915	47.20697	43.79993	9.47144	0.12148	8.13027	6.95335	10.43842	8.80556	2.36385
1095.72982	8.69611	0.00000	11.80213	8.72547	8.95707	45.68847	34.4587	-13.7804	72.57537	27.22085	8.77956	0.06458	7.63429	8.95851	10.20415	9.39863	30.92448
1083.28186	7.52154	1.00000	9.60329	9.37316	10.24412	64.35465	33.34864	46.75451	44.21952	53.36253	9.91928	0.18315	6.40637	6.67566	9.91490	11.66998	11.52624
1191.32209	9.06440	1.00000	9.41691	9.97400	7.90901	45.08217	-0.33525	53.7446	52.81380	44.74858	7.95838		6.86401	9.21941	8.78907	12.13764	14.03810
1147.77264		1.00000	9.28017	10.75648	9.62907	26.06935	-89.64066	40.56754	42.74464	30.28703	10.46867	0.31077	7.19741	6.40508	12.07991	9.97193	5.59912
1158.58063	9.77290	1.00000	9.66450	10.27331	9.69797	66.95326	76.35484	10.10649	55.54839	60.22002	6.90934	0.01879	4.90538	11.59411	7.99681	14.37969	21.58368
1138.61779	8.68633	1.00000	10.81513	10.76881	9.81575	39.37120	9.29109	45.39402	58.52925	56.16423	9.02428	0.07762	8.96677	6.33370	11.42393	8.73911	14.75710
1117.58336	9.95561	0.00000	9.93002	9.25697	8.07808	45.91488	106.92667	-6.91806	56.08160	52.33590	10.74077	0.39418	11.23042	10.82047	7.99845	8.37064	20.41257
1129.28683	11.45576	0.00000	9.64053	9.64452	8.16741	49.67751	-82.61573	41.24255	71.86876	56.16798	11.77084	1.09569	9.02349	11.07006	7.22521	8.04213	22.04382
1099.93582	10.29552	1.00000	9.47760	8.30972	9.19280	41.49016	77.70636	28.98002	58.59333	57.18877		0.54211	6.05177	5.22591	9.95717	11.58057	-3.59558
1121.37726	8.01458	0.00000	11.60734	10.01132	9.41594	41.29635	71.52847	32.57756	52.10394	62.39396	9.29477	0.10371	10.90770	8.03088	9.51168	9.31103	4.46468
1160.71924	9.64791	0.00000	10.90078	8.41733	11.09447	74.92806	-74.96933	39.71734	52.59181	64.49043	9.65974	0.14569	10.50069	10.81369	6.94414	6.69203	12.32419
1089.37647	9.26545	1.00000	10.10556	8.24102	10.88231	47.19552	-40.7475	-4.16694	54.76266	41.84220	9.46525	0.12338	7.64348	6.23493	8.87537	10.93322	25.36027
1057.88984	9.10512	0.00000	9.14257	8.31532	8.72725	39.38041	100.24529	5.4709	55.36363	37.88451	10.56286	0.34464	11.83534	11.42497	7.81635	7.87200	7.52723
1132.04980	8.70581	1.00000	11.61832	8.48025	10.13965	50.61977	86.51499	23.1959	56.11029	71.32370	10.79066	0.41527	13.54408	8.83022	9.58721	6.11585	4.13225
1072.44228	8.79502	1.00000	12.18686	8.39703	9.44873	34.36379	-71.23106	-32.45242	54.09794	56.01785	6.83241	0.02043	7.46339	9.19717	8.27399	11.16341	13.19231
1181.92977	7.96847	1.00000	10.58665	8.03542	10.01057	45.34290	-68.3	-54.8	55.73153	46.52725	11.68706	1.00753	11.12702	8.60349	9.89884	8.60904	13.43127
1060.26548	9.83274	0.00000	12.56916	11.01364	10.53777	17.09261	-0.32247	50.82882	34.97835	62.19512	9.08775	0.08929	8.25640	7.21059	8.09497	7.93104	14.71406
1194.82723	9.62344	1.00000	8.34404	10.90576	9.08506	59.85144	43.2379	50.06	48.43646	52.93198	9.39529	0.11774	6.93108	6.91343	7.64532	12.93587	9.34146
1051.36568	8.60750	0.00000	9.98035	9.32223	8.75380	52.95846	8.86704	50.23805	44.18128	35.32447	8.92270	0.08055	9.16095	8.58747	6.26767	9.00852	32.70493
1080.20228	10.03658	1.00000	11.17682	9.64953	7.94295	51.98975	120.89694	14.95472	67.83441	60.81789	8.06982	0.04057	9.14809	10.28063	9.76683	8.13887	15.87635
1080.08843	9.63489	0.00000	10.55951	8.54577	9.82463	40.90609	137.02166	35.48199	59.24796	35.88796	9.06014	0.09191	8.88911	8.18551	7.76441	8.35250	11.85649
1123.09825	8.19318	1.00000	9.91135	6.49820	7.91437	61.44737	140.72287	53.14657	68.69518	59.83381	10.48584	0.31036	12.15798	8.83628	10.59811	7.50423	8.13584
1137.06032	9.01571	1.00000	9.88315	9.21497	8.88959	44.28617	8.64409	48.07667	57.45099	46.43976	8.09327	0.04161	6.98707	8.83516	8.49204	12.23157	22.57901
1088.84898	8.32549	0.00000	10.07443	8.84844	9.70275	51.70480	76.35484	10.10649	72.14221	50.29427	7.14187	0.02250	9.53980	7.14065	8.32708	7.41030	15.07092
1177.77347	9.55676	1.00000	10.32664	11.74241	10.46735	51.73119	72.68533	22.75218	57.64367	27.67247	11.49621	0.82873	10.26729	8.45900	9.18684	7.91577	18.57533
1136.72530	9.58132	0.00000	10.91156	8.67172	10.25917	58.46818	-88.42814	42.16808	49.08082	45.92806	10.27902	0.25396	10.33151	10.79664	8.86150	8.38125	34.24072
1063.26509	10.06543	1.00000	11.42727	11.43823	8.65404	47.82311	102.42587	15.58552	50.98205	57.86075	7.15293	0.01758	8.41080	9.09960	8.09265	10.43505	12.48822
1066.81844	8.93665	0.00000	11.40245	8.20580	10.01812	74.91093	-48.62789	-17.74431	44.96635	54.79383	10.96477	0.49866	10.39588	10.39836	8.52231	8.23121	5.02715
1154.99410	9.07995	1.00000	10.95436	8.84598	8.63757	32.12231	-50.19556	-19.72806	53.72598	37.26293	7.45863	0.02482	8.13338	7.19768	3.71676	11.08185	1.68913
1065.61748	9.29492	0.00000	10.13946	8.08228	9.05879	40.86233	-2.98884	43.32686	65.36798	60.64234	7.42258	0.02378	7.79617	8.59792	8.56643	8.20515	4.37382
1065.59460	9.44155	1.00000	9.21488	10.38252	10.32114	29.26961	118.9707	-3.5403	28.30063	50.70390	10.41058	0.28798	9.54315	12.50711	9.08149	9.85647	21.19896
1074.95305	6.82861	1.00000	10.59360	8.36074	7.72561	41.49947	20.89389	42.62833	52.26492	44.52514	11.57994	0.90165	9.44941	5.03348	12.15373	6.98744	13.98102
1169.18206	10.49673	0.00000	10.08559	9.22476	10.46328	43.10034	141.95	39.46667	51.76785	48.60882	7.92669	0.03654	6.94435	8.23400	8.17026	8.42639	
1182.29162	9.81173	1.00000	10.24800	8.68858	9.33094	60.19291	-90.10674	29.84576	45.23539	47.35870	9.39329	0.11252	8.51611	7.79976	10.10499	9.83334	13.99666
1182.91779	10.09107	1.00000	9.90847	10.49154	8.90724	42.73352	81.54855	26.2649	56.07164	56.07671	8.52160	0.05313	7.73575	8.53839	9.85566	10.52125	19.94152
1162.38497	9.27436	1.00000	10.59191	7.62036	9.59368	49.03072	-99.32556	19.32889	41.56547	66.90596	7.77792	0.02704	9.87329	6.83700	5.11139	10.13486	15.90671
1161.75543	9.62413	0.00000	9.91122	8.64652	11.16790	59.72758	3.16667	50.8	54.49230	60.12245	11.77733	1.10181	12.95296	11.40623	10.86091	9.42374	24.95285
1053.08166	9.52880	1.00000	9.70665	8.33117	11.54773	31.09333	-51.87389	-23.44361	59.31922	50.65130	11.44701	0.79640	9.85776	6.66753	11.82445	9.48362	-7.68753
