longitude	QoS	revision	latitude	station	location
-84.23381	good	2013/01/28	33.54428	Stockbridge	America/New_York
47.1192	average	12/02/2015, 00:00:00	42.819	Buynaksk	Europe/Moscow
4.18333	average	2019-07-27	7.6	Olupona	Africa/Lagos
72.54064	accep	20 Nov 2021	31.82539	Sillanwali	Asia/Karachi
8.86374	building	09 Aug 2019	44.89784	Tortona	Europe/Rome
-73.75513	average	12/23/2018, 00:00:00	40.60538	Far Rockaway	America/New_York
31.33078	accep	2020-07-06	47.56494	Voznesensk	Europe/Kiev
139.07204	building	12 Nov 2013	36.24624	Fujioka	Asia/Tokyo
-63.13414	good	03/08/2013, 00:00:00	46.23899	Charlottetown	America/Halifax
71.30633	excellent	2022/06/12	21.34222	Kundla	Asia/Kolkata
136.51667	accep	2014-09-14	35	Komono	Asia/Tokyo
-15.6	accep	04 Dec 2020	13.56667	Farafenni	Africa/Banjul
-86.19903	accep	2017/06/08	11.84962	Jinotepe	America/Managua
-44.31389	average	2013-04-16	-19.7625	Esmeraldas	America/Sao_Paulo
-69.96533	average	03/31/2016, 00:00:00	43.91452	Brunswick	America/New_York
7.11393	good	06/16/2015, 00:00:00	51.08468	Burscheid	Europe/Berlin
101.44167	good	13 Mar 2022	0.51667	Pekanbaru	Asia/Jakarta
83.36889	building	22 Feb 2013	26.76628	Gorakhpur	Asia/Kolkata
24.99798	accep	29 Jul 2020	-8.73508	Kamina	Africa/Lubumbashi
102.3278	average	2019/11/06	2.2139	Kampung Ayer Molek	Asia/Kuala_Lumpur
12.53463	accep	2016/02/10	55.67938	Frederiksberg	Europe/Copenhagen
139.07204	excellent	15 Dec 2014	36.24624	Fujioka	Asia/Tokyo
118.53333	accep	2022-07-11	27.92333	Pucheng	Asia/Shanghai
-82.07842	accep	01/26/2015, 00:00:00	26.91756	Punta Gorda Isles	America/New_York
29.41824	excellent	2019/11/13	45.99194	Artsyz	Europe/Kiev
69.49015	excellent	12/18/2013, 00:00:00	56.11281	Ishim	Asia/Yekaterinburg
79.5286	good	2015/02/13	29.22254	Haldwani	Asia/Kolkata
27.18052	excellent	2020-11-21	39.12074	Bergama	Europe/Istanbul
-97.03285	good	2019-09-12	47.92526	Grand Forks	America/Chicago
71.21169	average	2018-12-26	21.59983	Amreli	Asia/Kolkata
-84.13722	accep	2015-12-17	9.92787	San Rafael	America/Costa_Rica
-99.73314	maitennce	11 May 2013	32.44874	Abilene	America/Chicago
73.66633	average	08 Aug 2017	25.92493	Sojat	Asia/Kolkata
137.5	excellent	31 Dec 2017	34.9	Shinshiro	Asia/Tokyo
-88.70464	building	02/27/2020, 00:00:00	34.25807	Tupelo	America/Chicago
-0.76773	excellent	2021-07-13	38.38479	Novelda	Europe/Madrid
30.4347	good	2019/07/11	-1.9487	Rwamagana	Africa/Kigali
38.01667	accep	01 Apr 2020	-5.41667	Chanika	Africa/Dar_es_Salaam
136.13108	accep	2013/06/06	34.75856	Ueno-ebisumachi	Asia/Tokyo
-52.67056	good	2018-06-26	-26.22861	Pato Branco	America/Sao_Paulo
-72.22625	maintenance	16 Oct 2015	18.57677	Croix-des-Bouquets	America/Port-au-Prince
37.49338	accep	08 Sep 2019	55.62047	Tyoply Stan	Europe/Moscow
-84.62081	average	17 Aug 2017	42.7392	Waverly	America/Detroit
5.58472	average	2015-01-10	52.14	Barneveld	Europe/Amsterdam
48.87498	accep	2019/12/02	38.45598	Astara	Asia/Baku
49.62251	excellent	2021/07/20	27.0174	Al Jubayl	Asia/Riyadh
4.85668	excellent	2015-02-28	36.27462	Bordj Zemoura	Africa/Algiers
86.51499	excellent	2020-11-06	23.1959	Kenda	Asia/Kolkata
-41.25528	accep	2018/06/13	-19.32556	Resplendor	America/Sao_Paulo
9.47629	average	07/21/2016, 00:00:00	53.59337	Stade	Europe/Berlin
72.68533	average	06/08/2018, 00:00:00	22.75218	Kheda	Asia/Kolkata
-105.11221	excellent	07/03/2020, 00:00:00	39.57582	Ken Caryl	America/Denver
-2.31938	average	11/02/2017, 00:00:00	6.46346	Bibiani	Africa/Accra
-83.55521	good	05/31/2022, 00:00:00	41.66394	Toledo	America/New_York
-3.53261	good	21 Jun 2020	40.42386	San Fernando de Henares	Europe/Madrid
-73.97069	excellent	26 Dec 2019	40.64621	Kensington	America/New_York
7.02238	building	04/30/2019, 00:00:00	52.21099	Gronau	Europe/Berlin
113.13148	excellent	2019-11-24	23.02677	Foshan	Asia/Shanghai
-119.48568	excellent	16 Apr 2013	49.88307	Kelowna	America/Vancouver
-0.33525	good	08/15/2016, 00:00:00	53.7446	Kingston upon Hull	Europe/London
21.32778	excellent	2015-10-21	42	Saraj	Europe/Skopje
39.25	accep	2013/07/07	-6.8	Magomeni	Africa/Dar_es_Salaam
16.4	accep	11 Mar 2014	48.25	Floridsdorf	Europe/Vienna
76.35484	maintenance	2016/03/29	10.10649	Alwaye	Asia/Kolkata
28.67582	average	05/15/2021, 00:00:00	40.98894	Yakuplu	Europe/Istanbul
-48.29694	excellent	11/15/2019, 00:00:00	-20.87306	Viradouro	America/Sao_Paulo
114.51667	average	2015/06/27	33.78333	Wacheng	Asia/Shanghai
2.29026	building	10/09/2017, 00:00:00	48.77644	Sceaux	Europe/Paris
-73.75513	maintenance	10/17/2013, 00:00:00	40.60538	Far Rockaway	America/New_York
-82.32483	excellent	11/21/2018, 00:00:00	29.65163	Gainesville	America/New_York
-86.19903	accep	17 Jun 2020	11.84962	Jinotepe	America/Managua
-1.47217	average	10 Oct 2016	53.46506	Chapletown	Europe/London
-51.87389	excellent	2017/11/30	-23.44361	Sarandi	America/Sao_Paulo
20.91361	building	23 Oct 2016	41.92361	Bogovinje	Europe/Skopje
-43.80139	average	06/17/2018, 00:00:00	-20.25333	Itabirito	America/Sao_Paulo
139.07204	accep	2013-12-20	36.24624	Fujioka	Asia/Tokyo
12.6723	average	12/19/2015, 00:00:00	41.72063	Ariccia	Europe/Rome
-51.50361	average	2020/01/27	-29.2975	Carlos Barbosa	America/Sao_Paulo
-85.76942	building	2016/01/30	39.78504	Greenfield	America/Indiana/Indianapolis
38.94324	accep	2020/04/25	44.98901	Yablonovskiy	Europe/Moscow
73.06784	excellent	27 Apr 2021	25.13915	Sheoganj	Asia/Kolkata
101.02083	excellent	2014-07-16	4.02219	Teluk Intan	Asia/Kuala_Lumpur
9.00472	maintenance	13 Jul 2017	4.2475	Idenao	Africa/Douala
-105.36369	average	2016-02-10	22.49396	Acaponeta	America/Mazatlan
77.70636	excellent	2015-10-09	28.98002	Meerut	Asia/Kolkata
4.47124	good	2021/03/04	51.95838	Schiebroek	Europe/Amsterdam
48.41667	accep	2014-04-22	-17.83333	Ambatondrazaka	Indian/Antananarivo
-0.32247	maintenance	2021-05-12	50.82882	Lancing	Europe/London
-7.32097	maintenance	2014-04-12	41.1053	Custoias	Europe/Lisbon
1.6	good	04 Jun 2019	43.11667	Pamiers	Europe/Paris
36.25361	maintenance	2016/10/12	47.48444	Polohy	Europe/Zaporozhye
-50.00639	good	12/09/2014, 00:00:00	-25.42944	Palmeira	America/Sao_Paulo
-74.73584	maintenance	2021/09/27	5.20856	Honda	America/Bogota
-78.04471	average	05/09/2020, 00:00:00	34.25628	Leland	America/New_York
28.19028	good	2013-10-13	59.37722	Narva	Europe/Tallinn
150.99292	building	09/29/2012, 00:00:00	-33.75881	Baulkham Hills	Australia/Sydney
38.66667	good	2017/09/16	-6.25	Mvomero	Africa/Dar_es_Salaam
34.8732	excellent	2021-09-21	32.05971	Ganei Tikva	Asia/Jerusalem
73.38333	building	21 Mar 2022	31.71667	Sangla Hill	Asia/Karachi
-105.36369	excellent	03/20/2021, 00:00:00	22.49396	Acaponeta	America/Mazatlan
2.1699	excellent	2020-02-14	48.98994	Herblay	Europe/Paris
3.47717	good	2015/07/05	36.76639	Boumerdas	Africa/Algiers
100.48528	excellent	04 Apr 2015	14.37395	Bang Ban	Asia/Bangkok
-48.62789	excellent	2014-10-04	-17.74431	Caldas Novas	America/Sao_Paulo
-76.70944	accep	06/13/2015, 00:00:00	-11.94306	Chosica	America/Lima
-96.39774	acceptable	2013/08/10	30.16688	Brenham	America/Chicago
12.38878	maintenance	10/17/2016, 00:00:00	43.1122	Perugia	Europe/Rome
-86.58208	average	2015/09/08	13.48082	Somoto	America/Managua
7.36027	good	2016/09/18	51.20219	Radevormwald	Europe/Berlin
-44.31389	maintenance	04 Oct 2016	-19.7625	Esmeraldas	America/Sao_Paulo
68.11759	excellent	11/16/2020, 00:00:00	26.9423	Tharu Shah	Asia/Karachi
11.412	average	08/08/2013, 00:00:00	45.50369	Montecchio Maggiore-Alte Ceccato	Europe/Rome
-4.10734	accep	19 Aug 2015	38.68712	Puertollano	Europe/Madrid
76.0586	excellent	2013-03-08	16.06213	Hungund	Asia/Kolkata
-88.42814	excellent	08/16/2020, 00:00:00	42.16808	Huntley	America/Chicago
-84.50855	good	2018/06/26	39.08367	Covington	America/New_York
88.28637	building	01/19/2022, 00:00:00	23.07492	Pandua	Asia/Kolkata
