latitude	H2CO	C2H3NO5	longitude	PRES	CH4	PM10	PM2.5	CO	TEMP	NOx	PAHs	CFCs	warning	O3	SO2	NH3	Pb
43.96222	48.93092	2.66079	43.63417	1062.76947	7.27840	11.08756	6.99091	8.92013	12.80815	7.13179	7.62112	55.88268	0.00000	7.43128	7.65454	10.59797	54.00795
53.77166	65.62537	0.08137	38.12408	1081.71801	7.30304	6.21891	7.56152	5.49744	15.91964	5.13349	4.87737	34.35652	1.00000	8.01134	10.25948	5.83866	50.66883
41.24255	42.85543	0.05999	-82.61573	1169.45907	9.81051	4.68737	9.03415	8.97837	21.40518	6.92033	6.47790	48.59366	1.00000	8.44807	8.57196	4.40220	47.02884
26.91756	49.68466	0.62620	-82.07842	1121.38836	8.16805	9.55617	8.49896	6.13492	14.55194	5.23769	9.05666	64.04106	1.00000	8.25089	9.17278	6.23154	38.19380
-27.50578	40.48671	0.29925	153.10236	1193.58381	6.67606	8.67720	7.61901	10.64594	39.10710	7.99355	7.14129	72.61941	0.00000	9.48508	7.66987	8.44901	69.32964
48.73218	67.29930	1.05429	11.18709	1119.64867	7.27976	10.14022	7.44477	7.91507	11.39318	6.84006	7.45501	49.76643	1.00000	7.36232	9.14342	7.37501	47.40467
10.66668	36.74936	0.06015	-61.51889	1120.57805	5.94392	6.27558	7.67290	8.42626	10.04969	7.46626	7.80954	63.02081	0.00000	8.28984	6.38543	5.51379	52.64780
25.75728	74.81842	0.15777	75.37991	1085.19925	6.49432	7.89765	8.16906	9.49039	24.19074	8.02056	5.09560	59.25385	0.00000	6.95304	8.37256	9.23991	52.44001
50.88506	32.81395	0.10904	4.07601	1101.71957	6.85631	7.44801	7.75585	7.87051	2.51941	5.31289	8.75272	37.78348	1.00000	7.47998	7.56256	7.53931	65.29338
53.78333	61.40388	0.07556	-1.06667	1070.79114	7.80234	7.11927	8.70046	6.39004	21.71011	5.17272	7.32027	55.47360	1.00000	7.47240	7.69617	6.36295	71.26330
