station	QoS	longitude	location	revision	latitude
Sinhyeon	accep	128.62667	Asia/Seoul	01/01/2016, 00:00:00	34.8825
Suzaka	excellent	138.31667	Asia/Tokyo	2021-08-23	36.65
Great Wyrley	building	-2.01111	Europe/London	02 Sep 2020	52.66277
Heyuan	average	114.68333	Asia/Shanghai	06/01/2017, 00:00:00	23.73333
Eisen	average	128.63083	Asia/Seoul	2016/08/24	36.82167
Kearns	average	-111.99633	America/Denver	11/01/2021, 00:00:00	40.65995
Sukabumi	good	106.92667	Asia/Jakarta	2020-10-30	-6.91806
Yonkers	good	-73.89875	America/New_York	2016-10-29	40.93121
Valinhos	accep	-46.99583	America/Sao_Paulo	2019-05-10	-22.97056
Otegen Batyra	maintenance	77.0202	Asia/Almaty	2020-11-18	43.41949
Kulai	maintenance	103.6032	Asia/Kuala_Lumpur	2018-05-08	1.6561
Kashira	excellent	38.16694	Europe/Moscow	09/09/2016, 00:00:00	54.84444
Bua Yai	excellent	102.42587	Asia/Bangkok	2018-07-03	15.58552
Porto Velho	maintenance	-63.90389	America/Porto_Velho	29 Apr 2018	-8.76194
Memmingen	good	10.18527	Europe/Berlin	2013-01-26	47.98372
Ramla	excellent	34.86563	Asia/Jerusalem	07/20/2021, 00:00:00	31.92923
Chacabuco	maintenance	-60.47389	America/Argentina/Buenos_Aires	2022/07/14	-34.64167
Puducherry	good	79.82979	Asia/Kolkata	2021/06/15	11.93381
Kallio	excellent	24.95034	Europe/Helsinki	09/08/2019, 00:00:00	60.18427
Hlukhiv	excellent	33.9162	Europe/Kiev	07 Apr 2019	51.67822
Guaraciaba do Norte	average	-40.7475	America/Fortaleza	10/17/2014, 00:00:00	-4.16694
Jersey City	average	-74.07764	America/New_York	2017-03-12	40.72816
Hoxtolgay	accep	86.00214	Asia/Urumqi	12/21/2013, 00:00:00	46.51872
Kaukauna	average	-88.27205	America/Chicago	17 May 2014	44.27804
Diwek	good	112.23109	Asia/Jakarta	20 Oct 2015	-7.57897
Uran	excellent	72.93924	Asia/Kolkata	20 May 2021	18.87813
Covington	excellent	-84.50855	America/New_York	2018-08-29	39.08367
Sirsi	good	74.83554	Asia/Kolkata	2018/02/02	14.62072
Agrigento	good	13.57661	Europe/Rome	19 Sep 2020	37.31065
Colomiers	maintenance	1.33467	Europe/Paris	02/18/2016, 00:00:00	43.61058
