CO	NH3	PRES	PM10	PM2.5	O3	SO2	Pb	PAHs	CH4	longitude	latitude	CFCs	H2CO	warning	NOx	TEMP	C2H3NO5
8.45885	8.27678	1100.52169	9.57418	9.79343	8.46744	8.48777	52.81935	8.43094	6.58788	14.43865	40.87329	49.73425	63.82791	1.00000	6.49414	24.57960	18.60291
9.25235	7.08627	1050.11671	7.63605	8.65884	7.29938	8.21987	35.20241	8.62258	7.63304	-70.92866	42.52787	62.30284	32.00364	0.00000	7.56976	19.76422	3.63032
10.18595	9.88577	1189.12381	8.05662	5.96891	8.62045	9.42105	59.60146	5.88324	6.38657	16.50104	41.24264	43.41085	38.45175	0.00000	8.52085	17.39665	4.65173
7.93246	7.60301	1065.67263	9.33306	9.23235	4.46701	4.85574	56.05600	10.01903	7.06863	9.29109	45.39402	65.16236	47.39564	0.00000	6.20027	11.36767	14.32903
10.82808	8.37791	1197.75355	8.93657	6.49928	8.88793	10.07302	64.04704	10.47499	5.12194	71.67164	30.29184	56.85964	51.48554	1.00000	8.28318	5.38134	10.74344
8.12375	7.58654	1068.18820	7.63700	8.24299	9.37885	8.54876	43.32590	7.36676	7.56639	120.03308	28.88162	64.50440	67.12381	1.00000	7.16724	8.06057	4.11877
10.05686	8.24516	1197.96320	8.53889	11.41993	8.23486	9.71949	62.63374	10.09044	5.43769	75.11937	20.88098	42.52119	38.91205	1.00000	8.09315	2.19284	7.07933
9.74619	7.63422	1162.78711	9.47270	5.61356	7.60210	10.25008	65.46289	6.76871	6.94206	-105.11221	39.57582	50.71140	68.25673	0.00000	8.20598		16.93304
9.66725	5.87399	1125.56464	6.53164	10.28872	8.52855	7.01246	50.04946	11.01398	7.25930	79.82979	11.93381	53.07816	37.16251	0.00000	7.08455	13.72101	2.66718
9.15096	7.94430	1126.05902	7.09894	7.71215	8.85122	3.98257	64.69367	6.16991	8.15650	2.59753	8.88649	53.45092	64.55097	1.00000	6.47107	20.89808	3.06072
8.26928	8.01469	1149.79035	8.26161	7.80860	5.10734	6.63027	58.41404	10.82685	5.71647	-72.09391	18.65297	45.67266	45.86017	0.00000	7.60200	7.77760	6.43152
10.66031	8.39108	1098.07038	7.33009	8.11116	7.80399	6.72203	48.10711	8.82170	3.70783	-75.64963	40.24537	32.05987	69.36435	0.00000	7.71216	19.96550	2.76651
10.84501	8.10896	1177.24772	6.69833	10.32133	8.09385	5.87291	38.34429	8.69753	10.28277	-68.30472	9.91861	23.80969	58.71954	1.00000	7.38928	25.17721	2.78467
8.57592	7.22367	1159.21856	7.98852	8.88333	8.23859	8.09585	60.58382	8.65442	6.18877	75.37991	25.75728	22.71109	72.82127	1.00000	9.30798	11.16127	4.62553
8.70818	9.28941	1077.59745	8.12891	8.76844	6.94490	8.12909	45.03295	9.52893	7.73912	-73.02841	-36.9256	48.13704	51.28444	0.00000	7.60957	25.76546	5.43084
10.18925	9.20408	1163.82270	7.31084	10.28866	9.36946	5.89314	50.24869	6.06278	9.17873	-42.19667	-21.41222	43.68985	82.22475	1.00000	7.34516	11.14929	3.08283
9.71373	6.54146	1124.79692	7.00827	8.74857	6.97916	7.80674	45.80437	7.84698	7.55933	34.75699	31.39547	61.82326	27.76288	1.00000	8.87723	4.68990	2.82691
8.06696	8.22289	1137.37614	8.08363	7.22611	6.81996	5.81081	64.19777	8.96655	7.74073	-100.88023	20.21322	70.07048	53.35882	1.00000	6.88293	16.52024	4.15493
9.14446	6.52795	1199.01018	7.46869	10.81627	11.30071	9.50587	28.39580	8.51783	7.31991	51.49621	36.64852	59.97780	41.49965	1.00000	7.20400	10.28769	3.52043
6.18835	7.43403	1085.19955	8.40998	6.97728	2.99389	5.40936	53.04918	8.94322	4.72625	-71.08977	41.9001	33.77817	69.34012	0.00000	8.93947	11.94359	6.02942
11.38460	6.08067	1083.26540	6.97801	9.72698	9.06470		48.40842	8.09639	8.00845	-1.5443	50.75767	27.45979	21.86805	1.00000	8.40389	18.82293	2.90287
8.33974	7.14627	1195.25025	7.66538	8.46035	9.29996	6.25749	45.89731	4.91650	8.83634	-117.23991	47.64995	63.70557	81.13729	1.00000	6.60728	7.41315	3.77587
7.75258	7.33964	1191.64073	7.28549	7.42455	8.86147	7.76786	64.70981	8.50548	9.51009	38.66667	-6.25	61.64173	49.11667	1.00000	7.30621	11.67835	3.46461
8.98758	8.16403	1126.19893	7.80176	8.76423	6.01289	8.13359	49.94146	9.64241	4.92510	-73.25383	-3.74912	47.92071	76.63289	1.00000	8.67645	3.08871	3.56295
9.91830	7.38231	1193.87043	8.34647	8.68568	6.66407	6.10350	45.10475	9.39126	5.33845	-65.71875	-21.44345	42.78375	16.79216	0.00000	7.39148	18.79534	7.41979
9.35481	7.51028	1099.80170	7.42487	10.43783	7.66922	4.85740	63.32206	8.96138	5.32897	-69.96533	43.91452	31.90033	64.96695	0.00000	8.65896	5.90966	3.09059
7.50424	7.35927	1130.02457	7.33732	7.27959	7.89630	9.05148	60.64915	7.01147	7.08154	-82.46148	28.15112	49.08464	44.85005	0.00000	7.62266	17.43224	3.17085
10.77633	6.87921	1149.41268	7.94038	8.83458	9.51939	4.39188	50.61171	8.31472	10.53840	-94.74049	32.5007	30.52210	53.67777	1.00000	7.08393	20.45445	5.36058
8.11757	7.39251	1052.32385	7.09015	8.83370	5.88308	4.91049	53.86924	8.88820	4.53923	28.19028	59.37722	58.16832	16.98681	0.00000	6.86303	21.49752	2.97295
9.67074	8.49257	1053.34134	5.63047	7.01627	8.32416	8.57798	38.98048	10.10636	5.03227	26.97253	49.65186	31.81764	58.34578	1.00000	7.60323	-4.62970	2.68270
9.18823	8.82625	1065.53654	6.99688	5.43625	10.95983	7.53939	38.91121	7.58380	5.37752	5.23333	52.09	59.62168	35.53910	0.00000	8.29579	5.62528	3.25059
8.01206	9.37423	1125.62009	5.98134	7.06285	8.55678	4.90234	63.36841	6.43763	7.11172	30.38167	59.80917	64.30615	43.78912	1.00000	7.87598	13.35813	2.60847
10.27338	6.32522	1162.49142	6.81415	6.45121	8.25791	8.39718	72.85238	6.06703	7.10256	121.96361	6.95194	49.11988	62.49620	0.00000	7.17765	15.55890	2.21417
9.54717	8.23512	1132.97559	7.89607	6.86548	7.99762	8.57900	49.61578	8.83071	5.75542	-69.96533	43.91452	37.97874	80.30666	1.00000	7.31525	13.60744	3.94840
8.35193	9.22768	1059.96455	7.51275	9.66258	11.55424	9.34980	20.89140	7.08026	8.49524	117.33333	34.85	43.61626	39.95372	1.00000	6.63861	20.63966	3.10586
9.59319	7.68171	1069.04541	7.20822	8.65008	8.45568	4.82798	54.52809	6.54101	9.79821	12.19458	10.61285	38.08845	39.61685	1.00000	8.98440	3.39663	2.23090
8.15188	6.90925	1056.38592	7.52194	9.03849	8.68216	8.64060	44.08821	8.66845	7.90283	111.50861	32.54278	32.15511	67.10991	1.00000	8.21762	25.19547	3.24641
9.93217	6.97138	1121.46319	8.28337	9.22082	9.50000	10.50981	44.22244	9.36640	6.53020	71.57118	32.87533	40.58751	44.14971	1.00000	8.92573	14.10217	4.70563
7.22830	7.13953	1070.32482	7.47102	8.85726	5.88669	8.18475	36.60820	11.38886	8.97595	5.4384	43.2907	47.11206	33.80722	0.00000	6.81454	17.96210	3.12824
11.21598	8.61512	1058.91866	6.19428	5.18716	7.42903	8.86713	57.95206	6.75056	7.13091	38.28402	34.5624	54.61010	72.21841	0.00000	7.76539	8.73460	3.09960
9.81428	6.60550	1123.49427	9.07172	8.58899	8.03582	3.27104	50.41877	6.34699	6.94598	-82.42491	42.97086	39.16126	55.00152	1.00000		20.59529	10.68389
8.91966	5.34028	1066.95027	7.38517	6.06453	10.41746	8.93735	61.34116	6.37667	5.31906	68.75915	27.52948	51.35678	49.21776	0.00000	7.53241	9.49061	3.10766
6.12395	9.43514	1092.79805	8.53253	7.60037	9.67185	11.20309	38.15121	6.16535	5.41355	-52.35558	-14.66463	71.35737	61.98169	0.00000	6.60731	18.60161	7.49484
8.17018	10.56613	1113.42572	6.90904	9.03490	6.07863	5.70624	56.10663	10.45877	5.74473	115.04814	30.24706	45.63395	55.40075	0.00000	7.89847	2.48664	1.91292
7.72026	9.10061	1177.70718	7.69113	7.49539	8.82753	10.17681	63.64510	4.94838	6.04846	16.4	48.25	51.63946	37.64608	0.00000	8.01113	23.88188	3.90216
9.12126	9.03904	1139.69272	7.15281	7.74830	8.88622	4.49294	64.94500	5.82995	10.04722	-76.78319	18.00747	74.38790	48.53764	1.00000	7.63113	10.26924	3.76094
10.53187	6.60076	1191.53442	8.56159	8.67136	8.79727	10.47874	62.66411	10.18297	5.60600	-93.71133	41.57721	35.10965	56.26475	0.00000	7.62369	9.14761	6.79313
9.04944	7.68923	1137.53409	7.19914	6.16503	11.16980	7.02477	35.77770	6.99486	5.56214	-0.74934	51.62907	60.87246	67.46064	0.00000	7.75045	-4.89595	2.89021
7.64017	8.14826	1147.34958	6.76904	9.42604	9.47497	8.37762	32.25058	8.78673	6.96509	-87.882	41.85059	59.01499	41.78135	1.00000	6.33795	30.89648	1.63436
12.00730	8.55473	1187.75876	8.84034	6.10085	8.56569	9.54218	38.17496	11.94565	3.35186	14.39024	42.22718	49.21093	47.60284	1.00000	7.66826	10.93059	9.20642
7.16992	7.15131	1167.81300	7.98167	6.93710	10.52515	6.64147	69.89482	3.54155	10.03523	89.11943	23.9028	47.85232	49.05322	1.00000	8.30876	6.40713	4.16408
7.83349	7.83500	1129.04187	7.37665	9.80074	8.36913	7.76644	46.80544	8.77163	6.33785	2.18967	48.8765	49.21535	63.21241	1.00000	6.96789	6.37587	2.94841
7.21969	9.05659	1064.31868	9.35124	11.45924	10.05066	8.53324	50.24740	9.44319	6.96711	-122.24064	47.80527	54.39285	57.66219	1.00000	7.51546	13.91789	14.84459
9.42112	7.98190	1183.56606		9.58131	8.18609	6.27678	48.12451	8.99674	5.26380	-80.58556	22.98212	45.39302	51.28708	0.00000	7.65733	17.36308	3.59141
8.04695	7.58849	1116.83553	6.20513	6.49460	10.10069	9.14182	49.02063	6.72037	5.60615	18.34717	54.60528	55.17143	46.18145	0.00000	7.75438	3.50457	2.54647
9.40240	7.40758	1148.44119	6.26809	7.30942	9.44757	8.78326	68.06343	9.23381	5.97973	128.62667	34.8825	35.43858	39.76168	0.00000	7.88294	27.98439	1.38294
10.42221	7.63903	1184.95655	8.78868	11.39436	9.24177	6.30258	46.52679	4.76937	9.48258	35.23388	31.78336	55.72273	58.75712	1.00000	7.47114	20.71245	8.43046
8.99019	7.89235	1163.46237	10.14874	7.05873	8.23444	7.23474	51.53943	6.71023	7.61383	31.4976	26.67319	53.89962	48.66547	0.00000	8.77710	6.11673	30.95213
9.05765	9.20008	1151.63355	7.73833	9.77331	5.46471	4.12765	70.54261	8.55624	5.63417	-89.10944	13.70167	62.70288	53.85654	0.00000	6.20652	1.52948	4.34905
10.23140	8.31719	1130.94437	9.49744	8.80615	9.50107	8.48702	61.76459	9.67411	5.25614	4.7934	45.69558	4.67303	53.11441	1.00000	7.76278	15.50969	16.02638
10.16590	7.28735	1085.83551	7.89936	7.65432	9.73290	3.61199	41.62958	7.44177	10.40588	-1.48119	53.0233	32.23828	61.58289	0.00000	9.99065	7.24046	3.91899
8.18992	7.23341	1095.98722	7.06069	4.35454	10.51264	5.08134	33.86750	11.64364	9.97457	69.01354	38.55632	50.79769	63.18398	1.00000	8.97255	12.95647	1.74928
7.32684	9.03127	1186.82290	6.79582	10.14791	5.26688	5.49748	43.77901	8.53067	8.38680	3.50309	34.15429	55.47279	45.45789	0.00000	3.97400	28.96472	1.78574
10.57039	8.39496	1148.46242	6.84308	12.15707	9.44518	7.72725	62.34109	6.79234	8.00250	120.89694	14.95472	53.40128	45.24250	1.00000	9.27088	18.24787	1.03213
8.73512	7.65082	1105.53857	6.97036	11.34331	10.11031	10.64021	61.78231	7.71096	8.28884	13.28702	52.4581	18.29884	50.44236	1.00000	7.88164	31.59488	2.52409
10.85396	8.05639	1068.07167	6.74613	11.44543	8.54366	5.28912	31.25671	6.17412	7.34104	-111.78903	33.35283	74.60804	69.26286	1.00000	5.73023	11.93339	2.00725
8.63006	7.42982	1117.71756	6.70421	7.58933	9.16619	9.57724	52.32858	7.95076	7.46400	-4.83076	39.96348	44.15161	57.22476	1.00000	8.42738	7.85397	1.50128
9.01482	7.30319	1172.32863	7.22404	7.50568	10.35845	6.05196	49.43499	7.47409	11.13432	-67.33122	10.22677	47.71496	48.95117	1.00000	6.44223	20.27992	3.85216
10.95931	7.95060	1051.69028	7.92827	9.69850	8.49811	7.77550	65.98936	9.66712	7.56214	-41.88778	-21.205	59.40556	33.60869	0.00000	8.64610	6.33032	4.85638
9.08633	10.74438	1061.43625	6.59470	4.34365	10.27853	9.11719	50.80423	8.05415	4.97543	75.37991	25.75728	66.62056	64.67743	0.00000	8.34254	3.43615	2.50032
7.07067	6.50124	1054.34129	8.18515	8.08565	3.28085	4.73415	48.85059	8.57772	5.77450	18.28333	59.33333	52.40899	59.11900	0.00000	7.72437	15.73502	5.04557
