longitude	code	revision	latitude	QoS	location
34.33825	RU	06/28/2014, 00:00:00	53.59782	excellent	Europe/Moscow
-77.02303	US	2013/05/23	38.70734	accep	America/New_York
125.21972	TL	2017/09/30	-8.99167	building	Asia/Dili
-74.01042	US	06/16/2013, 00:00:00	41.50343	good	America/New_York
-60.94228	MQ	09 Feb 2015	14.67751	good	America/Martinique
20.89389	XK	11 Sep 2017	42.62833	average	Europe/Belgrade
5.03586	FR	2017/07/24	43.83125	excellent	Europe/Paris
13.31783	DE	2020/02/09	52.61131	average	Europe/Berlin
34.34691	RU	23 Jan 2021	61.78491	excellent	Europe/Moscow
51.49621	IR	2015-08-16	36.64852	maintenance	Asia/Tehran
5.37429	BE	2014/05/26	51.03427	good	Europe/Brussels
91.84128	BD	2016-12-27	22.83957	maintenance	Asia/Dhaka
-113.3187	CA	2014/07/02	53.51684	building	America/Edmonton
-74.13653	US	14 Nov 2021	40.63316	good	America/New_York
141.95	JP	2014-03-08	39.46667	good	Asia/Tokyo
20.89389	XK	02/02/2021, 00:00:00	42.62833	maintenance	Europe/Belgrade
10.18003	LY	2016-09-04	24.96334	average	Africa/Tripoli
-61.51889	TT	25 Aug 2021	10.66668	good	America/Port_of_Spain
135.6	JP	2013-01-07	34.61667	maintenance	Asia/Tokyo
43.67663	RU	22 Nov 2015	53.53041	accep	Europe/Moscow
-47.1725	BR	2017/06/23	-22.57306	maintenance	America/Sao_Paulo
4.92235	NG	05 Mar 2017	7.65649	average	Africa/Lagos
118.9707	ID	06/26/2020, 00:00:00	-3.5403	good	Asia/Makassar
-65.71875	BO	06 Dec 2020	-21.44345	excellent	America/La_Paz
38.66667	TZ	2013-06-28	-6.25	excellent	Africa/Dar_es_Salaam
10.5511	DE	30 Apr 2020	52.47774	excellent	Europe/Berlin
86.00214	CN	30 May 2014	46.51872	average	Asia/Urumqi
12.53463	DK	2017-01-18	55.67938	excellent	Europe/Copenhagen
8.86374	IT	2013/04/28	44.89784	excellent	Europe/Rome
-80.08199	US	2019/08/19	35.88264	accep	America/New_York
-74.07764	US	04/20/2021, 00:00:00	40.72816	average	America/New_York
-7.32097	PT	2022-08-21	41.1053	accep	Europe/Lisbon
-80.22588	US	2018/07/09	26.2173	good	America/New_York
-69.08333	PE	2017/09/21	-16.25	excellent	America/Lima
51.49621	IR	2016/01/26	36.64852	excellent	Asia/Tehran
-37.65	BR	2021-06-29	-10.91722	accep	America/Maceio
-52.35558	BR	20 Mar 2021	-14.66463	maintenance	America/Cuiaba
-98.11889	MX	12 Jul 2017	19.04222	accep	America/Mexico_City
-3.52751	GB	2020/06/10	50.7236	excellent	Europe/London
-82.07842	US	24 Feb 2020	26.91756	excellent	America/New_York
-103.42897	MX	2015-08-27	20.28527	excellent	America/Mexico_City
-52.67056	BR	08/09/2017, 00:00:00	-26.22861	good	America/Sao_Paulo
-58.70072	AR	2019/03/11	-34.74785	excellent	America/Argentina/Buenos_Aires
120.74792	CN	2017/08/05	41.09822	building	Asia/Shanghai
117.4831	CN	16 Dec 2019	27.34089	excellent	Asia/Shanghai
68.75915	PK	2014/12/07	27.52948	accep	Asia/Karachi
-73.25383	PE	2017-11-28	-3.74912	average	America/Lima
74.83554	IN	16 Oct 2019	14.62072	average	Asia/Kolkata
146.05093	AU	2017-09-11	-34.28853	accep	Australia/Sydney
43.91385	RU	21 Nov 2018	54.03876	maintenance	Europe/Moscow
69.49015	RU	2014/12/18	56.11281	good	Asia/Yekaterinburg
