PM2.5	C2H3NO5	SO2	CO	warning	latitude	PM10	Pb	CH4	longitude	NOx	O3	CFCs	TEMP	NH3	PAHs	H2CO	PRES
4.93454	1.54962	7.63490	6.96194	0.00000	52.26083	9.02912	59.05295	6.63607	7.00417	6.87509	8.56442	49.56232	20.96442	9.14758	8.14145	49.29746	1058.96181
7.88403	0.22098	4.54251	6.99312	0.00000	41.94175	5.04930	69.43567	7.18998	123.50266	5.98384	6.48994	60.81174	0.91488	6.74929	8.39779	64.21074	1067.81126
6.60409	0.43785	7.75433	9.64947	1.00000	33.92946	7.01511	43.12007	7.02038	-116.97725	7.17965	6.29307	58.51671	2.93765	8.35724	7.70344	70.49232	1075.95506
10.33705	0.36123	5.26547	5.89318	1.00000	45.53069	7.13377	33.20375	5.73056	9.40531	8.24339	4.86752	67.36389	15.86545	4.93286	6.58797	63.51845	1133.17475
4.60413	1.51357	9.91525	7.43443	1.00000	48.90982	8.96963	30.57806	7.96750	2.45012	7.33246	10.54794	70.61040	12.21397	8.08758	9.71436	58.71107	1164.56260
7.81697	0.31412	8.05660	4.20532	1.00000	31.39547	6.43995	41.98618	7.82256	34.75699	6.17938	7.70397	64.77199		6.03099	11.82503	52.49574	1138.61848
5.01330	2.17512	9.27812	7.88660	1.00000	-6.48167	9.48831	49.49993	6.42640	106.85417	6.80615	8.76995	60.62043	24.53450	7.02959	9.05298	56.42105	1174.52181
8.00450	2.73421	4.52790	8.43158	1.00000	51.65333	9.67037	40.61880	5.98929	5.2875	8.05165	9.27277	75.56856	23.21162	6.29814	7.54562	55.82963	1101.88602
5.36679	1.30029	9.32793	8.28707	1.00000	-33.75881	8.74685	30.85108	6.97249	150.99292	6.77104	8.77361	65.22489	31.65044	7.01246	8.93538	46.22976	1136.26602
7.58186	0.71633	5.26704	5.18258	1.00000	41.94175	8.09884	43.09087	8.38490	123.50266	6.40339	7.94676	65.29506	5.93901	7.93804	9.42190	66.67756	1116.36515
9.16314	0.54565	6.52621	6.51971	0.00000	3.27833	7.28940	39.81278	7.69751	32.88667	7.80451	5.36792	46.02709	1.81187	7.87304	8.06372	67.79096	1170.96142
8.38283	1.81589	4.59686	4.85702	0.00000	22.88783	9.19698	47.35440	6.28964	84.13864	8.24446	10.26223	49.55296	28.83841	7.02314	8.52214	47.14364	1195.52664
6.21914	3.11442	9.97546	8.10118	1.00000	41.24255	9.81565	33.24466	7.39065	-82.61573	5.38861	9.45947	65.30203	8.42768	5.49938	8.63472	49.62960	1152.41035
10.93993	0.65615	4.90344	6.68818	1.00000	42.24113	7.77503	60.78637	7.20982	-88.3162	6.04509	5.70236	64.87839	8.45908	6.19833	6.19507	48.08076	1071.70856
6.91273	1.04058	3.70692	6.66038	0.00000	17.34769	8.49496	48.21302	10.37079	78.55757	5.83643	8.96356	64.07240	7.19592	7.73126	10.19803	44.48029	1092.56329
3.64357	0.54831	9.44351	8.28263	1.00000	56.9083	7.35649	38.36275	6.52506	60.8019	8.41500	8.89302	71.63416	25.42838	5.35459	10.48846	52.04499	1078.85231
7.84746	1.38468	8.22297	10.57798	1.00000	-37.88333	8.91695	54.29765	6.86555	145.06667	7.47614	4.95921	45.97179	25.70663	5.44146	7.16030	38.68664	1062.53558
9.70510	1.59849	4.18094	7.36752	1.00000	30.35028	9.08891	46.80723	7.38881	112.19028	7.73847	8.44062	61.75621	12.09046	9.47751	5.79617	45.37478	1082.91262
7.13821	1.11941	8.22067	9.18020	1.00000	53.49389	8.72193	55.31350	6.70766	-1.29243	4.43229	8.92443	66.96072	31.97637	7.14931	7.20353	65.97291	1172.95203
10.35501	1.74479	5.05580	7.49907	1.00000	51.4781	9.07493	54.63354	8.29746	57.3552	6.75264	6.53017	60.08683	11.56855	7.64255	5.56889	50.45568	1184.64356
5.87211	0.68400	7.37305	7.53275	0.00000	-26.93366	8.00412	23.89060	5.68410	29.24152	5.89035	7.03336	61.82236	17.85998	6.54444	6.15019	72.10799	1136.57381
6.43112	0.40733	4.93839	7.79918	0.00000	41.14676	6.57508	71.46356	8.10697	-73.49484	6.73757	7.21080	65.70953	20.11161	9.96094	6.80773	42.00967	1134.09843
4.66901	0.39576	9.10104	8.74118	1.00000	9.15093	7.21105	58.43530	8.20579	-79.62098	7.76868	9.25749	58.10427	0.39391	5.80047	9.97100	36.52785	1149.33215
10.89136	0.39490	6.27691	5.40604	1.00000	33.41012	6.98354	37.55754	6.23540	-91.06177	7.32237	6.42533	75.68501	20.64255	6.73750	7.76959	64.93902	1150.58818
8.96654	0.46730	6.47834	5.89877	0.00000	44.27804	7.12251	25.12510	8.79522	-88.27205	7.24233	4.93222	64.29769	-0.80982	7.14758	8.38184	65.71266	1067.13113
4.68735	0.44654	8.78766	7.60997	1.00000	31.96258	7.16391		6.95956	73.97117	7.04147	8.34718	62.09349	20.69524	6.95977	9.46798	25.98805	1190.62219
2.39419	0.42049	7.29929	7.79369	1.00000	29.21399	7.06233	60.47842	7.21468	78.95693	6.20890	7.00168	53.17937	17.55214	7.74874	10.89656	50.86586	1095.90217
8.80245	0.12548	5.81642	6.93844	0.00000	33.98154	5.62704	67.66952	5.43597	-81.23621	6.69931	5.68837	70.63738	18.07832		8.75423	51.15787	1121.92622
7.23708	1.66377	3.91388	5.85473	1.00000	41.55838	9.18181	38.01219	7.91052	-81.56929	8.18977	8.07849	58.31060	6.53009	7.87417	8.35134	37.23391	1157.98150
4.10485	0.47745	9.13094	7.34538	1.00000	54.39304	7.72158	40.28974	5.77531	53.26023	6.19766	10.00743	57.97504	17.03166	8.09044	9.81535	48.75746	1104.36720
6.08484	0.21985	4.92435	5.70568	0.00000	48.15659	5.17604	51.03508	7.47726	28.28489	7.22649	7.52764	60.36963	22.27903	6.31430	5.16723	49.60700	1198.67571
10.03133	1.16793	5.00806	6.81329	1.00000	59.37722	8.66272	40.09578	7.88790	28.19028	6.68066	7.39049	69.64398	21.94599	7.39066	6.61097	40.56758	1126.11897
5.25379	1.50002	8.07511	6.55612	1.00000	46.7055	8.96778	36.09129	8.30184	38.2739	9.40548	9.87683	54.56348	-0.83810	7.98977	12.48244	66.21156	1121.16697
7.44545	0.60219	6.22117	10.30485	1.00000	31.12406	7.79479	67.95476	6.14403	-97.90308	6.51446	6.40936	64.58537	29.80220	6.56548	6.90040	55.27590	1146.07247
5.83921	1.81953	8.22729	6.99217	1.00000	46.75451	9.18379	43.98664	7.60295	33.34864	6.43836	9.57278	55.99119	23.98058	8.97839	7.80986	59.06008	1069.77372
7.78946	1.97338	7.10198	9.39818	1.00000	51.39148	9.24862	32.79702	7.54248	-0.29825	7.18967	8.70378	58.72201	42.75312	6.56615	6.78433	45.63206	1114.58064
7.78626	0.12855	3.96720	7.41175	0.00000	36.27462	1.89320	39.61695	7.59556	4.85668	7.44490	6.72589	71.03459	10.67238	6.87289	9.27859	75.56888	1070.70055
6.20627	2.65435	7.88175	9.66059	1.00000	48.90982	9.69013	49.14468	6.29370	2.45012	7.43679	6.10951	68.66330	0.21015	7.48693		57.34220	1179.91441
7.79767	0.26461	4.50926	5.83278	0.00000	52.41667	4.67623	51.02858	7.06434	0.75	8.90067	6.21100	83.97996	26.18401	8.93791	8.49595	38.97360	1133.23880
7.41212	1.25990	7.19207	9.86123	1.00000	32.55531	8.70725	65.91609	6.55544	76.12647	8.10162	8.57622	69.51644	9.80824	8.71552	7.17037	69.62663	1139.28227
9.79495	1.18426	6.67782	12.19554	1.00000	34.77453	8.53467	29.50513	7.98897	-96.67834	6.74856	6.15176	70.83119	24.19815	8.18938	5.37955	58.74415	1110.07246
5.06687	4.18964	4.41722	7.41190	0.00000	44.73941	10.16535	71.10734	8.02890	-93.12577	6.80904	8.65383	72.58717	6.50580	8.51196	11.19749		1110.00060
5.86048	0.96964	5.96858	7.61013	0.00000	39.12074	8.46316	25.98471	7.59973	27.18052	8.17042	8.13573	66.62062	10.22414	7.75173	7.69628	48.47302	1162.20055
6.62254	12.33456	7.62483	5.87176	1.00000	-21.205	11.27673	42.55211	5.58499	-41.88778	6.62264	12.05469	59.24298	13.00711	7.56041	7.41053	74.52838	1156.92298
