revision	station	longitude	QoS	code	latitude
2019/08/12	Redding	-122.39168	excellent	US	40.58654
2021-04-13	Balikpapan	116.82887	average	ID	-1.26753
2012-10-11	Dawei	98.19151	accep	MM	14.0823
03/20/2015, 00:00:00	Radevormwald	7.36027	average	DE	51.20219
08 Feb 2019	Casa Blanca	-98.11889	excellent	MX	19.04222
07 Mar 2021	Ada	-96.67834	average	US	34.77453
03/08/2017, 00:00:00	Sonzacate	-89.71472	average	SV	13.73417
2016/08/28	Damnoen Saduak	99.95469	building	TH	13.51825
08/10/2015, 00:00:00	La Trinidad	120.5875	average	PH	16.455
2022/03/21	New Canaan	-73.49484	good	US	41.14676
15 May 2022	Espoo	24.6522	maintenance	FI	60.2052
10/18/2012, 00:00:00	Tuxtla	-93.11308	accep	MX	16.75973
29 Oct 2015	Weimar	11.32903	average	DE	50.9803
2016/03/28	Dyat’kovo	34.33825	building	RU	53.59782
01/25/2014, 00:00:00	Somma Vesuviana	14.43865	average	IT	40.87329
08/02/2020, 00:00:00	Toyokawa	137.4	accep	JP	34.81667
01/15/2021, 00:00:00	Barra dos Coqueiros	-37.03861	accep	BR	-10.90889
02/06/2016, 00:00:00	Rio Real	-37.93278	excellent	BR	-11.48472
25 Oct 2021	Chamba	76.12647	excellent	IN	32.55531
2019-06-21	Kallio	24.95034	average	FI	60.18427
02 Jan 2021	Alfenas	-45.94722	building	BR	-21.42917
16 Apr 2019	Novopavlovsk	43.63417	excellent	RU	43.96222
27 Jun 2015	Siliana	9.37082	excellent	TN	36.08497
06/23/2022, 00:00:00	Quimper	-4.1	building	FR	48
05 Nov 2020	Tupiza	-65.71875	good	BO	-21.44345
27 Oct 2012	Mesagne	17.80774	good	IT	40.55851
2017/10/28	Taozhuang	117.33333	average	CN	34.85
27 Mar 2021	Pottstown	-75.64963	excellent	US	40.24537
2013-06-28	Gudermes	46.10925	average	RU	43.35071
2016-01-24	Arba Minch	37.55	good	ET	6.03333
23 May 2018	Thomasville	-80.08199	excellent	US	35.88264
07/21/2021, 00:00:00	Barbil	85.37752	building	IN	22.10194
13 Aug 2017	Fairview Heights	-89.99038	excellent	US	38.58894
17 Jul 2022	San Bernardo	-70.6996	average	CL	-33.59217
2016/09/22	Franceville	13.58357	good	GA	-1.63333
26 Nov 2018	Tortona	8.86374	excellent	IT	44.89784
2022/04/18	Lagos	3.39467	excellent	NG	6.45407
2019/08/31	Deoli	75.37991	average	IN	25.75728
2015-11-03	Far Rockaway	-73.75513	maintenance	US	40.60538
2013/03/29	Harstad	16.54165	excellent	NO	68.79833
12/18/2012, 00:00:00	Westchester	-87.882	accep	US	41.85059
2018-06-24	Rangia	91.61356	accep	IN	26.44931
2021/08/17	Ajaccio	8.73812	maintenance	FR	41.91886
2022-01-02	Soledade	-52.51028	maintenance	BR	-28.81833
12 Mar 2021	Nonoichi	136.61667	good	JP	36.53333
2021-03-10	Brazzaville	15.28318	excellent	CG	-4.26613
10/08/2014, 00:00:00	Miracema	-42.19667	good	BR	-21.41222
07/08/2015, 00:00:00	Friedberg	10.98461	average	DE	48.35693
05/01/2022, 00:00:00	Sishui	117.27583	excellent	CN	35.64889
17 Jun 2019	Buynaksk	47.1192	average	RU	42.819
2016-05-27	El Alia	10.03478	accep	TN	37.16911
2014/11/14	Madhipura	86.79271	maintenance	IN	25.92127
09/02/2013, 00:00:00	Minas de Marcona	-75.11028	good	PE	-15.21194
2020/02/07	Naushahra Virkan	73.97117	accep	PK	31.96258
11/16/2018, 00:00:00	Front Royal	-78.19444	average	US	38.91817
08/15/2016, 00:00:00	Martinsburg	-77.96389	excellent	US	39.45621
12/07/2015, 00:00:00	Toyokawa	137.4	building	JP	34.81667
11/03/2013, 00:00:00	Majene	118.9707	accep	ID	-3.5403
2017-04-27	Schiebroek	4.47124	good	NL	51.95838
2016/02/16	Nidderau	8.86704	average	DE	50.23805
05/15/2020, 00:00:00	Reda	18.34717	excellent	PL	54.60528
2022/02/04	Brentwood Estates	-86.77917	average	US	36.02506
06/15/2014, 00:00:00	Betamcherla	78.14797	building	IN	15.45144
2017-06-16	San Carlos	-75.69947	average	CO	8.79577
01/12/2020, 00:00:00	Toledo	-83.55521	accep	US	41.66394
08/20/2020, 00:00:00	Lakota	-5.682	excellent	CI	5.84752
23 Aug 2018	Kendall	-80.31727	average	US	25.67927
01/29/2022, 00:00:00	Aschaffenburg	9.15214	average	DE	49.97704
01 Jun 2019	Manaoag	120.4861	average	PH	16.0438
2013/10/22	Newbury	-1.32471	average	GB	51.40148
07/13/2021, 00:00:00	Bonoua	-3.59625	building	CI	5.27247
2016-04-21	Longgang	120.33063	accep	CN	37.65181
2015-08-25	Udumalaippettai	77.24779	accep	IN	10.58806
02/12/2013, 00:00:00	Polohy	36.25361	accep	UA	47.48444
03/18/2022, 00:00:00	Rueil-Malmaison	2.18967	maintenance	FR	48.8765
2019/05/11	Gembloux	4.69889	maintenance	BE	50.56149
03/31/2015, 00:00:00	Periyakulam	77.54372	accep	IN	10.12268
2020/09/28	les Escaldes	1.53414	excellent	AD	42.50729
22 May 2020	Barras	-42.29444	accep	BR	-4.24444
19 Oct 2016	Mirriah	9.15013	average	NE	13.70727
31 Aug 2019	Newburgh	-74.01042	excellent	US	41.50343
19 Jul 2018	Korschenbroich	6.51352	accep	DE	51.19139
01/07/2014, 00:00:00	Nanpiao	120.74792	accep	CN	41.09822
12/28/2015, 00:00:00	Nakhon Si Thammarat	99.96667	average	TH	8.43333
2015/02/06	Bretten	8.70745	building	DE	49.03685
2015/10/14	Winsford	-2.52398	maintenance	GB	53.19146
03/19/2018, 00:00:00	Reutlingen	9.20427	good	DE	48.49144
2021-03-30	Amreli	71.21169	building	IN	21.59983
01/31/2016, 00:00:00	American Canyon	-122.2608	good	US	38.17492
09/21/2014, 00:00:00	Tonga	10.7	accep	CM	4.96667
2019/11/12	Santa Rosa Jauregui	-100.44843	good	MX	20.74122
29 Jul 2022	Alytus	24.04142	average	LT	54.39635
02/22/2017, 00:00:00	Guli	120.03308	accep	CN	28.88162
05/25/2013, 00:00:00	Kenda	86.51499	excellent	IN	23.1959
