H2CO	PM10	C2H3NO5	NOx	PM2.5	NH3	CH4	warning	SO2	CFCs	TEMP	latitude	longitude	PAHs	PRES	O3	Pb	CO
34.88653	7.20412	0.80147	10.77212	6.60213	7.63099	7.27555	1.00000	8.34683	34.94707	13.89927	-11.48472	-37.93278	8.85442	1086.53565	11.03591	33.88358	9.54791
52.05223	9.42624	4.96536	10.82511	12.69252	5.08365	7.18813	1.00000	8.96583	23.52297	8.70817	-3.14306	-58.44417	9.42560	1050.17670	5.76160	41.43977	7.12005
27.46648	8.31665	1.82636	9.26842	9.78412	7.32636	9.00139	0.00000	10.04199	38.34287	-2.36233	-8.05389	-34.88111	8.01220	1143.51454	9.14922	38.44168	8.04689
42.04094	7.57701	0.72270	9.65676	9.50003	4.86081	9.22465	1.00000	7.29817	49.38836	-4.40739	40.78206	72.34424	9.13392	1173.78554	8.49215	33.86957	6.89393
54.37258	9.81453	7.11454	9.33447	10.93631	7.99871	6.13099	1.00000	7.67454	54.53093	13.43080	45.44694	8.62118	9.63620	1116.00533	4.79562	47.95125	9.55624
40.48563	7.31618	0.65605	8.42104	10.65829	9.16355	8.84054	0.00000	9.66379	45.98770	30.26778	41.72063	12.6723	5.75782	1134.64060	7.56336	55.29467	8.01381
62.52730	7.91100	1.15708	9.40964	8.47485	4.09231	8.74248	0.00000	6.31714	40.59110	17.24015	-6.91806	106.92667	8.07883	1101.33318	8.66982	44.46673	9.54046
44.51194	9.63891	5.84935	10.79437	10.05159	4.88011	12.03911	0.00000	8.77596	46.90067	33.12707	-19.32556	-41.25528	8.87211	1172.27038	7.35827	57.46297	7.76857
44.57713	8.69757	2.49568	7.56467	11.24004	9.60024	8.13168	0.00000	8.55129	53.05751	3.00721	48.8449	17.22635	5.17371	1065.32317	6.09398	58.66687	10.17550
56.72692	8.66193	2.82515	7.61237	11.87454	10.81552	10.04789	1.00000	9.60258	69.65459	19.31249	60.18427	24.95034	6.41323	1109.05037	7.91474	47.40694	8.54686
42.04637	9.08669	3.97766	8.08941	8.90924	9.68489	8.78122	0.00000	9.52531	60.02985	14.15914	43.1122	12.38878	4.33666	1050.97376	5.50800	62.27158	7.30300
56.57595	7.49293	1.18183	7.32896	5.11207	5.05929	5.16590	0.00000	8.79528	52.50713	7.27551	68.79833	16.54165	5.64217	1058.77379	7.93627	40.55731	8.31132
69.26556	8.92145	3.19113	8.29567	10.32856	8.06628	8.51646	0.00000	7.74716	54.51950	-3.56570	38.10558	-1.86343	8.50268	1102.85841	8.83159	59.86521	8.42472
54.97089	7.04389	0.68549	9.16869	11.55022	3.27667	5.20904	1.00000	8.79209	52.09576	9.98627	41.54566	-71.29144	9.13850	1188.13690	6.20672	37.56061	10.41983
64.21667	8.83784	2.38586	13.35561	9.13644	6.55814	11.22358	0.00000	9.75022	37.16034	6.78806	-4.06667	37.73333	7.32008	1178.29755	9.53599	53.80832	8.26079
39.21089	8.46179	1.87870	9.73514	10.02617	6.74505		1.00000	7.41781	58.02783	3.68642	10.22677	-67.33122	9.69758	1092.93585	7.24821	35.76959	9.59717
54.14118	9.77477	7.04165	10.44199	11.94727	7.72362	9.02523	1.00000	9.01932	62.08274	12.24843	19.8173	-97.35992	10.45760	1058.31031	9.88336	47.73205	7.67640
39.03101	9.40562	5.10287	10.21836	7.54179	6.79057	9.14703	0.00000	10.20881	49.99833	21.26660	-22.97056	-46.99583	6.76577	1145.73904	9.43015	49.89388	9.99870
42.40969	9.44848	4.78746	8.30869	9.17883	9.37623	9.94751	1.00000	7.77879	49.54091	24.00399	34.09668	-117.71978	7.49647	1176.59125	7.14682	53.74923	11.24091
31.06465	8.76561	2.58302	8.38783	7.04671	10.54714	8.45306	1.00000	8.10699	56.22265	18.15202	-22.45667	-47.53028	6.97460	1109.36570	8.07898	40.58088	7.48904
39.38688	5.46445	0.60739	9.81970	12.13559	5.68228	7.81055	1.00000	9.55264	46.84497	23.38784	53.69786	-2.68758	8.31309	1112.96576	8.06277	35.21917	8.04528
25.14591	7.75164	1.09805	7.70865	9.39856	10.66946	8.86128	1.00000	9.40745	54.98621	20.46650	46.67535	5.55575	8.43949	1072.08383	5.88744	26.78824	8.97378
69.18232	9.09080	3.73366	9.50919	7.10287	6.82113	9.97907	0.00000	9.74958	66.05290	22.29723	22.19303	88.18466	4.99419	1079.62394	9.26070	71.46776	8.96719
20.41901	8.04356	1.78060	10.30601	10.34967	4.90099	7.31779	1.00000	8.56627	49.00476	22.02114	22.10194	85.37752	9.19552	1050.92304	6.59202	67.84986	9.69231
51.78019	6.99943	0.43283	9.77092	8.70732	12.10899	7.53518	1.00000	7.77134	49.25478	37.75712	43.54072	-116.56346	7.65354	1080.60548	7.56104	43.00247	
57.43052	7.72154	1.25579	4.67459	11.92723	8.04964	3.78627	0.00000	8.87090	49.82538	7.07731	-4.24444	-42.29444	9.30068	1195.61186	7.39492	56.85189	9.09638
47.90164	8.70365	2.65811	6.83476	13.89170	10.61870	6.33579	0.00000	8.49575	47.87474	4.40539	65.93381	111.4834	6.66938	1183.12763	7.18711	58.77974	8.28948
55.15387	9.24537	4.24124	6.60362	9.22304	7.73175	12.47796	1.00000	9.12939	32.21565	16.41568	19.04222	-98.11889	6.93209	1151.67956	8.59561	54.54766	6.32790
34.70479	6.18914	0.59987	10.77019	13.74067	4.43067	7.19133	1.00000	9.18114	49.91030	19.09748	51.39323	0.47713	8.50933	1063.24171	6.02000	35.80873	9.36312
54.95436	8.88224	3.07029	9.64358	9.74048	7.21216	7.31749	1.00000	9.33120	40.01746	12.00543	48.35693	10.98461	10.20405	1055.69273	7.60971	22.13924	7.69724
76.83593	7.70797	1.17718	9.07494	6.46093	12.50086	8.38394	1.00000	10.20048	41.82012	-5.12258	56.56317	-2.58736	4.94718	1139.31519	6.35566	43.49564	8.26498
