location	longitude	latitude	QoS	station	revision
Europe/Berlin	6.9747	50.82709	accep	Wesseling	2022-02-07
America/New_York	-71.8023	42.58342	accep	Fitchburg	21 Oct 2015
Europe/Madrid	3.1631	41.91738	accep	Palafrugell	2012-12-29
Asia/Shanghai	123.17306	41.27194	average	Liaoyang	05 Jan 2014
Europe/Madrid	-8.2194	43.48961	good	Ferrol	2013-08-07
America/Bogota	-73.9614	10.15031	accep	El Copey	2013/09/22
Europe/Saratov	46.04833	51.40944	excellent	Privolzhskiy	2021/10/15
America/Los_Angeles	-116.97725	33.92946	accep	Beaumont	08 Oct 2020
Africa/Khartoum	34.3869	11.8659	building	Ar Ruseris	05 Feb 2013
Asia/Karachi	73.97117	31.96258	excellent	Naushahra Virkan	2019/12/13
Asia/Kolkata	83.36889	26.76628	average	Gorakhpur	30 Jun 2022
Asia/Jakarta	98.6738	3.7278	acceptable	Labuhan Deli	31 Mar 2013
Africa/Gaborone	27.46153	-21.44236	average	Tonota	04/02/2016, 00:00:00
Europe/Berlin	7.2278	50.64336	excellent	Bad Honnef	2015/10/06
Europe/Paris	-4.1	48	excellent	Quimper	04/22/2018, 00:00:00
Asia/Kuala_Lumpur	101.02083	4.02219	excellent	Teluk Intan	2012/11/25
Europe/Istanbul	27.18052	39.12074	average	Bergama	2021-09-05
Asia/Kolkata	72.68533	22.75218	maintenance	Kheda	18 Nov 2014
Asia/Kolkata	81.54855	26.2649	good	Jais	2013/02/19
Asia/Tokyo	136.13108	34.75856	building	Ueno-ebisumachi	2018/07/20
America/Mazatlan	-105.36369	22.49396	accep	Acaponeta	07/27/2018, 00:00:00
Africa/Johannesburg	30.79165	-27.76952	accep	Vryheid	2021/01/03
Australia/Melbourne	145.18333	-37.9	average	Wheelers Hill	2019/09/16
Europe/Moscow	38.16694	54.84444	excellent	Kashira	2015-03-22
America/Argentina/Buenos_Aires	-58.70072	-34.74785	good	Pontevedra	2020/01/06
Europe/Berlin	7.20769	50.80019	maintenance	Siegburg	2014-09-13
Europe/Brussels	5.37429	51.03427	excellent	Houthalen	18 May 2021
Europe/Berlin	8.91229	49.13645	excellent	Eppingen	2019/01/28
Asia/Manila	120.56528	14.66	good	Pilar	2016/12/18
America/New_York	-73.97069	40.64621	accep	Kensington	2015/12/16
Europe/Berlin	11.18709	48.73218	average	Neuburg an der Donau	2020-03-25
America/Bahia	-38.94722	-15.675	accep	Canavieiras	2022-08-24
America/Bogota	-74.26419	4.73245	good	Madrid	10 May 2016
Africa/Bangui	15.87735	4.94273	accep	Carnot	07/20/2022, 00:00:00
America/Sao_Paulo	-51.87389	-23.44361	average	Sarandi	2016/06/19
Europe/Paris	3.87723	43.61092	average	Montpellier	2022-03-15
Asia/Bangkok	104.64992	14.64056	good	Kantharalak	2022-08-15
Africa/Maputo	35.34722	-23.85972	good	Maxixe	2017/07/07
Asia/Jakarta	109.05389	-7.51611	accep	Wangon	01/04/2018, 00:00:00
Africa/Dar_es_Salaam	38.66667	-6.25	average	Mvomero	2022/02/21
Africa/Brazzaville	15.28318	-4.26613	accep	Brazzaville	2014-04-14
Europe/London	-2.1875	51.26	average	Westbury	04 Nov 2016
Asia/Kolkata	74.85849	31.28092	good	Patti	2019-04-04
Africa/Dar_es_Salaam	33	-2.68333	excellent	Usagara	12/17/2014, 00:00:00
Africa/Nairobi	35.59642	3.11988	average	Lodwar	2015/06/26
Europe/Berlin	7.2278	50.64336	average	Bad Honnef	03 Jan 2015
Asia/Manila	120.4861	16.0438	building	Manaoag	08/26/2022, 00:00:00
America/New_York	-72.97261	43.61062	maintenance	Rutland	2018/05/26
America/Los_Angeles	-117.54866	33.93113	good	Norco	2015-02-20
Asia/Manila	124.84472	10.13361	accep	Maasin	12/27/2020, 00:00:00
Asia/Makassar	117.59152	3.31332	building	Tarakan	27 Mar 2018
Europe/Lisbon	-8.2503	37.08819	accep	Albufeira	01/22/2022, 00:00:00
America/New_York	-73.75513	40.60538	building	Far Rockaway	2022/06/02
America/Puerto_Rico	-66.8499	18.03496	good	Yauco	01/23/2014, 00:00:00
Europe/Brussels	3.16667	50.8	acceptable	Wevelgem	2021-01-26
Europe/Rome	17.80774	40.55851	average	Mesagne	22 Jan 2017
Europe/Moscow	37.49338	55.62047	building	Tyoply Stan	2018-12-11
America/Mexico_City	-101.2591	21.01858	good	Guanajuato	2013/10/11
America/Costa_Rica	-84.13722	9.92787	good	San Rafael	2020-10-31
Asia/Jakarta	107.60389	-7.01833	excellent	Pameungpeuk	2018/06/24
America/Los_Angeles	-120.93549	37.73604	accep	Riverbank	2017/08/15
Africa/Lubumbashi	24.99798	-8.73508	accep	Kamina	2017/05/19
America/Los_Angeles	-117.29198	33.03699	accep	Encinitas	06/15/2019, 00:00:00
Africa/Lagos	4.52514	12.74482	average	Argungu	2018-04-30
Europe/Lisbon	-8.2503	37.08819	good	Albufeira	14 Jun 2017
America/New_York	-72.97261	43.61062	accep	Rutland	2013-01-06
Europe/Warsaw	19.27498	50.20528	excellent	Jaworzno	2013/01/24
Europe/Sarajevo	19.21437	44.75874	maintenance	Bijeljina	08/21/2019, 00:00:00
Europe/Berlin	13.32127	52.59319	average	Wittenau	10/04/2016, 00:00:00
Europe/Brussels	3.20639	50.74497	accep	Mouscron	2013-05-19
America/Bogota	-74.26419	4.73245	accep	Madrid	2014-05-02
Europe/Malta	14.51472	35.89972	accep	Valletta	2022-02-25
America/Lima	-69.08333	-16.25	maintenance	Yunguyo	2013/03/05
America/Argentina/Buenos_Aires	-60.47389	-34.64167	excellent	Chacabuco	2021-05-13
Europe/Berlin	10.03988	53.6052	good	Barmbek-Nord	18 Jan 2015
Asia/Kolkata	78.27539	12.95629	average	Robertsonpet	2013/03/17
America/New_York	-84.50855	39.08367	accep	Covington	19 Jun 2019
America/Denver	-111.99633	40.65995	good	Kearns	06 Oct 2013
Europe/Zurich	6.10237	46.18396	accep	Onex	02/09/2014, 00:00:00
Europe/Paris	-4.1	48	excellent	Quimper	09/06/2013, 00:00:00
Asia/Kolkata	75.35927	12.04161	excellent	Talipparamba	2012/11/02
America/Argentina/Buenos_Aires	-58.70072	-34.74785	accep	Pontevedra	25 May 2014
Europe/Warsaw	15.00835	51.14942	maitennce	Zgorzelec	2021/01/20
Asia/Almaty	84.87144	47.46657	good	Zaysan	2020/09/01
America/Panama	-79.62603	8.88988	excellent	Veracruz	2018/11/01
America/Chicago	-96.67834	34.77453	average	Ada	2015-08-26
Europe/London	-2.12139	52.48173	average	Brierley Hill	10/15/2017, 00:00:00
Asia/Seoul	126.665	36.6009	average	Hongseong	2018-06-15
Europe/London	-0.32247	50.82882	average	Lancing	03/23/2016, 00:00:00
Asia/Seoul	128.63083	36.82167	excellent	Eisen	2019/02/05
Europe/Rome	13.57661	37.31065	building	Agrigento	2012/11/07
America/New_York	-82.35176	27.71809	good	Sun City Center	25 Feb 2020
