TEMP	PM10	NH3	C2H3NO5	Pb	CH4	O3	warning	SO2	latitude	longitude	NOx	H2CO	PRES	CFCs	CO	PAHs	PM2.5
3.37814	10.85573	8.60644	1.08191	64.82107	6.96367	10.94534	0.00000	7.39927	15.73628	75.96976	5.66975	36.69471	1192.32281	50.77329	10.08530	8.03759	7.91396
29.14211	7.71921	7.43521	0.07176	31.18868	6.72764	8.20275	1.00000	6.49809	-22.45667	-47.53028	7.69892	48.01552	1076.05221	50.61306	8.62435	6.25534	10.59280
13.55171	8.95082	8.69691		30.60199	8.04847	6.28772	1.00000	7.44795	13.65805	102.56365	4.60726	59.54786	1131.52598	33.53556	7.29960	8.64415	10.32290
16.65649	10.04323	6.11104	0.50639	60.70836	7.41160	8.36275	0.00000	8.14859	50.76306	-1.29772	8.94124	66.06746	1165.82494	52.21517	7.19730	8.20938	7.14929
24.13411	2.91750	7.91510	0.02645	50.89831	8.08424	9.90393	1.00000	5.84695	33.41012	-91.06177	8.45458	24.84476	1092.44028	41.85695	13.39321	7.94840	8.26846
18.26168	10.54981	7.62951	0.81652	38.21118	7.65191	7.28728	0.00000	8.43391	51.20219	7.36027	6.94982	48.96337	1189.34754	50.51451	6.56610	9.75918	7.74690
18.74172	10.01760	8.84020	0.48637	38.90014	6.54637	9.46299	0.00000	7.89454	34.56861	105.89333	6.43604	51.39141	1110.13147	28.49393	10.63675	7.24170	9.63175
23.29480	6.24315	8.19928	0.04469	36.19500	8.46183	7.58984	1.00000	8.39956	36.76639	3.47717	9.75219	46.69979	1102.76164	70.48906	8.58184	7.60424	6.67538
14.13841	7.50781	8.34318	0.05646	50.51118	8.62660	8.44808	0.00000	7.69850	33.03699	-117.29198	6.50651	54.62672	1180.33260	69.41841	9.91589	11.93770	4.08676
21.36198	9.04593	8.44082	0.19770	54.13468	6.90801	8.24190	0.00000	9.46565	-37.9	145.18333	2.65299	41.00810	1199.84075	34.90968	7.40444	4.05373	11.17347
28.79440	7.79003	8.45895	0.06694	64.39254	9.32814	7.53048	1.00000	8.47102	37.52487	-77.55777	6.01047	43.52324	1127.61118	37.13137	8.02982	9.72968	10.06880
16.33499	9.74374	9.44335	0.38198	52.96432	7.31961	8.45136	0.00000	9.59439	52.48173	-2.12139	5.44544	36.08484	1172.41148	37.00234	9.81999	5.79292	9.98310
40.73370	7.50819	6.90021	0.06441	70.77285	7.86119	7.89111	1.00000	8.71928	51.08468	7.11393	8.98461	48.59269	1095.85550	40.91271	8.75942	10.53521	5.01981
16.88027	8.70342	8.11203	0.13779	46.10791	6.62724	4.41152	1.00000	9.06104	40.53123	17.58522	10.01097	53.50503	1112.41079	42.24919	7.57520	9.46453	5.63483
9.39954	7.39942	6.38927	0.05500	47.23347	8.88574	6.57565	1.00000	7.56414	-10.95817	-38.79084	9.05965	42.20729	1079.01626	46.13151	7.91744	9.93392	5.83330
33.05105	10.31529	7.58169	0.63703	44.48965	5.61482	8.12878	0.00000	8.55378	45.51667	4.86667	6.32244	36.32551	1121.71519	33.64689	9.44430	10.55410	6.15391
20.42251	10.94198	8.46215	1.18737	41.63672	9.12358	7.30248	0.00000	7.00607	-10.33333	39.28333	8.22866	62.47580	1087.14782	50.73522	7.74395	10.08794	6.30730
25.53950	10.04490	9.79295	0.52025	36.28241	8.92664	3.75932	0.00000	6.55219	32.54044	-82.90375	8.14831	47.87838	1141.64163	24.79824	6.35019	8.62112	6.95180
3.96136	11.73844	7.69970	2.61655	46.15783	6.32721	6.83768	0.00000	5.75848	-22.92306	-53.13722	3.75317	40.38916	1076.67303	38.59564	9.51597	11.16513	8.30222
30.97839	6.73641	5.95512	0.06006	51.12906	8.60280	6.22955	1.00000	8.12106	10.12268	77.54372	8.25582	34.38786	1146.93102	46.80033	5.74995	9.26121	6.94606
12.46130	9.67021	10.18293	0.35654	37.52370	7.88911	10.33381	0.00000	8.91775	24.41288	76.56719	7.56194	35.10151	1053.91842	56.99331	9.76435	7.93198	8.84445
16.69163	10.44963	7.12520	0.72673	44.53995	6.57463	6.21053	1.00000	7.91961	39.46667	141.95	6.71820	48.53792	1179.37161	49.34239	6.49366	10.93644	10.29692
13.11287	6.59331	8.71953	0.05382	55.74634	9.55929	5.83514	1.00000	8.73503	48.8222	2.12213	9.45323	42.01086	1054.18847	29.72609	8.35611	7.43515	7.03146
11.70225	9.67287	7.09961	0.35348	80.96133	8.65955	4.64924	1.00000	7.43684	-17.74431	-48.62789	7.27791	64.42306	1115.53732	54.22402	4.44459	9.35041	8.27354
21.18357	10.29413	10.21512	0.63118	57.64300	9.43342	10.20429	0.00000	8.50203	41.9001	-71.08977	5.42217	36.74831	1160.06101	53.02493	8.73400	6.36179	7.59394
16.15436	10.16778	5.50324	0.56701	49.46238	8.66850	8.43193	0.00000	7.66674	31.20176	29.91582	6.69653	54.16519	1187.67391	40.37268	8.52894	9.84642	6.91969
19.26648	6.18866	9.67755	0.04339	46.13702	8.05369	7.98495	1.00000	8.13229	47.46657	84.87144	9.35621	32.51094	1161.99494	39.94209	10.99244	9.03909	6.03759
4.49270	9.70285	8.11332	0.35341	50.36586	9.78949	9.10375	0.00000	6.68999	48.90472	2.2469	4.71164	49.55920	1142.70091	42.56659	10.09764	6.75556	11.45015
7.42647	11.41248	7.14944	1.87282	55.18643	10.04275	5.08050	0.00000	6.79368	34.56861	105.89333	2.86883	38.44825	1102.67446	43.37139	9.77562	10.54183	8.93786
41.90366	9.85729	7.51867	0.40730	45.31883	6.58027	9.04325	0.00000	6.90555	50.80019	7.20769	5.89513	36.20393	1198.72931	39.30811	10.94506	7.94159	10.16644
24.56758	9.21073	8.15327	0.21697	63.25502	7.43710	8.23394	0.00000	8.36329	52.66277	-2.01111	6.83558	70.33459	1066.09575	55.76383	11.00929	6.62400	11.51771
28.94604	8.62778	7.64152	0.15865	26.26387	9.20153	7.78589	0.00000	5.90101	-10.33333	39.28333	7.31912	33.30397	1071.32371	51.61521	8.26919	9.18671	6.58411
22.72331	9.31921	8.40650	0.24406	60.73171	8.35617	7.64964	1.00000	7.45184	34.9	137.5	7.39781	58.37992	1182.90423	57.94691	7.51786	10.44263	10.42512
7.29192	9.38299	6.78847	0.27961	70.29095	7.67760	4.83704	1.00000	6.47800	51.78967	1.15597	7.12329	40.36057	1191.02521	38.48034	8.05972	9.52434	6.41614
-5.00030	6.36825	7.66878	0.04878	51.03515	7.51191	6.24577	1.00000	7.44140	40.42386	-3.53261	11.74129	18.27844	1156.80675	59.96754	12.50550	8.08677	7.06659
9.87566	8.95821	8.03266	0.19875	42.43492	7.48450	6.37842	1.00000	8.97088	39.08367	-84.50855	5.48464	62.95150	1092.36205	61.52535	5.81159	10.12816	7.47237
14.54975	5.73804	4.97367	0.04226	39.04645	10.07231	7.21344	1.00000	8.64657	50.75	2.25	9.56945	51.91699	1198.90394	34.65634	11.19195	8.67827	7.00041
2.08330	7.47240	6.47971	0.05987	55.15909	8.08265	10.91128	1.00000	7.48502	-4.24444	-42.29444	8.64560	43.34989	1115.27468	66.37620	9.85837	10.89949	3.53177
28.45587	6.62002	9.69761	0.04478	47.41071	8.39714	8.55952	1.00000	7.49079	68.79833	16.54165	7.87770	34.40911	1152.60383	49.61833	10.99226	9.68779	4.94995
14.61204	7.81456	10.08980	0.07832	64.53414	8.73251	4.99327	1.00000	8.36032	43.2907	5.4384	8.69992	58.15996	1190.24945	55.92347	6.31417	13.73589	10.48748
12.20072	6.19569	9.14408	0.05112	48.05454	7.97044	5.26487	0.00000	7.59499	0.03813	36.36339	7.23354	50.66956	1052.35908	57.62063	5.16759	9.58844	8.03841
5.86061	11.13452	6.64549	1.40873	40.48707	9.79935	5.63433	0.00000	8.95253	51.47805	6.8625	7.11442	40.89971	1057.18206	49.73876	8.87479	9.53390	6.70974
5.75804	7.62139	5.05961	0.06906	49.08896	6.91943	6.73375	0.00000		25.49043	85.94001	7.28200	49.47667	1179.18604	32.96938	11.57664	8.97660	4.34423
23.10667	10.50320	7.67826	0.77920	48.85299	7.33663	9.53353	0.00000	9.34405	36.92574	14.72443	6.47342	73.80841	1056.27663	51.52481	11.49593	7.95750	9.95975
1.07218	8.60276	7.78802	0.14059	33.22138	8.59921	9.67929	0.00000	9.05584	34.25628	-78.04471	6.42789	42.82452	1169.94263	22.30534	9.50114	9.20049	6.74428
9.80313	9.91105	9.24867	0.45063	27.74748	6.92653	5.88477	0.00000	7.24723	20.28527	-103.42897	4.14630	57.07198	1097.71061	33.97007	8.26177	10.33073	8.04417
8.88555	9.98954	8.29285	0.47420	24.45630	8.88725	6.85518	0.00000	6.64272	35.61452	-88.81395	5.54360	29.81764	1090.26230	44.13006	9.02903	8.41580	8.25798
5.91149	10.70174	6.76863	0.93507	28.85175	6.98328	5.59507	0.00000	7.57284	-8.73508	24.99798	5.98602	60.33339	1090.34782	39.87220	11.59239	10.47741	5.29560
8.32174	10.32514	9.17723	0.65011	42.02943	9.73338	5.58073	1.00000	7.63689	58.1908	40.17171	5.98809	42.29152	1134.51486	47.93475	5.47673	7.98583	8.03128
20.28696	7.40983	7.88845	0.05797	51.07670	7.41458	7.83664	1.00000	8.20655	3.51667	11.5	7.08868	35.91637	1055.33044	51.75630	6.42870	7.51211	8.36554
10.11440	5.81441	7.77246	0.04789	56.66263	8.36116	6.20875	1.00000	7.54484	-6.91806	106.92667	9.68989	31.12983	1083.13942	41.64216	10.45296	8.73411	7.56104
17.50760	9.47896	7.49807	0.29105	62.04328	8.76807	9.30908	0.00000	8.92104	52.61131	13.31783	5.35688	18.26241	1075.24876	32.17131	9.34816	9.69601	7.43092
8.24325	10.06355	9.72764	0.51592	36.54806	9.08114	5.18129	0.00000	5.97020	19.30157	72.85107	6.13723	63.74755	1120.27205	48.15001	10.40235	9.88388	6.04487
19.64172	8.62636	6.80028	0.15491	37.40469	8.22343	9.14033	0.00000	7.85706	40.34912	-111.90466	6.39442	39.36406	1174.29203	33.52484	8.05353	5.85022	9.20215
15.51049	8.46781	8.21602	0.11918	46.01324	6.91691	8.53814	0.00000	9.34236	51.40148	-1.32471	8.99344	64.74954	1176.05959	56.92849	10.33165	7.47491	9.70612
7.13211	8.57106	7.05756	0.11403	23.30019	7.47691	9.42252	0.00000	8.63813	8.56697	123.33471	5.98732	34.18256	1185.17180	57.55725	7.86944	7.04012	8.48431
34.02691	8.76762	7.75974	0.16923	35.57134	9.05488	9.35928	0.00000	7.20770	48.77275	5.16108	4.04138	43.13241	1101.44660	76.97747	5.73645	4.02493	8.60607
18.69387	9.73787	7.61803	0.37127	41.86458	9.06878	5.42578	1.00000	6.39141	34.56861	105.89333	4.02502	62.42732	1110.23343	44.94545	7.63797	9.08083	9.14194
4.74863	8.98328	8.61481	0.17949	54.87053	5.65877	10.92927	1.00000	8.53675	-21.44236	27.46153	6.30325	60.87480	1090.96488	48.36806	9.26344	9.57514	9.71015
2.68038	9.90151	8.09728	0.41546	28.74711	9.27145	8.97727	0.00000	7.59059	-22.92306	-53.13722	6.05596	70.97848	1136.38777	55.45328	11.61793	7.53816	11.73502
-1.48355	9.76531	7.45631	0.38562	43.22958	8.94238	9.85412	0.00000	7.41998	51.20219	7.36027	6.27921	51.69339	1096.27352	45.22773	10.71454	7.67976	11.57510
18.35624	7.81179	7.64274	0.08341	64.97963	9.44848	8.61200	0.00000	8.61420	-31.95224	115.8614	5.86189	46.69374	1122.22724	58.96550	7.37198	5.41366	10.62185
24.27382	9.78464	8.58294	0.39426	41.70182	7.36347	9.33865	0.00000	6.98589	8.35122	-62.64102	5.13389	24.77932	1081.18746	46.41226	9.63281	6.55169	9.76088
21.31663	7.73851	9.12872	0.06961	55.13315	7.22266	5.42252	1.00000	7.83869	30.29184	71.67164	9.77058	47.55756	1165.21025	23.53480	10.84149	9.54622	5.65639
