location	revision	QoS	longitude	station	latitude
America/Guayaquil	09/24/2015, 00:00:00	good	-79.59415	Milagro	-2.13404
America/El_Salvador	25 Mar 2013	maintenance	-89.10944	Ilopango	13.70167
Asia/Kolkata	2016-01-10	building	88.28637	Pandua	23.07492
Europe/Rome	2017/03/28	good	14.39024	Lanciano	42.22718
Africa/Cairo	14 Oct 2018	building	31.4976	Juhaynah	26.67319
America/Chicago	2019-12-07	good	-87.66561	Lower West Side	41.8542
Asia/Kolkata	21 May 2018	maintenance	75.92694	Davangere	14.46693
America/New_York	08 Apr 2020	good	-81.38758	Palm Valley	30.17746
Asia/Shanghai	2015-10-23	average	122.05228	Tianfu	37.19723
Europe/Rome	2014/10/27	excellent	7.60872	Ventimiglia	43.78956
Asia/Tokyo	23 Mar 2013	excellent	141.95	Yamada	39.46667
Asia/Manila	14 Aug 2021	accep	120.97844	Guyong	14.8361
Asia/Karachi	02/15/2016, 00:00:00	accep	70.96699	Kot Addu	30.46907
America/New_York	2022/09/15	good	-75.60804	West Chester	39.96097
America/New_York	2017/11/22	excellent	-80.31727	Kendall	25.67927
Indian/Antananarivo	2018-01-16	good	48.41667	Ambatondrazaka	-17.83333
America/Denver	23 Sep 2017	accep	-111.99633	Kearns	40.65995
America/Chicago	2017/03/28	building	-95.63079	Palestine	31.76212
America/Argentina/Buenos_Aires	2015-10-31	good	-60.47389	Chacabuco	-34.64167
Asia/Shanghai	2015/08/05	accep	117.4831	Shaowu	27.34089
Europe/Moscow	2016/11/04	accep	46.5813	Alatyr’	54.8421
America/New_York	2016-06-06	excellent	-74.01042	Newburgh	41.50343
Asia/Bishkek	2012/10/03	average	73	Jalal-Abad	40.93333
Asia/Seoul	18 Oct 2012	maintenance	127.08472	Nonsan	36.20389
Asia/Tokyo	2022-06-03	excellent	137.23333	Gero	35.8
Europe/Belgrade	2013-01-09	building	20.89389	Glogovac	42.62833
Europe/Madrid	16 Oct 2021	good	-3.67029	Las Gabias	37.13548
America/New_York	2021/11/05	maintenance	-73.78458	Scarsdale	41.0051
Asia/Kolkata	2017-08-11	building	73.85535	Pune	18.51957
America/Sao_Paulo	04 Jul 2021	excellent	-48.62789	Caldas Novas	-17.74431
America/Chicago	2020-03-21	average	-86.77917	Brentwood Estates	36.02506
America/Managua	2015/10/08	accep	-86.19903	Jinotepe	11.84962
America/New_York	04 Dec 2016	excellent	-71.29144	Middletown	41.54566
Asia/Kolkata	2019/06/30	excellent	74.4818	Malaut	30.21121
America/Boise	13 Jul 2018	average	-116.56346	Nampa	43.54072
Europe/Amsterdam	2017/08/08	excellent	6.76111	Hoogezand	53.16167
Europe/London	10/12/2017, 00:00:00	building	1.15597	Clacton-on-Sea	51.78967
Europe/Paris	06/19/2021, 00:00:00	accep	2.12213	Le Chesnay	48.8222
Europe/Kiev	02 Oct 2021	good	33.34864	Nova Kakhovka	46.75451
Asia/Kolkata	12 May 2015	good	91.00632	Barpeta	26.32293
Asia/Kolkata	2021/10/22	average	76.56719	Aklera	24.41288
Europe/Vienna	2020-07-28	excellent	16.4	Floridsdorf	48.25
Africa/Kampala	07/29/2020, 00:00:00	excellent	30.98551	Paidha	2.41669
Africa/Algiers	01/04/2022, 00:00:00	excellent	3.55665	Thenia	36.72544
Europe/Helsinki	05/07/2022, 00:00:00	building	24.95034	Kallio	60.18427
Europe/London	11/04/2014, 00:00:00	building	-1.48119	Belper	53.0233
Europe/Skopje	2021/10/26	good	20.91361	Bogovinje	41.92361
Europe/Paris	2018/05/17	building	2.18967	Rueil-Malmaison	48.8765
America/Chicago	15 May 2019	excellent	-95.36969	Muskogee	35.74788
Africa/Luanda	2021/02/16	building	19.91667	Luena	-11.78333
Europe/Lisbon	2017-04-29	accep	-9.24671	Carnaxide	38.72706
America/Mexico_City	2020-06-25	excellent	-100.44843	Santa Rosa Jauregui	20.74122
Asia/Shanghai	2020/06/04	accep	120.14278	Jiangyan	32.50611
America/New_York	26 Jan 2015	average	-80.08199	Thomasville	35.88264
Asia/Kolkata	2014/07/09	good	75.37991	Deoli	25.75728
Europe/Rome	2013/07/14	accep	12.84052	Portogruaro	45.78071
Asia/Baku	2019/10/16	excellent	48.87498	Astara	38.45598
America/New_York	03 Aug 2015	average	-74.01042	Newburgh	41.50343
Europe/Berlin	2015/03/19	good	6.74549	Losheim	49.5099
America/Caracas	11 Apr 2021	building	-62.64102	Ciudad Guayana	8.35122
Asia/Tbilisi	20 Sep 2019	good	41.77921	Kobuleti	41.82143
Africa/Accra	02/22/2019, 00:00:00	accep	-1.4001	Mampong	7.06273
Asia/Dili	05/25/2013, 00:00:00	building	125.21972	Maliana	-8.99167
Asia/Kolkata	06/06/2022, 00:00:00	acceptable	74.83554	Sirsi	14.62072
America/Mazatlan	11 Feb 2014	accep	-105.36369	Acaponeta	22.49396
