PM10	NH3	warning	H2CO	SO2	TEMP	C2H3NO5	Pb	NOx	PM2.5	latitude	PRES	longitude	CH4	PAHs	CFCs	CO	O3
7.74502	5.66554	1.00000	57.03615	10.02018	16.75126	0.04167	40.93202	7.87154	9.92285	52.26083	1182.31351	7.00417	8.53092	6.71732	33.24445	6.57774	10.20087
9.00509	8.44381	0.00000	55.41733	7.13753	3.92586	0.10191	42.63640	11.34799	8.11740	39.43534	1108.24878	-84.20299	7.42952	5.99743	54.64957	6.76763	9.01290
10.15744	4.59693	0.00000	63.30345	6.27562	1.85796	0.27831	67.70390	5.44044	8.32536	48.52961	1110.66223	12.16179	7.95468	6.81140	57.81200	8.49049	9.30919
6.44879	6.24834	1.00000	21.91017	7.57754	17.08684	0.02904	25.35154	6.38345	8.00394	41.0051	1135.61679	-73.78458	7.23988	6.85945	43.24279	6.44554	6.80424
14.50236	8.13272	0.00000	51.82537	4.81670	8.72152		37.09306	3.06718	9.16570	61.78491	1076.99556	34.34691	8.58638	8.48867	42.50140	7.16875	7.94615
6.39260	6.39405	0.00000	48.35797	8.51784	28.38312	0.03878	34.43857	7.81019	8.47575	41.84364	1120.38943	-87.71255	7.36852	6.04381	24.14129	9.42178	7.92892
5.50036	5.15122	1.00000	70.75385	9.27542	15.24428	0.02626	63.61219	6.84484	8.62562	46.23899	1178.49414	-63.13414	7.32866	4.91454	68.21218	5.23964	7.64861
6.81667	7.07944	1.00000	46.99816	10.24011	30.39780	0.02959		7.17349	7.53710	21.34222	1193.83351	71.30633	8.14862	8.00384	21.93105	9.50475	7.25011
9.67423	6.39512	1.00000	59.89967	10.26958	8.58726	0.18526	40.83587	8.69760	6.94791	47.90771	1063.12001	106.88324	8.16409	7.72906	39.82590	5.97396	7.17478
9.91765	6.27157	0.00000	53.01639	5.60423	21.09864	0.23166	39.26228	7.06561	8.08130	35.89972	1118.19572	14.51472	8.39108	4.75254	43.08158	10.31297	7.97044
6.82924	6.81165	1.00000	40.23657	10.45775	2.70606	0.02302	23.48016	6.41674	8.19472	51.38673	1063.03445	0.30367	8.02205	10.08370	59.42961	9.06653	7.51072
8.22141	6.12126	1.00000	55.13692	9.25002	25.89524	0.06375	58.25213	7.85251	8.43260	47.38093	1131.05422	-122.23484	9.05858	10.13083	39.14622	8.82261	8.58913
13.24878	9.87051	0.00000	67.31908	5.31272	19.01862	5.91868	61.50526	4.89104	9.19238	-10.91722	1090.22058	-37.65	9.02912	7.97874	58.22107	8.33230	7.91294
11.98955	8.59167	0.00000	73.72448	6.03672	-8.10204	1.68786	49.74472	6.73803	7.92123	28.98002	1157.14164	77.70636	7.31670	7.09567	45.99010	9.30384	8.95750
6.67381	4.39916	1.00000	40.31542	9.75728	18.68504	0.03332	49.62154	8.83650	5.63356	25.87498	1187.34530	86.59611	9.68918	7.38242	57.62832	8.19384	7.42395
5.85071	5.33158	1.00000	43.79129	8.03556	-3.98024	0.01993	36.06823	7.00751	7.06998	4.94273	1106.10741	15.87735	8.21927	8.32096	46.22221	7.16209	8.19373
5.29233	6.62200	1.00000	57.39097	10.97038	3.63233	0.02392	69.12647	4.48622	8.14635	-7.01833	1075.75471	107.60389	8.92252	5.30998	24.54367	7.09688	7.79387
11.26943	6.62755	0.00000	36.82225	5.65953	13.63661	0.83498	44.40592	6.43926	7.44068	34.4833	1090.74149	136.84186	7.44977	5.63948	36.86116	9.79475	8.29212
6.96271	6.76322	1.00000	60.40477	9.08686	28.16644	0.03989	35.05962	5.39635	7.10129	32.42067	1143.93324	-104.22884	8.21115	8.00556	51.88244	6.88149	6.66071
9.13220	7.56606	0.00000	38.40648	8.15943	-5.89416	0.11773	46.56589	8.02512	8.49157	45.79377	1062.13759	8.88104	9.38512	7.28868	38.02369	9.62989	7.27098
9.44353	7.76714	0.00000	45.05773	5.39468	4.46134	0.15491	29.67640	5.11741	8.29577	31.82539	1065.04205	72.54064	8.48956	8.81277	30.72932	7.90774	8.72930
3.06463	6.82667	1.00000	61.25740	7.65532	15.91174	0.01528	55.92500	3.37110	8.66074	47.30997	1099.23008	8.52462	8.46910	9.26765	79.35039	9.66088	8.50087
6.41028	7.32898	1.00000	44.02788	10.12128	16.08681	0.03588	38.77353	5.66754	6.75988	0.03813	1105.20366	36.36339	7.72232	8.70315	73.96109	10.98034	6.97082
5.64906	8.40724	1.00000	59.93118	11.13329	9.36401	0.03078	40.00394	4.75018	9.08464	48.86667	1143.60946	2.08333	9.57080	6.25265	41.67917	7.50602	8.83366
8.07615	5.25412	1.00000	38.12641	8.56416	14.53640	0.05719		6.95071	7.07870	15.73628	1128.71173	75.96976	7.40164	7.28261	57.56863	7.65033	9.68141
8.03929	5.09997	1.00000	45.65343	6.27335	19.99759	0.05040	49.82793	8.15299	6.79988	-4.26613	1121.87170	15.28318	7.91112	8.19535	48.97776	6.06026	8.34087
10.14558	7.54372	0.00000	51.28713	8.88579	10.37844	0.27724	50.87229	9.86324	8.23181	27.09978	1163.41311	-82.45426	7.55418	6.35563	59.49953	6.08389	9.15705
5.74193	7.05498	1.00000	35.09414	9.76616	10.48980	0.02538	48.44522	7.31077	6.43090	44.73941	1118.59368	-93.12577	7.07460	6.60831	51.95653	8.49930	7.96690
7.08933	8.26704	1.00000	50.63437	9.41099	23.47613	0.02394	53.04840	6.38204	7.26363	6.45407	1132.24132	3.39467	8.22285	6.66142	50.36511	8.64517	7.56911
8.04492	5.29518	1.00000	84.25662	7.24875	18.49973	0.04693	58.12907	8.64255	8.98356	10.58806	1085.08317	77.24779	9.20164	8.49984	60.32757	5.27691	8.56019
8.55068	5.49656	1.00000	69.92996	7.83795	21.60994	0.07277	57.33106	10.09638	7.22984	55.8736	1169.70249	85.4265	6.43207	6.11348	32.19613	7.40555	8.99996
5.86294	6.00564	1.00000	56.18760	9.18612	30.88875	0.03345	55.70115	5.72531	7.60413	37.60876	1133.65507	-77.37331	7.81201	11.47965	59.61803	7.76626	7.74567
4.89386	5.02734	1.00000	35.41381	9.51547	4.22742	0.01865	27.66027	2.49422	9.60583	50.72043	1081.31123	11.34046	6.44311	6.14779	46.51592	6.49423	7.75803
3.34860	8.60388	1.00000	63.72966	8.98873	1.61327	0.02614	73.51347	3.97578	7.94149	40.55851	1094.88988	17.80774	8.32180	4.69781	51.98317	6.15136	8.88327
9.19988	8.69691	0.00000	36.08124	7.22592	-2.27734	0.13049	27.76991	11.34923	9.44371	52.26083	1127.37585	7.00417	9.42485	7.08347	47.39045	5.12461	7.48897
9.61039	6.53457	1.00000	48.50652	9.40754	6.31935	0.17201	64.26811	9.66349	6.79536	42.62833	1147.76036	20.89389	7.84183	9.70420	20.35939	8.78981	8.31858
6.92489	4.02504	1.00000	65.06553	9.87620	21.85518	0.03586	54.65146	7.06219	7.51561	-25.42778	1066.98754	-49.27306	6.34582	6.02970	41.99293	5.71709	8.58782
10.17283	5.71064	0.00000	52.35157	10.31795	31.94323	0.29267	42.42216	10.35448	7.13005	29.65163	1084.97806	-82.32483	7.76554	6.07330	32.83285	6.62798	9.27759
3.25089	7.36732	1.00000	22.59389	10.95293	11.38266	0.02273	65.38572	3.36570	8.36953	25.75728	1078.80473	75.37991	7.03037	8.24625	32.96345	9.53024	10.70394
8.76735	7.29033	1.00000	51.38049	10.02673	4.21839	0.08232	45.79938	6.68798	8.02654	39.71734	1148.22374	-74.96933	9.85408	11.23456	53.38359	11.58005	6.23661
6.97688	5.54218	1.00000	53.33892	9.06614	10.10626	0.03478	44.98034	6.11886	7.69098	30.29184	1160.27920	71.67164	6.88874	10.59781	48.26968	8.84790	6.28702
8.47130	8.16749	1.00000	66.20030	10.77872	21.11820	0.07820	35.84778	8.48962	8.94609	5.90702	1129.82406	116.10146	7.93590	8.77295	39.03870	10.35172	8.23864
4.10681	8.51352	1.00000	67.51837	9.34865	19.95301	0.03845	43.83868	4.51046	8.21761	14.8361	1089.83659	120.97844	9.72984	6.55447	55.21714	5.05278	8.88606
6.26905	7.62913	0.00000	62.03398	5.97986	1.88068	0.03416	32.95079	12.18427	7.78369	-26.93366	1183.55153	29.24152	8.37741	6.07123	51.73973	8.63793	7.95607
