location	revision	longitude	QoS	code	latitude
Asia/Manila	08/11/2021, 00:00:00	120.89694	excellent	PH	14.95472
Europe/Paris	11 Mar 2020	2.12213	accep	FR	48.8222
Europe/Istanbul	2022/07/03	42.85693	accep	TR	39.22493
Asia/Tokyo	2015/08/20	136.84186	average	JP	34.4833
Asia/Shanghai	02 Mar 2019	117.65694	average	CN	36.19278
Asia/Shanghai	26 Oct 2019	120.74221	building	CN	31.64615
America/New_York	2019/01/07	-82.45426	average	US	27.09978
America/New_York	2022-06-05	-73.0515	good	US	41.55815
America/New_York	31 Aug 2020	-71.05977	good	US	42.35843
Europe/Berlin	05/20/2015, 00:00:00	11.37703	accep	DE	48.06919
Asia/Kolkata	2020/06/04	86.68363	excellent	IN	23.49668
Asia/Shanghai	03/10/2018, 00:00:00	120.33063	excellent	CN	37.65181
America/Chicago	08/29/2017, 00:00:00	-93.12577	average	US	44.73941
Asia/Kuala_Lumpur	11/22/2014, 00:00:00	103.81667	good	MY	1.6
America/Belem	2022-07-09	-48.52333	average	BR	-0.71667
Europe/London	2018-12-03	1.15597	accep	GB	51.78967
Asia/Manila	16 Mar 2017	120.57224	building	PH	15.72892
Europe/London	2013/12/18	-3.05814	accep	GB	53.00974
Asia/Tokyo	11/06/2021, 00:00:00	137.36215	accep	JP	36.75965
America/Sao_Paulo	2018-07-15	-52.67056	accep	BR	-26.22861
Europe/Istanbul	2019/08/04	41.00817	maintenance	TR	38.13708
America/Guayaquil	2022-06-15	-79.59415	accep	EC	-2.13404
Europe/Berlin	2022-03-03	10.30215	excellent	DE	53.94313
Europe/London	13 Jan 2015	1.15597	accep	GB	51.78967
Asia/Kolkata	2017/07/02	86.68363	accep	IN	23.49668
Asia/Shanghai	01 Dec 2017	126.28333	good	CN	45.35
Africa/Lagos	2020-06-20	3.39467	excellent	NG	6.45407
America/New_York	2017/04/11	-73.95958	average	US	40.57788
Asia/Manila	2017/05/10	121.06761	excellent	PH	12.35275
Asia/Kolkata	03 Dec 2019	79.82979	accep	IN	11.93381
Africa/Abidjan	2022-06-10	-3.59625	excellent	CI	5.27247
Asia/Kolkata	2015-06-12	77.24779	maintenance	IN	10.58806
Asia/Kolkata	2014/05/29	88.1453	building	IN	22.4711
Europe/Moscow	2022/09/06	37.99117	building	RU	44.92934
Europe/London	05/09/2016, 00:00:00	-2.01111	accep	GB	52.66277
Asia/Jakarta	2017/08/23	98.6738	good	ID	3.7278
Europe/Madrid	18 May 2016	-1.325	excellent	ES	38.47917
Europe/Paris	25 Jun 2015	4.86667	good	FR	45.51667
Asia/Manila	2016/01/15	120.4861	accep	PH	16.0438
Asia/Kolkata	2016/02/03	72.93924	accep	IN	18.87813
America/Chicago	2016/01/28	-97.92977	accep	US	38.06084
America/Detroit	05/14/2013, 00:00:00	-82.42491	excellent	US	42.97086
America/Guayaquil	20 Aug 2021	-79.59415	building	EC	-2.13404
Asia/Taipei	2018-10-22	119.58627	building	TW	23.5654
Europe/Rome	2017-05-30	14.01481	average	IT	42.67164
America/Bogota	2018-08-27	-74.95472	good	CO	10.98778
Europe/Helsinki	2014/10/26	24.14662	average	FI	65.84811
Europe/Madrid	2017/02/11	-4.10734	excellent	ES	38.68712
Asia/Tokyo	02/25/2016, 00:00:00	137.95378	average	JP	35.82756
Europe/Berlin	12/02/2017, 00:00:00	11.32903	excellent	DE	50.9803
Asia/Manila	2021-06-22	123.62494	accep	PH	12.37169
America/Los_Angeles	11 Jun 2019	-117.54866	average	US	33.93113
America/New_York	2019/11/08	-81.23621	good	US	33.98154
Asia/Kolkata	03 Jan 2021	83.97573	average	IN	21.46527
Asia/Manila	2014/12/16	123.62494	average	PH	12.37169
America/Chicago	06 Sep 2021	-97.03285	accep	US	47.92526
America/New_York	01/10/2013, 00:00:00	-84.20299	building	US	39.43534
Europe/Madrid	03/05/2014, 00:00:00	-1.86343	average	ES	38.10558
Europe/Moscow	2019/06/06	38.12408	accep	RU	53.77166
Africa/Kinshasa	2018/01/03	15.16554	maintenance	CD	-4.5833
Asia/Barnaul	12 Jul 2021	83.62389	building	RU	53.30972
Asia/Kolkata	2015/08/28	83.36889	excellent	IN	26.76628
America/Chicago	2016/10/12	-91.06177	good	US	33.41012
Europe/Madrid	28 Feb 2018	-2.98884	excellent	ES	43.32686
America/Port-au-Prince	09/01/2015, 00:00:00	-72.22625	average	HT	18.57677
Africa/Algiers	01/25/2021, 00:00:00	2.31889	average	DZ	35.21222
America/New_York	29 Sep 2016	-73.9625	good	US	40.81
Asia/Kolkata	06/19/2016, 00:00:00	71.30633	good	IN	21.34222
America/Sao_Paulo	02 May 2019	-50.00639	excellent	BR	-25.42944
America/New_York	27 Oct 2021	-80.66756	accep	US	26.68451
Asia/Manila	01 May 2013	124.3697	excellent	PH	9.6531
Asia/Shanghai	2015-12-11	111.50861	average	CN	32.54278
Asia/Kolkata	2020-09-22	86.59611	acceptable	IN	25.87498
Africa/Algiers	2014-09-11	3.47717	excellent	DZ	36.76639
America/Lima	2021/09/19	-75.11028	excellent	PE	-15.21194
America/Sao_Paulo	2017-05-11	-49.27306	average	BR	-25.42778
Europe/London	06 Jul 2016	-1.29243	excellent	GB	53.49389
America/Mexico_City	2017-01-25	-99.32556	good	MX	19.32889
Europe/Paris	2019/08/12	2.29275	excellent	FR	48.79325
Asia/Baku	2019/12/31	48.87498	good	AZ	38.45598
Europe/Warsaw	2013/03/30	18.34717	good	PL	54.60528
America/Chicago	02 Apr 2018	-98.15529	accep	US	26.18924
Europe/Moscow	07 Dec 2018	37.49338	good	RU	55.62047
Europe/Berlin	01/24/2021, 00:00:00	9.22796	building	DE	48.46458
Asia/Shanghai	05/31/2019, 00:00:00	126.28333	average	CN	45.35
Europe/Paris	2019/11/22	2.61667	accep	FR	48.98333
Africa/Bangui	01 Jul 2014	15.87735	excellent	CF	4.94273
Europe/Warsaw	2022-07-06	16.86194	average	PL	54.58048
Asia/Yekaterinburg	2020/11/08	76.92421	average	RU	60.97944
America/Caracas	08 May 2022	-62.64102	average	VE	8.35122
America/New_York	2022-07-30	-74.07764	building	US	40.72816
Asia/Jakarta	2013/10/28	112.23109	excellent	ID	-7.57897
America/Havana	22 Apr 2018	-82.4017	maintenance	CU	23.0072
America/Boise	27 Jun 2019	-116.56346	average	US	43.54072
Asia/Shanghai	26 Apr 2018	126.28333	excellent	CN	45.35
Asia/Karachi	2013-08-16	73.97117	good	PK	31.96258
America/Toronto	2015-02-14	-80.38297	excellent	CA	42.8334
Asia/Manila	2021/11/23	121.96361	accep	PH	6.95194
America/New_York	28 Aug 2014	-81.26367	good	US	28.90054
Europe/Paris	2019-08-16	5.16108	accep	FR	48.77275
Europe/Madrid	20 Nov 2013	2.35739	building	ES	41.63976
Europe/Samara	08 Aug 2017	51.3452	building	RU	53.37596
Asia/Aden	18 Jun 2014	46.83187	building	YE	14.53767
Asia/Karachi	2012-12-03	72.54064	average	PK	31.82539
Africa/Mogadishu	2019/04/23	42.54536	maintenance	SO	-0.35817
America/Recife	11/18/2018, 00:00:00	-35.71667	good	BR	-8.66667
Africa/Niamey	2016/12/09	9.15013	excellent	NE	13.70727
Asia/Seoul	02/20/2017, 00:00:00	128.63083	excellent	KR	36.82167
Australia/Sydney	2016-05-20	151.08057	good	AU	-33.79176
Asia/Kabul	08/18/2015, 00:00:00	65.93249	maintenance	AF	36.21544
America/Santo_Domingo	2015/08/12	-71.10077	building	DO	18.20854
America/Chicago	21 Jun 2019	-89.99038	excellent	US	38.58894
Asia/Shanghai	09/16/2018, 00:00:00	114.51667	average	CN	33.78333
Asia/Tokyo	2016/04/05	136.61667	accep	JP	36.53333
Europe/Zurich	10/20/2014, 00:00:00	8.52462	good	CH	47.30997
Europe/Moscow	17 May 2020	43.67663	excellent	RU	53.53041
Pacific/Efate	2014/02/20	168.31366	excellent	VU	-17.73648
Asia/Shanghai	03/23/2018, 00:00:00	116.11768	average	CN	24.28859
America/Santiago	10/16/2020, 00:00:00	-71.23106	excellent	CL	-32.45242
Pacific/Auckland	2021/09/15	178.00417	average	NZ	-38.65333
America/Argentina/Buenos_Aires	12 Dec 2020	-58.38341	average	AR	-34.64966
Africa/Algiers	2017-10-07	3.50309	building	DZ	34.15429
Europe/Moscow	2014-12-22	38.07083	good	RU	54.90083
Europe/Paris	19 Jul 2020	1.6	maintenance	FR	43.11667
Asia/Kolkata	11/23/2016, 00:00:00	76.35484	good	IN	10.10649
Europe/Berlin	01/16/2016, 00:00:00	7.11393	excellent	DE	51.08468
Europe/Madrid	2021/06/22	-5.55835	accep	ES	42.64685
America/New_York	27 Aug 2017	-80.66756	accep	US	26.68451
America/Sao_Paulo	12 Jan 2020	-52.2	excellent	BR	-28.44917
Asia/Shanghai	2020-12-07	122.08333	maintenance	CN	46.08333
Asia/Kolkata	03 Sep 2018	75.92694	maintenance	IN	14.46693
Europe/Madrid	08 Aug 2018	-3.67029	maintenance	ES	37.13548
Asia/Tokyo	18 Jun 2018	136.51667	accep	JP	35
America/Mexico_City	01/26/2022, 00:00:00	-100.44843	accep	MX	20.74122
Europe/Paris	14 Oct 2020	1.33467	good	FR	43.61058
America/Los_Angeles	30 Nov 2016	-118.25508	building	US	34.14251
Europe/Prague	2022/06/20	12.87117	maintenance	CZ	50.23271
America/New_York	2017-10-04	-74.96933	average	US	39.71734
Asia/Kolkata	27 Sep 2014	74.83554	average	IN	14.62072
America/Guayaquil	2019/12/16	-79.00453	building	EC	-2.90055
Africa/Algiers	02/02/2014, 00:00:00	2.31889	excellent	DZ	35.21222
Europe/Moscow	2021/12/05	37.92792	good	RU	53.93361
America/Chicago	04/03/2021, 00:00:00	-86.99666	good	US	33.45122
Asia/Yekaterinburg	08 Mar 2020	60.70278	excellent	RU	55.75556
Europe/Skopje	08/02/2021, 00:00:00	21.32778	building	MK	42
Europe/Berlin	07 Dec 2021	11.32903	accep	DE	50.9803
Europe/Helsinki	2016/11/18	24.6522	maintenance	FI	60.2052
America/Argentina/Buenos_Aires	09 Feb 2016	-58.70072	excellent	AR	-34.74785
Pacific/Auckland	21 Jun 2015	178.00417	average	NZ	-38.65333
America/New_York	2012-12-12	-83.55521	maintenance	US	41.66394
Asia/Kolkata	26 Feb 2014	78.14797	excellent	IN	15.45144
Europe/Lisbon	2019-05-01	-7.32097	accep	PT	41.1053
Europe/Lisbon	04 May 2018	-7.32097	accep	PT	41.1053
Europe/Moscow	05/12/2022, 00:00:00	38.2739	accep	RU	46.7055
Africa/Algiers	2014/03/11	2.95924	accep	DZ	36.76775
Europe/London	2020-11-22	0.30367	accep	GB	51.38673
Europe/Berlin	19 Aug 2013	11.34046	good	DE	50.72043
Asia/Riyadh	07 May 2014	49.62251	good	SA	27.0174
Europe/Moscow	28 Mar 2014	38.12408	good	RU	53.77166
America/Phoenix	2020-09-04	-111.78903	average	US	33.35283
Europe/Berlin	06/06/2019, 00:00:00	8.77155	excellent	DE	50.23019
Asia/Seoul	2018-05-03	126.665	accep	KR	36.6009
