O3	SO2	PRES	PAHs	C2H3NO5	H2CO	longitude	warning	CFCs	latitude	CH4	TEMP	PM10	NH3	NOx	Pb	PM2.5	CO
5.64038	6.62468	1114.18328	8.69931	2.21501	38.57331	1.53414	0.00000	52.61958	42.50729	8.80257	26.49441	7.51734	7.89234	7.60194	45.11824	6.81441	6.29494
7.00735	4.25433	1191.47909	6.20562	2.64358	45.90430	78.27539	0.00000	65.81324	12.95629	8.80455	4.75246	7.65851	8.90044	6.96074	50.14571	7.30865	9.28314
3.57020	9.51812	1196.48817	6.96257	4.96867	49.35676	78.27539	1.00000	38.50866	12.95629	8.95069	3.95324	8.51339	8.40476	7.88865	47.07178	8.17584	6.07296
8.76796	5.34626	1056.39159	8.27316	6.99896	57.41440	123.99333	0.00000	59.84282	12.97389	10.11435	6.10565	8.79533	5.13904	7.83868	58.51158	8.83990	4.61284
3.38591	10.80658	1101.04112	7.72105	1.81684	51.17450	16.50104	1.00000	36.26559	41.24264	9.44976	9.41319	6.63303	6.31418	7.06192	63.33096	9.77314	3.81655
7.32918	8.22289	1138.96629	5.96269	2.46799	31.00704	88.1453	0.00000	42.45353	22.4711	8.07266	30.32991	7.29237	5.88621	7.67408	42.71019	4.77774	5.68666
7.76247	6.24310	1088.40671	8.29064	3.17227	60.29039	5.23333	1.00000	54.25916	52.09	5.29849	30.67916	8.07796	5.16388	6.66169	34.60615	8.16485	6.85682
7.22167	8.60603	1182.40486	7.80264	1.45798	52.25019	29.91582	1.00000	50.55650	31.20176	9.43100	27.21848	6.04458	10.87060	5.53086	30.81031	8.44534	7.03656
7.05460	4.82593	1062.32542	6.73374	6.13222	47.41625	73.06784	0.00000	36.37374	25.13915	5.11004	18.82424	8.62396	6.37415	6.64183	60.67022	6.83986	7.78210
8.49705	7.74627	1054.42052	6.93531	2.24961	43.26502	-85.76942	1.00000	56.50428	39.78504	9.72441	9.51447	7.16338	13.36485	7.02749	63.36344	7.92208	6.63440
7.46414	8.66470	1055.61228	7.46021	11.56224	52.49995	-84.50855	1.00000	56.03235	39.08367	5.29981	29.32384	9.41212	5.70560	7.14987	51.00886	7.77055	5.67542
8.61314	6.91091	1089.61056	7.67831	18.09803	61.32337	9.40531	0.00000	34.83036	45.53069	9.60149	-2.11151	9.88591	9.73009	8.59099	53.95652	7.11251	6.98441
6.45722	4.67320	1060.69102	8.52810	2.22293	23.40358	114.10479	0.00000	66.68981	22.37066	8.58777	18.92891	7.21128	5.16788	8.81584	38.51286	6.79260	5.49366
6.49888	3.97896	1163.32440	7.62958	2.57874	33.56744	27.18052	1.00000	51.06015	39.12074	8.66345	-1.12589	7.55417	7.46736	8.68292	51.67659	9.13882	6.95603
7.69967	7.38530	1180.26136	8.55664	2.41310	71.82347	2.08333	1.00000	55.76252	48.86667	9.60542	11.54945	7.41419	10.99542	6.85755	38.40859	7.72868	6.88425
6.28132	9.54187	1186.05696	8.67182	1.20977	52.43303	28.28489	1.00000	50.33674	48.15659	6.92332	23.74126	6.16214	8.19587	7.12008	34.90404	5.75894	5.97905
5.52597	8.29015	1181.58162	8.97477	2.23449	45.15113	10.7	1.00000	57.18047	4.96667	7.92086	5.74767	7.16600	8.50015	8.42477	53.73077	8.82917	6.13032
7.78600	7.08116	1114.18284	8.32770	1.74482	36.51852	72.93924	1.00000	38.60983	18.87813	8.98885	23.09617	6.56937	11.09153	7.70852	47.17357	7.22374	7.95395
6.98477	5.18947	1077.26266		2.05211	33.19495	-73.9614	0.00000	54.29227	10.15031	7.63624	18.21978	6.84078	9.15404	6.69331	43.18546	6.15594	8.36769
6.45411	9.37216	1117.65288	7.45317	1.49283	58.39247	76.0586	1.00000	39.85477	16.06213	8.52565	9.37218	6.07882	8.91894	6.40794	46.92842	8.90907	7.05489
6.30888	10.51314	1158.40648	7.66250	0.73700	53.05970	-86.99666	1.00000	41.13529	33.45122	10.89205	16.05254	5.29943	7.30537	7.80065	39.55297	7.80544	7.94776
5.74265	4.95204	1081.61371	7.12524	1.01598	66.29873	36.25361	0.00000	66.67446	47.48444	7.22778	24.61642	6.06417	7.62968	6.87903	46.98057	6.93992	8.07930
5.10163	6.56625	1182.84910	6.70785	4.16131	48.91978	107.60627	1.00000	40.47336	51.82721	8.27387	13.13092	8.09382	3.33971	7.16685	35.76249	5.78111	6.59708
6.69824	9.25067	1144.89024	7.39345	3.91792	50.85204	-60.94228	1.00000	64.92488	14.67751	6.39432	15.29503	7.92664	5.26933	8.96998	32.69342	7.09845	4.80744
8.05005	6.64803	1126.20787	8.01680	6.32338	59.09697	-93.263	1.00000	58.37849	45.0408	4.72765	18.73689	8.62172	5.45889	7.60044	50.98720	7.08542	7.16698
6.18707	7.00400	1171.84471	8.25021	0.67796	35.72109	178.00417	1.00000	44.21444	-38.65333	7.31165	9.00097	6.05649	4.88304	7.19533	54.21696	5.68146	7.50136
4.42815	8.45049	1164.06840	7.66517	4.84673	76.34594	120.33063	1.00000	39.73479	37.65181	9.01560	20.85678	8.36110	11.32955	6.87493	59.52700	8.60279	5.90280
7.32167	6.74758	1196.68674	7.49052	16.47990	63.13209	-67.15407	0.00000	60.23315	18.42745	6.97827	30.09014	9.83272	7.42856	7.64955	59.05368	6.77137	7.47388
7.32127	8.43611	1127.15893	7.70720	1.52290	61.70983	5.74861	1.00000	35.75807	52.71083	7.51549	26.65876	6.75450	8.28946	6.81928	45.26919	9.61224	6.63233
4.61032	5.19237	1146.46827	7.55582	3.93094	42.34865	41.77921	0.00000	64.83721	41.82143	10.06066	17.83712	8.11740	5.28744	8.32853	54.69472	6.04191	6.52504
4.96323	6.19086	1165.80289	7.52087	4.08320	59.29181	-15.58602	0.00000	58.38121	27.76056	5.29743	14.39859	8.17202	6.73871	9.01937	34.42365	6.57129	6.87158
6.15624	4.11501	1154.15286	6.05156	4.37607	61.54323	-42.98194	0.00000	48.44875	-22.53722	6.92675	18.25471	8.28903	5.97223	8.10064	76.40580	5.90573	9.62284
5.22419	6.80174	1177.52333	8.78370	1.82094	49.78677	-65.61427	0.00000	30.95900	-27.4338	9.29599	12.28349	6.77286	6.87307	6.66427	32.60205	4.88233	3.96282
5.17372	9.43865	1117.24059	6.54516	3.75453	49.93197	5.58472	1.00000	47.51338	52.14	7.96213	10.07589	8.17523	6.72060	7.67263	29.87472	10.12288	5.63037
5.97032	10.11167	1182.19713	7.28681	12.71918	85.70248	30.98551	1.00000	38.57697	2.41669	9.42376	21.95700	9.53389	5.76432	7.42055	51.55463	7.96484	7.12002
4.64745	7.56810	1078.23565	7.91704	5.47571	58.15283	-1.60452	1.00000	32.01349	42.06166	9.38117	15.76085	8.61581	11.87735	7.14068	58.38503	7.55302	5.59917
8.07800	7.80690	1149.81789	8.41802	1.59679	42.30923	-73.78458	0.00000	21.80789	41.0051	3.39848	32.84910	6.69270	7.08339	8.10011	31.23638	7.68880	6.33913
6.27612	8.29968	1126.67620	5.65799	2.09969	54.32138	38.66667	1.00000	69.60864	-6.25	7.61515	13.04597	7.05594	9.61289	6.13644	52.81675	8.49171	9.20800
8.19010	8.81232	1091.64634		4.00494	66.59378	75.37991	1.00000	46.50388	25.75728	5.70695	19.69512	8.16024	6.91845	8.11450	35.36214	11.85965	7.85404
6.46217	6.91340	1116.00453	7.54141	1.21796	57.62475	-35.71667	0.00000	35.37463	-8.66667	6.52557	10.36087	6.76272	7.05154	7.81719	57.49618	5.77011	6.70865
6.83089	5.78981	1068.88551	6.39453	2.02015	48.86956	76.0586	0.00000	47.90494	16.06213	7.05884	-5.25694	7.31511	8.25416	7.96522	64.86099	7.02075	9.23959
6.42757	5.44728	1074.57816	6.62537	3.72565	27.85967	-2.68758	0.00000	57.55961	53.69786	5.45681	12.83454	7.88600	8.50844	7.41828	30.08448	4.13788	6.66433
5.99781	7.58787	1159.67359	8.77729	1.70244	64.20752	-98.15529	1.00000	53.85376	26.18924	7.51676	11.34586	6.57163	4.69966	8.26340	56.01704	6.59374	6.22516
5.98682	5.02128	1093.00915	8.17091	3.38199	32.72930	38.12408	1.00000	42.61494	53.77166	6.03299	19.56453	8.05473	5.37656	8.11321	41.60934	5.05456	9.35846
8.33904	8.30227	1191.69560	8.35044	1.48479	53.60135	19.21437	1.00000	56.78649	44.75874	4.19931	12.49529	5.88607	9.01406	8.26096	49.70571	6.82607	7.63708
5.09273	9.24094	1094.06908	7.42584	0.72946	56.10639	-71.10077	1.00000	44.23750	18.20854	8.79649	19.30044	6.62037	6.80754	7.14448	65.86658	10.35500	3.22103
6.28029	8.08690	1051.15551	7.93643	3.22640	36.29073	11.37703	1.00000	43.09293	48.06919	7.86887	18.19005	8.00757	11.34474	8.47107	46.04806	8.96017	7.00654
7.95935	7.98182	1168.04232	7.15805	4.55340	61.47285	100.48528	0.00000	36.20516	14.37395	7.00717	21.19690	8.35264	8.83193	8.26312	78.20959	9.33604	6.66036
5.51137	7.36864	1053.46322	9.07826	2.95884	44.04354	-69.08333	0.00000	62.81673	-16.25	4.56238	12.45436	7.33618	10.69147	8.22738	42.99258	5.05456	3.37822
8.08457		1133.20414	8.12312	4.28445	54.93737	12.19458	1.00000	36.89391	10.61285	8.25323	18.65459	8.14291	10.08628	7.18845	56.66502	9.44371	7.78011
6.94692	7.85563	1191.95234	8.86580	2.81109	22.86759	5.03586	1.00000	49.00236	43.83125	6.12796	22.99469	7.67903	6.45220	6.71274	44.88879	6.96440	6.88090
6.33232	5.89555	1092.00262	8.46873	7.78956	37.18174	3.1631	0.00000	55.83244	41.91738	9.41024	18.10154	8.98568	6.32454	6.74979	34.44999	5.57333	6.23518
6.19143	10.10034	1056.32301	7.88575	2.51020	74.96140	9.22796	1.00000	31.57515	48.46458	10.92844	12.02967	7.63045	8.26519	7.63552	44.25714	8.22686	4.53852
