location	longitude	code	QoS	revision	latitude
Asia/Kolkata	78.27539	IN	maintenance	20 Jan 2021	12.95629
Europe/Sarajevo	19.21437	BA	excellent	11 Apr 2015	44.75874
Europe/Berlin	9.15214	DE	average	2018-03-17	49.97704
America/Chicago	-94.74049	US	maintenance	2017/07/03	32.5007
America/Chicago	-91.73625	US	maintenance	2015-12-06	35.25064
Asia/Manila	120.97844	PH	accep	02/11/2020, 00:00:00	14.8361
Asia/Hong_Kong	114.10479	HK	excellent	12/24/2020, 00:00:00	22.37066
Asia/Seoul	128.63083	KR	maintenance	2013/03/17	36.82167
Asia/Manila	123.99333	PH	accep	06 Jul 2014	12.97389
America/Mexico_City	-103.5687	MX	excellent	2017/09/23	20.22816
Asia/Karachi	68.49143	PK	average	06/13/2017, 00:00:00	25.80565
Europe/London	-0.76667	GB	accep	2017-07-03	53.38333
America/Lima	-69.08333	PE	maintenance	21 May 2015	-16.25
Africa/Abidjan	-5.682	CI	good	2018/05/25	5.84752
Africa/Lagos	4.18333	NG	maintenance	2012-10-04	7.6
America/Indiana/Indianapolis	-85.76942	US	average	2021-03-26	39.78504
America/New_York	-81.79819	US	building	12/02/2017, 00:00:00	41.48199
Europe/Brussels	4.82313	BE	good	2022/05/17	51.24197
Asia/Kuala_Lumpur	103.6032	MY	good	11/08/2014, 00:00:00	1.6561
America/New_York	-70.92866	US	average	10/27/2015, 00:00:00	42.52787
Asia/Tokyo	144.09638	JP	accep	07 Sep 2016	43.82634
Asia/Kolkata	72.68533	IN	accep	2019-07-25	22.75218
America/Bogota	-72.47417	CO	average	07/21/2017, 00:00:00	7.83389
Pacific/Auckland	171.25364	NZ	average	2016/10/07	-44.39672
Asia/Kolkata	91.61356	IN	average	17 Mar 2016	26.44931
Asia/Kolkata	79.5286	IN	accep	2019-05-14	29.22254
Asia/Krasnoyarsk	92.48278	RU	excellent	2022/02/22	58.23583
America/New_York	-77.70066	US	average	2017/10/21	43.16547
America/New_York	-71.05977	US	excellent	01/20/2019, 00:00:00	42.35843
Africa/Accra	-2.31938	GH	maintenance	05 Jan 2019	6.46346
Asia/Kolkata	78.27539	IN	average	2020-01-22	12.95629
Europe/Moscow	34.34691	RU	average	19 Jul 2017	61.78491
Europe/Sofia	27.25	BG	good	07 Aug 2015	42.7
Europe/Paris	2.12213	FR	excellent	03/16/2015, 00:00:00	48.8222
Asia/Karachi	68.49143	PK	average	26 May 2015	25.80565
Asia/Kolkata	73.7553	IN	building	01/10/2021, 00:00:00	15.5439
Europe/Moscow	37.38115	RU	accep	22 May 2018	55.63711
Europe/London	-1.29243	GB	building	2020-03-04	53.49389
Europe/Madrid	-1.325	ES	building	04/03/2021, 00:00:00	38.47917
Asia/Manila	120.97844	PH	average	2014-01-20	14.8361
Europe/Berlin	8.4493	DE	average	2020/09/04	50.09019
Asia/Shanghai	109.22921	CN	excellent	2018-03-25	34.65918
Asia/Kolkata	77.40858	IN	building	2013/08/17	24.05979
Africa/Lagos	3.64633	NG	building	06 Sep 2021	6.8485
Asia/Makassar	117.59152	ID	good	05/29/2013, 00:00:00	3.31332
Asia/Manila	120.89694	PH	excellent	28 Jan 2013	14.95472
America/La_Paz	-65.71875	BO	good	03/08/2020, 00:00:00	-21.44345
America/New_York	-70.92866	US	accep	2013-03-25	42.52787
Asia/Yangon	98.19151	MM	good	2015-11-03	14.0823
Europe/Berlin	13.32127	DE	average	07/09/2017, 00:00:00	52.59319
America/Los_Angeles	-122.86705	US	maintenance	22 Jul 2014	45.49428
Asia/Kolkata	78.23456	IN	good	2014/08/14	28.92694
Europe/Berlin	8.70745	DE	accep	02 Jul 2019	49.03685
Asia/Tokyo	137.95378	JP	accep	25 Jul 2022	35.82756
Asia/Irkutsk	107.60627	RU	excellent	02 Mar 2015	51.82721
