TEMP	PM10	CH4	PRES	longitude	H2CO	NH3	NOx	PM2.5	PAHs	SO2	latitude	CFCs	warning	CO	C2H3NO5	O3	Pb
11.06743	7.08154	7.94481	1173.95276	-74.13653	53.76038	10.23796	6.64224	7.43267	7.47003	8.72991	40.63316	43.52852	1.00000	8.07651	0.10324	7.96648	69.76801
8.33484	6.93128	7.78107	1137.07199	78.55757	55.92815	8.11838	8.21309	8.56040	9.01645	9.60197	17.34769	43.79983	1.00000	7.15901	0.08124	6.31959	57.95346
25.17937	10.70154	9.96741	1177.63662	36.7138	48.12456	10.68144	9.19463	7.66080	4.02978	6.73376	35.95664	35.26403	0.00000	5.25284	1.33049	6.61424	55.38402
15.03518	9.22938	3.49754	1155.04686	72.68533	37.68014	5.33230	6.30206	7.91768	5.11674	7.49784	22.75218	69.27886	1.00000	11.39146	0.37473	7.81017	66.33179
22.27910	9.80230	6.90745	1162.52850	-82.00919	52.52435	4.78419	8.87912	7.23086	8.15839	6.96311	23.04419	72.79319	1.00000	8.60638	0.56446	8.41321	62.10409
5.63234	9.26711	10.12604	1136.52400	2.08333	63.39714	10.11699	9.59844	7.01616	4.18243	9.53949	48.86667	59.68788	0.00000	4.32516	0.36502	6.38026	67.11015
4.51416	11.61011	9.76899	1088.86329	-84.50855	39.61361	6.68099	9.88430	7.40523	7.77707	10.51032	39.08367	43.86385	1.00000	10.31026	3.21098	5.72385	47.13176
19.67466	6.35709	6.27504	1064.51394	11.412	50.41181	8.75373	6.18610	7.37105	7.09306	7.89314	45.50369	26.67330	1.00000	8.82406	0.05093	9.94812	41.63009
29.37810	10.67578	11.18789	1158.72865	91.00632	68.31417	9.85863	7.26047	6.70365	4.23913	7.36441	26.32293	55.25426	0.00000	8.52245	1.29063	7.71723	58.48074
26.72299	7.06654	6.80817	1070.32546	-97.92977	56.99180	9.91331	5.80845	6.62540	5.96802	9.19456	38.06084	37.19230	1.00000	8.66075	0.08668	7.39709	63.34417
10.33897	9.44837	9.38559	1194.60859	-71.23106	59.87238	8.71909	7.31154	7.91174	9.60565	7.17002	-32.45242	50.51992	0.00000	6.85632	0.39585	9.58665	46.20977
5.93923	8.07149	7.38905	1109.29895	72.54566	46.92575	8.96479	5.97193	8.05561	6.80927	6.92603	29.69221	37.77018	1.00000	8.80766	0.12802	6.84556	55.97253
21.00209	5.90858	7.75060	1065.71505	77.70636	49.22155	10.47221	5.95922	8.31997	6.39772	7.38790	28.98002	60.09701	1.00000	8.43683	0.05218	7.77055	59.01402
10.56883	10.73619	8.59617	1116.89854	14.39024	55.79611	7.19820	7.37113	8.85669	7.99323	8.80934	42.22718	54.28391	1.00000	10.27345	1.35545	6.65449	69.81822
26.84766	10.92018	8.63791	1153.15551	17.4674	46.99454	9.00039	6.93771	8.49761	9.16215	7.82131	50.86079	35.63999	0.00000	8.30324	1.62955	8.48430	52.29744
-4.92327	8.43535	8.21680	1167.31950	112.9	39.95147	6.33149	9.23445	10.23068	7.62291	6.53745	27.85	77.59466	1.00000	8.55915	0.17521	7.21973	46.10588
12.52295	10.04176	11.38039	1190.74971	4.52529	41.66908	7.34799	10.30826	7.27126	7.41149	7.66281	50.71229	56.00908	1.00000	8.43944	0.70576	6.66573	47.43889
