latitude	revision	QoS	location	longitude	station
45.40008	09 Aug 2022	average	America/Toronto	-73.58248	Sainte-Catherine
6.33444	08/31/2018, 00:00:00	excellent	Asia/Manila	124.95278	Tupi
54.48147	2017/09/24	good	Asia/Yekaterinburg	53.47103	Oktyabr’skiy
8.56697	17 May 2016	accep	Asia/Manila	123.33471	Dipolog
37.19723	09/28/2021, 00:00:00	excellent	Asia/Shanghai	122.05228	Tianfu
34.81667	24 Apr 2018	building	Asia/Tokyo	137.4	Toyokawa
50.9803	04/02/2021, 00:00:00	excellent	Europe/Berlin	11.32903	Weimar
41.27194	2013/09/05	building	Asia/Shanghai	123.17306	Liaoyang
28.88162	28 Jan 2020	building	Asia/Shanghai	120.03308	Guli
41.1053	14 Aug 2022	building	Europe/Lisbon	-7.32097	Custoias
10.66668	06 Sep 2016	excellent	America/Port_of_Spain	-61.51889	Port of Spain
6.9909	2015/10/12	acceptable	Asia/Colombo	79.883	Hendala
37.56667	27 Jul 2014	excellent	Asia/Tokyo	140.11667	Inawashiro
50.82709	10/17/2014, 00:00:00	maintenance	Europe/Berlin	6.9747	Wesseling
42.58342	08/19/2017, 00:00:00	maintenance	America/New_York	-71.8023	Fitchburg
45.43341	2014-02-11	building	America/Toronto	-73.86586	Beaconsfield
37.65181	01/18/2013, 00:00:00	building	Asia/Shanghai	120.33063	Longgang
16.455	2015/03/27	building	Asia/Manila	120.5875	La Trinidad
37.65639	11/30/2014, 00:00:00	average	Asia/Seoul	126.835	Goyang-si
45.53069	27 Sep 2021	average	Europe/Rome	9.40531	Gorgonzola
46.67535	2013-08-27	maintenance	Europe/Paris	5.55575	Lons-le-Saunier
-22.57306	2018-08-24	average	America/Sao_Paulo	-47.1725	Artur Nogueira
37.73222	19 Nov 2012	building	Asia/Shanghai	115.70111	Hengshui
34.15429	2022/03/06	average	Africa/Algiers	3.50309	Messaad
39.71734	2021/03/02	accep	America/New_York	-74.96933	Sicklerville
41.94175	2022-05-05	building	Asia/Shanghai	123.50266	Hushitai
11.8659	26 Sep 2020	good	Africa/Khartoum	34.3869	Ar Ruseris
23.29549	2019/02/04	excellent	Asia/Shanghai	113.82465	Licheng
42.93369	19 Nov 2015	excellent	America/New_York	-72.27814	Keene
-38.16604	2014/09/04	excellent	Australia/Melbourne	145.13643	Frankston South
51.03427	06/12/2017, 00:00:00	building	Europe/Brussels	5.37429	Houthalen
50.76306	2017/12/09	accep	Europe/London	-1.29772	Cowes
51.40148	2014/12/30	excellent	Europe/London	-1.32471	Newbury
7.83389	14 Jan 2022	good	America/Bogota	-72.47417	Villa del Rosario
36.61033	12/05/2021, 00:00:00	good	America/Chicago	-88.31476	Murray
-28.24	03 Jun 2022	excellent	America/Sao_Paulo	-48.67028	Imbituba
41.09822	2018/11/14	building	Asia/Shanghai	120.74792	Nanpiao
3.8801	2020-08-30	excellent	America/Bogota	-77.03116	Buenaventura
53.77166	05/19/2019, 00:00:00	good	Europe/Moscow	38.12408	Bogoroditsk
25.67927	2017/02/24	excellent	America/New_York	-80.31727	Kendall
38.96372	15 May 2022	good	America/New_York	-76.99081	Chillum
36.20829	2022-08-08	excellent	America/Los_Angeles	-115.98391	Pahrump
43.32393	04 Aug 2020	excellent	Europe/Paris	5.4584	Les Olives
45.75279	02/16/2017, 00:00:00	good	Asia/Shanghai	130.57211	Boli
47.76232	03/07/2017, 00:00:00	excellent	America/Los_Angeles	-122.2054	Bothell
34.06635	2014-11-28	maintenance	America/New_York	-84.67837	Acworth
41.75338	2014/06/27	good	America/Indiana/Indianapolis	-86.11084	Granger
41.66394	2013-09-13	maintenance	America/New_York	-83.55521	Toledo
32.54278	08/08/2018, 00:00:00	maintenance	Asia/Shanghai	111.50861	Danjiangkou
45.35	2017/06/07	maintenance	Asia/Shanghai	126.28333	Shuangcheng
48.15659	2016/01/26	good	Europe/Chisinau	28.28489	Soroca
50.86079	01/18/2014, 00:00:00	maitennce	Europe/Warsaw	17.4674	Brzeg
30.16688	01 Jan 2015	average	America/Chicago	-96.39774	Brenham
11.12018	2020/03/19	accep	Asia/Kolkata	76.11996	Manjeri
47.64995	2022/01/10	accep	America/Los_Angeles	-117.23991	Opportunity
40.82232	2014-10-21	good	America/New_York	-74.15987	Nutley
48.8449	2019/02/05	good	Europe/Bratislava	17.22635	Skalica
32.35126	31 Oct 2013	excellent	America/Chicago	-95.30106	Tyler
45.50369	2019/01/31	average	Europe/Rome	11.412	Montecchio Maggiore-Alte Ceccato
43.31667	27 Jan 2014	average	Europe/Madrid	-2.68333	Gernika-Lumo
36.72544	07/16/2021, 00:00:00	building	Africa/Algiers	3.55665	Thenia
-38.65333	2013/07/10	excellent	Pacific/Auckland	178.00417	Gisborne
31.12406	2021-05-19	average	America/Chicago	-97.90308	Copperas Cove
-15.675	09/01/2021, 00:00:00	maintenance	America/Bahia	-38.94722	Canavieiras
44.98901	26 Aug 2018	maintenance	Europe/Moscow	38.94324	Yablonovskiy
-7.60361	09 Apr 2018	good	Africa/Dar_es_Salaam	37.00438	Kidodi
33.42585	23 Sep 2013	excellent	Africa/Casablanca	-6.00137	Oulmes
25.80565	01 Mar 2022	good	Asia/Karachi	68.49143	Bhit Shah
36.06386	06 Dec 2015	maintenance	Africa/Algiers	4.62744	El Achir
-23.7975	2016/09/12	excellent	America/Sao_Paulo	-48.59278	Buri
53.53333	11/29/2020, 00:00:00	accep	Europe/Dublin	-7.35	An Muileann gCearr
54.48147	2021-02-16	excellent	Asia/Yekaterinburg	53.47103	Oktyabr’skiy
8.43333	01/17/2016, 00:00:00	average	Asia/Bangkok	99.96667	Nakhon Si Thammarat
-32.45242	08/03/2014, 00:00:00	average	America/Santiago	-71.23106	La Ligua
14.53767	30 Jun 2022	excellent	Asia/Aden	46.83187	Ataq
-4.42472	25 Nov 2017	excellent	America/Fortaleza	-41.45861	Pedro II
36.02506	2022/06/24	average	America/Chicago	-86.77917	Brentwood Estates
27.92333	2020-07-17	average	Asia/Shanghai	118.53333	Pucheng
34.77453	2012/10/27	average	America/Chicago	-96.67834	Ada
54.39304	2013/02/28	excellent	Europe/Moscow	53.26023	Bavly
43.96222	18 Oct 2016	maintenance	Europe/Moscow	43.63417	Novopavlovsk
45.99194	18 Jun 2014	good	Europe/Kiev	29.41824	Artsyz
49.28669	11/30/2014, 00:00:00	good	Europe/Paris	1.00288	Elbeuf
1.6	2019/12/06	good	Asia/Kuala_Lumpur	103.81667	Ulu Tiram
50.26729	2013/02/02	building	America/Vancouver	-119.27337	Vernon
22.83957	2021-05-30	excellent	Asia/Dhaka	91.84128	Manikchari
3.02013	2014-04-20	excellent	Africa/Kampala	30.91105	Arua
41.80753	04 Dec 2013	building	America/Chicago	-87.65644	New City
51.955	2021/10/30	average	Europe/Amsterdam	5.22778	Culemborg
42.4251	2017-06-14	average	America/New_York	-71.06616	Malden
65.84811	2013/09/05	building	Europe/Helsinki	24.14662	Tornio
20.22816	07/19/2013, 00:00:00	excellent	America/Mexico_City	-103.5687	Zacoalco de Torres
-29.2975	2014/12/04	accep	America/Sao_Paulo	-51.50361	Carlos Barbosa
-27.4338	2022-07-01	good	America/Argentina/Tucuman	-65.61427	Aguilares
33.35283	28 Nov 2017	average	America/Phoenix	-111.78903	Gilbert
47.90771	09/17/2016, 00:00:00	good	Asia/Ulaanbaatar	106.88324	Ulan Bator
41.54566	19 Jan 2021	good	America/New_York	-71.29144	Middletown
53.00974	2020-09-01	average	Europe/London	-3.05814	Rhosllanerchrugog
14.8361	03 Feb 2022	excellent	Asia/Manila	120.97844	Guyong
-3.20333	07/01/2013, 00:00:00	good	America/Santarem	-52.20639	Altamira
35.85	2019/12/12	accep	Asia/Shanghai	117.7	Dongdu
9.57046	08/30/2013, 00:00:00	excellent	Asia/Kolkata	76.32756	Kalavoor
51.30001	2020/10/22	good	Europe/Berlin	13.10984	Oschatz
52.48173	2017-05-10	maintenance	Europe/London	-2.12139	Brierley Hill
7.62789	05/22/2020, 00:00:00	accep	Africa/Lagos	4.74161	Ilesa
57.47908	2020-04-17	good	Europe/London	-4.22398	Inverness
-37.32167	2018-01-10	excellent	America/Argentina/Buenos_Aires	-59.13316	Tandil
-22.97056	23 Nov 2017	accep	America/Sao_Paulo	-46.99583	Valinhos
45.35	2020-06-29	excellent	Asia/Shanghai	126.28333	Shuangcheng
19.32932	09 Mar 2022	accep	America/Mexico_City	-98.1664	Contla
29.21399	05 Oct 2014	accep	Asia/Kolkata	78.95693	Kashipur
10.63504	2013/03/07	excellent	America/Costa_Rica	-85.43772	Liberia
26.18924	06/10/2017, 00:00:00	accep	America/Chicago	-98.15529	San Juan
-10.91111	05/24/2017, 00:00:00	average	America/Maceio	-37.07167	Aracaju
9.89206	2019-03-29	average	Africa/Mogadishu	43.38531	Baki
37.16911	04/30/2013, 00:00:00	maintenance	Africa/Tunis	10.03478	El Alia
13.73417	2021/09/23	excellent	America/El_Salvador	-89.71472	Sonzacate
5.84752	14 Apr 2022	average	Africa/Abidjan	-5.682	Lakota
31.20176	24 Oct 2015	accep	Africa/Cairo	29.91582	Alexandria
38.45598	2019/04/10	average	Asia/Baku	48.87498	Astara
45.69558	2015/08/03	average	Europe/Paris	4.7934	Saint-Genis-Laval
32.61603	03/30/2022, 00:00:00	accep	Asia/Baghdad	44.02488	Karbala
-7.76667	2014/05/11	excellent	Africa/Dar_es_Salaam	35.7	Iringa
4.96667	12/19/2020, 00:00:00	building	Africa/Douala	10.7	Tonga
40.2737	2020/10/25	accep	America/New_York	-76.88442	Harrisburg
-4.42472	17 Jun 2022	average	America/Fortaleza	-41.45861	Pedro II
9.3337	2018-06-30	average	Asia/Manila	122.8637	Santa Catalina
55.1904	2015-10-07	accep	Europe/Minsk	30.2049	Vitebsk
31.84568	11/24/2015, 00:00:00	accep	America/Chicago	-102.36764	Odessa
52.31333	2021-04-23	accep	Europe/Amsterdam	6.92917	Oldenzaal
11.84962	2014-04-07	good	America/Managua	-86.19903	Jinotepe
28.92694	01/10/2016, 00:00:00	average	Asia/Kolkata	78.23456	Bachhraon
14.62072	07/23/2014, 00:00:00	good	Asia/Kolkata	74.83554	Sirsi
50.09019	08/09/2015, 00:00:00	excellent	Europe/Berlin	8.4493	Hofheim am Taunus
33.92946	09 Jul 2022	good	America/Los_Angeles	-116.97725	Beaumont
-2.90055	03/28/2013, 00:00:00	average	America/Guayaquil	-79.00453	Cuenca
16.0438	2021/08/11	average	Asia/Manila	120.4861	Manaoag
44.73941	02/19/2021, 00:00:00	maintenance	America/Chicago	-93.12577	Rosemount
25.66795	01/06/2017, 00:00:00	maintenance	Asia/Kolkata	85.83636	Dalsingh Sarai
-20.25333	2022/03/16	good	America/Sao_Paulo	-43.80139	Itabirito
15.58552	2015-02-03	excellent	Asia/Bangkok	102.42587	Bua Yai
45.49428	20 Jul 2013	accep	America/Los_Angeles	-122.86705	Aloha
-32.45242	2013-06-29	building	America/Santiago	-71.23106	La Ligua
23.15678	2020/02/13	excellent	America/Havana	-81.24441	Varadero
52.68333	2016/04/17	good	Europe/London	0.93333	East Dereham
33.86419	15 Sep 2022	maintenance	Asia/Tehran	48.26258	Aleshtar
41.92361	2014-02-25	average	Europe/Skopje	20.91361	Bogovinje
53.43333	2020/12/24	excellent	Europe/Dublin	-7.95	Athlone
36.61033	05/13/2018, 00:00:00	average	America/Chicago	-88.31476	Murray
48.77275	2016-01-01	building	Europe/Paris	5.16108	Bar-le-Duc
-33.38056	13 Aug 2014	good	America/Montevideo	-56.52361	Durazno
46.08333	2014/08/21	excellent	Asia/Shanghai	122.08333	Ulanhot
34.08565	31 Oct 2015	average	Asia/Kolkata	74.80555	Srinagar
45.40008	2015/09/01	average	America/Toronto	-73.58248	Sainte-Catherine
33.41012	25 Feb 2013	good	America/Chicago	-91.06177	Greenville
21.46527	09/08/2019, 00:00:00	accep	Asia/Kolkata	83.97573	Sambalpur
6.9909	28 Mar 2021	maintenance	Asia/Colombo	79.883	Hendala
50.50301	2015/04/24	accep	Europe/Prague	13.63617	Most
47.83333	08/06/2021, 00:00:00	average	Asia/Aqtobe	59.6	Shalqar
1.6561	23 Jun 2018	average	Asia/Kuala_Lumpur	103.6032	Kulai
11.86064	14 May 2014	excellent	Africa/Lagos	9.0027	Gaya
51.95838	14 May 2015	good	Europe/Amsterdam	4.47124	Schiebroek
-22.53722	30 Jul 2013	maintenance	America/Sao_Paulo	-42.98194	Guapimirim
42.97086	2019-08-19	excellent	America/Detroit	-82.42491	Port Huron
35.61452	11/01/2012, 00:00:00	building	America/Chicago	-88.81395	Jackson
52.61131	01/11/2020, 00:00:00	excellent	Europe/Berlin	13.31783	Hermsdorf
52.68333	2014/09/30	good	Europe/London	0.93333	East Dereham
55.54028	2015/12/16	average	Asia/Krasnoyarsk	89.20083	Sharypovo
31.96258	03 Oct 2018	average	Asia/Karachi	73.97117	Naushahra Virkan
35.64889	2018-07-30	good	Asia/Shanghai	117.27583	Sishui
37.49223	05/14/2015, 00:00:00	excellent	Europe/Rome	15.07041	Catania
15.5439	01 Mar 2020	average	Asia/Kolkata	73.7553	Calangute
19.32932	09/02/2014, 00:00:00	accep	America/Mexico_City	-98.1664	Contla
36.53333	2019-01-21	excellent	Asia/Tokyo	136.61667	Nonoichi
-7.01833	2015-02-24	good	Asia/Jakarta	107.60389	Pameungpeuk
40.98894	10/08/2016, 00:00:00	excellent	Europe/Istanbul	28.67582	Yakuplu
19.32889	03/23/2020, 00:00:00	good	America/Mexico_City	-99.32556	San Lorenzo Acopilco
-22.97056	2014-11-27	maintenance	America/Sao_Paulo	-46.99583	Valinhos
1.6	2021-07-11	accep	Asia/Kuala_Lumpur	103.81667	Ulu Tiram
-37.32167	22 Feb 2016	excellent	America/Argentina/Buenos_Aires	-59.13316	Tandil
31.12406	2016/08/20	good	America/Chicago	-97.90308	Copperas Cove
32.87533	2013/02/07	average	Asia/Karachi	71.57118	Daud Khel
36.61954	03 Nov 2014	average	Africa/Algiers	4.08282	Beni Douala
-15.21194	06 Jun 2022	maintenance	America/Lima	-75.11028	Minas de Marcona
43.62558	2013/09/20	maintenance	Europe/Rome	13.39954	Falconara Marittima
37.49223	2013-07-30	excellent	Europe/Rome	15.07041	Catania
11.8659	2020/08/27	accep	Africa/Khartoum	34.3869	Ar Ruseris
37.19723	08/26/2014, 00:00:00	good	Asia/Shanghai	122.05228	Tianfu
36.76775	03 Feb 2019	average	Africa/Algiers	2.95924	Cheraga
46.32374	08 Mar 2013	excellent	America/Los_Angeles	-120.00865	Sunnyside
43.62558	02 Jul 2020	good	Europe/Rome	13.39954	Falconara Marittima
40.24537	2017-05-11	accep	America/New_York	-75.64963	Pottstown
50.64336	2017/01/20	maintenance	Europe/Berlin	7.2278	Bad Honnef
26.2173	03/04/2018, 00:00:00	excellent	America/New_York	-80.22588	North Lauderdale
49.28669	07/09/2013, 00:00:00	maintenance	Europe/Paris	1.00288	Elbeuf
43.83125	10/11/2012, 00:00:00	excellent	Europe/Paris	5.03586	Cavaillon
-8.05389	21 Oct 2016	good	America/Recife	-34.88111	Recife
6.33444	2022/09/23	accep	Asia/Manila	124.95278	Tupi
38.13708	2014-08-05	maintenance	Europe/Istanbul	41.00817	Silvan
53.14657	2022-09-27	excellent	Asia/Vladivostok	140.72287	Nikolayevsk-on-Amure
48.90982	05/17/2022, 00:00:00	excellent	Europe/Paris	2.45012	Bobigny
43.86682	2013-03-13	good	America/Toronto	-79.2663	Markham
36.65	04 Nov 2021	maintenance	Asia/Tokyo	138.31667	Suzaka
23.0072	12/10/2019, 00:00:00	average	America/Havana	-82.4017	Boyeros
6.03333	16 Mar 2022	excellent	Africa/Addis_Ababa	37.55	Arba Minch
61.78491	07/10/2014, 00:00:00	maintenance	Europe/Moscow	34.34691	Petrozavodsk
3.51667	03 May 2015	excellent	Africa/Douala	11.5	Mbalmayo
23.5654	2021-04-26	excellent	Asia/Taipei	119.58627	Magong
53.16167	01/16/2022, 00:00:00	good	Europe/Amsterdam	6.76111	Hoogezand
64.5635	11/01/2013, 00:00:00	accep	Europe/Moscow	39.8302	Severodvinsk
20.22816	2014/10/13	maitennce	America/Mexico_City	-103.5687	Zacoalco de Torres
34.75856	12/06/2021, 00:00:00	accep	Asia/Tokyo	136.13108	Ueno-ebisumachi
-8.05389	08 Jul 2017	average	America/Recife	-34.88111	Recife
7.06273	12/05/2013, 00:00:00	average	Africa/Accra	-1.4001	Mampong
41.85059	27 Oct 2021	accep	America/Chicago	-87.882	Westchester
41.85059	12/21/2018, 00:00:00	maintenance	America/Chicago	-87.882	Westchester
40.63316	06 Dec 2018	accep	America/New_York	-74.13653	Port Richmond
45.78071	26 Apr 2016	good	Europe/Rome	12.84052	Portogruaro
40.67705	01/22/2014, 00:00:00	excellent	America/New_York	-73.89125	Cypress Hills
50.82882	2018/03/17	accep	Europe/London	-0.32247	Lancing
11.84962	2014/02/24	average	America/Managua	-86.19903	Jinotepe
50.23805	04/03/2020, 00:00:00	building	Europe/Berlin	8.86704	Nidderau
38.07789	2018-01-16	accep	Europe/Rome	13.44275	Villabate
23.29549	06/17/2018, 00:00:00	good	Asia/Shanghai	113.82465	Licheng
46.23899	27 Aug 2014	good	America/Halifax	-63.13414	Charlottetown
-24.19436	30 Aug 2020	good	Africa/Johannesburg	29.00974	Mokopane
7.06273	03/28/2017, 00:00:00	accep	Africa/Accra	-1.4001	Mampong
9.535	2013-10-09	average	Africa/Conakry	-13.68778	Camayenne
29.98869	07 Oct 2015	maintenance	Asia/Shanghai	122.20488	Zhoushan
-33.79176	2020/10/19	accep	Australia/Sydney	151.08057	Eastwood
37.60876	18 Mar 2018	good	America/New_York	-77.37331	Mechanicsville
52.2	09 Feb 2022	good	Europe/Berlin	8.63333	Kirchlengern
10.20898	2016-11-07	accep	Asia/Manila	123.758	Naga
40.82232	03/24/2020, 00:00:00	average	America/New_York	-74.15987	Nutley
28.98002	04/02/2014, 00:00:00	excellent	Asia/Kolkata	77.70636	Meerut
41.09822	08/12/2019, 00:00:00	building	Asia/Shanghai	120.74792	Nanpiao
-19.7625	2018-11-20	excellent	America/Sao_Paulo	-44.31389	Esmeraldas
30.75545	08/11/2013, 00:00:00	excellent	Africa/Tripoli	20.22625	Ajdabiya
49.41029	17 Feb 2019	good	Europe/Zaporozhye	38.15035	Svatove
37.30553	2022/03/24	accep	Asia/Shanghai	120.82747	Zhuangyuan
36.46917	04/11/2016, 00:00:00	building	Africa/Tunis	10.78222	Beni Khiar
-4.83	2017/11/15	average	Africa/Dar_es_Salaam	29.65806	Mwandiga
45.43341	2014-12-31	good	America/Toronto	-73.86586	Beaconsfield
32.9156	13 Oct 2015	excellent	America/Los_Angeles	-117.14392	Mira Mesa
60.18427	01 Sep 2020	building	Europe/Helsinki	24.95034	Kallio
27.92333	13 Aug 2020	average	Asia/Shanghai	118.53333	Pucheng
30.46907	2020-05-26	excellent	Asia/Karachi	70.96699	Kot Addu
41.15376	2016/02/16	average	America/Chicago	-87.88754	Bourbonnais
11.50526	2021/09/15	maintenance	Asia/Kolkata	77.23826	Sathyamangalam
