PM2.5	O3	H2CO	SO2	PAHs	longitude	latitude	NH3	TEMP	C2H3NO5	CO	CFCs	PM10	PRES	warning	Pb	NOx	CH4
9.51095	9.48719	35.02007	11.18483	8.52515	136.13108	34.75856	9.05609	17.48975	2.36516	7.41129	35.99395	10.95633	1123.66005	1.00000	56.48752	9.10852	10.87779
7.00381	8.12187	44.37784	9.21843	9.51663	-50.00639	-25.42944	6.82322	-0.73584	0.73148	8.53245	53.87417	9.78887	1147.71119	1.00000	39.77658	9.98814	9.34900
4.98447	8.59157	59.70424	10.24383	8.25117	98.6738	3.7278	6.21968	8.53968	0.17249	8.23825	47.24285	7.66563	1143.78204	1.00000	61.99876	9.45017	8.99722
8.86749	8.42842	49.81518	8.37584	6.17863	-104.83192	39.72943	10.46414	15.99096	0.10843	8.66913	40.75009	7.20922	1130.72714	1.00000	23.93967	4.98093	6.93123
10.39642	8.50100	60.83872	6.08792	8.26131	29.00974	-24.19436	11.36120	22.32151	0.05028	7.21626	39.19539	5.64885	1067.15523	1.00000	55.06773	5.11390	9.27990
9.84623	8.61183	43.40007	5.83366	8.02636	-59.13316	-37.32167	8.37565	28.20528	0.08972	8.08853	42.11251	5.99701	1108.85118	1.00000	50.08888	4.93761	5.67827
8.84714	7.48580	57.42583	12.15727	10.74630	-61.4867	-31.25033	6.67528	19.17518	0.04573	9.80146	37.83686	6.63744	1101.58948	0.00000	44.04170	13.02133	9.32582
9.09652	9.04445	30.30492	9.24210	6.97325	72.85107	19.30157	8.44130	11.55202	3.33121	9.77593	26.88004	11.31491	1147.96004	1.00000	60.87318	6.02905	13.83764
5.14561	8.25986	19.05767	6.61312	8.52524	4.7934	45.69558	9.14307	6.02226	0.27590	8.45735	57.81378	8.59039	1170.32150	0.00000	29.57862	5.94058	9.52181
9.41898	7.49868	64.77098	10.36206	9.19382	46.58333	-21.15	7.53706	25.93058	0.07454	5.88666	44.68276	6.59705	1190.17264	0.00000	59.84927	11.68067	6.53701
8.56643	7.81542	46.09505	6.74256	5.95271	24.75	55.25	10.53210	14.09843	0.15888	7.63721	56.42806	7.47192	1165.42030	1.00000	44.84627	4.45447	7.51970
10.03997	6.86807	45.49144	7.86147	8.72530	-73.78458	41.0051	7.22625	1.68602	0.10497	9.67752	47.32787	6.91320	1140.53215	1.00000	56.67834	8.63817	4.41199
11.76503	7.68017	23.39689	9.22300	7.11095	16.54165	68.79833	10.15293	29.00982	0.06434	7.80536	51.54633	5.88885	1156.44403	0.00000	82.19453	7.90115	5.60849
8.04432	9.51169	51.49543	9.91517	8.07862	113.69785	-7.73379	9.74990	-5.72783	0.38186	8.99507	61.52389	9.04409	1066.24538	0.00000	43.26701	9.44653	6.92980
8.41147	8.04127	57.79509	8.79709	7.64569	74.4818	30.21121	11.64023	11.07391	0.19832	9.11051	35.93727	8.29314	1094.29587	1.00000	42.57673	5.58630	8.18065
10.30061	8.29178	45.02315	7.49106	7.85939	124.95278	6.33444	6.14482	26.39839	0.09595	8.36495	55.53226	6.43394	1142.20700	1.00000	64.02567	5.92544	2.43123
8.89703	7.14949	24.14174	6.99068	7.17889	83.97573	21.46527	10.21480	26.49046	0.43054	9.57518	42.47533	9.05525	1104.87320		25.01931	7.79327	6.49986
4.20941	8.39396	50.72752	9.38579	7.65093	59.4839	58.7002	4.97595	11.08740	0.17753	6.93831	47.30569	7.52261	1180.07191	1.00000	35.38028	9.46591	8.84655
8.91046	7.35672	54.02590	8.39262	8.14647	86.59611	25.87498	11.16016	0.09184	0.16811	6.83487	71.77698	8.00368	1094.94166	1.00000	51.56187	6.87053	7.78081
