location	station	QoS	latitude	revision	longitude
Asia/Samarkand	Jizzax	excellent	40.11583	06/11/2013, 00:00:00	67.84222
America/Guatemala	Chichicastenango	excellent	14.93333	2018/10/14	-91.11667
Australia/Melbourne	Carnegie	maintenance	-37.88333	20 Feb 2014	145.06667
Europe/Moscow	Naro-Fominsk	excellent	55.38752	2016/06/16	36.73307
Pacific/Efate	Port-Vila	accep	-17.73648	2016/07/10	168.31366
America/Los_Angeles	Bothell West	excellent	47.80527	06/16/2018, 00:00:00	-122.24064
Asia/Manila	Tupi	excellent	6.33444	12/07/2016, 00:00:00	124.95278
Europe/Rome	Sassari	accep	40.72586	11 Aug 2017	8.55552
Asia/Manila	Cebu City	accep	10.31672	2017-02-17	123.89071
Europe/London	Westbury	excellent	51.26	2016/10/02	-2.1875
Europe/Rome	Ariccia	good	41.72063	2019/04/20	12.6723
Asia/Kolkata	Calangute	accep	15.5439	2018-05-10	73.7553
Asia/Yekaterinburg	Kachkanar	accep	58.7002	15 Sep 2013	59.4839
Europe/London	Walton-on-the-Naze	building	51.84819	01 Mar 2014	1.26738
Europe/Istanbul	Silvan	accep	38.13708	2018/01/14	41.00817
Europe/Moscow	Zhukovka	average	53.53395	2013/04/03	33.72798
America/Bogota	Buenaventura	average	3.8801	2012-10-03	-77.03116
Asia/Barnaul	Novosilikatnyy	excellent	53.30972	2015/09/27	83.62389
Europe/Paris	Rueil-Malmaison	accep	48.8765	02/24/2022, 00:00:00	2.18967
Asia/Jakarta	Ngemplak	excellent	-7.54972	09/18/2016, 00:00:00	110.71639
Africa/Algiers	Thenia	building	36.72544	08/07/2018, 00:00:00	3.55665
America/Chicago	San Juan	good	26.18924	2015/01/06	-98.15529
Asia/Manila	San Jose	building	12.35275	03/21/2013, 00:00:00	121.06761
Europe/Helsinki	Espoo	average	60.2052	2018-08-01	24.6522
Asia/Manila	Burgos	accep	15.72892	2021/12/15	120.57224
Europe/Paris	Bron	accep	45.73333	06/28/2018, 00:00:00	4.91667
America/Bogota	Socorro	maintenance	6.46838	2020-10-29	-73.26022
Europe/Brussels	Beveren	accep	51.21187	11/25/2020, 00:00:00	4.25633
Asia/Bangkok	Yasothon	excellent	15.79408	2017/10/06	104.1451
Europe/Moscow	Bavly	good	54.39304	2013-08-29	53.26023
Asia/Jakarta	Tebingtinggi	good	3.3285	10/21/2017, 00:00:00	99.1625
Europe/Berlin	Hofheim am Taunus	good	50.09019	30 Jan 2013	8.4493
Europe/Kiev	Shepetivka	average	50.18545	2016/10/20	27.06365
Atlantic/Canary	Maspalomas	maintenance	27.76056	2021/11/20	-15.58602
Asia/Kolkata	Rafiganj	building	24.81757	13 Aug 2014	84.63445
America/New_York	Milledgeville	accep	33.08014	11 Nov 2013	-83.2321
Asia/Kolkata	Supaul	average	26.11527	16 Aug 2013	86.59509
Europe/Rome	Portogruaro	average	45.78071	02/18/2013, 00:00:00	12.84052
Australia/Melbourne	Frankston South	accep	-38.16604	2021/10/05	145.13643
Europe/Helsinki	Espoo	good	60.2052	2020-03-05	24.6522
Europe/Kiev	Artsyz	excellent	45.99194	10 Jul 2019	29.41824
America/Chicago	West Des Moines	average	41.57721	2022/01/19	-93.71133
Asia/Yekaterinburg	Kachkanar	good	58.7002	2022/02/05	59.4839
America/Sao_Paulo	Alfenas	excellent	-21.42917	02 Dec 2017	-45.94722
Asia/Kolkata	Jais	good	26.2649	07/10/2013, 00:00:00	81.54855
Asia/Shanghai	Heyuan	excellent	23.73333	2013-11-25	114.68333
America/New_York	Lexington	acceptable	33.98154	03 Jul 2020	-81.23621
Asia/Kolkata	Srinagar	maintenance	34.08565	2021/11/10	74.80555
America/Sao_Paulo	Esmeraldas	maintenance	-19.7625	2017-03-10	-44.31389
Asia/Seoul	Eisen	excellent	36.82167	16 Jan 2020	128.63083
America/Chicago	Longview	average	32.5007	01/09/2020, 00:00:00	-94.74049
Africa/Johannesburg	Standerton	good	-26.93366	2020-05-20	29.24152
Europe/Berlin	Weimar	maintenance	50.9803	12/04/2016, 00:00:00	11.32903
Europe/Berlin	Barmbek-Nord	accep	53.6052	2018-03-02	10.03988
America/Los_Angeles	American Canyon	maintenance	38.17492	2014-07-20	-122.2608
America/Chicago	Evergreen Park	good	41.72059	10/15/2012, 00:00:00	-87.70172
Asia/Kuala_Lumpur	Teluk Intan	building	4.02219	02 Nov 2018	101.02083
Europe/Kiev	Zvenihorodka	building	49.07866	01/23/2019, 00:00:00	30.96755
Asia/Kolkata	Sheoganj	average	25.13915	2017-03-03	73.06784
America/New_York	Scotch Plains	good	40.65538	12/11/2019, 00:00:00	-74.38987
Asia/Jakarta	Jambi City	excellent	-1.6	04 Mar 2021	103.61667
Europe/Minsk	Vitebsk	excellent	55.1904	08/12/2018, 00:00:00	30.2049
Europe/Minsk	Novogrudok	maintenance	53.5942	2019/05/25	25.8191
Europe/Moscow	Kolomyagi	good	60.02427	2021/05/03	30.28491
America/New_York	West Chester	excellent	39.96097	08 Jan 2015	-75.60804
Europe/Warsaw	Reda	good	54.60528	2018-09-01	18.34717
Europe/Kiev	Krasyliv	maintenance	49.65186	2020-02-14	26.97253
America/New_York	Clermont	excellent	28.54944	2020-01-16	-81.77285
Europe/Paris	Gonesse	building	48.98693	2021/07/13	2.44892
Asia/Kolkata	Udumalaippettai	accep	10.58806	11/29/2014, 00:00:00	77.24779
Africa/Lagos	Lagos	good	6.45407	2013-08-12	3.39467
America/Chicago	Fairview Heights	excellent	38.58894	2014-05-03	-89.99038
Europe/Paris	Elbeuf	building	49.28669	01/30/2019, 00:00:00	1.00288
America/Chicago	New City	maintenance	41.80753	2022/03/31	-87.65644
America/Indiana/Indianapolis	Granger	maintenance	41.75338	01 Apr 2013	-86.11084
Europe/Paris	Les Olives	good	43.32393	2022-03-09	5.4584
Europe/London	Kingston upon Hull	excellent	53.7446	25 Jul 2020	-0.33525
Europe/Moscow	Buynaksk	good	42.819	14 Jan 2017	47.1192
America/Bogota	Buenaventura	excellent	3.8801	2021/09/17	-77.03116
America/Argentina/Buenos_Aires	Tandil	accep	-37.32167	18 Nov 2019	-59.13316
Asia/Kolkata	Lal Bahadur Nagar	excellent	17.34769	2018/06/03	78.55757
Europe/Amsterdam	Zeist	good	52.09	02/25/2021, 00:00:00	5.23333
Asia/Kolkata	Sambalpur	excellent	21.46527	06 Oct 2018	83.97573
Africa/Algiers	Thenia	average	36.72544	2017/10/26	3.55665
America/Mexico_City	Oaxaca	excellent	17.06542	2017/06/08	-96.72365
Europe/Paris	Les Olives	building	43.32393	2013-10-15	5.4584
Europe/Paris	Sceaux	accep	48.77644	10/22/2015, 00:00:00	2.29026
Africa/Dar_es_Salaam	Usagara	excellent	-2.68333	09/28/2015, 00:00:00	33
Indian/Antananarivo	Sakaraha	good	-22.9	23 Sep 2019	44.53333
America/Merida	Progreso	good	21.28306	01/05/2018, 00:00:00	-89.66123
America/Mazatlan	Acaponeta	building	22.49396	2018-03-06	-105.36369
