warning	PM2.5	TEMP	NOx	CO	longitude	H2CO	CFCs	CH4	PRES	Pb	PM10	NH3	O3	SO2	C2H3NO5	latitude	PAHs
0.00000	6.86188	27.94027	9.86064	6.17013	-77.4286	51.00030	53.28532	5.89820	1149.67721	40.72983	7.98139	6.42494	8.48073	7.73514	0.85597	39.00622	7.76937
0.00000	7.51555		9.71504	4.66399	10.5511	51.11890	38.37717	5.01788	1051.81534	62.24026	9.82356		8.27072	8.09316	3.37489	52.47774	8.20999
0.00000	9.09179	-8.45962	8.84555	6.76062	112.9	67.10419	28.46141	6.71541	1066.47608	53.35362	5.87699	4.54312	7.09127	7.24033	0.39016	27.85	8.80282
1.00000	5.96892	11.72335	5.54300	8.38148	4.18333	56.93496	58.66721	7.55326	1193.33405	44.02616	8.11492	7.44068	10.55296	6.58479	0.79511	7.6	7.84923
0.00000	7.43902	23.77751	6.83693	5.34157	-68.30472	60.00277	44.41893	8.94971	1131.94668	36.62554	7.19108	9.21129	4.02304	7.99691	0.49316	9.91861	6.38113
1.00000	6.14733	8.49387	6.45140	9.66017	34.3869	60.70582	50.40939	9.56038	1190.35685	61.62691	9.85068	7.06552	5.07104	8.21044	3.53933	11.8659	7.21189
1.00000	6.98967	9.17010	5.82715	12.89332	-85.43772	53.76740	42.40189	7.13129	1102.36247	38.76229	8.58134	5.57557	7.14489	6.59503	1.11306	10.63504	6.60592
0.00000	7.17662	34.08153	5.03326	4.49106	122.22833	54.25498	56.08652	7.96770	1111.19421	77.53401	6.59296	6.46352	6.89340	8.11351	0.46243	40.66482	5.21235
1.00000	5.30176	21.16638	5.58365	10.44109	101.02083	44.08425	38.72387	6.81755	1109.82501	35.80190	10.30705	6.73668	5.43648	6.30038	5.39683	4.02219	7.46799
0.00000	6.92507	20.29310	9.57419	6.66522	9.40531	50.45803	57.17141	5.54010	1117.02769	65.77553	9.19448	5.12524	7.69343	8.01784	1.99129	45.53069	7.18819
1.00000	5.99008	23.87348	6.82181	3.34886	37.3825	45.24878	32.64879	9.03238	1095.15583	40.40456	4.93675	6.74386	8.25317	8.14176	0.35579	37.05944	7.65650
1.00000	7.60757	9.17446	7.97113	2.11734	17.80774	63.51926	36.16930	8.82184	1053.73800	53.20088	4.28766	8.00318	6.20237	5.53694	0.30850	40.55851	7.95514
0.00000	7.09664	35.82747	6.08644	9.03768	67.84222	48.86199	35.91058	8.72495	1147.53730	17.68952	3.72270	2.27903	6.43616	7.13511	0.35103	40.11583	8.84979
1.00000	5.59120	19.08713	5.49672	8.24870	24.14662	50.59674	38.87561	6.68843	1106.39990	42.45717	8.86215	5.60927	7.40454	8.23496	1.41355	65.84811	6.51910
1.00000	8.22185	16.12639	6.22223	9.35818	-83.2321	31.63675	58.46043	8.13171	1132.80845	46.41559	10.84470	5.68230	3.89248	6.32870	8.98697	33.08014	7.86985
