location	latitude	revision	longitude	code	QoS
Europe/Moscow	55.38752	22 Aug 2016	36.73307	RU	maintenance
Europe/London	53.19146	28 Jun 2020	-2.52398	GB	excellent
America/Sao_Paulo	-23.7975	11/27/2013, 00:00:00	-48.59278	BR	good
Asia/Kolkata	30.81383	2018/07/05	75.16878	IN	average
Indian/Antananarivo	-17.83333	2021-12-02	48.41667	MG	excellent
Asia/Manila	10.13361	2014-03-05	124.84472	PH	maintenance
Asia/Kuala_Lumpur	4.88441	15 Aug 2013	101.96857	MY	accep
Asia/Kolkata	25.92127	11/27/2018, 00:00:00	86.79271	IN	accep
Europe/Istanbul	39.22493	2018/08/20	42.85693	TR	good
Asia/Jakarta	-7.01833	01/19/2022, 00:00:00	107.60389	ID	excellent
Europe/Berlin	50.80019	25 Sep 2022	7.20769	DE	excellent
Europe/Belgrade	42.62833	21 Feb 2016	20.89389	XK	maintenance
Europe/Warsaw	51.14942	11/13/2018, 00:00:00	15.00835	PL	accep
Asia/Kolkata	24.81757	30 Nov 2020	84.63445	IN	maintenance
Asia/Bangkok	15.79408	2018-11-16	104.1451	TH	accep
Asia/Shanghai	32.54278	09/18/2013, 00:00:00	111.50861	CN	good
Europe/London	53.0233	2017/09/22	-1.48119	GB	good
Asia/Manila	14.62578	07/04/2013, 00:00:00	121.12251	PH	excellent
Asia/Tokyo	41.77583	10 Sep 2016	140.73667	JP	average
Asia/Tokyo	35	12/13/2012, 00:00:00	136.51667	JP	accep
America/Toronto	45.44868	11/06/2015, 00:00:00	-73.81669	CA	excellent
Africa/Algiers	36.76775	27 Aug 2022	2.95924	DZ	good
Africa/Lagos	7.65649	2019-12-25	4.92235	NG	excellent
America/New_York	38.70734	11/29/2018, 00:00:00	-77.02303	US	accep
Asia/Manila	12.37169	01/12/2017, 00:00:00	123.62494	PH	excellent
Europe/London	53.83333	2019/05/21	-2.98333	GB	average
America/Mexico_City	20.22816	17 Oct 2019	-103.5687	MX	maintenance
America/Chicago	35.61452	2022-06-03	-88.81395	US	excellent
America/Los_Angeles	47.4943	2014-10-07	-122.24092	US	maintenance
America/Edmonton	53.51684	08/16/2017, 00:00:00	-113.3187	CA	good
Asia/Tokyo	35.815	2018-11-05	139.6853	JP	accep
Asia/Tokyo	39.46667	2019/05/26	141.95	JP	excellent
Europe/Bratislava	48.8449	04/21/2016, 00:00:00	17.22635	SK	maintenance
Asia/Urumqi	46.51872	15 Apr 2013	86.00214	CN	maintenance
Asia/Shanghai	45.75279	05 May 2016	130.57211	CN	average
Asia/Kolkata	32.55531	27 Jun 2016	76.12647	IN	excellent
America/Los_Angeles	47.64995	2019/11/04	-117.23991	US	excellent
Europe/Berlin	54.52156	2015-12-02	9.5586	DE	accep
America/Los_Angeles	33.93113	2016-04-22	-117.54866	US	excellent
Asia/Tokyo	35.06667	02 Nov 2017	135.21667	JP	average
Europe/Rome	41.55947	08/08/2021, 00:00:00	14.66737	IT	maintenance
Africa/Algiers	36.76775	12 Jul 2021	2.95924	DZ	excellent
Asia/Kabul	36.21544	2017/04/13	65.93249	AF	average
Asia/Krasnoyarsk	55.54028	20 Jun 2019	89.20083	RU	excellent
America/Guayaquil	-2.13404	09 Jul 2021	-79.59415	EC	good
Asia/Kolkata	19.21667	2014-12-24	73.08333	IN	good
America/Los_Angeles	37.73604	24 Nov 2015	-120.93549	US	excellent
Africa/Accra	6.46346	03 Nov 2013	-2.31938	GH	average
America/New_York	27.09978	2016-07-11	-82.45426	US	good
America/New_York	39.71734	12/03/2012, 00:00:00	-74.96933	US	accep
Europe/Warsaw	50.5107	2015-11-24	18.30056	PL	good
Africa/Casablanca	34.31	2019/08/07	-2.16	MA	accep
America/Los_Angeles	38.17492	02/26/2014, 00:00:00	-122.2608	US	good
