SO2	latitude	PM2.5	PRES	NOx	O3	NH3	warning	Pb	CH4	CO	TEMP	CFCs	C2H3NO5	longitude	PM10	H2CO	PAHs
10.44786	24.41288	7.31815	1140.98978	6.62863	5.20816	7.21567	1.00000	43.92697	7.91659	8.90458	11.72761	62.51735	0.11985	76.56719	8.17892	42.57733	9.84537
9.67481	41.55838	5.60253	1132.21170	7.43523	6.45866	8.63757	1.00000	53.55993	7.65673	4.89376	2.57749	42.75673	0.07432	-81.56929	7.46878	37.64036	3.71727
5.17151	23.5654	8.45464	1081.76955	8.22666	6.70069	8.27810	0.00000	38.45270	9.05435	10.23877	10.44246	53.76186	0.34616	119.58627	9.45983	54.15583	5.69662
7.74090	20.88098	10.15315	1113.62795	8.97792	8.57763	7.76965	0.00000	63.94669	7.70139	8.61162	-12.67587	57.13035	0.37524	75.11937	9.55394	46.17391	7.69638
6.67024	40.72586	4.67464	1081.02515	7.57926	8.32610	9.40280	0.00000	43.45405	8.70978	7.09890	-7.05798	55.00307	0.15917	8.55552	8.46071	28.04786	9.36378
6.07647	38.38479	10.92711	1111.53782	7.51469	8.53071	8.94926	0.00000	33.22673	9.28742	8.79446	23.61516	39.98891	0.64652	-0.76773	10.17387	44.67228	5.78403
8.69501	26.91756	7.18490	1051.12208	7.72262	9.64899	5.69987	1.00000	48.50022	6.89917	3.25945	6.84240	69.98539	0.17768	-82.07842	8.53991	65.83031	6.85855
5.84029	35.82756	10.94216	1052.55710	7.98188	6.79849	7.31480	0.00000	61.26097	8.34761	9.20368	12.92506	47.74072	0.25242	137.95378	9.18217	36.80388	5.63539
9.93808	46.08333	4.54153	1127.78834	8.98567	2.89409	8.76091	1.00000	39.18509	8.47191	7.42935	13.55140	47.95236	0.04886	122.08333	6.64189	51.98201	6.01354
6.32092	39.32288	11.26416	1105.13128	7.51809	7.39352	7.22681	0.00000	46.11033	9.06431	10.81485	14.04475	47.46743	0.25518	-76.72803	9.08698	37.11570	6.66833
8.78748	37.60876	5.01939	1068.73536	7.99745	8.16712	7.61467	1.00000	49.85547	5.76978	4.43822	11.10251	52.28039	0.06272	-77.37331	7.02026	35.71972	7.02549
10.45804	50.11861	6.83657	1145.53856	7.27887	7.10864	8.14882	0.00000	38.63052	7.75617	6.41681	20.93269	53.62992	0.03297	-5.53715	4.85710	46.45384	8.19594
8.08333	42.7	5.98231	1054.75556	6.17917	8.43223	9.93214	1.00000	48.72579	8.00895	3.80647	16.95745	36.74678	0.03700	27.25	5.01012	36.33314	8.62234
5.61670	10.12268	8.66358	1193.51275	6.56863	6.24840	8.79433	0.00000	47.49831	6.58431	7.18050	26.78733	68.51590	0.65497	77.54372	10.19304	61.21542	10.22935
6.79428	30.46907	11.05707	1169.27101	8.16870	7.15920	9.48392	0.00000	35.64019	6.91033	8.90281	-6.45735	49.72595	0.23899	70.96699	9.05012	42.85160	6.69042
8.09292	49.97704	6.79456	1072.86203	7.60568	5.44468	7.75819	1.00000	28.38304	8.34828	7.35273	19.48108	54.85284	0.08402	9.15214	7.57189	37.20610	10.36045
10.71680	26.91756	8.74715	1189.88707	9.20373	5.84503	8.65582	1.00000	37.51804	8.12662	9.37277	21.44707	57.83189	0.06185	-82.07842	7.23689	42.62532	11.30923
5.57978	50.79205	9.26213	1113.84515	8.77522	8.09368	6.86293	0.00000	33.96496	6.91244	8.87567	28.64936	57.74507	0.33739	-1.08593	9.43785	60.73775	5.01533
10.16106	4.73245	7.52365	1089.13602	8.19883	4.91029	9.80732	1.00000	56.20159	8.52967	7.25397	22.05363	67.81258	0.13740	-74.26419	8.21810	46.34042	10.47515
10.56631	53.00974	7.48691	1130.96895	10.25154	7.79504	7.87594	1.00000	32.33228	7.46244	5.73534	25.38062	27.76080	0.05209	-3.05814	5.46254	48.90242	9.16328
8.19361	43.31667	5.68658	1120.34456	8.44499	8.02102	7.87109	1.00000	47.69137	10.48422	3.97202	15.36274	43.01132	0.03904	-2.68333	5.43500	51.29337	7.89738
8.37324	41.09246	7.63797	1190.38276	7.64070	5.99248	7.57854	1.00000	35.46724	7.50955	6.36629	-6.08676	37.16219	0.08341	45.36561	7.49756	44.53835	11.11716
5.61617	4.92675	7.57647	1094.50891	5.66257	5.16457	8.09910	0.00000	47.94248	7.74474	10.24293	24.19695	51.64893	0.72529	6.26764	10.25366	37.93128	8.94633
8.78246	48.28259	6.78949	1101.83769	8.50531	8.38749	7.17033	1.00000	44.69987	7.27698	6.00235	13.57638	49.58530	0.06346	9.72749	6.42495	36.17837	6.11067
10.32338	-19.65	8.48280	1196.89915	6.45392	5.70808	7.48767	1.00000	65.40328	8.48034	7.97115	7.65213	39.68097	0.04577	47.31667	6.36776	65.78332	11.19495
5.16412	33.78333	6.88039	1082.43495	7.29554	6.47417	6.96737	0.00000	42.16318	5.93370	8.43396	5.89923	51.11164	0.57604	114.51667	10.04621	67.26001	8.94032
7.36520	32.44874	7.26665	1136.73812	7.90106	5.92608	7.18150	0.00000	76.17728	7.87159	7.27040	10.39140	46.93971	0.13726	-99.73314	8.52672	32.23017	7.38098
9.24250	-6.8	5.97927	1115.03929	7.50910	6.39246	7.60912	1.00000	55.44833	8.91897	6.84532	33.38397	34.31397	0.19329	39.25	8.75450	65.64258	9.10403
5.71814	30.24706	12.61565	1116.67092	7.04438	9.15476	7.29050	0.00000	42.49190	8.01551	10.16305	12.24106	47.45892	0.59980	115.04814	10.11430	47.43647	5.03009
9.81753	51.04962	7.17996	1176.37079	9.03811	5.08364	7.81108	1.00000	70.22606	8.57328	8.55087	39.53422	35.73539	0.03505	12.1369	7.11578	38.96089	9.43016
9.85927	44.27804	5.98276	1078.80841	7.44221	7.21563	9.33834	1.00000	51.23675	8.52393	6.92460	11.12352	39.74783	0.06200	-88.27205	7.10673	27.44907	
8.60554	51.14942	6.83813	1081.27947	8.44757	6.34882	8.12992	1.00000	46.58099	9.32141	6.46677	11.91633	37.35293	0.02653	15.00835	5.23063	32.50354	9.31144
7.64278	37.58105	6.54064	1156.55553	8.36031	8.81810	7.98007	1.00000	60.78124	9.43430	6.26874	3.17983	63.17278	0.03392	29.26639	5.40753	49.65309	4.72322
