longitude	revision	QoS	code	station	latitude
-81.56929	2022-09-03	average	US	Collinwood	41.55838
34.34691	07/01/2014, 00:00:00	excellent	RU	Petrozavodsk	61.78491
97.01124	2014/02/23	excellent	MM	Kyaikto	17.30858
-1.29243	08/29/2019, 00:00:00	average	GB	Mexborough	53.49389
-77.4286	2021/09/15	excellent	US	Sterling	39.00622
4.74161	2015/12/10	accep	NG	Ilesa	7.62789
101.02083	12 Mar 2021	accep	MY	Teluk Intan	4.02219
8.2926	2019-12-27	maintenance	NG	Kafanchan	9.58126
72.85107	30 Dec 2013	maintenance	IN	Bhayandar	19.30157
4.25633	05 Jan 2021	good	BE	Beveren	51.21187
137.23333	2013-04-25	accep	JP	Gero	35.8
123.17306	09 Jul 2014	accep	CN	Liaoyang	41.27194
109.05389	08/02/2016, 00:00:00	accep	ID	Wangon	-7.51611
5.4384	20 Feb 2014	accep	FR	Marseille 11	43.2907
-2.01111	2016-07-27	accep	GB	Great Wyrley	52.66277
47.3799	2019-08-04	average	IR	Darreh Shahr	33.14447
30.98551	14 Nov 2017	good	UG	Paidha	2.41669
68.11759	09 Feb 2021	building	PK	Tharu Shah	26.9423
8.61839	2013/06/18	average	DE	Bensheim	49.68369
7.973	2021-09-09	average	DE	Finnentrop	51.168
137.4	2019/02/06	excellent	JP	Toyokawa	34.81667
13.28702	2014-12-29	excellent	DE	Dahlem	52.4581
121.12251	2021-01-01	average	PH	Antipolo	14.62578
53.26023	2013-06-05	average	RU	Bavly	54.39304
-102.36764	2020-07-02	good	US	Odessa	31.84568
10.7	2022-03-11	excellent	CM	Tonga	4.96667
30.4347	2020-07-20	excellent	RW	Rwamagana	-1.9487
128.63083	2018-11-19	average	KR	Eisen	36.82167
45.36561	02/01/2022, 00:00:00	building	AZ	Qazax	41.09246
-73.99681	09 May 2014	average	US	Dumont	40.94065
152.70493	2013/08/16	accep	AU	Maryborough	-25.54073
19.27498	08/10/2016, 00:00:00	excellent	PL	Jaworzno	50.20528
-122.2608	13 May 2018	accep	US	American Canyon	38.17492
-74.15987	30 Dec 2017	good	US	Nutley	40.82232
76.56719	2014/11/26	average	IN	Aklera	24.41288
37.00438	02/10/2014, 00:00:00	building	TZ	Kidodi	-7.60361
-71.23106	08/21/2019, 00:00:00	good	CL	La Ligua	-32.45242
77.656	2015-06-14	good	IN	Pilkhua	28.71271
19.21437	2019/12/03	good	BA	Bijeljina	44.75874
34.33825	2020-06-11	building	RU	Dyat’kovo	53.59782
-2.58736	2015/03/19	building	GB	Arbroath	56.56317
14.34085	02/08/2014, 00:00:00	excellent	IT	Volla	40.87363
9.00472	2014-05-11	average	CM	Idenao	4.2475
-81.56929	2021-10-17	average	US	Collinwood	41.55838
-156.47432	12/28/2020, 00:00:00	good	US	Kahului	20.88953
9.32241	2021-02-28	average	IT	Chiavari	44.31771
56.36091	07/16/2016, 00:00:00	good	RU	Saraktash	51.78771
-41.25528	2013-11-08	excellent	BR	Resplendor	-19.32556
-3.05814	2019/08/20	accep	GB	Rhosllanerchrugog	53.00974
38.15035	2016-07-09	maintenance	UA	Svatove	49.41029
-122.2608	2018-03-30	accep	US	American Canyon	38.17492
120.5875	2018-09-05	accep	PH	La Trinidad	16.455
0.93333	2019/03/05	excellent	GB	East Dereham	52.68333
-71.29144	2019/05/06	good	US	Middletown	41.54566
77.54372	2022/06/14	average	IN	Periyakulam	10.12268
-117.71978	2021/04/19	excellent	US	Claremont	34.09668
5.51978	03/12/2020, 00:00:00	average	NL	Tongelre	51.44889
27.25	2016-05-10	average	BG	Aytos	42.7
38.02486	2020-03-09	average	RU	Malakhovka	55.64776
-86.78777	12 May 2022	accep	US	Vestavia Hills	33.44872
29.24152	06 Aug 2014	accep	ZA	Standerton	-26.93366
38.66667	04/14/2014, 00:00:00	excellent	TZ	Mvomero	-6.25
-77.37331	2019-01-22	average	US	Mechanicsville	37.60876
115.70111	27 Mar 2022	building	CN	Hengshui	37.73222
28.88222	2022/09/06	average	TR	Mudanya	40.37528
78.25795	2017-06-29	excellent	IN	Tiruppuvanam	9.82564
-66.8499	2015-10-28	excellent	PR	Yauco	18.03496
-47.1725	09 Apr 2021	excellent	BR	Artur Nogueira	-22.57306
-79.59415	2020-11-14	accep	EC	Milagro	-2.13404
-99.73314	2016-10-14	good	US	Abilene	32.44874
3.87723	06/29/2016, 00:00:00	good	FR	Montpellier	43.61092
35.96944	2020/06/19	good	RU	Volokolamsk	56.03361
48.41667	12/04/2018, 00:00:00	good	MG	Ambatondrazaka	-17.83333
-35.03333	2015/01/13	accep	BR	Cabo	-8.28333
-0.18333	2013/08/25	accep	ES	Gandia	38.96667
