H2CO	NOx	C2H3NO5	PM10	latitude	O3	PRES	TEMP	PAHs	longitude	Pb	CFCs	PM2.5	warning	SO2	NH3	CO	CH4
53.37757	5.88972	1.89416	7.80010	17.94979	8.24260	1170.56067	16.64944	7.22686	-94.91386	69.15322	72.62256	8.04146	0.00000	6.86211	10.24337	7.81476	9.97373
57.19608	9.92341	4.00202	8.64695	39.96348	8.84996	1081.60151	36.32852	10.18859	-4.83076	30.33363	64.15314	6.27329	0.00000	6.10242	11.34802	8.68964	8.99836
59.78864	6.79210	17.03641	10.24459	55.39485	6.46525	1134.13754	21.09181	6.81576	43.83992	76.52048		6.99867	0.00000	6.82761	9.68553	7.89970	9.74285
52.94163	9.57732	2.34665	8.06511	61.78491	7.99403	1094.53636	13.39041	8.86008	34.34691	59.15547	31.55788	7.36345	0.00000	7.43777	9.31067	8.90084	8.82622
	9.77656	6.48851	9.24771	48.52961	9.32517	1199.57138	5.65787	7.97008	12.16179	38.80973	46.09818	7.57371	0.00000	6.05348	9.49284	8.89150	7.59523
42.05394	7.50610	3.86227	8.57783	34.25807	9.03168	1165.81865	28.33367	5.56904	-88.70464	45.66025	61.77967	6.08273	1.00000	5.37958	4.27097	8.47173	10.83856
44.00208	10.09155	5.50823	9.04594	35.06667	8.45110	1192.27761	-1.09124	11.11275	135.21667	46.09738	52.08709	7.65305	0.00000	7.03146	9.31084	8.34779	9.61196
33.16087	8.25308	3.14912	8.19066	-1.26424	7.84398	1120.36392	23.99544	9.56155	104.09701	30.45611	41.54167	5.83643	0.00000	7.38354	10.76272	7.60451	9.75126
50.28348	8.18190	6.76645	9.27764	42.4251	8.39900	1050.69295	29.14697	7.52389	-71.06616	77.08885	22.14883	8.25607	1.00000	8.64657	8.64027	8.83365	5.85743
49.20846	9.81924	1.66135	6.97445	60.97944	7.73427	1196.48767	7.84595	8.25355	76.92421	40.35369	39.93697	7.26532	0.00000	7.40574	8.98443	6.50826	11.45138
65.01442	8.58504	0.86796	7.34293	7.06273	7.65546	1081.31506	27.64995	5.50332	-1.4001	47.07936	36.50147	7.37468	0.00000	7.45950	11.96278	8.61391	8.84070
61.41423	11.03218	5.22405	9.08301	40.2737	9.03146	1170.82485	15.95707	8.98604	-76.88442	49.73138	47.80202	7.25881	0.00000	5.75420	10.43166	8.40397	11.41814
67.64435	11.43857	3.06777	8.31167	42.58342	8.52157	1178.22263	15.97532	11.95114	-71.8023	52.26728	38.32489	6.90805	0.00000	4.59602	10.67207	8.22339	11.35317
26.09503	8.51140	2.76284	8.38909	-37.32167	8.08001	1069.84683	2.34512	11.36026	-59.13316	63.23360	90.80606	6.52684	0.00000	6.62926	9.21733	9.70075	9.69849
46.02850	9.30454	2.05862	7.87525	29.38242	7.54289	1098.14454	11.92966	6.52767	70.91106	21.52406	50.21244	8.51069	1.00000	9.77707	10.16799	6.86154	7.40865
63.35071	10.25676	1.92009	7.65505	14.53767	9.01467	1171.31849	7.90130	8.67107	46.83187	60.52089	47.67756	9.55173	1.00000	8.87600	7.92941	7.78697	7.64996
42.81697	8.03447	9.01326	9.61642	65.93381	8.08977	1067.58159	22.15822	6.30518	111.4834	59.72892	51.36803	10.78493	1.00000	8.54554	7.97374	7.86246	6.75184
54.90664	8.81332	1.46210	7.57618	50.7236	8.86493	1092.96970	13.00493	5.17026	-3.52751	60.92622	43.37302	6.81350	0.00000	11.01759	11.79208	9.16597	9.43647
43.25892	8.16960	3.32526	8.40253	36.24624	8.39252	1124.36376	18.41438	4.96527	139.07204	52.99317	49.80645	8.47983	1.00000	12.21613	11.87974	7.49912	6.23375
48.35804	7.94509	0.70561	6.99156	5.84752	7.47643	1165.35840	28.41292	3.39145	-5.682	52.05602	57.14113	11.24790	1.00000	10.87494	10.20977	8.08837	5.82135
61.28551	4.90678	1.33696	7.24430	55.64776	8.45431	1108.39432	14.13062	8.26138	38.02486	60.71435	49.45893	10.81865	1.00000	11.11363	9.59450	8.25952	6.85969
34.91195	4.75508	3.45686	8.45201	48.79325	8.59641	1097.70453	27.56260	5.42163	2.29275	62.44957	49.08529	5.24740	1.00000	3.45512	4.22830	8.79219	12.89031
53.66797	5.06216	4.56090	8.84179	37.35813	9.06817	1175.02343	3.55072	7.31853	-6.03731	64.95053	51.88826	9.82571	1.00000	10.70245	8.51508	8.13035	5.94468
47.95047	3.87824	1.83557	7.81780	48	10.26889	1157.54848	-3.15398	9.11103	-4.1	36.59632	60.99574	9.19126	1.00000	9.56252	10.24884	9.38825	6.91652
69.33350	5.78150	1.01585	5.55709	33.95015	8.05661	1059.32727	5.46423	7.72707	-118.03917	62.96834	33.65823	7.42550	0.00000	5.65169	9.45026	7.99750	10.21271
59.19725	4.77124	1.55359	6.87333	51.4781	8.65941	1185.16098	0.43945	7.29663	57.3552	55.46593	58.45073	7.00256	1.00000	6.46394	6.70779	7.76360	11.31824
56.24544	6.55375	1.41790	7.30594	35.74788	6.76526	1067.27363	25.76238	13.24538	-95.36969	69.43979	57.65627	4.86979	0.00000	6.47068	10.44110	8.62036	6.77126
39.48163	7.93089	4.73787	8.82635	25.6439	7.09965	1065.69132	10.17230	8.02113	77.9129	53.12585	41.03147	7.56350	1.00000	6.64477	7.30700	7.87780	9.01375
32.83802	5.42285	0.73193	6.48968	27.76056	9.15853	1176.44603	29.51775	7.37053	-15.58602	39.69528	63.87819	11.51088	1.00000	11.82465	9.67183		6.61539
41.67191	9.42776	12.09932	9.89065	-6.25	8.37228	1083.51524	-1.12594	7.13958	38.66667	61.98515	74.29636	6.66603	0.00000	7.60666	9.71181	8.17031	9.00179
66.55367	11.26736	1.59905	7.00941	13.70727	8.57384	1157.21587	-11.26795	7.97976	9.15013	60.59878	40.06180	8.05623	0.00000	7.41501	8.72501	9.72982	11.19818
72.52617	6.27811	3.36781	8.09447	49.41029	8.47670	1196.92863	24.39296	7.28135	38.15035	39.55630	61.12846	7.85883	0.00000	5.71793	10.44956	9.73486	9.87596
69.15506	2.69424	4.66048	8.55097	-33.75881	9.74945	1079.97795	12.35348	9.19170	150.99292	69.24879	68.23458	6.17373	1.00000	5.11663	7.12697	6.69604	10.41303
35.23630	6.88751	6.55989	9.23504	40.93333	8.36758	1077.67229	28.15996	6.68339	73	39.94477	20.13558	10.11000	1.00000	6.31996	12.09631	8.56448	8.83257
40.42430	8.57530	1.76817	7.48042	42.4251	7.83896	1156.70408	4.66491	6.78990	-71.06616	48.17635	22.73177	7.39127	1.00000	7.82250	6.78893	7.70442	7.54972
53.60379	6.14844	3.83532	8.50141	29.65163	7.98288	1125.67993	15.23044	7.96825	-82.32483		47.74300	8.70785	1.00000	8.50508	9.46467	6.93201	6.57093
58.56822	6.76815	4.32651	8.65701	-1.9487	7.40262	1080.15096	4.80205	8.39190	30.4347	58.63316	44.98075	8.87138	1.00000	9.50120	10.05945	9.09482	8.05508
51.41160	7.61456	2.12929	7.98118	38.72706	6.59764	1101.44370	12.27380	5.61113	-9.24671	50.92869	49.45473	8.77303	1.00000	9.32817	9.48037	8.09960	5.23063
50.13354	8.62068	4.99261	8.86065	40.93121	8.02303	1059.20338	6.40293	6.99466	-73.89875	48.59093	48.24050	6.01285	0.00000	8.16355	11.64657	8.25429	10.01009
39.33069	2.75264	3.85475	8.49474	24.81757	8.74827	1078.63829	4.10459	8.22292	84.63445	46.10012	67.54392	7.06358	1.00000	7.32580	8.33231	10.02022	9.94736
62.03478	6.87834	10.50933	9.75632	40.87363	7.36179	1157.47890	7.33991	5.73602	14.34085	64.23249	56.22161	5.60063	1.00000	5.11965	5.76569	9.37184	10.20571
58.55076	6.86643	1.73178	7.10426	39.43534	8.55585	1130.99547	19.97863	5.80829	-84.20299	83.27848	57.43198	8.29735	0.00000	6.94388	11.34396	7.65636	8.94641
71.28707	7.98975	9.36185	9.61883	48.35149		1169.17831	18.61479	8.65243	8.96317	44.66692	48.61127	9.67678	1.00000	9.45117	11.82568	8.53253	9.98438
58.78725	4.32781	3.57797	8.47773	50.75767	7.65825	1192.91469	-2.20544	6.19715	-1.5443	59.45874	55.50585	7.32033	0.00000	6.25551	9.77112	8.41386	10.35617
72.78459	6.03389	1.30339	7.18804	45.44694	10.15683	1154.29350	14.47432	6.60418	8.62118	65.83828	23.29278	9.03192	0.00000	4.80983	12.05222	7.20025	9.39221
62.91774	6.51535	7.56422	9.40739	29.21399	9.44878	1179.12797	2.10644	7.24728	78.95693	47.23959	46.05214	9.65945	0.00000	3.81227	12.24682	8.12214	9.14679
27.24243	5.41616	4.16134	8.64291	-32.05251	7.33749	1077.85850	2.08819	9.94325	115.88782	54.34711	51.80749	5.36167	1.00000	9.97183	8.37976	7.49135	5.90364
47.38080	9.75192	2.37598	7.93650	41.57439	6.02071	1164.25045	19.63329	10.18529	24.71204	54.06377	53.15721	6.77029	0.00000	5.28145	8.14125	7.81640	7.62472
47.38154	8.14981	6.36920	9.24021	-29.2975	8.08454	1075.27095	24.31113	5.31875	-51.50361	73.51235	48.48832	7.59726	0.00000	8.86368	12.09570	7.88531	9.07897
60.25572	7.03373	2.09363	7.64036	10.10649	8.43724	1154.68116	12.22346	6.82132	76.35484	71.87702	32.99334	10.83670	1.00000	9.27846	11.50855	9.44264	8.82739
