revision	code	longitude	latitude	QoS	location
2018-02-09	ES	1.10687	41.15612	average	Europe/Madrid
22 Jul 2015	GB	-2.52398	53.19146	building	Europe/London
04/13/2018, 00:00:00	US	-96.39774	30.16688	average	America/Chicago
19 Oct 2012	AR	-58.70072	-34.74785	excellent	America/Argentina/Buenos_Aires
2021/08/08	IN	71.57737	21.53889	accep	Asia/Kolkata
01 Jul 2021	ZA	29.00974	-24.19436	excellent	Africa/Johannesburg
06/27/2022, 00:00:00	RU	60.8019	56.9083	good	Asia/Yekaterinburg
18 Oct 2015	US	-122.24064	47.80527	maintenance	America/Los_Angeles
2021-01-14	TR	34.37389	40.1675	accep	Europe/Istanbul
09/05/2015, 00:00:00	US	-102.36764	31.84568	excellent	America/Chicago
2018-05-15	CO	-77.03116	3.8801	accep	America/Bogota
2013/07/06	SA	49.62251	27.0174	accep	Asia/Riyadh
2022-05-24	RU	38.12408	53.77166	average	Europe/Moscow
12/23/2017, 00:00:00	US	-122.38731	45.53929	good	America/Los_Angeles
06/06/2020, 00:00:00	CO	-74.95472	10.98778	accep	America/Bogota
23 Jul 2020	RU	83.62389	53.30972	accep	Asia/Barnaul
2013/06/19	BE	4.82313	51.24197	excellent	Europe/Brussels
06 Jun 2020	MG	46.58333	-21.15	excellent	Indian/Antananarivo
01/23/2022, 00:00:00	US	-72.97261	43.61062	average	America/New_York
2016/04/06	US	-76.72803	39.32288	accep	America/New_York
2019/10/14	PG	144.23058	-5.85746	excellent	Pacific/Port_Moresby
2014-05-27	TH	104.64992	14.64056	average	Asia/Bangkok
10/22/2014, 00:00:00	IN	86.51499	23.1959	excellent	Asia/Kolkata
2022/09/15	IN	73.06784	25.13915	good	Asia/Kolkata
2014/08/09	GB	-0.36053	51.64316	excellent	Europe/London
03/22/2013, 00:00:00	IN	86.79271	25.92127	accep	Asia/Kolkata
04 Nov 2012	DE	12.16179	48.52961	average	Europe/Berlin
2021-02-12	IN	82.85749	17.54907	good	Asia/Kolkata
26 Feb 2014	MA	-6.90656	33.92866	average	Africa/Casablanca
2015-12-20	DZ	4.08282	36.61954	good	Africa/Algiers
2013/11/18	AU	150.99292	-33.75881	good	Australia/Sydney
2016/08/29	GB	-4.22398	57.47908	average	Europe/London
12 Jul 2015	US	-95.36969	35.74788	excellent	America/Chicago
2020/12/29	BG	24.71204	41.57439	accep	Europe/Sofia
27 Sep 2019	DE	13.28702	52.4581	average	Europe/Berlin
11/20/2013, 00:00:00	MG	47.31667	-19.65	excellent	Indian/Antananarivo
12/12/2018, 00:00:00	IT	8.86374	44.89784	average	Europe/Rome
01/09/2022, 00:00:00	DE	9.5586	54.52156	average	Europe/Berlin
12/17/2021, 00:00:00	IN	76.0586	16.06213	good	Asia/Kolkata
2019-05-12	PK	70.96699	30.46907	average	Asia/Karachi
05 Feb 2017	UA	32.6178	46.65581	accep	Europe/Kiev
23 Sep 2014	ES	-4.10734	38.68712	maintenance	Europe/Madrid
27 Jul 2015	PE	-76.70944	-11.94306	accep	America/Lima
01/25/2021, 00:00:00	CN	126.28333	45.35	building	Asia/Shanghai
2013-05-30	NG	9.0027	11.86064	average	Africa/Lagos
2015/10/12	VE	-67.33122	10.22677	average	America/Caracas
2014/10/11	PH	122.9666	10.7375	excellent	Asia/Manila
2019-08-14	GB	-0.32247	50.82882	good	Europe/London
12/12/2015, 00:00:00	BD	91.84128	22.83957	excellent	Asia/Dhaka
2018/08/30	IN	78.14797	15.45144	good	Asia/Kolkata
2015-09-14	RU	92.48278	58.23583	average	Asia/Krasnoyarsk
2013/10/22	ES	0.57856	40.70995	accep	Europe/Madrid
2017/10/10	ES	-6.03731	37.35813	average	Europe/Madrid
15 Jun 2015	DE	12.1369	51.04962	average	Europe/Berlin
03/02/2017, 00:00:00	US	-74.07764	40.72816	accep	America/New_York
09/09/2019, 00:00:00	NL	5.23333	52.09	good	Europe/Amsterdam
2021-03-23	GB	-4.22398	57.47908	average	Europe/London
09/30/2014, 00:00:00	BR	-37.93278	-11.48472	average	America/Bahia
01/12/2016, 00:00:00	MZ	35.34722	-23.85972	good	Africa/Maputo
09/07/2022, 00:00:00	US	-116.37697	33.72255	good	America/Los_Angeles
2014/02/10	ID	101.44167	0.51667	good	Asia/Jakarta
14 Dec 2020	PH	122.9666	10.7375	average	Asia/Manila
04/22/2015, 00:00:00	DE	9.20427	48.49144	average	Europe/Berlin
03 Feb 2015	US	-117.70755	33.52253	good	America/Los_Angeles
2016/06/11	GB	-0.29825	51.39148	average	Europe/London
