PM2.5	CH4	SO2	latitude	longitude	O3	TEMP	PM10	PRES	NH3	CFCs	warning	NOx	H2CO	PAHs	CO	C2H3NO5	Pb
9.12623	8.99126	6.42397	35.25064	-91.73625	9.43882	15.52405	7.76374	1128.77202	6.27394	47.06580	1.00000	6.89187	50.92166	6.35432	8.84683	2.42703	44.98357
9.34807	11.65229	6.63099	-1.26424	104.09701	8.43726	0.64439	7.83082	1183.59813	7.60704	67.66060	0.00000	5.34869	71.35907	7.93667	9.00209	2.88545	70.97102
7.90577	10.18730	6.15634	53.83333	-2.98333	7.51205	12.41168	7.44680	1087.72705	6.53723	33.59454	0.00000	4.22445	62.83193	7.44739	6.98785	2.48296	60.90768
6.13457	2.75013	8.47816	10.22677	-67.33122	4.98816	18.62356	8.17506	1133.88609	6.88907	32.99706	1.00000	9.98725	6.84871	6.25715	9.18600	3.56624	41.76330
6.44017	9.68117	7.55956	40.1675	34.37389	4.18609	8.90278	5.87899	1055.52223	6.84232	67.09629	0.00000	5.36026	46.03420	7.52804	7.25555	0.77312	32.00563
9.09346	8.06593	5.81936	38.07789	13.44275	10.32115	18.63254	7.20659	1064.09111	9.47484	36.72463	1.00000	7.76124	46.05861	5.10215	8.77882	1.62560	60.02528
8.04960	8.51108	6.56643	48.07667	8.64409	6.16569		8.14145	1063.86984	7.13564	68.66437	0.00000	6.57239	52.87115	6.38755	8.40466	3.20387	27.60178
7.50464	9.22191	9.10084	58.1908	40.17171	4.47312	19.98915	8.73452	1162.93686	8.50977	49.09297	0.00000	9.45636	62.15422	9.63975	7.09166	4.98081	55.31243
7.03281	7.10001	5.50308	46.1351	-60.1831	7.55680	11.64436	6.01588	1162.12294	8.60224	41.27147	0.00000	6.87808	61.42637	7.95604	6.43411	1.23355	34.77676
8.31488	9.15364	6.88114	-6.25	38.66667	10.32059	19.77873	8.24494	1073.11718	8.21098	60.76289	1.00000	6.49607	60.47137	7.65462	7.92213	3.62871	47.97129
6.99107	9.39673	5.83274	-31.95224	115.8614	6.48714	26.38620	8.61775	1189.69572	9.20272	48.31796	0.00000	4.85878	28.88568	7.39294	8.50823	3.67434	30.36747
6.27318	10.47113	7.95646	51.38673	0.30367	6.30610	11.44799	7.84338	1096.04915	7.49348	54.07810	0.00000	9.37806	58.56664	9.08769	6.90171	3.13556	55.68603
7.43570	8.57952	8.39093	23.0072	-82.4017	7.36945	25.78729	7.64628	1062.40839	8.48729	53.60980	0.00000	10.12303	66.78557	7.08133	9.34287	2.43866	27.09588
