QoS	revision	location	longitude	code	latitude
excellent	13 Aug 2019	Europe/Berlin	8.77155	DE	50.23019
accep	2020-12-18	Europe/Madrid	-1.86343	ES	38.10558
accep	2021/10/14	America/New_York	-76.43941	US	39.33427
average	2021/09/17	Africa/Tunis	10.78222	TN	36.46917
accep	2017-06-18	Africa/Abidjan	-3.59625	CI	5.27247
average	2013/08/27	Asia/Shanghai	122.22833	CN	40.66482
good	2014-07-28	Europe/Madrid	2.18247	ES	41.41204
good	12 Jan 2018	America/Los_Angeles	-117.70755	US	33.52253
excellent	03/19/2020, 00:00:00	Africa/Tunis	10.78222	TN	36.46917
good	05/25/2022, 00:00:00	Africa/Lagos	6.83042	NG	6.15038
building	29 Dec 2021	Asia/Kolkata	88.18466	IN	22.19303
average	2019/01/16	Europe/London	0.30367	GB	51.38673
good	05/16/2021, 00:00:00	Asia/Yekaterinburg	53.47103	RU	54.48147
accep	19 Jan 2020	Australia/Melbourne	145.13643	AU	-38.16604
good	2017-07-05	America/Fortaleza	-40.7475	BR	-4.16694
maintenance	15 Aug 2018	Asia/Yekaterinburg	76.92421	RU	60.97944
average	23 Aug 2019	Africa/Maputo	35.34722	MZ	-23.85972
accep	2019-04-16	Europe/Berlin	9.17702	DE	48.78232
good	26 Feb 2021	America/Santiago	-71.23106	CL	-32.45242
good	2021-03-02	America/Mazatlan	-105.36369	MX	22.49396
maintenance	06 May 2019	America/Sao_Paulo	-45.94722	BR	-21.42917
excellent	20 Dec 2017	America/New_York	-74.96933	US	39.71734
excellent	2014/01/24	Asia/Shanghai	120.74221	CN	31.64615
building	2022/01/02	Europe/Minsk	31.3237	BY	52.4089
excellent	2016-12-09	Europe/Warsaw	18.30056	PL	50.5107
accep	2020/10/16	Asia/Makassar	117.59152	ID	3.31332
excellent	25 Apr 2013	Asia/Tokyo	140.11667	JP	37.56667
average	2018/09/16	America/New_York	-70.92866	US	42.52787
good	07/19/2017, 00:00:00	Asia/Shanghai	113.13148	CN	23.02677
average	2019-07-08	America/Los_Angeles	-123.02621	US	44.99012
accep	2018-12-26	Asia/Almaty	77.0202	KZ	43.41949
average	06/30/2015, 00:00:00	America/New_York	-84.50855	US	39.08367
excellent	14 Aug 2019	Asia/Yekaterinburg	60.8019	RU	56.9083
maintenance	03/19/2017, 00:00:00	Asia/Karachi	68.21204	PK	27.55898
maintenance	2013/05/07	Europe/London	0.30367	GB	51.38673
maintenance	2019/12/15	Asia/Manila	120.4861	PH	16.0438
average	2018/08/04	Europe/Berlin	10.18527	DE	47.98372
excellent	28 Oct 2014	Europe/Paris	2.12213	FR	48.8222
excellent	2013-09-18	Africa/Kampala	30.98551	UG	2.41669
good	18 Nov 2016	Asia/Kolkata	86.68363	IN	23.49668
accep	2014/05/20	Europe/London	-0.91979	GB	51.42708
building	12/11/2020, 00:00:00	Europe/Brussels	5.37429	BE	51.03427
accep	2021-03-06	America/Havana	-81.24441	CU	23.15678
good	20 Dec 2016	America/Sao_Paulo	-46.99583	BR	-22.97056
excellent	2021-11-05	Asia/Makassar	117.59152	ID	3.31332
accep	2018/04/08	Asia/Bangkok	104.1451	TH	15.79408
average	2015-02-01	America/Santarem	-52.20639	BR	-3.20333
good	26 Dec 2016	Europe/Paris	2.18967	FR	48.8765
building	2018/07/17	Indian/Reunion	55.4504	RE	-20.88231
accep	2016-04-24	Europe/Berlin	9.72749	DE	48.28259
excellent	01 Jun 2015	Africa/Dar_es_Salaam	38.01667	TZ	-5.41667
good	27 Nov 2016	America/New_York	-72.27814	US	42.93369
accep	2013-10-23	Asia/Kolkata	76.0586	IN	16.06213
excellent	2018-03-12	Europe/Moscow	35.96944	RU	56.03361
average	2021/12/02	Europe/Paris	5.03586	FR	43.83125
excellent	01/09/2015, 00:00:00	Indian/Reunion	55.4504	RE	-20.88231
average	2021/05/13	Asia/Kolkata	79.41727	IN	12.25282
