PAHs	C2H3NO5	SO2	longitude	warning	Pb	PM10	PRES	CO	NH3	TEMP	O3	CFCs	PM2.5	latitude	CH4	NOx	H2CO
5.97472	0.26237	8.60156	27.18052	1.00000	59.21336	6.56521	1179.77962	5.13313	6.93126	31.55041	7.50469	46.90749	5.73651	39.12074	6.33983	6.91189	48.49935
4.67348	0.35508	7.59826	-87.882	1.00000	45.11937	7.61410	1176.54974	3.91732	7.66397	17.95912	8.47881	48.73719	4.92065	41.85059	6.96657	6.66526	51.37753
3.96237	0.19737	9.05150	16.4	1.00000	68.42649	6.33336	1108.53423	5.31003	9.39519	3.78659	7.83080	46.17399	4.79166	48.25	6.69872	4.60044	32.81064
6.95310	0.71999	9.04659	-35.71667	1.00000	36.32690	8.63883	1145.01389	10.42286	7.07487	7.83815	7.97196	62.75565	9.12574	-8.66667	8.93917	7.01767	44.50091
4.78121	0.34790	6.44974	-68.3	0.00000	29.54949	7.62620	1183.82088	6.02712	9.01935	23.73747	6.25717	52.83669	6.08102	-54.8	9.36046	8.55061	41.03011
5.56154	0.44635	8.19111	67.84222	1.00000	52.23323	7.86277	1073.62986	6.81090	8.61994	34.14458	8.66535	63.21315	4.94846	40.11583	7.96564	3.78297	67.34875
5.76885	0.50162	9.12711	-60.1831	1.00000	26.91684	8.10801	1185.90452	8.84504	7.37386	27.32154	7.61464	38.26657	5.93901	46.1351	7.25152	4.94739	56.99730
6.88443	2.30021	7.69007	-122.86705	0.00000	77.93538	9.93410	1112.32709	5.74609	8.24649	24.28319	7.97772	34.55496	6.10716	45.49428	7.22622	4.49030	27.72233
5.47649	0.33939	7.55754	114.68333	0.00000	44.58410	7.49072	1137.03870	6.17638	8.45602	4.48071	8.26649	66.07607	4.06179	23.73333	7.03172	9.24395	28.01026
6.20395	0.52921	9.25651	-88.42814	0.00000	45.71973	8.21826	1158.63640	6.73077	8.49179	17.79563	7.83085	66.01334	6.69045	42.16808	6.97619	6.79950	67.33509
